"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
9,"0",3800,25,0.07,0.06,-0.07,0,0,0,0,0,7.3,7.3,5.5,1.3,8.4,13.8,13.8,9,8.3,19.4,10.7,25,16,20.1,9.6,11.8,17,22,1,0.158273381294964,1,3,3,0
0,"0",3700,22.3,-0.01,0.04,0.09,0,0.1,0,0.1,4,4.3,4.5,4.3,0.5,7.9,8.7,8.7,7,2.3,12.7,6.8,17,27,1.3,9.9,15,8,14,1,0.145833333333333,5,3,2,0
2,"0",3700,25.5,0.01,0,-0.22,1.3,0.5,0,0,11.3,4,5.8,4.6,0.6,8.2,6.6,6.6,8,2.4,20.8,9.3,32,20,9.7,6.6,3.5,7,12,1,0.108108108108108,5,4,2,0
0,"0",3600,22.3,-0.01,0.04,0.09,0,0.1,0.2,0,5.5,3.3,5.9,2.9,0.9,7.9,10.7,10.7,5,3.1,19.8,6.2,17,27,4.3,20,7.8,9,11,2,0.114583333333333,3,5,1,0
0,"1",3600,25.5,0.01,0,-0.22,0,0,0,0,0,3.3,3.9,2.3,0.8,7.3,3.9,3.9,4,-0.2,14.7,3.8,32,20,0,9.9,1.9,3,11,1,0.0990990990990991,7,5,2,0
1,"0",3600,25.5,-0.11,-0.05,-0.07,0.3,0.3,0,0,6,4,3.5,3.4,0.3,15.3,9.3,9.3,5,3.3,11.7,6.1,5,7,8,12.3,7.6,7,11,0,0.0948275862068965,5,5,6,0
0,"0",3500,20.8,-0.14,-0.04,-0.01,0,0,0,0,0,5.3,3.7,3.4,0.6,8,8.7,8.7,6,-0.7,14.9,6.4,3,10,10.7,5.5,9.9,6,15,1,0.121951219512195,5,4,2,0
2,"0",3500,22.5,-0.05,0.04,-0.01,0,0.1,0.2,0,-1,5,5.9,4.7,1.3,6.5,12,12,10,2.9,16.1,9.5,31,22,5.1,15.2,15.7,11,15,1,0.142857142857143,4,4,2,1
2,"0",3500,19.3,0,-0.1,-0.03,0,0,0,0,0,5.7,4.6,5.6,0.4,7.5,9,9,9,1.1,12.8,9,24,25,12.6,11.9,2.6,9,17,1,0.157407407407407,3,3,1,0
3,"0",3400,18.8,0,-0.14,0.05,0,0.1,0,0,0,5,5.8,6.7,0.4,6.5,6.4,6.4,12,2.3,14.7,10.1,11,17,11.1,2,6,11,16,0,0.205128205128205,1,1,4,0
14,"1",3400,22.5,-0.05,0.04,-0.01,0.3,0.3,0.2,0,9,9,9,6.4,1.3,4.9,9,9,13,6.1,12,11.5,31,22,12.2,8.5,6.4,14,28,0,0.266666666666667,2,1,3,0
0,"0",3400,19.8,-0.18,-0.15,-0.25,0,0,0,0,0,7.3,6.4,6,1,7.7,6.3,6.3,10,1.8,17.4,10,9,3,6.7,8.4,3.8,10,23,0,0.164285714285714,5,3,5,0
0,"1",3400,21.8,-0.03,0.12,-0.11,0,0,0,0,0,7.7,2.4,4.9,0.1,6.1,7.8,7.8,8,-1.4,7.9,7.9,18,13,4.4,5.9,0,13,24,0,0.247422680412371,1,1,3,1
0,"0",3400,26.8,0.04,0.16,0.05,0,0,0.3,0,0,5,5,4.3,0.7,8,7.3,7.3,8,2.6,12.1,8,21,26,4.8,12.8,4.4,11,15,0,0.129310344827586,3,5,3,0
1,"0",3300,29,0.17,0.23,0.15,0,0,0,0,0,3.3,4.6,5.1,0.5,7.3,3.2,3.2,8,0.5,13.2,8.8,29,24,6.2,1.7,1.6,5,12,0,0.115384615384615,8,3,5,1
0,"0",3200,20.5,0.03,-0.29,0.1,0,0,0,0,0,5,4.1,3.8,0.4,9.4,5.6,5.6,7,1.7,15.5,7.6,15,25,3.1,3.1,10.7,10,16,0,0.142857142857143,2,2,3,0
1,"0",3200,26.8,0.04,0.16,0.05,0.3,0.3,0,0,4,5,6.6,4.3,0.8,7.7,8.4,8.4,7,4.8,13.1,6.9,21,26,5.2,6.9,13.1,9,17,0,0.146551724137931,4,3,3,0
1,"0",3100,23.8,0.08,0.09,0.07,0,0.4,0.2,0,6,6,5.1,4.7,0.5,6,8.7,8.7,8,2.4,10.1,7.8,23,7,9.4,12.5,4.2,12,16,0,0.128,4,5,5,0
3,"0",3100,18,-0.19,-0.05,-0.14,0,0.1,0,0,3.5,6,5.3,6.1,0.1,9.3,6.6,6.6,11,2,18.7,12.2,4,5,6.2,8,5.6,10,16,0,0.148148148148148,3,3,4,0
0,"0",3100,22,-0.03,0.03,0.09,0,0,0,0,0,4,2.4,3.5,0.3,6.1,4.7,1.3,6,-2,10.4,6.3,10,14,2.5,0,0,1,5,0,0.0467289719626168,9,7,3,0
2,"0",3100,22.8,0.04,0.21,-0.01,0,0,0,0,0,5.7,5.4,5,0.5,9.5,15.5,9.1,8,2.4,15.9,9.9,20,15,11.8,0,6.4,7,10,0,0.0970873786407767,4,4,2,0
2,"0",3100,23,0.16,0.12,0.12,0,0.3,0,0,22.3,4.7,2.3,3.1,0.1,9.4,7.8,7.8,5,0.2,8.7,6.8,13,18,5.9,8.1,9.4,11,14,0,0.148936170212766,3,3,3,0
0,"0",3000,25.8,0.03,0.02,0.01,0,0,0,0,0,0.3,0.1,1.8,0,7,0.6,0.6,3,-0.3,0.6,3.3,16,23,0,1.7,0,1,1,0,0.0078740157480315,9,10,6,0
0,"0",3000,23.8,0.08,0.09,0.07,0,0,0,0,0,1.7,3.3,0.6,0.6,2.7,1.2,1.2,1,-0.6,8.9,1.1,23,7,0,1.7,1.9,2,4,0,0.032,7,7,5,0
0,"0",3000,18,-0.19,-0.05,-0.14,0.7,0.4,0,0,4,4.7,6.3,3.5,0.6,7.7,4.7,0,6,3,18.8,5.7,4,5,0,0,0,0,0,0,0,12,12,4,0
2,"0",3000,20.3,0.13,0.2,0.18,0.7,0.3,0.3,0,1.8,3.3,4.9,5,0.6,5.7,3.1,3.1,9,2.1,9.3,9,28,29,3.5,5.8,-0.1,5,10,0,0.099009900990099,5,5,2,0
0,"0",3000,20.3,0.13,0.2,0.18,0,0,0,0,0,1,1,2.5,0.5,0,0,0,4,0,0,4.2,28,29,0,0,0,1,2,0,0.0198019801980198,9,9,2,0
0,"0",3000,20.5,0.03,-0.29,0.1,0,0,0,0,0,2.7,3.3,0.9,0.3,6.7,2.9,2.9,2,0.8,8.6,2.3,15,25,0,6.5,2.1,4,9,0,0.0803571428571429,8,6,3,0
0,"0",3000,19.5,-0.16,-0.27,-0.23,0,0,0,0,0,0,0,2.1,0,0,0,0,4,0,0,2.9,2,1,0,0,0,0,0,0,0,8,10,4,0
0,"0",3000,18.8,0,-0.14,0.05,0,0,0,0,0,0,0.2,3.3,0,19.7,0,0,6,-2.3,4,5.2,11,17,0,0,0,0,0,0,0,10,11,4,0
1,"0",3000,18.8,0,-0.14,0.05,0,0.3,0,0,2.7,3.3,1.8,5,0.2,8.8,7.9,11.9,9,-3.5,9.2,10.4,11,17,1.6,22.2,0,3,9,1,0.115384615384615,7,5,1,0
0,"0",3000,23,-0.09,-0.17,-0.14,0,0,0,0,0,2.3,3.6,3.2,0.8,5.3,6.5,6.5,5,2.1,7.8,4.8,7,2,10.6,7.8,1,4,7,2,0.0679611650485437,6,6,1,0
0,"0",3000,25.5,0.01,0,-0.22,0,0.4,0,0,6.3,4.3,4,2.6,0.5,8.1,5.4,5.4,4,2.4,12.1,5,32,20,9.7,4.5,2.1,8,13,0,0.117117117117117,4,3,6,0
0,"0",3000,24.3,0.06,0.04,0.07,0,0,0,0,0,1.3,7.5,1.9,0.6,7.3,1.6,1.6,3,4.3,19.8,3.2,30,32,1.5,0,3.4,3,5,0,0.0471698113207547,8,8,2,0
0,"0",3000,20.8,-0.14,-0.04,-0.01,0,0,0,0,0,1.7,2.4,1.4,0.4,5.7,3.1,3.1,2,-1.2,9.6,2.4,3,10,1.8,7.6,0,2,5,1,0.040650406504065,9,6,2,0
1,"0",3000,24.3,0.06,0.04,0.07,0.3,0.3,0.2,0,2,3.7,3.7,4.9,0,8.1,4.7,4.7,8,4.3,5.1,8.4,30,32,4.4,5.2,4.5,5,11,0,0.10377358490566,4,4,2,0
0,"0",3000,22.5,-0.05,0.04,-0.01,0,0,0,0,0,0,0.3,0,0,27,0,0,0,-1.1,3.1,0,31,22,0,0,0,0,0,0,0,9,10,3,0
0,"0",3000,22.5,-0.05,0.04,-0.01,0,0,0,0,0,2.3,2.9,0.3,0.3,6.4,5.6,0,1,-0.7,9.6,0,31,22,0,0,0,0,0,0,0,9,10,3,0
0,"0",3000,22.5,-0.05,0.04,-0.01,0,0,0,0,0,2.7,2.7,0,0.3,7.6,3,3.4,0,0.6,7,0,31,22,3.4,0,0,2,3,0,0.0285714285714286,7,7,3,0
0,"0",3000,19.8,-0.18,-0.15,-0.25,0.3,0.1,0,0,9,1.3,1.4,0.3,0.2,5.4,2,2,1,-0.3,4.1,0,9,3,1.6,3.6,0.9,3,4,0,0.0285714285714286,7,8,5,0
1,"0",3000,23.3,0.02,-0.15,0.11,0,0,0,0,0,1,1.9,0.9,0.2,8.3,2,2.3,1,0.2,5.3,1.9,27,30,2.3,0,0,1,1,0,0.0105263157894737,9,10,4,0
0,"0",3000,19.8,-0.18,-0.15,-0.25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,11,12,5,0
1,"0",3000,19.8,-0.18,-0.15,-0.25,0.3,0.1,0,0,7,8.3,4.6,4.4,0.4,7.1,13.9,13.9,7,1.4,13,7.8,9,3,22,12.7,7.1,20,27,0,0.192857142857143,2,2,5,0
0,"0",3000,16.8,-0.07,-0.09,-0.06,0,0,0,0,0,2.7,3.6,2.3,0.3,5.7,6.8,6.8,4,-1.7,11.1,3.2,8,12,13.3,1.8,5.3,6,8,1,0.0869565217391304,4,4,1,1
0,"0",3000,29,0.17,0.23,0.15,0,0,0,0,0,3.7,1.8,1.7,0.4,7.9,2.9,0,3,-1.3,7.3,4,29,24,0,0,0,0,0,0,0,12,13,5,0
0,"0",3000,25,0.07,0.06,-0.07,0,0,0,0,0,6.7,3,0.7,0.3,9.9,10.5,9.2,1,-0.2,10.9,1.3,25,16,14.8,3.5,0,9,12,0,0.0863309352517986,6,6,7,0
1,"0",3000,22.8,0.04,0.21,-0.01,0,0,0,0,0,1.3,3.1,4.6,0.4,7.6,0.9,0.9,7,0.5,8,7.1,20,15,0,0,2.6,1,4,0,0.0388349514563107,8,7,2,0
0,"0",3000,21.8,-0.03,0.12,-0.11,0,0.1,0,0,5,5,4,4.3,0.3,7.1,6.1,6.1,7,1.7,9.1,6.7,18,13,1.8,5.5,11,9,14,0,0.144329896907216,2,3,3,0
1,"0",3000,22.5,0.16,-0.18,0.18,0,0.3,0,0,5.2,4.7,4.1,3.3,0.4,7.1,3.9,3.1,6,1.3,11.3,5.9,18,5,0,3.1,3.1,5,8,0,0.0689655172413793,7,6,4,0
1,"0",3000,22.5,0.16,-0.18,0.18,0,0,0,0,0,5.3,3.9,4.2,0.7,6.4,6.4,6.4,7,0.3,10,6.4,18,5,7.4,3.5,8.3,9,16,0,0.137931034482759,5,3,4,0
1,"0",3000,23,0.16,0.12,0.12,0,0.1,0,0,-11,3.3,4.4,3.1,0.2,7.9,1.7,1.7,5,0.4,13.2,6,13,18,0,3.5,1.5,3,10,0,0.106382978723404,4,4,3,0
0,"0",3000,23,0.16,0.12,0.12,0,0,0,0,0,0,0,0.6,0,0,0,0,1,0,0,1.1,13,18,0,0,0,0,0,0,0,10,10,3,0
14,"0",5000,23.5,-0.06,0.08,0.05,0,0,0,0,0,7.3,7.3,6.2,0.3,8,13.2,13.2,11,4.4,22.1,12.9,9,10,4,14.1,21.6,13,22,1,0.165413533834586,2,2,2,0
0,"0",4900,23,-0.02,0.38,0.03,0,0,0,0,0,8,7.8,4.9,1.5,5.5,10.6,10.3,7,8.5,12,9.5,22,18,12.6,10.5,8.8,12,29,2,0.173652694610778,4,3,2,0
2,"0",4900,21.3,-0.14,-0.3,-0.32,0.3,0.5,0.4,0.3,-3,6.3,6.5,6.4,0.5,3.7,4.5,6.2,12,2.4,10.1,12.8,1,5,3.1,7.2,3.3,14,28,0,0.175,5,2,6,0
2,"0",4800,25.8,-0.17,0.21,-0.05,0.3,0.3,0.2,0,3,4,4.5,7.5,0.5,11.9,7.8,9.2,12,4.1,14.3,14.7,12,14,13.7,5.7,4,9,17,1,0.0994152046783626,6,6,3,0
0,"0",4800,20.5,-0.27,0.11,-0.38,0,0,0,0,0,4,5,5.5,1.3,7.6,5.1,9.1,9,1,17.1,9.9,3,1,4.2,6.1,4.9,13,21,1,0.151079136690647,3,2,4,0
26,"0",4700,23.5,0.26,0.32,0.35,0,0,0,0,0,7.7,7,6.5,2,8.6,12.3,11.5,10,8.5,14.5,11.2,31,31,9,12.9,15.1,16,27,1,0.183673469387755,2,2,2,1
22,"0",4600,20,0.21,-0.23,0.02,0,0,0,0,0,8,8,8.6,1,7.6,11.6,13.3,14,8.8,17.9,12.7,17,7,12,7.7,15.2,23,33,1,0.215686274509804,1,2,2,0
1,"0",4600,20.3,-0.28,-0.22,0.03,0,0,0,0,0,6,7,4.9,1.8,7,12.6,12.4,8,6.3,18.5,9.9,6,19,4.1,17.8,15.9,18,27,2,0.175324675324675,2,3,1,0
3,"0",4500,21,0.25,-0.58,-0.06,0,0,0,0,0,6.7,6,5,1,10.2,10.7,11.4,8,9.7,13,8.3,23,30,10,10,12.1,16,25,1,0.158227848101266,3,3,2,0
0,"0",4400,23,-0.02,0.38,0.03,0,0,0.3,0,0,10,8.5,6.6,0.5,6.9,14.3,11.1,10,-0.8,23.1,13.9,22,18,27.4,13,2.4,18,33,0,0.197604790419162,2,2,4,0
4,"0",4400,21,0.09,0.27,0.22,0,0,0,0,0,7,8,5.2,0.8,5.4,6.2,8.3,8,3.7,12.9,10.4,19,29,3.5,7.8,7.3,17,35,0,0.25,2,1,4,0
2,"0",4300,21.8,-0.1,-0.04,0.05,0.3,0.3,0,0,7,5.7,7.3,6.7,0.5,9.6,12.4,12.9,11,10.9,14.9,10.5,13,21,10.3,14.3,12.5,23,31,0,0.227941176470588,1,1,4,0
12,"0",4200,21.8,0.08,0.04,-0.07,0,0,0.2,0,0,5.3,5.5,6.6,1,11,15.8,15.8,11,6.8,24.8,12.5,23,6,27.1,5.1,15.2,18,22,2,0.154929577464789,2,3,2,0
9,"0",4100,28.8,0.02,0.16,0.03,0,0,0,0,0,3.7,3.8,3.9,0.3,8.1,3.7,6.6,6,-0.6,13.7,7.5,27,20,0,1.3,9.9,8,16,1,0.128,5,4,2,1
9,"0",4100,23.5,0.26,0.32,0.35,0,0,0,0,0,6,5.3,6.1,0.5,7.9,12,9.4,10,-3.2,22,9.3,31,31,28,6.2,1.7,12,24,1,0.163265306122449,4,3,2,0
0,"0",4000,21.3,-0.14,-0.3,-0.32,0,0,0,0,0,7,6,5.7,0.8,5.7,12,10.6,10,7,14.3,10.8,1,5,9.1,12.2,14.8,19,25,3,0.15625,4,4,1,0
1,"0",3900,28.8,0.02,0.16,0.03,0,0,0.3,0,0,2.7,3,2.6,0.8,10.1,8.1,8,5,-0.6,16.6,6.5,27,20,0,4.3,20,9,13,2,0.104,4,5,1,0
0,"0",3900,20.3,-0.28,-0.22,0.03,0,0,0,0,0,6.3,6.3,6.2,1,7,7.8,8.6,11,5.5,11.7,10.8,6,19,7.9,10.9,4.5,17,25,0,0.162337662337662,3,4,5,0
0,"0",3900,30,0.15,-0.31,0.06,0,0,0.2,0,0,3,3,4.4,0.5,5.3,6.6,6.6,7,-1,14.2,7.8,22,22,12,1.2,0,2,6,1,0.0416666666666667,8,6,3,0
13,"0",3900,22,0.09,0.02,0.18,0,0,0,0,0,6.7,6.3,6.1,0.3,6.8,9.7,8.8,11,2.7,14.8,10.5,11,18,15.9,11.1,2,18,26,0,0.222222222222222,1,1,5,0
0,"0",3900,19.5,-0.16,0.08,-0.03,0,0,0,0,0,5.3,5.5,5.9,0.5,4.8,7.4,6.4,10,0.6,12.2,10.8,7,15,1.3,6.5,14.5,9,21,1,0.176470588235294,4,2,2,0
2,"0",3900,28,0.02,-0.18,0.02,0,0,0,0,0,5.3,5.3,5,1,6.2,9.6,9.6,8,4.9,14.4,8.9,14,15,0,10.3,4.6,9,18,2,0.174757281553398,3,3,2,1
0,"1",3800,21.8,-0.1,-0.04,0.05,0,0,0,0,0,4.7,4.7,4.8,0,11.9,10.9,10.9,8,6.8,14.9,7.8,13,21,14.4,11.8,0,11,16,1,0.117647058823529,3,4,2,0
0,"0",3700,19.5,-0.16,0.08,-0.03,0,0,0,0,0,7,8,5.9,0.3,6.3,10.4,11.1,10,3.5,18.6,9.4,7,15,20.8,4.4,5.9,19,33,1,0.277310924369748,1,1,2,1
1,"0",3700,19.5,0.06,-0.06,0.03,0,0,0,0,0,6.7,6.5,6,0.3,10.8,11.5,11.3,9,7.7,14.8,8.1,8,15,12.2,6.8,15.4,18,28,0,0.227642276422764,1,2,3,0
2,"0",3700,19.5,0.06,-0.06,0.03,1.7,1.5,2.3,0,4,7.7,8.8,6.6,0.5,4.5,11.6,10.1,14,1.9,18.3,12.5,8,15,2.8,21.4,10.6,16,34,1,0.276422764227642,2,1,2,0
23,"0",3600,30,0.15,-0.31,0.06,0.7,0.5,0,0,2.5,5.7,5,4.7,0.5,14.1,11.4,10.4,8,7.3,13.5,8.9,22,22,13.8,8,12.3,13,19,0,0.131944444444444,3,3,8,1
0,"0",3600,25.8,0.02,-0.07,0.22,1,1,0,0,7.5,5.3,4.3,4.7,0.3,7.8,6.6,5.8,8,2.8,8.8,9.3,27,32,3.4,9.7,6.6,9,16,1,0.0993788819875776,5,5,3,0
0,"0",3600,25.8,0.02,-0.07,0.22,0,0,0,0,0,3,3.3,2.1,0.5,6.5,5.8,4.8,4,0.2,9.5,3.3,27,32,7.6,0,9.9,5,16,1,0.0993788819875776,6,5,3,0
0,"0",3600,23.5,-0.06,0.08,0.05,0,0,0,0,0,5,5,4.7,0,10.3,13,10.4,8,5.1,15.7,8.8,9,10,14.4,12.6,11.9,11,21,2,0.157894736842105,3,3,1,0
3,"0",3500,24.8,0.07,0.12,0.13,0,0,0,0,0,5,5,5.2,1,8,9.7,9.7,8,4.2,15.1,8.2,30,27,0,5.1,8.2,11,16,1,0.166666666666667,2,2,2,0
17,"0",3500,21.8,-0.1,-0.04,0.05,0,0,0,0,0,3.7,3.3,8.2,0.8,4.4,5,4.4,13,-2.8,11.6,12.8,13,21,15.1,0,0,6,13,1,0.0955882352941176,5,5,2,0
0,"0",3500,23,-0.02,0.38,0.03,0,0,0,0,0,4.3,3.8,3.6,0.3,10.1,8.5,7.1,5,0.6,13.5,5.6,22,18,1.7,7.9,15.8,7,13,1,0.0778443113772455,6,5,3,0
1,"0",3400,27,0.16,-0.2,-0.04,0,0,0,0,0,5,4.8,3.8,1.3,4.4,8.8,9.1,6,6.7,11.5,7,25,12,10.2,10.7,5.5,10,19,2,0.118012422360248,4,4,2,0
4,"0",3300,21,0.09,0.27,0.22,0,0,0,0,0,5.3,5,3.2,0.3,9,8.1,7.5,5,5.4,9.6,6.3,19,29,10.2,6.2,8,12,18,0,0.128571428571429,3,5,4,0
0,"0",3200,24.8,0.07,0.12,0.13,0,0,0,0,0,3.3,3.3,3.8,0,6.5,4.5,4.5,6,2.9,6.1,5.7,30,27,0,6.3,3.8,7,11,0,0.114583333333333,4,5,5,0
1,"0",3200,21,0.09,0.27,0.22,0,0,0,0,0,3.3,4.3,4.7,0.3,4.2,4.7,5.1,7,1.6,8.5,7,19,29,6.3,0,7.9,9,22,2,0.157142857142857,5,2,1,0
0,"0",3200,24.3,0.02,-0.08,-0.11,0.3,0.3,0,0,-2,5.7,5.3,5.1,1.3,9.9,6.8,8.4,8,5,11.8,8.3,14,8,8.4,5.2,6.9,13,23,0,0.155405405405405,3,3,3,1
1,"0",3200,19.5,0.06,-0.06,0.03,0,0,0,0,0,3,3.5,5.3,0.3,10.9,12,10.3,8,1.8,18.9,7.2,8,15,20.9,13.3,1.8,8,14,3,0.113821138211382,4,4,1,0
4,"0",3200,20.3,0.03,-0.12,-0.06,0,0,0,0,0,6.7,6.8,7,0.5,5.1,7.3,6.4,11,4.5,8.3,12.5,21,12,6.8,6.7,8.4,13,28,0,0.159090909090909,5,3,5,0
0,"0",3200,25.8,0.02,-0.07,0.22,0,0,0,0,0,6,5,3.6,0.8,6.5,10,8,6,1.9,14.1,6.7,27,32,15.8,9.7,4.5,13,20,1,0.124223602484472,4,4,3,0
0,"0",3100,16.5,-0.05,-0.19,-0.3,0,0,0,0,0,3.7,3.7,2.4,0.3,4.2,3.5,3.5,4,-0.6,7.7,3.8,4,2,8.1,2.5,0,6,11,0,0.0774647887323944,5,5,4,0
4,"0",3100,22.5,-0.33,0.23,-0.3,0,0,0,0,0,4,4.3,5.8,0.5,8.5,6,6.9,10,4.5,9.2,11.5,5,3,4.1,5.9,8.1,13,17,0,0.128787878787879,3,3,3,1
2,"0",3100,20,0.21,-0.23,0.02,0,0,0,0,0,4,4,4.7,0,5.8,4.3,4.3,7,2.7,5.9,9,17,7,3.2,5.4,0,4,8,0,0.0522875816993464,7,7,5,0
0,"0",3100,24.3,0.02,-0.08,-0.11,0,0,0.3,0,0,5,4.5,3.9,0.8,7.2,6.5,6,7,1.3,10.7,7.1,14,8,2,4.8,12.8,12,18,0,0.121621621621622,4,5,3,0
0,"0",3000,23.5,0.26,0.32,0.35,0,0,0,0,0,0,0,1.8,0,0,0,0,3,0,0,3.4,31,31,0,0,0,0,0,0,0,12,13,7,0
0,"0",3000,23,-0.02,0.38,0.03,0,0,0.3,0,0,1.5,1.5,1,0,11.7,2.8,2.8,2,1.8,3.7,2,22,18,3.4,0,0,2,3,0,0.0179640718562874,9,9,4,0
0,"0",3000,19.5,-0.16,0.08,-0.03,0,0,0,0,0,4.3,4.5,4,0.3,5.9,3.2,5.2,7,0.9,9.4,6.1,7,15,2.3,1.8,5.5,10,17,0,0.142857142857143,2,3,4,0
1,"0",3000,18.8,0.04,-0.01,-0.01,0.3,0.5,0.3,0,0,3.3,3.3,5.5,0.5,5.4,5,3.8,10,1,6.5,9.2,10,9,5.8,3.5,5.8,8,13,0,0.0921985815602837,4,4,3,0
0,"0",3000,28.8,0.02,0.16,0.03,0,0,0,0,0,3,3,1.3,0,8.3,3.8,3.8,2,2.4,5.2,2.3,27,20,0,3.7,2.5,4,9,0,0.072,6,6,4,0
1,"0",3000,18.8,0.04,-0.01,-0.01,0,0,0,0,0,3,3,4.4,0.7,7.6,4.3,4.3,7,0.5,8,6.8,10,9,5.8,7,0,6,9,0,0.0638297872340425,7,6,3,0
