"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Charlie Blackmon",5900,"CIN@COL 03:10PM ET",10.244,"COL","CIN",12.27,12.1,12.03,NA,"1","3",11
"1B","Joey Votto",5700,"CIN@COL 03:10PM ET",10.488,"CIN","COL",12.19,13.1,10.72,NA,"3","3",9
"3B","Nolan Arenado",5600,"CIN@COL 03:10PM ET",8.966,"COL","CIN",11.06,0,12.15,NA,"x","x",NA
"OF","Adam Duvall",5300,"CIN@COL 03:10PM ET",8.951,"CIN","COL",9.77,12.2,9.4,NA,"4","4",21
"1B/OF","Ian Desmond",4900,"CIN@COL 03:10PM ET",7.509,"COL","CIN",NA,0,NA,NA,"x","x",NA
"1B","Anthony Rizzo",4900,"MIL@CHC 02:20PM ET",9.274,"CHC","MIL",9.62,10.2,10.57,NA,"3","3",5
"1B","Mark Reynolds",4800,"CIN@COL 03:10PM ET",8.634,"COL","CIN",10.21,11.1,10.67,NA,"4","5",5
"SS","Zack Cozart",4700,"CIN@COL 03:10PM ET",8.621,"CIN","COL",8.74,0,1.86,NA,"x","x",NA
"2B/OF","Scooter Gennett",4700,"CIN@COL 03:10PM ET",7.5,"CIN","COL",9.25,11.4,8.83,NA,"7","2",13
"OF","David Dahl",4700,"CIN@COL 03:10PM ET",0,"COL","CIN",NA,0,NA,NA,"x","x",NA
"3B","Travis Shaw",4700,"MIL@CHC 02:20PM ET",9.827,"MIL","CHC",6.06,0,8.21,NA,"x","x",NA
"OF","Ryan Braun",4600,"MIL@CHC 02:20PM ET",8.737,"MIL","CHC",8.81,10.2,9.4,NA,"3","3",20
"1B/OF","Eric Thames",4600,"MIL@CHC 02:20PM ET",9.156,"MIL","CHC",6.61,0,1.94,NA,"x","x",NA
"OF","Billy Hamilton",4500,"CIN@COL 03:10PM ET",8.532,"CIN","COL",8.96,11.7,9.79,NA,"1","1",10
"OF","Carlos Gonzalez",4300,"CIN@COL 03:10PM ET",5.847,"COL","CIN",9.09,11.8,10.11,NA,"3","4",0
"OF","Gerardo Parra",4300,"CIN@COL 03:10PM ET",6.26,"COL","CIN",NA,0,NA,NA,"x","x",NA
"OF","Raimel Tapia",4300,"CIN@COL 03:10PM ET",5.727,"COL","CIN",8.93,10.5,9.77,NA,"2","1",12
