P,P,C,1B,2B,3B,SS,OF,OF,OF
Cole Hamels,Hector Santiago,Austin Hedges,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Manuel Margot,Jaff Decker
Robert Gsellman,Tyler Glasnow,Austin Hedges,Ryan Zimmerman,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,Adam Eaton,Michael Conforto
Dylan Bundy,Tyler Glasnow,James McCann,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,David Peralta,Guillermo Heredia
Cole Hamels,Tyler Glasnow,Austin Hedges,Wil Myers,Yangervis Solarte,Anthony Rendon,Erick Aybar,Bryce Harper,Adam Eaton,Hunter Renfroe
Cole Hamels,Trevor Cahill,Mike Zunino,Ryan Zimmerman,Daniel Murphy,Yunel Escobar,Trea Turner,Bryce Harper,Adam Eaton,Hunter Renfroe
Wei-Yin Chen,Robert Gsellman,Mike Zunino,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Nelson Cruz,Jabari Blash
Cole Hamels,Dylan Bundy,Austin Hedges,Paul Goldschmidt,Cory Spangenberg,Jake Lamb,Trea Turner,AJ Pollock,David Peralta,Yasmany Tomas
James Paxton,Hector Santiago,Buster Posey,Ryan Zimmerman,Daniel Murphy,Chase Headley,Trea Turner,Bryce Harper,Adam Eaton,Guillermo Heredia
Cole Hamels,Dylan Bundy,Austin Hedges,Anthony Rizzo,Cory Spangenberg,Kris Bryant,Addison Russell,Bryce Harper,Kyle Schwarber,Jason Heyward
James Paxton,Trevor Cahill,Robinson Chirinos,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Kyle Schwarber,Andrew Benintendi
Cole Hamels,Tyler Glasnow,Robinson Chirinos,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Taylor Motter,Bryce Harper,Jayson Werth,Jabari Blash
Cole Hamels,Hector Santiago,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jean Segura,Jayson Werth,Nelson Cruz,Kyle Schwarber
Luis Severino,Alex Cobb,Stephen Vogt,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Hunter Renfroe,Jason Heyward
Cole Hamels,James Paxton,Mike Zunino,Danny Valencia,Daniel Murphy,Anthony Rendon,Taylor Motter,Bryce Harper,Nelson Cruz,Ben Gamel
Dylan Bundy,Alex Cobb,Robinson Chirinos,Ryan Zimmerman,Daniel Murphy,Justin Turner,Trea Turner,Bryce Harper,Adam Eaton,Jabari Blash
Jon Lester,Cole Hamels,Austin Hedges,Anthony Rizzo,Yangervis Solarte,Jake Lamb,Erick Aybar,Nelson Cruz,Hunter Renfroe,Jabari Blash
Matt Shoemaker,Alex Wood,Austin Romine,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Michael Conforto,Mikie Mahtook
Cole Hamels,James Paxton,JT Realmuto,Justin Bour,Cory Spangenberg,Jake Lamb,Trea Turner,Giancarlo Stanton,Christian Yelich,Marcell Ozuna
Luis Severino,Wei-Yin Chen,Willson Contreras,Ryan Zimmerman,Daniel Murphy,Eduardo Escobar,Trea Turner,Bryce Harper,Adam Eaton,Jaff Decker
Cole Hamels,Dylan Bundy,Martin Maldonado,Albert Pujols,Cory Spangenberg,Yunel Escobar,Trea Turner,Bryce Harper,Mike Trout,Kole Calhoun
James Paxton,Robert Gsellman,Austin Hedges,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Elvis Andrus,Bryce Harper,Jayson Werth,Guillermo Heredia
Cole Hamels,James Paxton,Mike Zunino,Wil Myers,Robinson Cano,Anthony Rendon,Jean Segura,Bryce Harper,Jarrod Dyson,Guillermo Heredia
Cole Hamels,Dylan Bundy,Sandy Leon,Mitch Moreland,Cory Spangenberg,Anthony Rendon,Xander Bogaerts,Bryce Harper,Mookie Betts,Andrew Benintendi
James Paxton,Robert Gsellman,Jose Lobaton,Paul Goldschmidt,Brandon Drury,Jake Lamb,Trea Turner,Bryce Harper,David Peralta,Yasmany Tomas
Cole Hamels,Hector Santiago,Austin Hedges,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trea Turner,Carlos Gonzalez,Gerardo Parra,Guillermo Heredia
James Paxton,Dylan Bundy,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Taylor Motter,Jayson Werth,David Peralta,Manuel Margot
Cole Hamels,Dylan Bundy,Jose Lobaton,Danny Valencia,Robinson Cano,Nolan Arenado,Taylor Motter,Bryce Harper,Nelson Cruz,Guillermo Heredia
Sean Manaea,Matt Shoemaker,Jeff Mathis,Ryan Zimmerman,Daniel Murphy,Ryan Flaherty,Trea Turner,Bryce Harper,Adam Eaton,Jason Heyward
Cole Hamels,James Paxton,Willson Contreras,Anthony Rizzo,Javier Baez,Anthony Rendon,Addison Russell,Bryce Harper,Manuel Margot,Jason Heyward
Dylan Bundy,Luis Severino,Mike Zunino,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jean Segura,Bryce Harper,Jayson Werth,Jaff Decker
Cole Hamels,Robert Gsellman,Willson Contreras,Anthony Rizzo,Daniel Murphy,Kris Bryant,Addison Russell,Adam Eaton,Nelson Cruz,Jason Heyward
Cole Hamels,James Paxton,Jose Lobaton,Anthony Rizzo,Daniel Murphy,Kris Bryant,Addison Russell,Kyle Schwarber,Manuel Margot,Jon Jay
James Paxton,Dylan Bundy,Austin Hedges,Ryan Zimmerman,Yangervis Solarte,Nolan Arenado,Erick Aybar,Bryce Harper,Hunter Renfroe,Jabari Blash
Cole Hamels,Tyler Glasnow,Austin Hedges,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,Bryce Harper,Adam Eaton,Yasmany Tomas
Jon Lester,Hector Santiago,Austin Hedges,Wil Myers,Yangervis Solarte,Nolan Arenado,Erick Aybar,Mike Trout,Kyle Schwarber,Hunter Renfroe
Cole Hamels,Trevor Cahill,Tony Wolters,Mark Reynolds,Cory Spangenberg,Anthony Rendon,Trevor Story,Bryce Harper,Carlos Gonzalez,Gerardo Parra
Matt Shoemaker,Hector Santiago,Buster Posey,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jorge Polanco,Bryce Harper,Jayson Werth,David Peralta
Cole Hamels,Tyler Glasnow,JT Realmuto,Justin Bour,Daniel Murphy,Anthony Rendon,Adeiny Hechavarria,Bryce Harper,Giancarlo Stanton,Marcell Ozuna
Alex Wood,Tanner Roark,James McCann,Ryan Zimmerman,Daniel Murphy,Trevor Plouffe,Trea Turner,Bryce Harper,Adam Eaton,Manuel Margot
Cole Hamels,James Paxton,Robinson Chirinos,Ryan Rua,Cory Spangenberg,Joey Gallo,Trea Turner,Bryce Harper,Shin-Soo Choo,Delino DeShields
Sean Manaea,Tanner Roark,Willson Contreras,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,AJ Pollock,Matt Joyce
Cole Hamels,Hector Santiago,Jose Lobaton,Chris Davis,Daniel Murphy,Manny Machado,Trea Turner,Mark Trumbo,Adam Jones,Seth Smith
Cole Hamels,James Paxton,Stephen Vogt,Yonder Alonso,Daniel Murphy,Trevor Plouffe,Trea Turner,Bryce Harper,Khris Davis,Matt Joyce
Alex Wood,Wei-Yin Chen,Willson Contreras,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Erick Aybar,Bryce Harper,Jayson Werth,Manuel Margot
Cole Hamels,Robert Gsellman,Austin Hedges,Matt Holliday,Starlin Castro,Chase Headley,Trea Turner,Bryce Harper,Brett Gardner,Jacoby Ellsbury
Luis Severino,Tyler Glasnow,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Elvis Andrus,Mike Trout,Jayson Werth,AJ Pollock
Cole Hamels,Dylan Bundy,Stephen Vogt,Ryon Healy,Jed Lowrie,Anthony Rendon,Trea Turner,Bryce Harper,Khris Davis,Jaff Decker
