P,P,C,1B,2B,3B,SS,OF,OF,OF
Cole Hamels,Robert Gsellman,Austin Hedges,Wil Myers,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Manuel Margot,Guillermo Heredia
Cole Hamels,Hector Santiago,Jose Lobaton,Wil Myers,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,Nelson Cruz,Kyle Schwarber
Cole Hamels,Tyler Glasnow,Mike Zunino,Ryan Zimmerman,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,David Peralta,Manuel Margot
Dylan Bundy,Tyler Glasnow,Austin Hedges,Wil Myers,Yangervis Solarte,Jake Lamb,Trea Turner,Bryce Harper,Adam Eaton,Manuel Margot
Dylan Bundy,Hector Santiago,Jose Lobaton,Anthony Rizzo,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Adam Eaton,Manuel Margot
Cole Hamels,Dylan Bundy,Austin Hedges,Anthony Rizzo,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,Hunter Renfroe,Jabari Blash
Cole Hamels,Tyler Glasnow,Jose Lobaton,Wil Myers,Yangervis Solarte,Anthony Rendon,Trea Turner,Bryce Harper,Hunter Renfroe,Jabari Blash
Cole Hamels,Robert Gsellman,Jose Lobaton,Anthony Rizzo,Yangervis Solarte,Jake Lamb,Trea Turner,Bryce Harper,Manuel Margot,Michael Conforto
Cole Hamels,Dylan Bundy,Jose Lobaton,Wil Myers,Daniel Murphy,Jake Lamb,Trea Turner,David Peralta,Manuel Margot,Guillermo Heredia
Cole Hamels,Hector Santiago,Austin Hedges,Ryan Zimmerman,Yangervis Solarte,Anthony Rendon,Trea Turner,Bryce Harper,Adam Eaton,Jaff Decker
Tyler Glasnow,Hector Santiago,Austin Hedges,Wil Myers,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Giancarlo Stanton,David Peralta
Dylan Bundy,Tyler Glasnow,Mike Zunino,Wil Myers,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Nelson Cruz,AJ Pollock
James Paxton,Tyler Glasnow,Jose Lobaton,Wil Myers,Cory Spangenberg,Nolan Arenado,Trea Turner,Bryce Harper,Manuel Margot,Michael Conforto
Cole Hamels,Hector Santiago,Austin Hedges,Danny Valencia,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,AJ Pollock,Manuel Margot
Cole Hamels,Trevor Cahill,Jose Lobaton,Anthony Rizzo,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Kyle Schwarber,Guillermo Heredia
Cole Hamels,Dylan Bundy,Jose Lobaton,Ryan Zimmerman,Cory Spangenberg,Yunel Escobar,Trea Turner,Bryce Harper,AJ Pollock,Guillermo Heredia
Cole Hamels,Hector Santiago,Mike Zunino,Wil Myers,Daniel Murphy,Yunel Escobar,Trea Turner,Bryce Harper,Adam Eaton,Guillermo Heredia
James Paxton,Hector Santiago,Buster Posey,Wil Myers,Yangervis Solarte,Anthony Rendon,Trea Turner,Bryce Harper,Kyle Schwarber,Manuel Margot
Cole Hamels,Tyler Glasnow,Austin Hedges,Wil Myers,Cory Spangenberg,Nolan Arenado,Trea Turner,Adam Eaton,Nelson Cruz,Jabari Blash
Cole Hamels,James Paxton,Austin Hedges,Wil Myers,Cory Spangenberg,Jake Lamb,Trea Turner,AJ Pollock,David Peralta,Andrew Benintendi
Cole Hamels,Trevor Cahill,Mike Zunino,Wil Myers,Yangervis Solarte,Nolan Arenado,Trea Turner,Bryce Harper,Nelson Cruz,Manuel Margot
Cole Hamels,Tyler Glasnow,Robinson Chirinos,Danny Valencia,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Adam Eaton,Michael Conforto
James Paxton,Hector Santiago,Austin Hedges,Wil Myers,Cory Spangenberg,Manny Machado,Trea Turner,Bryce Harper,Adam Eaton,Hunter Renfroe
Wei-Yin Chen,Robert Gsellman,Austin Hedges,Ryan Zimmerman,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,Adam Eaton,Kyle Schwarber
Cole Hamels,Robert Gsellman,Stephen Vogt,Wil Myers,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,Jason Heyward,Jabari Blash
Cole Hamels,Matt Shoemaker,Robinson Chirinos,Wil Myers,Cory Spangenberg,Jake Lamb,Trea Turner,Adam Eaton,Manuel Margot,Hunter Renfroe
Cole Hamels,Dylan Bundy,Buster Posey,Wil Myers,Cory Spangenberg,Anthony Rendon,Trea Turner,Kyle Schwarber,David Peralta,Jabari Blash
Cole Hamels,Hector Santiago,Austin Hedges,Anthony Rizzo,Cory Spangenberg,Nolan Arenado,Trea Turner,Mike Trout,David Peralta,Manuel Margot
James Paxton,Tyler Glasnow,Austin Hedges,Ryan Zimmerman,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Mike Trout,Jabari Blash
Cole Hamels,Matt Shoemaker,Austin Hedges,Wil Myers,Yangervis Solarte,Yunel Escobar,Trea Turner,Bryce Harper,David Peralta,Jason Heyward
Cole Hamels,Tyler Glasnow,Buster Posey,Wil Myers,Daniel Murphy,Chase Headley,Trea Turner,Bryce Harper,Manuel Margot,Jaff Decker
James Paxton,Tyler Glasnow,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,Nelson Cruz,Guillermo Heredia
Matt Shoemaker,Wei-Yin Chen,Jose Lobaton,Wil Myers,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,David Peralta,Andrew Benintendi
Dylan Bundy,Luis Severino,Austin Hedges,Anthony Rizzo,Yangervis Solarte,Anthony Rendon,Trea Turner,Bryce Harper,David Peralta,Guillermo Heredia
Dylan Bundy,Luis Severino,Austin Hedges,Wil Myers,Cory Spangenberg,Nolan Arenado,Trea Turner,Bryce Harper,Kyle Schwarber,Jaff Decker
Luis Severino,Robert Gsellman,Jose Lobaton,Wil Myers,Daniel Murphy,Yunel Escobar,Trea Turner,Bryce Harper,Kyle Schwarber,Manuel Margot
Luis Severino,Robert Gsellman,Jose Lobaton,Ryan Zimmerman,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,Nelson Cruz,Hunter Renfroe
Cole Hamels,Hector Santiago,James McCann,Paul Goldschmidt,Cory Spangenberg,Anthony Rendon,Trea Turner,Bryce Harper,David Peralta,Hunter Renfroe
Cole Hamels,Luis Severino,Jose Lobaton,Wil Myers,Cory Spangenberg,Anthony Rendon,Trea Turner,Adam Eaton,AJ Pollock,Jaff Decker
Cole Hamels,James Paxton,Jose Lobaton,Anthony Rizzo,Cory Spangenberg,Chase Headley,Trea Turner,Bryce Harper,David Peralta,Jaff Decker
Cole Hamels,Tyler Glasnow,Jose Lobaton,Paul Goldschmidt,Cory Spangenberg,Anthony Rendon,Trea Turner,Giancarlo Stanton,Nelson Cruz,Manuel Margot
Cole Hamels,Matt Shoemaker,Mike Zunino,Wil Myers,Cory Spangenberg,Chase Headley,Trea Turner,Bryce Harper,Giancarlo Stanton,Jabari Blash
Cole Hamels,Hector Santiago,Jose Lobaton,Wil Myers,Daniel Murphy,Anthony Rendon,Jean Segura,Bryce Harper,Manuel Margot,Michael Conforto
Cole Hamels,Hector Santiago,Buster Posey,Ryan Zimmerman,Cory Spangenberg,Nolan Arenado,Trea Turner,Bryce Harper,Andrew Benintendi,Jabari Blash
Luis Severino,Wei-Yin Chen,Buster Posey,Wil Myers,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,AJ Pollock,Manuel Margot
Cole Hamels,Trevor Cahill,Austin Hedges,Ryan Zimmerman,Cory Spangenberg,Manny Machado,Trea Turner,Bryce Harper,Giancarlo Stanton,Nelson Cruz
Cole Hamels,James Paxton,Austin Hedges,Anthony Rizzo,Yangervis Solarte,Anthony Rendon,Trea Turner,Nelson Cruz,Manuel Margot,Jabari Blash
James Paxton,Matt Shoemaker,Mike Zunino,Anthony Rizzo,Cory Spangenberg,Jake Lamb,Trea Turner,Bryce Harper,Adam Eaton,Guillermo Heredia
Dylan Bundy,Hector Santiago,Mike Zunino,Anthony Rizzo,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,Kyle Schwarber,David Peralta
Cole Hamels,Alex Wood,Jose Lobaton,Danny Valencia,Cory Spangenberg,Manny Machado,Trea Turner,Bryce Harper,Manuel Margot,Hunter Renfroe
Cole Hamels,Robert Gsellman,Austin Hedges,Anthony Rizzo,Daniel Murphy,Yunel Escobar,Trea Turner,Bryce Harper,Nelson Cruz,Jaff Decker
Dylan Bundy,Robert Gsellman,Robinson Chirinos,Wil Myers,Cory Spangenberg,Chase Headley,Trea Turner,Bryce Harper,Adam Eaton,David Peralta
Robert Gsellman,Hector Santiago,Jose Lobaton,Wil Myers,Yangervis Solarte,Nolan Arenado,Trea Turner,Bryce Harper,Adam Eaton,Andrew Benintendi
Cole Hamels,Tyler Glasnow,Austin Hedges,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Manuel Margot,Andrew Benintendi,Hunter Renfroe
Luis Severino,Matt Shoemaker,Austin Hedges,Wil Myers,Daniel Murphy,Jake Lamb,Trea Turner,Bryce Harper,Hunter Renfroe,Guillermo Heredia
Dylan Bundy,Robert Gsellman,Austin Hedges,Danny Valencia,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Adam Eaton,Jabari Blash
