"Mike Trout_LAA","Josh Donaldson_Tor","Jose Bautista_Tor","Corey Seager_LAD","Albert Pujols_LAA","Buster Posey_SF","Hunter Pence_SF","Troy Tulowitzki_Tor","Kole Calhoun_LAA","Devon Travis_Tor","Cameron Maybin_LAA","Brandon Belt_SF","Eduardo Nunez_SF","Kendrys Morales_Tor","CJ Cron_LAA","Adrian Gonzalez_LAD","Denard Span_SF","Yasiel Puig_LAD","Russell Martin_Tor","Luis Valbuena_LAA","Joe Panik_SF","Logan Forsythe_LAD","Joc Pederson_LAD","Jefry Marte_LAA","Justin Turner_LAD","Brandon Crawford_SF","Steve Pearce_Tor","Yunel Escobar_LAA","Ben Revere_LAA","Kevin Pillar_Tor","Yasmani Grandal_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Andrelton Simmons_LAA","Cody Bellinger_LAD","Chris Taylor_LAD","Jarrett Parker_SF","Danny Espinosa_LAA","Nick Hundley_SF","Trayce Thompson_LAD","Justin Smoak_Tor","Rowdy Tellez_Tor","Dalton Pompey_Tor","Austin Barnes_LAD","Kelby Tomlinson_SF","Andrew Toles_LAD","Mac Williamson_SF","Jarrod Saltalamacchia_Tor","Ezequiel Carrera_Tor","Aaron Hill_SF","Rob Segedin_LAD","Andre Ethier_LAD","Gorkys Hernandez_SF","Conor Gillaspie_SF","Scott Van Slyke_LAD","Kike Hernandez_LAD","Martin Maldonado_LAA","Juan Graterol_LAA","Darwin Barney_Tor","Carlos Perez_LAA","Ryan Goins_Tor","Tim Federowicz_SF","Cliff Pennington_LAA","Chris Coghlan_Tor","Chris Marrero_SF","Brett Eibner_LAD"
17,0,0,0,16,0,0,0,16,0,13,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,16,5,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,2,0,0,0
0,7,7,0,0,0,0,7,0,6,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,7,17,0,0,0,0,14,0,13,0,0,0,17,0,0,0,0,14,0,0,0,0,0,0,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,7,0,7,0,0,4,0,0
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,10,10,0,14,0,0,0,0,0,14,6,2,0,0,0,0,0,0,2,0,0,0,2,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,16,0,0,0,15,0,13,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,15,4,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,2,0,0,0
0,0,0,0,0,12,11,0,0,0,0,12,12,0,0,0,6,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,11,17,0,0,0,0,16,16,0,0,0,10,0,0,0,16,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,7,0
0,7,14,0,0,0,0,14,0,10,0,0,0,14,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0
16,0,0,0,15,0,0,0,16,0,12,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,15,5,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,2,0,0,0
0,6,13,0,0,0,0,10,0,13,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0
