"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
1,"0",5000,18,-0.19,-0.05,-0.14,0,0,0,0,0,8.3,8.3,6.7,0.7,6.3,9.9,9.9,12,5.8,14,13.3,4,5,7.8,7.3,14.6,14,26,0,0.240740740740741,2,1,4,0
5,"0",4800,23.8,0.08,0.09,0.07,0,0,0,0,0,7.7,7.3,6,1.2,9.2,10.3,10.3,10,6.3,25.1,12.4,23,7,8,11.4,11.5,13,22,0,0.176,3,2,5,0
3,"0",4700,25.8,0.03,0.02,0.01,0,0.2,0.2,0,5.7,5,3.9,7.3,0.2,7,7.7,7.7,12,1.2,9,14.3,16,23,5.7,4,13.4,8,14,0,0.110236220472441,6,4,6,0
2,"0",4600,19.5,-0.05,-0.06,-0.07,0,0,0,0,0,5,6.2,5,0.8,9.5,11.8,11.8,8,4.5,18.7,8.8,5,3,10,12.1,13.4,11,15,1,0.132743362831858,3,3,2,0
22,"0",4500,24.3,0.06,0.04,0.07,0,0,0,0,0,8.7,9.3,8.3,1.2,7.9,11,11,13,4,27.1,15.1,30,32,16.7,9.4,6.9,16,25,0,0.235849056603774,2,1,2,1
24,"0",4400,29,0.17,0.23,0.15,0,0,0,0,0,6.7,5.2,6.1,1.2,11.2,12.4,12.4,10,4.1,17.5,12.7,29,24,12.9,15.1,9.1,11,20,1,0.192307692307692,2,2,2,0
3,"0",4400,19.5,-0.16,-0.27,-0.23,0,0,0,0,0,8.3,5.1,7.9,0.4,7,13.8,13.8,13,1.6,12,9.8,2,1,7.7,15.2,18.4,17,24,1,0.212389380530973,1,2,2,0
13,"0",4300,26.8,0.08,0.01,-0.03,0,0.2,0.3,0,7.3,6,6.7,5.9,1,9.4,5.7,5.7,10,5.2,20.8,13.2,12,11,13,2.4,1.8,8,18,0,0.145161290322581,4,3,4,1
25,"0",4300,20.3,0.13,0.2,0.18,1.3,1,1.4,0.2,4,10.3,7.8,8.5,1,7.3,17,17,17,-2.5,24.9,13.9,28,29,34.9,6.2,9.8,15,32,0,0.316831683168317,1,1,2,0
14,"0",4200,27.8,0.06,0.1,0.2,0,0.1,0,0,0,8.3,5.9,4.8,1.2,7.7,15.2,15.2,8,3.8,17.1,10.7,26,31,17.8,15.9,11.8,16,25,2,0.2,1,1,1,0
1,"0",4200,25.5,-0.07,0.12,-0.14,0,0,0,0,0,5.3,7.6,4.7,1.2,7,11.2,11.2,8,5.6,19.7,9.4,22,20,12.2,14.8,6.5,13,18,3,0.146341463414634,4,5,1,0
0,"0",4100,25.5,-0.11,-0.05,-0.07,0,0,0.2,0,0,5,4.8,6.3,1,9,7.7,1.2,10,-0.6,18.6,10.7,5,7,1.2,0,0,1,5,0,0.0431034482758621,7,6,6,0
2,"0",4000,27.8,0.06,0.1,0.2,0,0,0,0,0,6.7,6.5,6,1.1,7.2,8.8,8.8,10,6.2,15.5,11.3,26,31,10.9,4.5,11.1,13,20,0,0.16,4,4,3,0
1,"0",4000,16.8,-0.07,-0.09,-0.06,1.7,3.1,2,0.1,8.3,9.7,6.4,5.9,0.6,5.6,12.5,12.5,14,4.4,21.6,11,8,12,21.4,10.6,5.5,14,28,1,0.304347826086957,1,1,1,0
1,"0",3900,21.8,-0.03,0.12,-0.11,0,0,0,0,0,6.7,4.4,6,0.4,9.1,8.1,8.1,10,2.4,12.8,12,18,13,6.5,14.5,3.3,8,20,1,0.206185567010309,3,2,2,0
29,"0",3900,22.8,0.04,0.21,-0.01,0,0,0,0,0,8.3,5.3,6.9,1.1,7.5,13.8,13.8,11,0.1,19.3,13,20,15,14.3,12.5,14.5,20,27,0,0.262135922330097,1,1,2,0
0,"0",3900,16.8,-0.07,-0.09,-0.06,0,0,0,0,0,7.3,4.8,5.3,0.3,9.1,11,11,9,2,13,7.2,8,12,6.8,15.4,10.7,14,24,0,0.260869565217391,1,2,3,0
