"Max Kepler_MIN","Miguel Sano_MIN","Chris Davis_BAL","Eduardo Escobar_MIN","Dexter Fowler_STL","Manny Machado_BAL","Tommy Pham_STL","Jonathan Schoop_BAL","Curtis Granderson_NYM","Brian Dozier_MIN","Trey Mancini_BAL","Michael Conforto_NYM","Mark Trumbo_BAL","Byron Buxton_MIN","Jedd Gyorko_STL","Eddie Rosario_MIN","Aledmys Diaz_STL","Jay Bruce_NYM","Lucas Duda_NYM","Joe Mauer_MIN","Adam Jones_BAL","Seth Smith_BAL","Kennys Vargas_MIN","Matt Carpenter_STL","Yoenis Cespedes_NYM","Jose Reyes_NYM","Robbie Grossman_MIN","David Wright_NYM","Asdrubal Cabrera_NYM","Randal Grichuk_STL","TJ Rivera_NYM","Jason Castro_MIN","Neil Walker_NYM","Wilmer Flores_NYM","Joey Rickard_BAL","Stephen Piscotty_STL","Craig Gentry_BAL","Jorge Polanco_MIN","Yadier Molina_STL","Travis d'Arnaud_NYM","JJ Hardy_BAL","Chris Gimenez_MIN","Daniel Palka_MIN","Welington Castillo_BAL","Zack Granite_MIN","Rene Rivera_NYM","Kolten Wong_STL","Greg Garcia_STL","Brandon Nimmo_NYM","Amed Rosario_NYM","Harrison Bader_STL","Caleb Joseph_BAL","Ehire Adrianza_MIN","Jose Martinez_STL","Paul DeJong_STL","Francisco Pena_BAL","Ryan Flaherty_BAL","Hyun Soo Kim_BAL","Luis Sardinas_BAL","Chad Huffman_STL","Juan Lagares_NYM","Gavin Cecchini_NYM","Paul Janish_BAL","Ruben Tejada_BAL","Matt Reynolds_NYM","Kevin Plawecki_NYM","Magneuris Sierra_STL","David Washington_BAL","Anthony Santander_BAL","Luke Voit_STL","Carson Kelly_STL","Eric Fryer_STL","Alex Mejia_STL","Johnny Giavotella_BAL"
0,0,26,0,0,31,0,33,0,0,22,0,33,0,0,0,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,26,0,0,4,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
11,11,0,9,0,0,0,0,0,10,0,0,0,10,0,9,0,0,0,9,0,0,9,0,0,0,12,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15,0,15,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,0,0,18,0,0,20,0,0,0,0,0,0,0,8,10,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,2,0
0,0,0,0,18,0,28,0,0,0,0,0,0,0,26,0,19,0,0,0,0,0,0,29,0,0,0,0,0,11,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,0
0,0,3,0,0,3,0,2,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,13,6,0,0,0,0,0,4,14,0,0,7,0,9,0,13,11,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,4,4,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,7,0,0,6,0,7,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,10,0,13,0,0,13,0,13,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,2,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,2,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0
0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0
