"Paul Goldschmidt_ARI","Charlie Blackmon_COL","Jake Lamb_ARI","Ryan Braun_MIL","AJ Pollock_ARI","Eric Thames_MIL","Jonathan Villar_MIL","Nolan Arenado_COL","Corey Dickerson_TB","Jose Altuve_HOU","Mark Reynolds_COL","Miguel Sano_MIN","Travis Shaw_MIL","Carlos Gonzalez_COL","Randal Grichuk_STL","DJ LeMahieu_COL","Matt Carpenter_STL","Jedd Gyorko_STL","Trevor Story_COL","Brian Dozier_MIN","Chris Owings_ARI","Ian Desmond_COL","Dexter Fowler_STL","David Dahl_COL","Logan Morrison_TB","David Peralta_ARI","Manny Machado_BAL","Aledmys Diaz_STL","Keon Broxton_MIL","Mark Trumbo_BAL","Stephen Piscotty_STL","Max Kepler_MIN","Yasmany Tomas_ARI","Adam Jones_BAL","Chris Davis_BAL","Carlos Correa_HOU","Kolten Wong_STL","Steven Souza_TB","Gerardo Parra_COL","Hernan Perez_MIL","Domingo Santana_MIL","Yadier Molina_STL","Brad Miller_TB","Brandon Drury_ARI","Evan Longoria_TB","Robbie Grossman_MIN","Josh Reddick_HOU","Welington Castillo_BAL","Alex Bregman_HOU","Jhonny Peralta_STL","Tommy Pham_STL","Pat Valaika_COL","Joe Mauer_MIN","Wilson Ramos_TB","Byron Buxton_MIN","Chris Herrmann_ARI","Rey Fuentes_ARI","Marwin Gonzalez_HOU","George Springer_HOU","Greg Garcia_STL","Colby Rasmus_TB","Kennys Vargas_MIN","Kevin Kiermaier_TB","Nick Franklin_MIL","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Seth Smith_BAL","Trey Mancini_BAL","Jose Martinez_STL","Stephen Cardullo_COL","Raimel Tapia_COL","Matt Duffy_TB","Brian McCann_HOU","Evan Gattis_HOU","Dustin Garneau_COL","Magneuris Sierra_STL","Harrison Bader_STL","Jorge Polanco_MIN","Jesus Aguilar_MIL","Socrates Brito_ARI","Orlando Arcia_MIL","Jonathan Schoop_BAL","Derek Fisher_HOU","Joey Rickard_BAL","Tom Murphy_COL","Carson Kelly_STL","Gregor Blanco_ARI","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Jett Bandy_MIL","Carlos Beltran_HOU","Eric Fryer_STL","Tony Wolters_COL","Jake Bauers_TB","Eric Sogard_MIL","Hyun Soo Kim_BAL","Alexi Amarista_COL","JJ Hardy_BAL","Craig Gentry_BAL","Rickie Weeks_TB","Eduardo Escobar_MIN","Mallex Smith_TB","Chris Iannetta_ARI","Norichika Aoki_HOU","Jake Marisnick_HOU","Yuli Gurriel_HOU","Peter Bourjos_TB","Jesus Sucre_TB","Tim Beckham_TB","Jason Castro_MIN","Eddie Rosario_MIN","Daniel Descalso_ARI","Ryan Hanigan_COL","Cristhian Adames_COL","Derek Norris_TB","Curt Casali_TB","Chris Gimenez_MIN","Daniel Robertson_TB","Paul Janish_BAL","Francisco Pena_BAL","Ryan Flaherty_BAL","Caleb Joseph_BAL","Michael Martinez_TB","Jeff Mathis_ARI","Luis Sardinas_BAL","Shane Peterson_TB","Ehire Adrianza_MIN","Juan Centeno_HOU","Tony Kemp_HOU"
68.8363636363636,0,3.69573170731707,0,31.089247311828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86628733997155,0,0,0,0,10.8522727272727,0,0,0,0,0,0,-2.33143939393939,0,0,0,0,0,0,0,0,0,0,8.54504504504505,0,0,0,0,0,0,0,0,0,0,0,4.36263736263736,0,0,0,0,0,0,0,0,-0.166666666666667,13.7792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.1410256410256,0,0,0,0,0,0,0,0,19.2809523809524,0,0,0,0,0,0,0,0,0,0,0,-0.441558441558442,0,0,0,0,0
0,69.1060975609756,0,0,0,0,0,0.269871794871795,0,0,5.36190476190476,0,0,11.9345661450925,0,-0.391891891891892,0,0,4.35185185185185,0,0,5.61397058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9565217391304,0,0,0,0,0,0,0,0,0,0,0,0,15.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,4.21428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7642857142857,0,0,0,16.7083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69573170731707,0,66.8408826945412,0,-3.17241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.9117647058824,0,0,0,0,29.875,0,0,0,0,0,0,-0.158620689655172,0,0,0,0,0,0,0,0,0,0,14.3181818181818,0,0,0,0,0,0,0,0,0,0,0,51.8238095238095,0,0,0,0,0,0,0,0,6,-29.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65454545454545,0,0,0,0,0,0,0,0,-21.6636363636364,0,0,0,0,0,0,0,0,0,0,0,3.20714285714286,0,0,0,0,0
0,0,0,67.4444444444444,0,24.875,-24.9076923076923,0,0,0,0,0,-16.8025362318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.7761904761905,0,0,0,0,0,0,0,0,0,0,-0.294117647058824,8.83766233766234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,13.4683333333333,0,0,0,0,0,0,16.7857142857143,-12.0833333333333,0,44.2435897435897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.089247311828,0,-3.17241379310345,0,59.2540322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.20229885057471,0,0,0,0,10.7687747035573,0,0,0,0,0,0,-12.52,0,0,0,0,0,0,0,0,0,0,15.9692307692308,0,0,0,0,0,0,0,0,0,0,0,19.625,0,0,0,0,0,0,0,0,0,18.5769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.88181818181818,0,0,0,0,0,0,0,0,18.0416666666667,0,0,0,0,0,0,0,0,0,0,0,8.32083333333333,0,0,0,0,0
0,0,0,24.875,0,88.65,-2.06238859180036,0,0,0,0,0,14.8286290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.01851851851852,0,0,0,0,0,0,0,0,0,0,49.6818181818182,-1.96923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53729838709677,0,0,0,0,0,0,18.4166666666667,15.65,0,-1.57894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-24.9076923076923,0,-2.06238859180036,70.4301282051282,0,0,0,0,0,1.18894830659537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3850806451613,0,0,0,0,0,0,0,0,0,0,10.0646153846154,-12.7516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.5833333333333,0,2.85714285714286,0,0,0,0,0,0,23.3888888888889,-19,0,4.4,0,0,0,0,-3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.269871794871795,0,0,0,0,0,62.8269454123113,0,0,11.1846846846847,0,0,3.79374110953058,0,1.41835357624831,0,0,5.03571428571429,0,0,22.4411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.48,0,0,0,0,0,0,0,0,0,0,0,0,68.5694444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13571428571429,0,0,0,38.0333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,68.6878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46218487394958,0,0,0,0,0,0,0,0,0,0,0,0,4.88235294117647,0,0,0,0,-6.84259259259259,0,12.331983805668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3.43859649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1858974358974,0,6.5,0,0,0,0,-0.466666666666667,36.3181818181818,-3.29365079365079,0,0,0,0,0,12.5529556650246,0,0,9.52857142857143,0,0,0,0,-2.5,0,0,6.5,0,0,0
0,0,0,0,0,0,0,0,0,66.2833914053426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.4920634920635,0,0,0,0,0,0,0,0,0,0,-11,0,8.02844950213371,0,0,0,0,0,0,0,0,-3.15833333333333,-2.15647226173542,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66123188405797,3.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96302521008403,0,0,0,0,0,0,0,0,0,0,0,0,20.2116666666667,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,0
