"Cody Bellinger_LAD","Corey Seager_LAD","Justin Turner_LAD","Mike Trout_LAA","Joc Pederson_LAD","Chris Taylor_LAD","Freddie Freeman_ATL","Matt Adams_ATL","Yasmani Grandal_LAD","Wil Myers_SD","Ender Inciarte_ATL","Nick Markakis_ATL","Brandon Phillips_ATL","Matt Kemp_ATL","Tyler Flowers_ATL","Adrian Gonzalez_LAD","Jose Pirela_SD","Ryan Schimpf_SD","Cameron Maybin_LAA","Kike Hernandez_LAD","Yasiel Puig_LAD","Yangervis Solarte_SD","Adonis Garcia_ATL","Austin Barnes_LAD","Chase Utley_LAD","Kurt Suzuki_ATL","Alex Dickerson_SD","Franchy Cordero_SD","Albert Pujols_LAA","Franklin Gutierrez_LAD","Peter O'Brien_LAD","Erick Aybar_SD","Cory Spangenberg_SD","Austin Hedges_SD","Manuel Margot_SD","Logan Forsythe_LAD","Jefry Marte_LAA","Trayce Thompson_LAD","Kole Calhoun_LAA","Andrelton Simmons_LAA","Danny Santana_ATL","Travis Jankowski_SD","Eric Young_LAA","Martin Maldonado_LAA","Andrew Toles_LAD","CJ Cron_LAA","Willie Calhoun_LAD","Matt Szczur_SD","Hunter Renfroe_SD","Micah Johnson_ATL","Dansby Swanson_ATL","Ronald Acuna_ATL","Yunel Escobar_LAA","Rob Segedin_LAD","Alex Verdugo_LAD","Chase d'Arnaud_SD","Rio Ruiz_ATL","Travis Demeritte_ATL","Andre Ethier_LAD","Danny Espinosa_LAA","Christian Bethancourt_SD","Jose Rondon_SD","Luis Urias_SD","Scott Van Slyke_LAD","Ben Revere_LAA","Jace Peterson_ATL","Johan Camargo_ATL","Cliff Pennington_LAA","Jabari Blash_SD","Carlos Asuaje_SD","David Fletcher_LAA","Anthony Recker_ATL","Hector Sanchez_SD","Luis Valbuena_LAA","Mike Freeman_LAD","Nolan Fontana_LAA","Emilio Bonifacio_ATL","Shane Robinson_LAA","Juan Graterol_LAA","Carlos Perez_LAA","Lane Adams_ATL","Allen Cordoba_SD","Brett Eibner_LAD","Kaleb Cowart_LAA","Luis Torrens_SD"
0,0,0,0,0,0,29,27,0,0,60,60,60,46,39,0,0,0,0,0,0,0,28,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,14,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25,28,0,0,58,57,46,58,36,0,0,0,0,0,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,19,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,20,22,0,0,45,44,39,36,45,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,14,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,38,21,0,13,19,0,0,36,0,0,0,0,0,0,40,0,0,0,0,36,0,0,5,28,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,11,0,0,0,8,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4
0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,43,0,0,0,42,0,0,0,0,0,5,0,0,0,37,15,34,33,0,0,0,0,0,0,13,0,0,0,0,0,6,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,7
0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,21,0,53,57,0,0,12,47,0,18,0,0,0,0,0,0,40,0,0,0,0,0,0,44,0,0,0,0,16,0,0,12,0,0,0,0,0,28,0,4,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,56,42,0,32,38,0,0,50,0,0,0,0,0,0,36,0,0,0,0,63,0,0,13,39,0,0,0,0,8,0,0,0,0,0,29,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,10,42,0,0,0,65,0,0,0,0,0,16,0,0,0,47,33,52,40,0,0,0,0,0,0,13,0,0,0,0,0,14,62,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,29,0,0,12
0,0,0,0,0,0,31,4,0,0,35,34,28,25,20,0,0,0,0,0,0,0,35,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
14,15,14,0,7,16,0,0,2,0,0,0,0,0,0,5,0,0,0,0,13,0,0,20,3,0,0,0,0,10,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
38,40,23,0,24,29,0,0,41,0,0,0,0,0,0,28,0,0,0,0,39,0,0,3,44,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,11,0,0,28,28,22,24,2,0,0,0,0,0,0,0,14,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,5,0,0,0,16,0,0,0,0,0,19,0,0,0,8,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6
0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,20,0,63,66,0,0,20,56,0,23,0,0,0,0,0,0,52,0,0,0,0,0,0,50,0,0,0,0,27,0,0,20,0,0,0,0,0,28,0,3,0,0,8,3,0,0,0,0,0
7,10,9,0,2,9,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,0,0,10,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,8,37,0,0,0,47,0,0,0,0,0,8,0,0,0,52,27,39,37,0,0,0,0,0,0,11,0,0,0,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,0,0,0,0,0,17,0,0,11
0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,13,15,0,0,0,33,0,0,0,0,0,14,0,0,0,27,39,31,18,0,0,0,0,0,0,0,0,0,0,0,0,12,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8
0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,11,34,0,0,0,52,0,0,0,0,0,13,0,0,0,39,31,56,34,0,0,0,0,0,0,11,0,0,0,0,0,13,54,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,33,0,0,0,40,0,0,0,0,0,0,0,0,0,37,18,34,42,0,0,0,0,0,0,12,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,7
24,31,19,0,16,21,0,0,26,0,0,0,0,0,0,20,0,0,0,0,29,0,0,12,17,0,0,0,0,8,0,0,0,0,0,36,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,26,0,24,26,0,0,2,21,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,22,0,0,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,24,0,73,72,0,0,22,57,0,26,0,0,0,0,0,0,54,0,0,0,0,0,0,53,0,0,0,0,30,0,0,22,0,0,0,0,0,34,0,3,0,0,13,3,0,0,0,0,0
0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,26,0,72,76,0,0,22,61,0,27,0,0,0,0,0,0,55,0,0,0,0,0,0,55,0,0,0,0,32,0,0,22,0,0,0,0,0,36,0,4,0,0,13,2,0,0,0,0,0
0,0,0,0,0,0,3,9,0,0,12,11,8,9,10,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,11,12,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,22,22,0,0,22,19,0,8,0,0,0,0,0,0,19,0,0,0,0,0,0,16,0,0,0,0,7,0,0,8,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0
0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,21,0,57,61,0,0,19,61,0,20,0,0,0,0,0,0,45,0,0,0,0,0,0,43,0,0,0,0,21,0,0,18,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0
9,17,16,0,11,4,0,0,18,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,26,27,0,0,8,20,0,28,0,0,0,0,0,0,20,0,0,0,0,0,0,24,0,0,0,0,12,0,0,5,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,6,0,0,0,14,0,0,0,0,0,3,0,0,0,12,12,13,6,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,14,41,0,0,0,62,0,0,0,0,0,18,0,0,0,49,36,54,41,0,0,0,0,0,0,13,0,0,0,0,0,14,68,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,0,0,0,0,0,0,0,0,30,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,34,30,0,0,69,68,57,55,43,0,0,0,0,0,0,0,34,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,17,0,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,18,0,54,55,0,0,19,45,0,20,0,0,0,0,0,0,56,0,0,0,0,0,0,42,0,0,0,0,25,0,0,15,0,0,0,0,0,19,0,0,0,0,8,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,3,0,0,0,9,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,15,0,0,19,19,14,19,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,22,0,53,55,0,0,16,43,0,24,0,0,0,0,0,0,42,0,0,0,0,0,0,56,0,0,0,0,19,0,0,5,0,0,0,0,0,19,0,0,0,0,10,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,5,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,7,0,30,32,0,0,7,21,0,12,0,0,0,0,0,0,25,0,0,0,0,0,0,19,0,0,0,0,33,0,0,16,0,0,0,0,0,19,0,0,0,0,10,2,0,0,0,0,0
0,0,0,0,0,0,19,5,0,0,29,29,20,20,16,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14,0,0,15,14,13,11,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,22,22,0,0,8,18,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,16,0,0,23,0,0,0,0,0,17,0,2,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,7,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
