"Charlie Blackmon_COL","Kris Bryant_CHC","Nolan Arenado_COL","Michael Conforto_NYM","Anthony Rizzo_CHC","Jose Altuve_HOU","Mark Reynolds_COL","Carlos Gonzalez_COL","Matt Carpenter_STL","Dexter Fowler_STL","Carlos Correa_HOU","Jedd Gyorko_STL","Randal Grichuk_STL","Yoenis Cespedes_NYM","Trevor Story_COL","David Dahl_COL","Ian Desmond_COL","Adam Frazier_PIT","Stephen Piscotty_STL","DJ LeMahieu_COL","Aledmys Diaz_STL","Freddie Freeman_ATL","Jay Bruce_NYM","Corey Seager_LAD","Cody Bellinger_LAD","Gregory Polanco_PIT","Kyle Schwarber_CHC","Matt Kemp_ATL","Manny Machado_BAL","George Springer_HOU","Javier Baez_CHC","Ben Zobrist_CHC","Kolten Wong_STL","Brandon Phillips_ATL","Ender Inciarte_ATL","Starling Marte_PIT","Gerardo Parra_COL","Buster Posey_SF","Josh Reddick_HOU","Alex Bregman_HOU","Chris Davis_BAL","Ian Happ_CHC","Yadier Molina_STL","Josh Harrison_PIT","Mark Trumbo_BAL","Yasmani Grandal_LAD","Hunter Pence_SF","Lucas Duda_NYM","Neil Walker_NYM","Marwin Gonzalez_HOU","Justin Turner_LAD","Tommy Pham_STL","Jhonny Peralta_STL","Pat Valaika_COL","Eduardo Nunez_SF","Brandon Belt_SF","Jose Reyes_NYM","Jordy Mercer_PIT","Josh Bell_PIT","Adam Jones_BAL","Logan Forsythe_LAD","Chris Taylor_LAD","Jason Heyward_CHC","Greg Garcia_STL","Joe Panik_SF","David Wright_NYM","Asdrubal Cabrera_NYM","Wilmer Flores_NYM","Welington Castillo_BAL","Evan Gattis_HOU","Jose Martinez_STL","Stephen Cardullo_COL","Raimel Tapia_COL","Denard Span_SF","Matt Adams_ATL","Yasiel Puig_LAD","Harrison Bader_STL","Dustin Garneau_COL","Magneuris Sierra_STL","Dansby Swanson_ATL","Brandon Crawford_SF","Curtis Granderson_NYM","Alen Hanson_PIT","David Freese_PIT","Seth Smith_BAL","Jonathan Schoop_BAL","Joey Rickard_BAL","Willson Contreras_CHC","Albert Almora_CHC","Tom Murphy_COL","Carson Kelly_STL","Alexi Amarista_COL","Nick Markakis_ATL","Travis d'Arnaud_NYM","Brian McCann_HOU","Trey Mancini_BAL","Carlos Beltran_HOU","Addison Russell_CHC","Tony Wolters_COL","Eric Fryer_STL","Adonis Garcia_ATL","Tyler Flowers_ATL","Andrew McCutchen_PIT","Francisco Cervelli_PIT","Hyun Soo Kim_BAL","Joc Pederson_LAD","Adrian Gonzalez_LAD","Franklin Gutierrez_LAD","Jarrett Parker_SF","Brandon Nimmo_NYM","TJ Rivera_NYM","Jose Osuna_PIT","Derek Fisher_HOU","JJ Hardy_BAL","Craig Gentry_BAL","Miguel Montero_CHC","Jon Jay_CHC","Danny Ortiz_PIT","Kevin Newman_PIT","John Jaso_PIT","Norichika Aoki_HOU","Yuli Gurriel_HOU","Jake Marisnick_HOU","Chase Utley_LAD","Trayce Thompson_LAD","Jeimer Candelario_CHC","Nick Hundley_SF","Mac Williamson_SF","Christian Arroyo_SF","Juan Lagares_NYM","Gavin Cecchini_NYM","Austin Barnes_LAD","Andrew Toles_LAD","Kike Hernandez_LAD","Cristhian Adames_COL","Ryan Hanigan_COL","Kurt Suzuki_ATL","Kelby Tomlinson_SF","Danny Santana_ATL","Matt Reynolds_NYM","Kevin Plawecki_NYM","Rob Segedin_LAD","Tommy La Stella_CHC","Jace Peterson_ATL","Micah Johnson_ATL","Elias Diaz_PIT","Chris Bostick_PIT","Phil Gosselin_PIT","Andre Ethier_LAD","Aaron Hill_SF","Rio Ruiz_ATL","Justin Ruggiano_SF","Rene Rivera_NYM","Francisco Pena_BAL","Paul Janish_BAL","Ryan Flaherty_BAL","Caleb Joseph_BAL","Scott Van Slyke_LAD","Conor Gillaspie_SF","Gorkys Hernandez_SF","Gift Ngoepe_PIT","Luis Sardinas_BAL","Max Moroff_PIT","Michael Morse_SF","John Bormann_PIT","Chris Stewart_PIT","Juan Centeno_HOU","Tony Kemp_HOU","Tim Federowicz_SF","Eloy Jimenez_CHC","Anthony Recker_ATL","Chris Marrero_SF","Brett Eibner_LAD","Emilio Bonifacio_ATL","Johan Camargo_ATL","Lane Adams_ATL"
0,0,0,0,0,37,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,32,35,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,31,26,0,33,28,0,0,0,0,0,18,0,29,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,33,30,0,28,37,0,0,0,0,0,23,0,34,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,27,26,0,0,0,0,0,0,30,0,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,19,0,0,0,16,18,0,0,0,0,0,0,8,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22,25,0,18,23,0,0,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,40,0,0,0,36,37,0,0,0,0,0,0,27,0,19,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,33,31,0,29,34,0,0,0,0,0,22,0,37,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,25,0,0,0,0,0,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,31,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0,33,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,25,27,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
