P,P,C,1B,2B,3B,SS,OF,OF,OF
Corey Kluber,Francisco Liriano,Brian McCann,Trey Mancini,Jonathan Schoop,Manny Machado,Carlos Correa,Mark Trumbo,Max Kepler,Adam Jones
Corey Kluber,Francisco Liriano,Yadier Molina,Anthony Rizzo,Rougned Odor,Jedd Gyorko,Aledmys Diaz,Mookie Betts,Dexter Fowler,Stephen Piscotty
Corey Kluber,Francisco Liriano,Yadier Molina,Joe Mauer,Brian Dozier,Miguel Sano,Aledmys Diaz,Mookie Betts,Max Kepler,Eddie Rosario
Mike Leake,Francisco Liriano,Brian McCann,Anthony Rizzo,Jose Altuve,Manny Machado,Carlos Correa,Mookie Betts,George Springer,Carlos Beltran
Corey Kluber,Francisco Liriano,Jason Castro,Anthony Rizzo,Robinson Cano,Kyle Seager,Aledmys Diaz,Nelson Cruz,Mitch Haniger,Ben Gamel
Corey Kluber,Francisco Liriano,Yadier Molina,Anthony Rizzo,Brian Dozier,Manny Machado,JJ Hardy,Mark Trumbo,Adam Jones,Hyun Soo Kim
Corey Kluber,Francisco Liriano,Jonathan Lucroy,Anthony Rizzo,Rougned Odor,Adrian Beltre,Aledmys Diaz,Nomar Mazara,Shin-Soo Choo,Max Kepler
Corey Kluber,Francisco Liriano,Cameron Rupp,Hanley Ramirez,Dustin Pedroia,Manny Machado,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Max Kepler
Michael Pineda,Francisco Liriano,Welington Castillo,Trey Mancini,Jonathan Schoop,Manny Machado,Corey Seager,Mookie Betts,Mitch Haniger,Mark Trumbo
Corey Kluber,Francisco Liriano,Brian McCann,Marwin Gonzalez,Jose Altuve,Maikel Franco,Carlos Correa,Mitch Haniger,Carlos Beltran,Max Kepler
Corey Kluber,Francisco Liriano,Jason Castro,Joe Mauer,Brian Dozier,Manny Machado,Carlos Correa,Mark Trumbo,Byron Buxton,Eddie Rosario
Corey Kluber,Mike Leake,Yadier Molina,Matt Carpenter,Robinson Cano,Jedd Gyorko,Carlos Correa,Dexter Fowler,Stephen Piscotty,Max Kepler
Michael Pineda,Francisco Liriano,Yasmani Grandal,Danny Valencia,Robinson Cano,Kyle Seager,Francisco Lindor,Mookie Betts,Nelson Cruz,Mitch Haniger
Corey Kluber,Francisco Liriano,Jonathan Lucroy,Danny Valencia,Robinson Cano,Kyle Seager,Carlos Correa,Nelson Cruz,Jarrod Dyson,Max Kepler
Corey Kluber,Francisco Liriano,Miguel Montero,Anthony Rizzo,Ian Happ,Kris Bryant,Francisco Lindor,Mookie Betts,Max Kepler,Jon Jay
Michael Pineda,Francisco Liriano,Yadier Molina,Matt Carpenter,Brian Dozier,Jedd Gyorko,Corey Seager,Dexter Fowler,Mark Trumbo,Stephen Piscotty
Corey Kluber,Francisco Liriano,Jason Castro,Kennys Vargas,Robinson Cano,Eduardo Escobar,Carlos Correa,Mookie Betts,Max Kepler,Byron Buxton
Corey Kluber,Francisco Liriano,Cameron Rupp,Tommy Joseph,Brian Dozier,Maikel Franco,Carlos Correa,Mookie Betts,Aaron Altherr,Daniel Nava
Corey Kluber,Francisco Liriano,Mike Zunino,Anthony Rizzo,Taylor Motter,Manny Machado,Francisco Lindor,Mitch Haniger,Jarrod Dyson,Ben Gamel
Corey Kluber,Francisco Liriano,Jonathan Lucroy,Anthony Rizzo,Rougned Odor,Joey Gallo,Francisco Lindor,Mookie Betts,Jurickson Profar,Jared Hoying
