"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-28","2017-06-29","2017-06-30"
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,10,28,3,12,21,0,NA,17,NA,NA,4,9,16,10,18,2,12,0,NA,14,4,16,19,NA,NA,0,5,5,0,6,18,14,0,2,5,21,19,3,NA,0,2,NA,2,14,30,NA,39,4,NA,3,28,7,35,18,7,14,9,0,35,2,11,NA,7,7
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9,0,NA,4,8,8,11,10,0,5,18,11,18,NA,33,26,14,7,11,8,NA,12,5,14,39,NA,0,NA,9,16,3,9,14,32,12,9,9,NA,11,16,NA,19,15,NA,14,6,5,NA,0,7,18,7,21,0,16,NA,8,14,14,12,4,30,NA,24,7,NA,3,14,19,NA,18,19,28,4,7,10,NA,2,NA,16,0
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18,0,0,7,5,NA,24,NA,16,3,12,17,18,8,8,NA,2,9,0,NA,2,NA,NA,7,7,7,7,12,0,20,5,NA,12,7,14,25,NA,NA,2,7,4,12,2,8,7,NA,7,0,3,10,2,13,0,14,NA,8,18,27,NA,8,8,NA,2,20,4,8,53,10,NA,12,NA,NA,NA,NA,NA,0,NA
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21,20,NA,NA,5,6,16,9,3,3,11,18,11,2,NA,10,5,NA,20,3,NA,21,4,18,0,NA,5,NA,4,0,7,15,5,11,21,NA,20,NA,36,20,NA,12,16,NA,0,21,2,7,3,8,26,0,5,2,7,NA,18,22,4,22,3,4,NA,19,3,NA,11,11,3,NA,6,16,4,0,17,NA,5,15,NA,16,7
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2,3,23,2,14,5,0,22,14,NA,5,9,0,16,7,7,NA,15,16,2,21,NA,3,NA,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,10,0,0,21,7,19,0,8,13,0,0,NA,29,0,3,7,3,6,5,8,9,NA,2,NA,15,2,2,11,36,0,5,11,NA,3,NA,NA,37
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3,3,NA,16,11,10,14,2,12,7,12,9,33,NA,24,21,7,NA,16,21,NA,5,11,12,6,NA,0,NA,NA,NA,21,0,6,4,18,19,4,3,0,0,NA,NA,0,NA,20,0,0,8,6,4,5,2,12,24,21,NA,9,NA,NA,2,5,8,24,12,2,NA,8,NA,7,0,16,14,4,9,10,2,NA,0,NA,NA,5
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,19,3,5,0,7,NA,12,28,16,11,NA,10,NA,15,3,14,3,8,8,9,5,9,22,0,2,NA,NA,6,0,10,16,0,10,6,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,8,3,0,NA,18,NA,NA,9
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5,3,8,11,7,15,NA,13,0,11,2,NA,5,NA,NA,5,5,6,3,0,10,8,NA,8,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,6,NA,8,9,NA,12,NA,23,33,2,NA,14,15,8,18,0,NA,NA,8,28
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA,3,13,12,NA,28,19,2,35,10,5,NA,NA,12,17,3,3,NA,0,NA,6,8,7,5,NA,8,8,13,7,NA,15,8,NA,7,NA,NA,14,12,5,NA,2,7,10,0,0,NA,2,NA,22,7,16,2,10,NA,NA,5,5,NA,5,3,16,NA,5,NA,18,8,9,5,14,NA,NA,5,28
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4,5,0,22,14,NA,35,10,NA,0,11,7,10,7,5,14,9,7,0,NA,8,11,2,3,NA,NA,NA,5,8,25,0,2,25,NA,3,NA,NA,21,2,5,16,3,7,5,16,2,4,7,0,0,14,21,21,7,NA,4,24,3,NA,13,NA,14,0,0,27,10,5,36,NA,15,9,3,0,3,9,0,7,NA,NA,12
