"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
13,"0",10000,28.5,0.01,0.46,0.17,0,0,0.6,0,0,11.3,11.2,9.6,0.8,8,24.7,23.5,16,13.3,33.8,23.6,24,29,22.8,22.4,29,37,58,5,0.297435897435897,1,1,1,0
1,"0",8900,19.3,-0.23,-0.22,-0.39,0,0,0,0,0,9.3,8.2,8.8,0.6,12.6,19.5,19.9,15,0.4,39.5,21.2,2,3,4.9,51,2.6,25,42,3,0.247058823529412,1,1,1,1
4,"0",8600,20.5,0.03,-0.16,-0.02,0,0,0,0,0,10.3,10.4,10.8,1,10,20.3,21.2,19,5.7,36.7,23.3,9,7,9,36.3,15.7,36,55,2,0.287958115183246,1,1,1,0
20,"0",8100,28,0.19,0.18,-0.02,0,0,0,0,0,5.7,7.6,7.7,1,8.1,8.3,15.8,12,3.6,27.9,16.1,29,25,12,12.9,0,21,37,4,0.197860962566845,2,2,1,0
10,"0",8000,26,0.03,-0.09,-0.03,0,0,0,0,0,10.3,10,8.4,2.8,6.1,21.1,19.6,15,11.7,27.5,18,12,9,13.8,0,31.1,21,40,5,0.27027027027027,2,1,1,0
18,"0",7800,21.8,-0.08,0.15,0.07,0,0,0,0,0,8.7,10.3,8.6,1.5,5.8,16.5,15.7,15,8.8,22.6,17,18,20,0,16.5,24.7,21,46,3,0.282208588957055,1,1,1,0
17,"0",7700,22.3,-0.25,0.16,-0.13,0,0,0.2,0,0,10.7,11,8,1.4,9.2,29.2,21.9,15,9.3,34.5,15.4,5,3,36.1,17.2,34.4,36,60,3,0.28436018957346,1,1,1,0
11,"0",7700,26,0.22,-0.34,0.22,0.3,0.2,0,0,1,9,9.6,8.1,1.4,7.6,16.8,19.7,13,12.2,27.3,18.9,25,32,26.1,11.3,13,33,49,6,0.25,1,1,1,0
15,"0",7600,25.5,0,-0.08,-0.05,0.3,0.5,0.3,0.3,8.5,7.7,8,6.9,1,8,7.9,15.1,12,0.2,29.9,16.3,20,11,0,6.1,3.9,18,33,2,0.190751445086705,2,1,1,1
5,"0",7600,19,-0.19,0.15,-0.03,0,0,0,0,0,12.3,10.8,8.1,2,6.7,17.7,15.7,13,6,25.3,15,5,10,28.4,18.9,5.7,25,53,2,0.277486910994764,2,1,1,0
14,"0",7500,25.3,0.18,0.06,0.09,0,0,0,0,0,7.7,8.4,9,0.6,6.7,9.2,14.3,15,4.7,23.8,17.3,25,12,16.6,1.4,9.6,22,41,3,0.221621621621622,1,1,1,0
17,"0",7500,22.8,-0.05,0.26,-0.09,0,0,0.3,0,0,9,9.4,7.5,0.8,9.7,16.9,17.5,13,7.9,27.1,14.7,17,26,30.8,9.8,10.2,27,54,1,0.26865671641791,2,1,4,1
13,"0",7200,23.3,-0.02,0.18,0.1,0,0,0,0,0,6.7,8.2,8.5,0.8,12.7,22.5,20.6,14,8.1,33.1,17.7,11,14,13.7,12.4,41.5,27,46,3,0.247311827956989,1,1,1,0
1,"0",7100,24.3,-0.17,0.03,-0.11,0,0,0,0,0,6,6.2,8.7,0.6,12.7,10.8,12.9,15,9.2,16.5,15.8,19,28,12.7,7.6,12,22,32,0,0.172043010752688,3,2,5,0
3,"0",7000,23.5,0.18,-0.19,0.09,0,0,0.2,0,0,11.7,10.2,8.9,2,7.3,24.5,18.1,16,6.5,29.6,16.6,27,21,15,22.8,35.7,32,51,3,0.310975609756098,1,1,1,0
1,"0",6900,22.8,-0.05,0.26,-0.09,0,0,0,0,0,10,8.8,7.2,1,8.1,22.9,19.9,12,11.5,28.3,12.8,17,26,13.7,33.8,21.2,29,44,5,0.218905472636816,1,2,1,0
5,"0",6800,28,-0.1,0.11,0.05,1.3,1.4,0.3,0.2,4.4,6.7,7.6,7.4,1,6.1,6.8,10,12,4.9,15.1,14.7,14,21,8.5,2.7,9.2,26,41,0,0.244047619047619,1,1,4,0
2,"0",6800,23.5,0.18,-0.19,0.09,0,0,0,0,0,7,6.8,8,1,11.2,20.4,17.2,14,11.4,23.1,15.3,27,21,15.9,21.4,24,26,42,3,0.25609756097561,2,2,1,0
24,"0",6800,21,0.18,-0.25,0.07,1,0.6,0.8,0,6,8.3,9.6,8.7,0.4,8.4,16.2,17.5,18,7.6,27.3,16.5,13,8,6,13.1,29.6,36,49,1,0.324503311258278,1,1,2,0
3,"1",6700,24,0.05,0.26,0.08,0,0,0,0,0,5.3,7.5,7,1,9,11.2,15.2,11,7,23.5,15.8,21,16,10.5,0,9.9,19,30,2,0.234375,1,1,1,0
20,"0",6500,26.3,0.16,-0.04,0.11,0.3,0.3,0,0,-4,6.7,7.8,7.4,1.3,10.6,15.8,17.9,12,4.9,30.9,16.1,30,23,0,9.4,33,24,33,2,0.234042553191489,1,1,1,0
