"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Trea Turner","Bryce Harper","Manuel Margot","Jabari Blash"
"2","Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Wil Myers","Cory Spangenberg","Mike Moustakas","Trea Turner","AJ Pollock","Manuel Margot","Hunter Renfroe"
"3","Clayton Kershaw","Wade Miley","Austin Hedges","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Trea Turner","Max Kepler","Manuel Margot","Jaff Decker"
"4","Wade Miley","Michael Wacha","Salvador Perez","Wil Myers","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","AJ Pollock","Manuel Margot"
"5","Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Eric Thames","Yangervis Solarte","Mike Moustakas","Trea Turner","Bryce Harper","Mitch Haniger","Jabari Blash"
"6","Clayton Kershaw","Michael Wacha","Salvador Perez","Wil Myers","Yangervis Solarte","Mike Moustakas","Trea Turner","Hunter Renfroe","Jabari Blash","Jaff Decker"
"7","Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Paul Goldschmidt","Daniel Murphy","Mike Moustakas","Trea Turner","Manuel Margot","Mitch Haniger","Jaff Decker"
"8","Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Trea Turner","AJ Pollock","Lorenzo Cain","Brandon Moss"
"9","Clayton Kershaw","JC Ramirez","Chris Iannetta","Wil Myers","Yangervis Solarte","Mike Moustakas","Trea Turner","Lorenzo Cain","Yasmany Tomas","Manuel Margot"
"10","Clayton Kershaw","JC Ramirez","Austin Hedges","Paul Goldschmidt","Daniel Murphy","Mike Moustakas","Trea Turner","Brandon Moss","Hunter Renfroe","Jabari Blash"
"11","Clayton Kershaw","Scott Feldman","Austin Hedges","Josh Bell","Cory Spangenberg","Mike Moustakas","Trea Turner","Bryce Harper","Lorenzo Cain","Jaff Decker"
"12","Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Wil Myers","Chris Taylor","Mike Moustakas","Trea Turner","Bryce Harper","Max Kepler","Jaff Decker"
