"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Corey Kluber","Alex Meyer","Buster Posey","Anthony Rizzo","Josh Harrison","Justin Turner","Corey Seager","Kyle Schwarber","Yasiel Puig","Andrew Toles"
"Corey Kluber","Jacob deGrom","Yasmani Grandal","Eric Thames","Ian Kinsler","Justin Turner","Jordy Mercer","Joc Pederson","Josh Reddick","Andrew Toles"
"Jacob deGrom","Drew Pomeranz","Yasmani Grandal","Matt Carpenter","Kolten Wong","Justin Turner","Corey Seager","Kyle Schwarber","Nelson Cruz","AJ Pollock"
"Justin Verlander","Drew Pomeranz","Yasmani Grandal","Paul Goldschmidt","Jonathan Villar","Eduardo Nunez","Corey Seager","Yasiel Puig","Josh Reddick","Andrew Toles"
"Corey Kluber","Alex Meyer","Yasmani Grandal","Paul Goldschmidt","Dee Gordon","Kris Bryant","Corey Seager","AJ Pollock","Yasmany Tomas","Joc Pederson"
"Jon Lester","Drew Pomeranz","Buster Posey","Adrian Gonzalez","Dee Gordon","Justin Turner","Corey Seager","Carlos Gomez","Joc Pederson","Josh Reddick"
"Jacob deGrom","Alex Meyer","Buster Posey","Eric Thames","Jonathan Villar","Kris Bryant","Corey Seager","Christian Yelich","Nelson Cruz","Josh Reddick"
"Justin Verlander","Jacob deGrom","James McCann","Adrian Gonzalez","Dee Gordon","Justin Turner","Chris Owings","AJ Pollock","Yasiel Puig","Andrew Toles"
"Jacob deGrom","Alex Meyer","Yasmani Grandal","Miguel Cabrera","Dee Gordon","Eduardo Nunez","Jordy Mercer","Hunter Pence","Kyle Schwarber","Yasiel Puig"
"Justin Verlander","Alex Meyer","Yasmani Grandal","Adrian Gonzalez","Ian Kinsler","Justin Turner","Corey Seager","Hunter Pence","Denard Span","Christian Yelich"
"Corey Kluber","Drew Pomeranz","Buster Posey","Adrian Gonzalez","Kolten Wong","Eduardo Nunez","Jordy Mercer","Denard Span","AJ Pollock","Andrew Toles"
"Corey Kluber","Drew Pomeranz","James McCann","Paul Goldschmidt","Jonathan Villar","Justin Turner","Jordy Mercer","Kyle Schwarber","Christian Yelich","Yasmany Tomas"
"Jacob deGrom","Alex Meyer","Buster Posey","Paul Goldschmidt","Jose Altuve","Justin Turner","Jordy Mercer","Mike Trout","Andrew McCutchen","AJ Pollock"
"Jon Lester","Jose Quintana","Yasmani Grandal","Miguel Cabrera","Brad Miller","Justin Turner","Corey Seager","Andrew Benintendi","Yasmany Tomas","Andrew Toles"
"Jon Lester","Drew Pomeranz","James McCann","Eric Thames","Ian Kinsler","Kris Bryant","Corey Seager","Kyle Schwarber","Nomar Mazara","Andrew Toles"
"Jon Lester","Alex Meyer","Yasmani Grandal","Brandon Belt","Jonathan Villar","Justin Turner","Chris Owings","Mookie Betts","Kyle Schwarber","Joc Pederson"
"Jacob deGrom","Alex Meyer","James McCann","Matt Carpenter","Jose Altuve","Eduardo Nunez","Corey Seager","Mookie Betts","Denard Span","Andrew Toles"
"Justin Verlander","Alex Meyer","Buster Posey","Matt Carpenter","Ian Kinsler","Eduardo Nunez","Chris Owings","Kyle Schwarber","AJ Pollock","Josh Reddick"
"Corey Kluber","Jacob deGrom","Yasmani Grandal","Adrian Gonzalez","Brad Miller","David Freese","Corey Seager","Carlos Gomez","Yasiel Puig","Matt Joyce"
"Jacob deGrom","Drew Pomeranz","Buster Posey","Matt Carpenter","Josh Harrison","Kris Bryant","Jordy Mercer","Yasiel Puig","Yasmany Tomas","Joc Pederson"
"Corey Kluber","Justin Verlander","James McCann","Miguel Cabrera","Kolten Wong","Justin Turner","Corey Seager","Josh Reddick","Corey Dickerson","Chris Marrero"
"Jon Lester","Justin Verlander","Buster Posey","Eric Thames","Kolten Wong","Justin Turner","Jordy Mercer","Nelson Cruz","Yasiel Puig","Jaff Decker"
"Corey Kluber","Drew Pomeranz","Yasmani Grandal","Miguel Cabrera","Jose Altuve","Justin Turner","Chris Owings","Denard Span","Yasiel Puig","Brett Gardner"
"Jacob deGrom","Drew Pomeranz","Buster Posey","Miguel Cabrera","Jonathan Villar","Justin Turner","Taylor Motter","Hunter Pence","Corey Dickerson","Andrew Toles"
"Justin Verlander","Jose Quintana","Buster Posey","Eric Thames","Jose Altuve","David Freese","Corey Seager","AJ Pollock","Joc Pederson","Andrew Toles"
"Jacob deGrom","Jose Quintana","Yasmani Grandal","Paul Goldschmidt","Josh Harrison","Kris Bryant","Chris Owings","Kyle Schwarber","Corey Dickerson","Andrew Toles"
"Jacob deGrom","Jose Quintana","Jeff Mathis","Paul Goldschmidt","Brian Dozier","Justin Turner","Corey Seager","Christian Yelich","Yasiel Puig","Joc Pederson"
"Corey Kluber","Jose Quintana","Yasmani Grandal","Eric Thames","Starlin Castro","Eduardo Nunez","Corey Seager","Kyle Schwarber","Christian Yelich","Jaff Decker"
"Corey Kluber","Drew Pomeranz","Yasmani Grandal","Anthony Rizzo","Brad Miller","Kris Bryant","Taylor Motter","Christian Yelich","Nelson Cruz","Andrew Toles"
"Justin Verlander","Jose Quintana","Yasmani Grandal","Anthony Rizzo","Dee Gordon","Justin Turner","Taylor Motter","Kyle Schwarber","Nomar Mazara","Josh Reddick"
"Corey Kluber","Jacob deGrom","Brian McCann","Brandon Belt","Kolten Wong","Kris Bryant","Corey Seager","Andrew Toles","Guillermo Heredia","Jaff Decker"
"Justin Verlander","Jacob deGrom","Robinson Chirinos","Eric Thames","Josh Harrison","Justin Turner","Corey Seager","Carlos Gomez","Yasmany Tomas","Guillermo Heredia"
"Corey Kluber","Jon Lester","Yasmani Grandal","Adrian Gonzalez","Josh Harrison","Justin Turner","Taylor Motter","AJ Pollock","Mitch Haniger","Corey Dickerson"
"Jon Lester","Alex Meyer","Buster Posey","Paul Goldschmidt","Rougned Odor","Eduardo Nunez","Francisco Lindor","Nelson Cruz","Joc Pederson","Andrew Toles"
"Jon Lester","Alex Meyer","Yasmani Grandal","Eric Thames","Jose Altuve","Miguel Sano","Corey Seager","Mike Trout","Bryce Harper","Yasiel Puig"
"Corey Kluber","Drew Pomeranz","Francisco Cervelli","Eric Thames","Brad Miller","Justin Turner","Corey Seager","Hunter Pence","Andrew McCutchen","Lorenzo Cain"
"Jacob deGrom","Tyler Glasnow","Buster Posey","Anthony Rizzo","Kolten Wong","Justin Turner","Chris Owings","Denard Span","Yasmany Tomas","Josh Reddick"
"Corey Kluber","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Kolten Wong","Eduardo Nunez","Brandon Crawford","Mike Trout","Carlos Gomez","Josh Reddick"
"Corey Kluber","Justin Verlander","Yasmani Grandal","Justin Bour","Kolten Wong","David Freese","Francisco Lindor","Kyle Schwarber","Yasmany Tomas","Andrew Toles"
"Jacob deGrom","Drew Pomeranz","Buster Posey","Anthony Rizzo","Ian Kinsler","Eduardo Nunez","Corey Seager","Andrew McCutchen","Matt Joyce","Jaff Decker"
"Corey Kluber","Alex Meyer","Salvador Perez","Adrian Gonzalez","Ian Kinsler","Kris Bryant","Jordy Mercer","Mike Trout","Kyle Schwarber","Nelson Cruz"
"Justin Verlander","Alex Meyer","Buster Posey","Brandon Belt","Dee Gordon","Kris Bryant","Jordy Mercer","Bryce Harper","Carlos Gomez","Andrew Toles"
"Corey Kluber","Jon Lester","Robinson Chirinos","Paul Goldschmidt","Kolten Wong","Justin Turner","Chris Owings","Carlos Gomez","Andrew Toles","Matt Joyce"
"Jon Lester","Jacob deGrom","Francisco Cervelli","Freddie Freeman","Josh Harrison","Chase Headley","Corey Seager","AJ Pollock","Josh Reddick","Andrew Toles"
"Corey Kluber","Jose Quintana","Buster Posey","Matt Carpenter","Brad Miller","Justin Turner","Chris Owings","Nelson Cruz","Joc Pederson","Chris Marrero"
"Corey Kluber","Jacob deGrom","James McCann","Matt Carpenter","Andrew Romine","Miguel Sano","Taylor Motter","Kyle Schwarber","Yasiel Puig","Josh Reddick"
"Corey Kluber","Drew Pomeranz","James McCann","Brandon Belt","Josh Harrison","Eduardo Nunez","Corey Seager","Nelson Cruz","Joc Pederson","Mitch Haniger"
"Corey Kluber","Tyler Glasnow","Yasmani Grandal","Freddie Freeman","Jonathan Villar","Justin Turner","Corey Seager","Mike Trout","Nomar Mazara","Guillermo Heredia"
"Corey Kluber","Alex Meyer","Yasmani Grandal","Matt Carpenter","Brian Dozier","Justin Turner","Carlos Correa","Bryce Harper","Andrew Benintendi","Andrew McCutchen"
"Corey Kluber","Jose Quintana","Buster Posey","Paul Goldschmidt","Dee Gordon","David Freese","Jordy Mercer","Yasiel Puig","Jason Heyward","Josh Reddick"
"Justin Verlander","Drew Pomeranz","Francisco Cervelli","Freddie Freeman","Ian Kinsler","Justin Turner","Brandon Crawford","Kyle Schwarber","Yasiel Puig","Joc Pederson"
"Corey Kluber","Jon Lester","Yasmani Grandal","Matt Carpenter","Dee Gordon","Chase Headley","Addison Russell","Yasiel Puig","Andrew Toles","Jaff Decker"
"Jacob deGrom","Alex Meyer","Willson Contreras","Paul Goldschmidt","Ian Kinsler","Miguel Sano","Corey Seager","Kyle Schwarber","Lorenzo Cain","Carlos Gomez"
"Jacob deGrom","Tyler Glasnow","Salvador Perez","Adrian Gonzalez","Jonathan Villar","Manny Machado","Corey Seager","Kyle Schwarber","Joc Pederson","Andrew Toles"
"Jon Lester","Jacob deGrom","Francisco Cervelli","Anthony Rizzo","Brad Miller","Justin Turner","Jordy Mercer","Kyle Schwarber","Corey Dickerson","Matt Joyce"
"Justin Verlander","Drew Pomeranz","Salvador Perez","Anthony Rizzo","Jose Altuve","Justin Turner","Jordy Mercer","Mookie Betts","Andrew Benintendi","Andrew Toles"
"Jacob deGrom","Jose Quintana","Buster Posey","Adrian Gonzalez","Ian Kinsler","Justin Turner","Addison Russell","Kyle Schwarber","Mitch Haniger","Guillermo Heredia"
"Jon Lester","Tyler Glasnow","Buster Posey","Miguel Cabrera","Jose Altuve","Miguel Sano","Jordy Mercer","Kyle Schwarber","Josh Reddick","Andrew Toles"
"Corey Kluber","Jose Quintana","Willson Contreras","Adrian Gonzalez","Rougned Odor","Miguel Sano","Corey Seager","Nelson Cruz","Josh Reddick","Andrew Toles"
"Corey Kluber","Drew Pomeranz","Buster Posey","Eric Thames","Brian Dozier","Chase Headley","Taylor Motter","Kyle Schwarber","Andrew Benintendi","Joc Pederson"
"Jacob deGrom","Alex Meyer","Robinson Chirinos","Anthony Rizzo","Ian Kinsler","Kris Bryant","Carlos Correa","Hunter Pence","AJ Pollock","Andrew Toles"
"Corey Kluber","Jose Quintana","Salvador Perez","Brandon Belt","Ian Kinsler","Justin Turner","Corey Seager","AJ Pollock","Jason Heyward","Matt Joyce"
"Corey Kluber","Alex Meyer","Willson Contreras","Eric Thames","Jonathan Villar","Eduardo Nunez","Chris Owings","Hunter Pence","Bryce Harper","Andrew Toles"
"Jacob deGrom","Tyler Glasnow","Buster Posey","Eric Thames","Brian Dozier","Eduardo Nunez","Addison Russell","Carlos Gomez","Yasiel Puig","Andrew Toles"
"Corey Kluber","Alex Meyer","James McCann","Eric Thames","Rougned Odor","Justin Turner","Brandon Crawford","Mookie Betts","Nelson Cruz","AJ Pollock"
"Justin Verlander","Jacob deGrom","Yasmani Grandal","Anthony Rizzo","Andrew Romine","Chase Headley","Corey Seager","Joc Pederson","Jason Heyward","Corey Dickerson"
"Corey Kluber","Justin Verlander","Jeff Mathis","Matt Carpenter","Rougned Odor","Justin Turner","Taylor Motter","Denard Span","Andrew Toles","Guillermo Heredia"
"Corey Kluber","Drew Pomeranz","Stephen Vogt","Miguel Cabrera","Dee Gordon","David Freese","Corey Seager","Mike Trout","Justin Upton","Andrew Toles"
"Jon Lester","Alex Meyer","Buster Posey","Matt Carpenter","Kolten Wong","David Freese","Corey Seager","Hunter Pence","Andrew McCutchen","Yasmany Tomas"
"Jon Lester","Jacob deGrom","JT Realmuto","Anthony Rizzo","Kolten Wong","David Freese","Taylor Motter","Yasiel Puig","Joc Pederson","Andrew Toles"
"Corey Kluber","Alex Meyer","Buster Posey","Miguel Cabrera","Ian Kinsler","David Freese","Carlos Correa","Denard Span","Carlos Gomez","Joc Pederson"
"Jon Lester","Drew Pomeranz","Yasmani Grandal","Anthony Rizzo","Ian Kinsler","Pablo Sandoval","Jordy Mercer","AJ Pollock","Carlos Gomez","Yasiel Puig"
"Justin Verlander","Alex Meyer","James McCann","Paul Goldschmidt","Kolten Wong","Kris Bryant","Carlos Correa","Kyle Schwarber","Denard Span","Yasiel Puig"
"Jacob deGrom","Jose Quintana","Brian McCann","Anthony Rizzo","Jonathan Villar","Eduardo Nunez","Jordy Mercer","Nelson Cruz","Yasmany Tomas","Andrew Toles"
"Corey Kluber","Jose Quintana","James McCann","Miguel Cabrera","Ian Kinsler","Eduardo Nunez","Brandon Crawford","Yasiel Puig","Andrew Toles","Guillermo Heredia"
"Corey Kluber","Justin Verlander","Brian McCann","Eric Thames","Andrew Romine","Justin Turner","Chris Owings","Kyle Schwarber","Justin Upton","Mitch Haniger"
