"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Jacob deGrom","Alex Meyer","Buster Posey","Anthony Rizzo","Ian Kinsler","Justin Turner","Corey Seager","Kyle Schwarber","Yasiel Puig","Andrew Toles"
"Corey Kluber","Drew Pomeranz","Yasmani Grandal","Paul Goldschmidt","Jose Altuve","Justin Turner","Corey Seager","Yasiel Puig","Joc Pederson","Josh Reddick"
"Corey Kluber","Jon Lester","Yasmani Grandal","Eric Thames","Cesar Hernandez","Justin Turner","Jordy Mercer","Kyle Schwarber","Andrew Toles","Chris Marrero"
"Corey Kluber","Alex Meyer","Yan Gomes","Eric Thames","Jonathan Villar","Kris Bryant","Corey Seager","Bryce Harper","Kyle Schwarber","Josh Reddick"
"Corey Kluber","Alex Meyer","Buster Posey","Paul Goldschmidt","Josh Harrison","Eduardo Nunez","Jordy Mercer","Kyle Schwarber","AJ Pollock","Joc Pederson"
"Corey Kluber","Jacob deGrom","Yan Gomes","Adrian Gonzalez","Jose Altuve","Kris Bryant","Jordy Mercer","Yasiel Puig","Andrew Toles","Guillermo Heredia"
"Corey Kluber","Alex Meyer","Yasmani Grandal","Matt Carpenter","Rougned Odor","Eduardo Nunez","Corey Seager","Denard Span","Nelson Cruz","Andrew Toles"
"Justin Verlander","Drew Pomeranz","Yasmani Grandal","Adrian Gonzalez","Josh Harrison","Kris Bryant","Corey Seager","Kyle Schwarber","AJ Pollock","Andrew Toles"
"Corey Kluber","Jacob deGrom","James McCann","Brandon Belt","Kolten Wong","Justin Turner","Chris Owings","AJ Pollock","Josh Reddick","Andrew Toles"
"Jon Lester","Alex Meyer","Yasmani Grandal","Miguel Cabrera","Kolten Wong","Justin Turner","Corey Seager","Hunter Pence","Bryce Harper","AJ Pollock"
"Justin Verlander","Drew Pomeranz","Buster Posey","Eric Thames","Rougned Odor","Justin Turner","Corey Seager","Andrew McCutchen","Nelson Cruz","Juan Lagares"
"Justin Verlander","Jacob deGrom","James McCann","Eric Thames","Jonathan Villar","Justin Turner","Jordy Mercer","Yasiel Puig","Yasmany Tomas","Joc Pederson"
"Corey Kluber","Drew Pomeranz","Buster Posey","Adrian Gonzalez","Jonathan Villar","Justin Turner","Taylor Motter","Bryce Harper","Yasmany Tomas","Andrew Toles"
"Corey Kluber","Jacob deGrom","Robinson Chirinos","Eric Thames","Josh Harrison","David Freese","Corey Seager","Carlos Gomez","Joc Pederson","Andrew Toles"
"Jacob deGrom","Drew Pomeranz","Yasmani Grandal","Brandon Belt","Kolten Wong","Eduardo Nunez","Jordy Mercer","Kyle Schwarber","Nelson Cruz","Yasiel Puig"
"Corey Kluber","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Josh Harrison","Kris Bryant","Chris Owings","Mookie Betts","Carlos Gomez","Yasiel Puig"
"Justin Verlander","Jacob deGrom","Salvador Perez","Adrian Gonzalez","Cesar Hernandez","Justin Turner","Corey Seager","Carlos Gomez","Josh Reddick","Chris Marrero"
"Jacob deGrom","Alex Meyer","Yasmani Grandal","Brandon Belt","Dee Gordon","Kris Bryant","Corey Seager","Christian Yelich","Yasmany Tomas","Joc Pederson"
"Jon Lester","Drew Pomeranz","Buster Posey","Eric Thames","Dee Gordon","Kris Bryant","Chris Owings","Yasiel Puig","Joc Pederson","Andrew Toles"
"Justin Verlander","Alex Meyer","Buster Posey","Matt Carpenter","Jose Altuve","Justin Turner","Jordy Mercer","Mookie Betts","Bryce Harper","Josh Reddick"
"Corey Kluber","Jose Quintana","James McCann","Matt Carpenter","Josh Harrison","Justin Turner","Corey Seager","Kyle Schwarber","Yasmany Tomas","Corey Dickerson"
"Corey Kluber","Jose Quintana","Buster Posey","Eric Thames","Kolten Wong","Eduardo Nunez","Corey Seager","Yasiel Puig","Chris Marrero","Guillermo Heredia"
"Justin Verlander","Alex Meyer","Yasmani Grandal","Paul Goldschmidt","Jonathan Villar","Justin Turner","Chris Owings","Kyle Schwarber","Denard Span","Christian Yelich"
"Corey Kluber","Jacob deGrom","Yasmani Grandal","Adrian Gonzalez","Ian Kinsler","Chase Headley","Chris Owings","Kyle Schwarber","Joc Pederson","Jaff Decker"
"Corey Kluber","Alex Meyer","Buster Posey","Adrian Gonzalez","Jose Altuve","Travis Shaw","Corey Seager","Christian Yelich","Justin Upton","Carlos Gomez"
"Corey Kluber","Justin Verlander","Francisco Cervelli","Miguel Cabrera","Brad Miller","Justin Turner","Corey Seager","Mitch Haniger","Andrew Toles","Guillermo Heredia"
