"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Jon Lester",10600,"PHI@CHC 08:05PM ET",13.64,"CHC","PHI",23.74,18.6,24.2115,NA,16.45
"SP","Jose Quintana",9100,"CWS@KC 08:15PM ET",13.92,"CWS","KC",18.18,17.7,15.9195,NA,32.4
"SP","Cole Hamels",9000,"TEX@HOU 08:10PM ET",12.98,"TEX","HOU",19.16,15.9,14.8235,NA,NA
"SP","Carlos Martinez",8900,"MIL@STL 08:15PM ET",17.22,"STL","MIL",22.64,17.6,22.389,NA,25.5
"SP","Danny Duffy",8800,"CWS@KC 08:15PM ET",16.68,"KC","CWS",23.48,17.5,19.025,NA,-1.95
"SP","Ervin Santana",8600,"OAK@MIN 08:10PM ET",26.39,"MIN","OAK",18.91,17.9,16.7235,NA,27.9
"SP","Sonny Gray",7600,"OAK@MIN 08:10PM ET",0,"OAK","MIN",13.01,14.9,15.398,NA,9.3
"SP","Jeremy Hellickson",7400,"PHI@CHC 08:05PM ET",15.58,"PHI","CHC",12.41,13.1,14.285,NA,-5.6
"SP","Mike Fiers",6500,"TEX@HOU 08:10PM ET",6.98,"HOU","TEX",NA,12.2,17.368,NA,16.7
"SP","Wily Peralta",6100,"MIL@STL 08:15PM ET",12.1,"MIL","STL",12.64,12.2,9.927,NA,17.8
