"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26"
"Bryce Harper_WAS",NA,16,NA,14,NA,NA,5,0,26,15,0,NA,NA,0,37,NA,14,46,7,25,8,10,NA,16,22,22,3,0,27,NA,11,7,4,NA,NA,NA,21,2,10,NA,NA,20,15,NA,23,0,NA,0,3,5,NA,14,4,5,18,5,NA,2,0,NA,NA,NA,NA,15,5,9,0,22,3,9,3,20,9,NA,16,15,3,5,18,13,0,NA,7,3,13,9,2,4,6,7,37,NA,NA,NA,5,5,7,34,12,NA,30,NA,NA,11,23,5,NA,5,3
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11,6,NA,21,14,11,10,16,10,7,26,14,7,NA,11,18,NA,7,NA,NA,NA,NA,NA,0,16,21,30,16,13,20,NA,8,8,34,4,18,12,5,6,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,16,20,NA,4,14,14,NA,11,9
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37,3,NA,NA,0,5,NA,0,6,NA,2,6,20,0,24,23,30,6,2,18,NA,9,0,5,3,15,9,4,16,11,NA,NA,7,2,NA,NA,5,NA,19,3,17,NA,5,7,0,NA,NA,NA,12,15,7,NA,27,15,7,2,5,11,NA,8,8,0,10,26,NA,20,11,14,5,9,25,NA,NA,16,15,3,7,7,4,5,3,11,NA,NA,NA,5,12,5,NA,18,NA,0,0,NA,17,3,7,NA,5,18
"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA,6,0,2,NA,3,NA,NA,5,12,NA,2,11,5,7,4,0,13,7,0,NA,7,2,71,NA,7,0,9,24,20,7,7,10,9,NA,NA,0,14,NA,5,2,NA,2,5,NA,NA,41,18,17,7,17,4,6,5,8,NA,25,NA,0,23,5,4,NA,7,4,3,2,4,NA,10,23,14,0,18,NA,5,NA,22,16,0,3,14,16,0,8,9,NA,NA,NA,10,7,5,12,43,NA,17,2,NA,4,5,7,NA,7,7
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA,0,NA,NA,19,0,NA,NA,21,0,NA,11,21,3,5,NA,NA,NA,0,24,3,5,5,7,NA,19,0,0,9,0,9,30,0,3,21,27,10,16,NA,9,14,5,NA,NA,NA,NA,20,5,3,32,2,0,6,23,2,16,17,2,31,NA,5,17,3,NA,6,0,NA,16,NA,5,24,9,14,5,NA,3,5,NA,4,0,22,8,10,5,4,19,3,0,9,6,0,9,14,7,33,12,16,2,8,5,18
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0,8,NA,NA,2,4,10,7,8,5,24,NA,NA,2,19,2,NA,2,5,16,2,7,2,8,0,2,NA,19,5,5,8,6,9,NA,2,0,2,4,19,2,NA,16,0,18,5,32,NA,NA,3,6,5,14,NA,3,NA,3,0,7,NA,NA,NA,NA,24,21,9,NA,2,7,NA,22,13,37,19,21,0,10,5,7,0,14,0,7,NA,2,26,NA,2,0,33,2,0,0,20,2,5,NA,NA,32,4,7,5,31,4
"Michael Brantley_CLE",NA,NA,8,NA,NA,7,5,NA,NA,NA,2,19,NA,7,13,18,16,NA,NA,6,26,NA,NA,14,16,0,NA,3,21,4,3,5,NA,0,8,0,NA,NA,NA,NA,8,6,0,9,5,9,NA,14,8,5,5,11,NA,NA,7,6,18,3,NA,0,9,14,5,NA,NA,0,0,NA,5,7,0,NA,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,NA,3,12,NA,0,6,21,18,9,7,7,3,3,16,NA,13,10,23,5,18,10
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA,NA,NA,NA,2,13,8,46,9,6,21,NA,NA,0,19,3,NA,8,9,9,14,11,7,0,9,18,NA,2,3,0,3,7,7,NA,0,0,5,13,3,3,NA,13,0,NA,5,0,NA,NA,14,3,20,27,NA,2,2,0,13,6,NA,5,14,NA,10,2,2,NA,0,19,NA,19,37,24,22,10,6,14,NA,14,13,17,9,7,NA,7,41,NA,11,5,24,12,7,5,3,7,0,12,NA,12,8,4,0,11,5
"Francisco Lindor_CLE",NA,NA,2,46,NA,14,10,3,NA,NA,10,7,9,13,6,7,17,NA,NA,3,2,17,NA,2,11,16,10,4,25,5,2,10,NA,0,14,0,8,7,10,NA,0,2,15,16,5,5,NA,7,3,3,7,18,NA,NA,10,21,NA,0,NA,14,7,3,0,5,NA,0,8,NA,0,2,7,NA,0,10,NA,11,17,0,0,14,21,6,0,7,0,16,0,7,NA,0,5,NA,2,17,5,29,7,3,0,13,2,2,NA,7,18,13,3,10,10
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7,0,NA,NA,5,0,2,28,0,5,10,NA,NA,4,16,2,NA,5,18,5,0,4,9,3,9,0,NA,0,17,13,12,2,8,NA,4,10,14,10,4,2,NA,9,7,4,0,7,NA,NA,2,2,17,14,NA,0,9,0,23,6,NA,5,0,NA,4,14,0,NA,0,0,NA,7,9,4,27,5,0,10,2,2,3,20,7,7,NA,21,18,NA,8,NA,NA,NA,16,0,5,NA,NA,10,NA,12,0,9,32,0,13
