"George Springer_HOU","Carlos Correa_HOU","Nelson Cruz_SEA","Miguel Sano_MIN","Avisail Garcia_CWS","Jose Altuve_HOU","Brian Dozier_MIN","Jean Segura_SEA","Shin-Soo Choo_TEX","Robinson Cano_SEA","Brian McCann_HOU","Nomar Mazara_TEX","Todd Frazier_CWS","Elvis Andrus_TEX","Marwin Gonzalez_HOU","Jarrod Dyson_SEA","Jonathan Schoop_BAL","Kyle Seager_SEA","Chris Davis_BAL","Jose Abreu_CWS","Manny Machado_BAL","Evan Gattis_HOU","Yuli Gurriel_HOU","Robbie Grossman_MIN","Josh Reddick_HOU","Leury Garcia_CWS","Delino DeShields_TEX","Mitch Haniger_SEA","Yoan Moncada_CWS","Adrian Beltre_TEX","Joe Mauer_MIN","Danny Valencia_SEA","Kennys Vargas_MIN","Carlos Beltran_HOU","Mike Zunino_SEA","Max Kepler_MIN","Melky Cabrera_CWS","Adam Jones_BAL","Seth Smith_BAL","Tyler Saladino_CWS","Mike Napoli_TEX","Carlos Gomez_TEX","Joey Gallo_TEX","Alex Bregman_HOU","Jason Castro_MIN","Jorge Polanco_MIN","Ben Gamel_SEA","Yolmer Sanchez_CWS","Leonys Martin_SEA","Mark Trumbo_BAL","Alen Hanson_CWS","Eduardo Escobar_MIN","Byron Buxton_MIN","Welington Castillo_BAL","Trey Mancini_BAL","Tim Anderson_CWS","Hyun Soo Kim_BAL","Joey Rickard_BAL","Robinson Chirinos_TEX","Peter O'Brien_TEX","Rougned Odor_TEX","Craig Gentry_BAL","Charlie Tilson_CWS","Norichika Aoki_HOU","Jonathan Lucroy_TEX","Jake Marisnick_HOU","JD Davis_HOU","Derek Fisher_HOU","Chris Gimenez_MIN","Matt Davidson_CWS","Jurickson Profar_TEX","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Taylor Motter_SEA","Jacob May_CWS","Eddie Rosario_MIN","Boog Powell_SEA","JJ Hardy_BAL","Cody Asche_CWS","Willy Garcia_CWS","Pete Kozma_TEX","Brett Nicholas_TEX","Tuffy Gosewisch_SEA","Guillermo Heredia_SEA","Geovany Soto_CWS","Paul Janish_BAL","Francisco Pena_BAL","Ryan Flaherty_BAL","Luis Sardinas_BAL","Adam Engel_CWS","Jared Hoying_TEX","Colin Moran_HOU","Andy Ibanez_TEX","Ehire Adrianza_MIN","DJ Peterson_SEA","Hanser Alberto_TEX","Kyle Tucker_HOU","Daniel Palka_MIN","Daniel Vogelbach_SEA","Tyler Smith_SEA","Kyle Lewis_SEA","Ruben Tejada_BAL","Omar Narvaez_CWS","Kevan Smith_CWS","Anthony Santander_BAL","Drew Stubbs_TEX","Ryan Rua_TEX","Caleb Joseph_BAL","Juan Centeno_HOU","Tony Kemp_HOU","Teoscar Hernandez_HOU","Zack Collins_CWS","Drew Robinson_TEX","Ronald Guzman_TEX"
0,0,0,0,0,0,0,0,52,0,0,52,0,59,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,0,0,0,0,0,45,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,59,0,0,0,44,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
33,31,0,0,0,36,0,0,0,0,23,0,0,0,38,0,0,0,0,0,0,23,0,0,28,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,47,0,0,0,0,34,0,43,0,0,0,0,0,52,0,48,0,0,0,0,0,0,0,0,0,18,0,0,0,42,0,0,32,0,0,0,0,0,0,0,0,0,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,34,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,56,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,33,0,0,0,0,0,0,0,0,0,0,58,0,0,0,32,37,0,0,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0
0,0,52,0,0,0,0,38,0,48,0,0,0,0,0,48,0,58,0,0,0,0,0,0,0,0,0,19,0,0,0,49,0,0,33,0,0,0,0,0,0,0,0,0,0,0,38,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,38,0,0,0,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,57,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,33,0,0,0,0,0,0,0,0,0,0,57,0,0,0,31,36,0,0,17,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,0,0
0,0,0,0,50,0,0,0,0,0,0,0,44,0,0,0,0,0,0,53,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,49,0,0,25,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,0,0,0,13,13,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,53,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,55,0,0,0,30,34,0,0,17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
31,30,0,0,0,33,0,0,0,0,12,0,0,0,23,0,0,0,0,0,0,35,0,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,33,0,11,0,0,34,0,0,0,0,0,0,0,0,25,29,0,0,0,0,0,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,0,0,0,48,0,0,0,0,33,0,0,0,28,0,0,0,0,0,0,26,0,0,50,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,35,0,0,0,0,0,0,42,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,39,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,4,0,0,0,11,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,32,0,0,32,0,38,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,6,0,0,0,0,0,0,0,0,0,0,29,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,39,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
0,0,22,0,0,0,0,8,0,22,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,0,0,22,0,0,0,18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,39,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,43,0,15,0,0,40,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,46,0,0,0,0,33,0,42,0,0,0,0,0,42,0,49,0,0,0,0,0,0,0,0,0,18,0,0,0,51,0,0,31,0,0,0,0,0,0,0,0,0,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,32,0,0,0,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,20,0,0,15,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,0,49,0,0,0,0,30,0,0,0,29,0,0,0,0,0,0,24,0,0,41,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,33,0,0,0,0,20,0,37,0,0,0,0,0,32,0,33,0,0,0,0,0,0,0,0,0,16,0,0,0,31,0,0,37,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,39,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,40,0,15,0,0,44,0,0,0,0,0,0,0,0,32,33,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47,0,0,0,0,0,0,0,42,0,0,0,0,0,0,49,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,50,0,0,23,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6,0,0,0,12,11,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,51,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,29,0,0,0,0,0,0,0,0,0,0,53,0,0,0,28,34,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,0,0,0,0,0,0,0,0,0,0,33,0,0,0,18,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0
0,0,0,0,24,0,0,0,0,0,0,0,19,0,0,0,0,0,0,25,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,8,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,39,0,0,39,0,45,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,0,0,0,46,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,46,0,0,0,38,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,31,0,0,32,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,36,0,0,0,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,49,0,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,8,0,0,0,0,0,0,0,0,0,0,43,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,56,0,0,0,41,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
49,48,0,0,0,53,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0,33,0,0,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,32,0,13,0,0,32,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,32,0,15,0,0,33,0,0,0,0,0,0,0,0,26,39,0,0,0,0,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,33,0,0,0,0,29,0,29,0,0,0,0,0,32,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,20,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,26,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,20,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0
