"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Trea Turner","Bryce Harper","Manuel Margot","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Austin Hedges","Wil Myers","Cory Spangenberg","Mike Moustakas","Trea Turner","AJ Pollock","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Wade Miley","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Trea Turner","Lorenzo Cain","Manuel Margot","Jaff Decker"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Wil Myers","Yangervis Solarte","Mike Moustakas","Trea Turner","Hunter Renfroe","Jabari Blash","Jaff Decker"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Trea Turner","AJ Pollock","Max Kepler","Brandon Moss"
"Clayton Kershaw","Wade Miley","Austin Hedges","Wil Myers","Cory Spangenberg","Mike Moustakas","Chris Owings","Bryce Harper","Jabari Blash","Jaff Decker"
"Michael Wacha","Scott Feldman","Salvador Perez","Wil Myers","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Manuel Margot"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Wil Myers","Cory Spangenberg","Miguel Sano","Trea Turner","Manuel Margot","Mitch Haniger","Jabari Blash"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Erick Aybar","Bryce Harper","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Josh Bell","Chris Taylor","Mike Moustakas","Trea Turner","Bryce Harper","Lorenzo Cain","Brandon Moss"
"Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Trea Turner","AJ Pollock","Yasmany Tomas","Mitch Haniger"
"Clayton Kershaw","Scott Feldman","Austin Hedges","Eric Hosmer","Jedd Gyorko","Mike Moustakas","Trea Turner","Lorenzo Cain","Brandon Moss","Hunter Renfroe"
"Wei-Yin Chen","Wade Miley","Austin Hedges","Wil Myers","Yangervis Solarte","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Hunter Renfroe"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Eric Hosmer","Brian Dozier","Mike Moustakas","Trea Turner","Alex Gordon","Hunter Renfroe","Mitch Haniger"
"Clayton Kershaw","Wade Miley","Jason Castro","Wil Myers","Yangervis Solarte","Mike Moustakas","Taylor Motter","AJ Pollock","Manuel Margot","Jabari Blash"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Nick Ahmed","Bryce Harper","Brandon Moss","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Chris Iannetta","Paul Goldschmidt","Yangervis Solarte","Mike Moustakas","Nick Ahmed","Bryce Harper","AJ Pollock","Manuel Margot"
"Danny Duffy","Wei-Yin Chen","Chris Iannetta","Wil Myers","Cory Spangenberg","Mike Moustakas","Trea Turner","Bryce Harper","Manuel Margot","Jabari Blash"
"Clayton Kershaw","Wade Miley","Austin Hedges","Wil Myers","Yangervis Solarte","Matt Davidson","Trea Turner","Manuel Margot","Mitch Haniger","Jaff Decker"
"Clayton Kershaw","Michael Wacha","Austin Hedges","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Aledmys Diaz","Lorenzo Cain","Manuel Margot","Jabari Blash"
"Danny Duffy","JC Ramirez","Salvador Perez","Eric Hosmer","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Lorenzo Cain","Hunter Renfroe"
"Clayton Kershaw","JC Ramirez","Chris Iannetta","Wil Myers","Yangervis Solarte","Anthony Rendon","Trea Turner","Manuel Margot","Brandon Moss","Jabari Blash"
"Wade Miley","Michael Wacha","Austin Hedges","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","AJ Pollock","Max Kepler"
