P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,Amir Garrett,Willson Contreras,Anthony Rizzo,Ben Zobrist,Kris Bryant,Asdrubal Cabrera,Jason Heyward,Michael Conforto,Andrew Toles
Clayton Kershaw,Amir Garrett,Cameron Rupp,Anthony Rizzo,Ben Zobrist,Kris Bryant,Adeiny Hechavarria,Kyle Schwarber,Aaron Altherr,Jon Jay
Gerrit Cole,Luis Severino,Brian McCann,Anthony Rizzo,Ben Zobrist,Kris Bryant,Carlos Correa,Kyle Schwarber,Jason Heyward,Josh Reddick
Clayton Kershaw,Amir Garrett,Willson Contreras,Anthony Rizzo,Cesar Hernandez,Maikel Franco,Asdrubal Cabrera,Odubel Herrera,Michael Saunders,Aaron Altherr
Clayton Kershaw,Luis Severino,Cameron Rupp,Jay Bruce,Neil Walker,Kris Bryant,Asdrubal Cabrera,Curtis Granderson,Aaron Altherr,Michael Conforto
Clayton Kershaw,Dylan Covey,Derek Norris,Anthony Rizzo,Ben Zobrist,Kris Bryant,Jordy Mercer,Kyle Schwarber,Jason Heyward,Steven Souza
Clayton Kershaw,Amir Garrett,Cameron Rupp,Tommy Joseph,Jose Altuve,Maikel Franco,Freddy Galvis,Kyle Schwarber,Josh Reddick,Michael Saunders
Clayton Kershaw,Luis Severino,Roberto Perez,Tommy Joseph,Ben Zobrist,Maikel Franco,Jordy Mercer,Odubel Herrera,Michael Saunders,Aaron Altherr
Luis Severino,Amir Garrett,Willson Contreras,Anthony Rizzo,Jose Altuve,Kris Bryant,Carlos Correa,George Springer,Carlos Beltran,Josh Reddick
Clayton Kershaw,Amir Garrett,Salvador Perez,Eric Hosmer,Ben Zobrist,Mike Moustakas,Asdrubal Cabrera,Kyle Schwarber,Lorenzo Cain,Alex Gordon
Lance McCullers,Amir Garrett,Salvador Perez,Anthony Rizzo,Ben Zobrist,Kris Bryant,Francisco Lindor,Kyle Schwarber,Carlos Beltran,Jason Heyward
Clayton Kershaw,Luis Severino,Cameron Rupp,Eric Hosmer,Christian Colon,Mike Moustakas,Alcides Escobar,Kyle Schwarber,Lorenzo Cain,Michael Conforto
Clayton Kershaw,Luis Severino,Roberto Perez,Carlos Santana,Michael Martinez,Kris Bryant,Francisco Lindor,Kyle Schwarber,Michael Conforto,Austin Jackson
Luis Severino,Jason Vargas,Willson Contreras,Anthony Rizzo,Ben Zobrist,Kris Bryant,Jordy Mercer,Mookie Betts,George Springer,Jason Heyward
Clayton Kershaw,Luis Severino,Caleb Joseph,Anthony Rizzo,Jonathan Schoop,Ryan Flaherty,JJ Hardy,Kyle Schwarber,Seth Smith,Michael Conforto
Lance McCullers,Luis Severino,Derek Norris,Anthony Rizzo,Ben Zobrist,Kris Bryant,Asdrubal Cabrera,Kyle Schwarber,Michael Conforto,Jon Jay
