"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18"
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17,0,NA,9,2,NA,NA,NA,NA,NA,14,0,10,8,7,14,NA,9,NA,7,NA,7,7,7,7,NA,7,2,NA,14,NA,0,3,2,4,2,5,2,6,21,18,10,10,42,NA,21,10,33,5,12,9,0,NA,6,20,0,16,14,NA,4,12,21
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,10,28,3,12,21,0,NA,17,NA,NA,4,9,16,10,18,2,12,0,NA,14,4,16,19,NA,NA,0,5,5,0,6,18,14,0,2,5,21,19,3,NA,0,2,NA,2,14,30,NA,39,4,NA,3,28,7
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19,NA,9,6,10,NA,3,23,22,NA,2,NA,NA,4,19,6,18,20,0,3,10,NA,21,NA,7,4,5,6,NA,6,23,11,28,NA,5,3,16,7,0,5,7,0,24,5,19,18,11,NA,17,22,2,8,7,5,16,0,8,7,0,0,21,NA,15,23,14
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4,NA,NA,NA,NA,NA,2,0,16,NA,6,11,9,12,0,12,13,0,25,14,10,NA,2,NA,18,18,21,10,NA,9,6,14,NA,NA,16,2,0,0,NA,NA,22,8,8,8,32,7,26,NA,18,7,21,2,12,0,10,0,5,NA,5,14,14,NA,8,7,17
"JD Martinez_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33,2,NA,42,7,NA,6,20,NA,0,5,NA,23,NA,4,0,18,0,11,NA,31,0,23,NA,5,5,5,11,0,12,NA,16,3,10,14,2,0
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3,3,NA,16,11,10,14,2,12,7,12,9,33,NA,24,21,7,NA,16,21,NA,5,11,12,6,NA,0,NA,NA,NA,21,0,6,4,18,19,4,3,0,0,NA,NA,0,NA,20,0,0,8,6,4,5,2,12,24,21,NA,9,NA,NA,2,5,8,24,12,2,NA,8,NA,7
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2,3,23,2,14,5,0,22,14,NA,5,9,0,16,7,7,NA,15,16,2,21,NA,3,NA,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,10,0,0,21,7,19,0,8,13,0,0,NA,29,0,3,7,3,6,5,8,9,NA,2,NA,15
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18,0,0,7,5,NA,24,NA,16,3,12,17,18,8,8,NA,2,9,0,NA,2,NA,NA,7,7,7,7,12,0,20,5,NA,12,7,14,25,NA,NA,2,7,4,12,2,8,7,NA,7,0,3,10,2,13,0,14,NA,8,18,27,NA,8,8,NA,2,20,4
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA,3,NA,7,NA,0,14,NA,10,NA,NA,NA,NA,NA,32,5,4,3,4,5,3,15,19,2,NA,22,4,NA,NA,NA,3,15,0,16,10,4,14,3,5,NA,44,0,7,8,0,NA,14,0,2,NA,14,24,NA,7,11,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21,NA,17,NA,5,NA,0,21,7,3,3,NA,NA,17,21,4,12,NA,16,0,32,4,NA,2,19,0,4,6,0,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,7,14,NA,5,0,19,27,5,10,0,NA,NA,0,15,8,NA,7,NA,19,8,3,NA
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0,51,11,32,NA,0,5,NA,7,9,5,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,7,2,27,NA
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15,8,NA,8,8,24,3,7,27,2,10,9,19,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,7,20,NA,5,NA,4
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9,33,7,2,3,0,NA,0,7,0,3,7,8,0,NA,14,0,0,21,2,NA,13,NA,NA,17,8,3,2,9,NA,19,2,0,12,22,4,NA,NA,NA,0,0,12,0,0,NA,12,4,NA,3,10,22,NA,4,5,0,NA,NA,12,4,NA,24,3,NA,4,30,0
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,19,3,5,0,7,NA,12,28,16,11,NA,10,NA,15,3,14,3,8,8,9,5,9,22,0,2,NA,NA,6,0,10,16,0,10,6,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
