P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Archer,Jhoulys Chacin,Derek Norris,Paul Goldschmidt,Dee Gordon,Jake Lamb,Aledmys Diaz,AJ Pollock,David Peralta,Christian Yelich
Stephen Strasburg,Chris Archer,Jeff Mathis,Justin Bour,Kolten Wong,Jake Lamb,Andrew Romine,AJ Pollock,David Peralta,Christian Yelich
Chris Archer,Jhoulys Chacin,Jeff Mathis,Paul Goldschmidt,Kolten Wong,Jake Lamb,Trea Turner,AJ Pollock,Mookie Betts,Andrew Benintendi
Yu Darvish,Chris Archer,Derek Norris,Justin Bour,Dee Gordon,Martin Prado,Andrew Romine,AJ Pollock,Mookie Betts,Christian Yelich
Yu Darvish,Jhoulys Chacin,Christian Vazquez,Paul Goldschmidt,Brian Dozier,Jake Lamb,Andrew Romine,AJ Pollock,David Peralta,Michael Conforto
Chris Archer,Rafael Montero,Yasmani Grandal,Paul Goldschmidt,Tyler Saladino,Jake Lamb,Jorge Polanco,AJ Pollock,Mookie Betts,David Peralta
Chris Archer,Jhoulys Chacin,Jeff Mathis,Paul Goldschmidt,Dustin Pedroia,Manny Machado,Jorge Polanco,AJ Pollock,David Peralta,Giancarlo Stanton
Chris Archer,Jhoulys Chacin,Brian McCann,Justin Bour,Brian Dozier,Jake Lamb,Chris Owings,AJ Pollock,Mookie Betts,David Peralta
Stephen Strasburg,Chris Archer,Yasmani Grandal,Justin Bour,Dee Gordon,Miguel Rojas,Aledmys Diaz,Mookie Betts,David Peralta,Christian Yelich
Chris Archer,Michael Fulmer,Jeff Mathis,Paul Goldschmidt,Dee Gordon,Jake Lamb,Andrew Romine,David Peralta,Giancarlo Stanton,Michael Conforto
Stephen Strasburg,Jhoulys Chacin,Jeff Mathis,Paul Goldschmidt,Tyler Saladino,Eduardo Escobar,Trea Turner,AJ Pollock,David Peralta,Christian Yelich
Stephen Strasburg,Jhoulys Chacin,Russell Martin,Justin Bour,Dee Gordon,Jake Lamb,Trea Turner,AJ Pollock,Giancarlo Stanton,Christian Yelich
Chris Archer,Michael Fulmer,JT Realmuto,Justin Bour,Dee Gordon,Yunel Escobar,Trea Turner,AJ Pollock,David Peralta,Christian Yelich
Chris Archer,Jesse Chavez,Salvador Perez,Paul Goldschmidt,Dustin Pedroia,Jake Lamb,Andrew Romine,AJ Pollock,David Peralta,Andrew Benintendi
Stephen Strasburg,Chris Archer,Christian Vazquez,Paul Goldschmidt,Dustin Pedroia,Eduardo Escobar,Andrew Romine,Mookie Betts,Christian Yelich,Andrew Benintendi
Chris Archer,Jhoulys Chacin,Manny Pina,Paul Goldschmidt,Tyler Saladino,Jake Lamb,Chris Owings,AJ Pollock,Giancarlo Stanton,Michael Conforto
Chris Archer,Jesse Chavez,Yasmani Grandal,Paul Goldschmidt,Kolten Wong,Justin Turner,Chris Owings,AJ Pollock,David Peralta,Christian Yelich
Yu Darvish,Chris Archer,Jeff Mathis,Justin Bour,Dee Gordon,Eduardo Escobar,Jorge Polanco,David Peralta,Giancarlo Stanton,Christian Yelich
Chris Archer,Michael Fulmer,Christian Vazquez,Justin Bour,Dustin Pedroia,Jake Lamb,Aledmys Diaz,AJ Pollock,Mookie Betts,Andrew Benintendi
