"Jose Altuve_HOU","Carlos Correa_HOU","Brian Dozier_MIN","George Springer_HOU","Miguel Sano_MIN","Giancarlo Stanton_MIA","Dee Gordon_MIA","Joe Mauer_MIN","Josh Reddick_HOU","Justin Bour_MIA","Carlos Beltran_HOU","Marwin Gonzalez_HOU","Robbie Grossman_MIN","Alex Bregman_HOU","Marcell Ozuna_MIA","Christian Yelich_MIA","Max Kepler_MIN","Tommy Joseph_PHI","Aaron Altherr_PHI","Cesar Hernandez_PHI","Brian McCann_HOU","Kennys Vargas_MIN","Eddie Rosario_MIN","Evan Gattis_HOU","JT Realmuto_MIA","Jorge Polanco_MIN","Derek Fisher_HOU","Yuli Gurriel_HOU","Martin Prado_MIA","Howie Kendrick_PHI","Michael Saunders_PHI","Derek Dietrich_MIA","Jake Marisnick_HOU","Norichika Aoki_HOU","Jason Castro_MIN","Maikel Franco_PHI","Andrew Knapp_PHI","Rhys Hoskins_PHI","Eduardo Escobar_MIN","Byron Buxton_MIN","Daniel Nava_PHI","Destin Hood_MIA","JT Riddle_MIA","Chris Gimenez_MIN","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Christian Colon_MIA","Freddy Galvis_PHI","Steve Lombardozzi_MIA","Brock Stassi_PHI","Cameron Rupp_PHI","Adeiny Hechavarria_MIA","Ehire Adrianza_MIN","Andres Blanco_PHI","AJ Ellis_MIA","Odubel Herrera_PHI","Juan Centeno_HOU","Tony Kemp_HOU","Mike Aviles_MIA","Ty Kelly_PHI","Miguel Rojas_MIA"
69.1507863089732,-10.4408536585366,0,2.47009966777409,0,0,0,0,-7.54623044096728,0,7.98515519568151,-3.78325123152709,0,13.7473867595819,0,0,0,0,0,0,-9.51566951566952,0,0,3.76190476190476,0,0,0,0,0,0,0,0,-2.05882352941176,16.8703703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,0,0,0,0
-10.4408536585366,54.9025470653378,0,2.34159159159159,0,0,0,0,18.9697478991597,0,15.5285714285714,13.7566666666667,0,8.34779516358464,0,0,0,0,0,0,-3.93589743589744,0,0,4.68,0,0,0,0,0,0,0,0,17.7619047619048,-4.99166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40.3428571428571,0,0.914772727272727,0,0,8.25913978494624,0,0,0,0,-6.20307692307692,0,0,0,18.2258064516129,0,0,0,0,-0.438095238095238,-0.838709677419355,0,0,-0.814516129032258,0,0,0,0,0,0,0,0,16.1583333333333,0,0,0,-1,15.2068965517241,0,0,0,1.5,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0
2.47009966777409,2.34159159159159,0,45.5636766334441,0,0,0,0,-5.47147950089127,0,0.211111111111111,7.38034188034188,0,4.80161943319838,0,0,0,0,0,0,-1.37944664031621,0,0,9.88307692307692,0,0,0,0,0,0,0,0,-5.24285714285714,5.55833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.914772727272727,0,88.4336134453782,0,0,24.5677339901478,0,0,0,0,20.3938461538462,0,0,0,34.1625615763547,0,0,0,0,9.19230769230769,-4.70752688172043,0,0,10.8806818181818,0,0,0,0,0,0,0,0,6.70652173913043,0,0,0,26.85,15.4032258064516,0,0,0,8.61363636363636,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
0,0,0,0,0,81.6646464646465,-1.88658536585366,0,0,4.99573170731707,0,0,0,0,5.83383838383838,11.5909090909091,0,0,0,0,0,0,0,0,2.59388335704125,0,0,0,19.8190476190476,0,0,4.10846560846561,0,0,0,0,0,0,0,0,0,0,39.3345588235294,0,62.5833333333333,48,0,-0.666666666666667,0,0,0,0,18.2416666666667,0,0,-3.71428571428571,0,0,0,0,0,-34.3846153846154
0,0,0,0,0,-1.88658536585366,47.1457607433217,0,0,20.199146514936,0,0,0,0,8.39430894308943,5.64227642276423,0,0,0,0,0,0,0,0,7.18823529411765,0,0,0,-4.13461538461539,0,0,-0.409230769230769,0,0,0,0,0,0,0,0,0,0,24.2,0,-0.166666666666667,3,0,7.16666666666667,0,0,0,0,-3.64102564102564,0,0,10,0,0,0,0,0,11.6794871794872
0,0,8.25913978494624,0,24.5677339901478,0,0,45.6837121212121,0,0,0,0,7.19565217391304,0,0,0,7.17311827956989,0,0,0,0,-11.6153846153846,13.271164021164,0,0,1.41748768472906,0,0,0,0,0,0,0,0,16.8183333333333,0,0,0,-7.08974358974359,7.82051282051282,0,0,0,6.625,0,0,0,0,0,0,0,0,0,10.6666666666667,0,0,0,0,0,0,0,0
-7.54623044096728,18.9697478991597,0,-5.47147950089127,0,0,0,0,48.8102564102564,0,12.1935483870968,0.033596837944664,0,14.1103174603175,0,0,0,0,0,0,-6.93666666666667,0,0,3.6600790513834,0,0,0,0,0,0,0,0,20.4583333333333,-8.43076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
0,0,0,0,0,4.99573170731707,20.199146514936,0,0,84.8042973286876,0,0,0,0,-1.57665505226481,13.6521486643438,0,0,0,0,0,0,0,0,7.85396825396825,0,0,0,5.68131868131868,0,0,11.7307692307692,0,0,0,0,0,0,0,0,0,0,-5.75238095238095,0,26.55,0,0,-8,0,0,0,0,-3.84285714285714,0,0,12.6666666666667,0,0,0,0,0,8.96969696969697
7.98515519568151,15.5285714285714,0,0.211111111111111,0,0,0,0,12.1935483870968,0,55.3615384615385,30.9940711462451,0,8.47301587301587,0,0,0,0,0,0,-6.28458498023715,0,0,-5.3,0,0,0,0,0,0,0,0,-2.01428571428571,-17.9723320158103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.78325123152709,13.7566666666667,0,7.38034188034188,0,0,0,0,0.033596837944664,0,30.9940711462451,77.3956989247312,0,-2.02153846153846,0,0,0,0,0,0,-2.54385964912281,0,0,3.08421052631579,0,0,0,0,0,0,0,0,-4.42424242424242,-5.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.5,0,0,0,0
0,0,-6.20307692307692,0,20.3938461538462,0,0,7.19565217391304,0,0,0,0,45.4325396825397,0,0,0,17.8616600790514,0,0,0,0,1.71428571428571,-4.77865612648221,0,0,13.7566666666667,0,0,0,0,0,0,0,0,1.22058823529412,0,0,0,8.58333333333333,-2.56324110671937,0,0,0,-1.16363636363636,0,0,0,0,0,0,0,0,0,-21.6666666666667,0,0,0,0,0,0,0,0
13.7473867595819,8.34779516358464,0,4.80161943319838,0,0,0,0,14.1103174603175,0,8.47301587301587,-2.02153846153846,0,35.8816067653277,0,0,0,0,0,0,-4.14666666666667,0,0,-8.505291005291,0,0,0,0,0,0,0,0,-13.45,3.28833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.83383838383838,8.39430894308943,0,0,-1.57665505226481,0,0,0,0,78.2304347826087,22.0985507246377,0,0,0,0,0,0,0,0,7.80229419703104,0,0,0,-2.14761904761905,0,0,-11.8497536945813,0,0,0,0,0,0,0,0,0,0,-3.97794117647059,0,9.45,-3,0,4.66666666666667,0,0,0,0,-2.85,0,0,19.2142857142857,0,0,0,0,0,35.1142857142857
0,0,0,0,0,11.5909090909091,5.64227642276423,0,0,13.6521486643438,0,0,0,0,22.0985507246377,48.8714975845411,0,0,0,0,0,0,0,0,2.33603238866397,0,0,0,-8.96190476190476,0,0,1.13300492610837,0,0,0,0,0,0,0,0,0,0,-10.1801470588235,0,35.85,3,0,-13.6666666666667,0,0,0,0,14.2916666666667,0,0,3.28571428571429,0,0,0,0,0,-5.32857142857143
0,0,18.2258064516129,0,34.1625615763547,0,0,7.17311827956989,0,0,0,0,17.8616600790514,0,0,0,52.25,0,0,0,0,-8.54545454545454,2.36111111111111,0,0,5.08866995073892,0,0,0,0,0,0,0,0,-0.0933333333333333,0,0,0,13.7582417582418,18.5,0,0,0,9.42857142857143,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0
