"Mike Trout_LAA","Paul Goldschmidt_ARI","Mookie Betts_BOS","Wil Myers_SD","AJ Pollock_ARI","Gary Sanchez_NYY","Josh Donaldson_TOR","Hanley Ramirez_BOS","Xander Bogaerts_BOS","Jake Lamb_ARI","Chris Carter_NYY","Matt Holliday_NYY","Jose Bautista_TOR","Yasmany Tomas_ARI","Matt Carpenter_STL","Dexter Fowler_STL","Brett Gardner_NYY","Jacoby Ellsbury_NYY","Jackie Bradley_BOS","Aaron Judge_NYY","Troy Tulowitzki_TOR","Aledmys Diaz_STL","Stephen Piscotty_STL","Albert Pujols_LAA","Ryan Schimpf_SD","Chris Owings_ARI","Devon Travis_TOR","Dustin Pedroia_BOS","Chase Headley_NYY","Yangervis Solarte_SD","Kendrys Morales_TOR","Starlin Castro_NYY","Didi Gregorius_NYY","David Peralta_ARI","Manuel Margot_SD","Randal Grichuk_STL","Greg Bird_NYY","Andrew Benintendi_BOS","Khris Davis_OAK","Kole Calhoun_LAA","Russell Martin_TOR","Cameron Maybin_LAA","Brandon Drury_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Jedd Gyorko_STL","Steve Pearce_TOR","Pablo Sandoval_BOS","Stephen Vogt_OAK","CJ Cron_LAA","Rajai Davis_OAK","Cory Spangenberg_SD","Yadier Molina_STL","Kevin Pillar_TOR","Jefry Marte_LAA","Luis Valbuena_LAA","Trevor Plouffe_OAK","Jeremy Hazelbaker_ARI","Pete Kozma_NYY","Aaron Hicks_NYY","Ryon Healy_OAK","Marcus Semien_OAK","Chris Herrmann_ARI","Travis Jankowski_SD","Jhonny Peralta_STL","Brock Holt_BOS","Yunel Escobar_LAA","Ben Revere_LAA","Socrates Brito_ARI","Justin Smoak_TOR","Rowdy Tellez_TOR","Matt Adams_STL","Dalton Pompey_TOR","Mitch Moreland_BOS","Gleyber Torres_NYY","Andrelton Simmons_LAA","Kolten Wong_STL","Austin Romine_NYY","Chris Young_BOS","Jed Lowrie_OAK","Danny Espinosa_LAA","Christian Bethancourt_SD","Austin Hedges_SD","Jarrod Saltalamacchia_TOR","Ezequiel Carrera_TOR","Harrison Bader_STL","Josh Phegley_OAK","Mark Canha_OAK","Erick Aybar_SD","Jose Martinez_STL","Sandy Leon_BOS","Marco Hernandez_BOS","Ronald Torreyes_NYY","Steve Selsky_BOS","Yonder Alonso_OAK","Ryan LaMarre_OAK","Chris Iannetta_ARI","Luis Sardinas_SD","Allen Cordoba_SD","Greg Garcia_STL","Daniel Descalso_ARI","Jabari Blash_SD","Darwin Barney_TOR","Kyle Higashioka_NYY","Christian Vazquez_BOS","Josh Rutledge_BOS","Deven Marrero_BOS","Jake Smolinski_OAK","Hector Sanchez_SD","Nick Ahmed_ARI","Carson Kelly_STL","Bruce Maxwell_OAK","Eric Fryer_STL","Ryan Goins_TOR","Martin Maldonado_LAA","Juan Graterol_LAA","Matt Joyce_OAK","Carlos Perez_LAA","Adam Rosales_OAK","Jeff Mathis_ARI","Luis Torrens_SD","Chris Coghlan_TOR","Chad Pinder_OAK","Cliff Pennington_LAA","Jaff Decker_OAK","Matt Olson_OAK"
22.5763157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,68.5454545454545,0,0,81.4167307814656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,81.9714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,70.9285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,81.4167307814656,0,0,73.7342105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20.6153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.0897435897436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,45.747619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
