"Charlie Blackmon_COL","Nolan Arenado_COL","Ian Desmond_COL","Jose Abreu_CWS","Jonathan Schoop_BAL","Miguel Sano_MIN","Max Kepler_MIN","Melky Cabrera_CWS","Todd Frazier_CWS","Chris Davis_BAL","Adrian Beltre_TEX","Mike Napoli_TEX","Mike Trout_LAA","David Dahl_COL","Shin-Soo Choo_TEX","Carlos Gomez_TEX","Andrelton Simmons_LAA","Rougned Odor_TEX","Mark Reynolds_COL","Eddie Rosario_MIN","Nomar Mazara_TEX","Raimel Tapia_COL","Joe Mauer_MIN","Brian Dozier_MIN","Cameron Maybin_LAA","Curtis Granderson_NYM","Gerardo Parra_COL","DJ LeMahieu_COL","Mark Trumbo_BAL","Elvis Andrus_TEX","Delino DeShields_TEX","Joey Gallo_TEX","Carlos Gonzalez_COL","Trevor Story_COL","Eduardo Escobar_MIN","Manny Machado_BAL","Daniel Palka_MIN","Lucas Duda_NYM","Michael Conforto_NYM","CJ Cron_LAA","Avisail Garcia_CWS","Yolmer Sanchez_CWS","Stephen Cardullo_COL","Pat Valaika_COL","Adam Engel_CWS","Yoan Moncada_CWS","Trey Mancini_BAL","Tommy Pham_STL","Matt Davidson_CWS","Willy Garcia_CWS","Robbie Grossman_MIN","Byron Buxton_MIN","Jay Bruce_NYM","Yoenis Cespedes_NYM","Albert Pujols_LAA","Robinson Chirinos_TEX","Eric Young_LAA","Jefry Marte_LAA","Leury Garcia_CWS","Tyler Saladino_CWS","Jacob May_CWS","Kennys Vargas_MIN","Dexter Fowler_STL","Jedd Gyorko_STL","Yunel Escobar_LAA","Kole Calhoun_LAA","Dustin Garneau_COL","Alen Hanson_CWS","Jordan Patterson_COL","Tim Anderson_CWS","Joey Rickard_BAL","Matt Carpenter_STL","Aledmys Diaz_STL","Nick Franklin_LAA","Mike Tauchman_COL","Seth Smith_BAL","Caleb Joseph_BAL","David Wright_NYM","Asdrubal Cabrera_NYM","TJ Rivera_NYM","Charlie Tilson_CWS","Craig Gentry_BAL","Jorge Polanco_MIN","Neil Walker_NYM","Travis d'Arnaud_NYM","Wilmer Flores_NYM","Paul DeJong_STL","Jonathan Lucroy_TEX","Ben Revere_LAA","Jurickson Profar_TEX","JJ Hardy_BAL","Adam Jones_BAL","Jose Reyes_NYM","Stephen Piscotty_STL","Luis Valbuena_LAA","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Omar Narvaez_CWS","Tom Murphy_COL","Chris Gimenez_MIN","Jason Castro_MIN","Yadier Molina_STL","Chad Huffman_STL","Martin Maldonado_LAA","Ryan Rua_TEX","Andy Ibanez_TEX","Alexi Amarista_COL","Cristhian Adames_COL","Welington Castillo_BAL","Jose Martinez_STL","Ryan Hanigan_COL","Kevan Smith_CWS","Shane Robinson_LAA","David Fletcher_LAA","Geovany Soto_CWS","Cody Asche_CWS","Tony Wolters_COL","Francisco Pena_BAL","Ryan Flaherty_BAL","Hyun Soo Kim_BAL","Luis Sardinas_BAL","Kolten Wong_STL","Amed Rosario_NYM","Kaleb Cowart_LAA","Hanser Alberto_TEX","Nolan Fontana_LAA","Grant Green_CWS","Zack Collins_CWS","Paul Janish_BAL","Ehire Adrianza_MIN","Rene Rivera_NYM","Luke Voit_STL","Greg Garcia_STL","Brandon Nimmo_NYM","Harrison Bader_STL","Drew Stubbs_TEX","Randal Grichuk_STL","Alex Mejia_STL","Cliff Pennington_LAA","Carlos Perez_LAA","Ronald Guzman_TEX","Juan Lagares_NYM","Gavin Cecchini_NYM","Juan Graterol_LAA","Ruben Tejada_BAL","David Washington_BAL","Anthony Santander_BAL","Matt Reynolds_NYM","Kevin Plawecki_NYM","Magneuris Sierra_STL","Drew Robinson_TEX","Carson Kelly_STL","Eric Fryer_STL","Danny Espinosa_LAA"
0,0,0,0,0,0,0,0,0,0,30,20,0,0,28,16,0,29,0,0,24,0,0,0,0,0,0,0,0,28,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,20,63,0,0,54,48,0,62,0,0,51,0,0,0,0,0,0,0,0,61,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,12,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,43,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,22,0,0,0,0,0,0,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28,54,0,0,71,45,0,70,0,0,59,0,0,0,0,0,0,0,0,68,41,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,16,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,48,0,0,45,52,0,51,0,0,43,0,0,0,0,0,0,0,0,50,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,82,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,24,27,0,0,0,0,0,0,61,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,15,0,0,0,0,0,0,0,0,0,58
0,0,0,0,0,0,0,0,0,0,29,62,0,0,70,51,0,79,0,0,68,0,0,0,0,0,0,0,0,76,49,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,16,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,16,0,0,0,0,26,65,0,0,0,0,55,56,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,53,49,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,48,53,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,24,51,0,0,59,43,0,68,0,0,68,0,0,0,0,0,0,0,0,65,38,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,16,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,14,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,53,54,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,60,54,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,58,55,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,54,65,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,56,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,63,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,15,23,0,0,0,0,0,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,25,0,0,0,50,34,36,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,4,4,0,0,0,0,0
30,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,32,30,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,14,0,0,0,0,30,73,0,0,0,0,58,55,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,78,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,48,32,0,0,0,0,13,0,0,0,0,0,0,0,0,59,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28,61,0,0,68,50,0,76,0,0,65,0,0,0,0,0,0,0,0,77,48,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,13,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,38,0,0,41,27,0,49,0,0,38,0,0,0,0,0,0,0,0,48,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,21,53,0,0,62,43,0,69,0,0,65,0,0,0,0,0,0,0,0,66,39,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,16,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
