P,P,C,1B,2B,3B,SS,OF,OF,OF
Max Scherzer,Aaron Nola,Yan Gomes,Matt Carpenter,Jason Kipnis,Cory Spangenberg,Francisco Lindor,Michael Brantley,Bradley Zimmer,Eric Young
Max Scherzer,Aaron Nola,Travis d'Arnaud,Jay Bruce,Jason Kipnis,Jedd Gyorko,Asdrubal Cabrera,Michael Conforto,Curtis Granderson,Eric Young
Chris Archer,Aaron Nola,Yan Gomes,Carlos Santana,Jason Kipnis,Jedd Gyorko,Asdrubal Cabrera,Michael Brantley,Lonnie Chisenhall,Carlos Gonzalez
Chris Archer,Aaron Nola,Martin Maldonado,Brandon Belt,Jason Kipnis,Yunel Escobar,Francisco Lindor,Michael Brantley,Bradley Zimmer,Lonnie Chisenhall
Chris Archer,Aaron Nola,Travis d'Arnaud,Matt Carpenter,Neil Walker,Nolan Arenado,Asdrubal Cabrera,Michael Conforto,Carlos Gonzalez,Curtis Granderson
Chris Archer,Aaron Nola,Yan Gomes,Matt Carpenter,Jose Ramirez,Jedd Gyorko,Francisco Lindor,Bradley Zimmer,Lonnie Chisenhall,David Peralta
Max Scherzer,Aaron Nola,Yadier Molina,Matt Carpenter,Greg Garcia,Jedd Gyorko,Francisco Lindor,Michael Conforto,Stephen Piscotty,Eric Young
Chris Archer,Aaron Nola,Salvador Perez,Carlos Santana,Jose Ramirez,Manny Machado,Francisco Lindor,Michael Brantley,Bradley Zimmer,Eric Young
Max Scherzer,Chris Archer,Martin Maldonado,CJ Cron,Danny Espinosa,Yunel Escobar,Asdrubal Cabrera,Michael Brantley,Carlos Gonzalez,Eric Young
Jaime Garcia,Aaron Nola,Evan Gattis,Carlos Santana,Jason Kipnis,Jedd Gyorko,Francisco Lindor,Michael Conforto,Michael Brantley,Bradley Zimmer
Chris Archer,Jaime Garcia,Yan Gomes,Carlos Santana,Jason Kipnis,Yunel Escobar,Francisco Lindor,Michael Brantley,David Peralta,Eric Young
Chris Archer,Ivan Nova,Yan Gomes,Wil Myers,Jason Kipnis,Jedd Gyorko,Francisco Lindor,Michael Brantley,Bradley Zimmer,Kevin Pillar
Max Scherzer,Aaron Nola,Salvador Perez,Brandon Belt,Jason Kipnis,Eduardo Nunez,Brandon Crawford,Denard Span,Kevin Pillar,Austin Slater
Max Scherzer,Aaron Nola,Yan Gomes,Carlos Santana,Jason Kipnis,Yunel Escobar,Francisco Lindor,Lonnie Chisenhall,Gregor Blanco,Mark Canha
Chris Archer,Aaron Nola,Yan Gomes,Carlos Santana,Jason Kipnis,Kyle Seager,Francisco Lindor,Bradley Zimmer,Denard Span,Hunter Renfroe
Max Scherzer,Chris Archer,Austin Hedges,Wil Myers,Yangervis Solarte,Cory Spangenberg,Asdrubal Cabrera,Carlos Gonzalez,Hunter Renfroe,Eric Young
Chris Archer,Aaron Nola,Yadier Molina,Matt Carpenter,Jason Kipnis,Jedd Gyorko,Francisco Lindor,Dexter Fowler,Tommy Pham,Gregor Blanco
Chris Archer,Jaime Garcia,Yan Gomes,Matt Carpenter,Jason Kipnis,Kyle Seager,Corey Seager,Michael Brantley,Bradley Zimmer,Lonnie Chisenhall
Chris Archer,Aaron Nola,Tony Wolters,Matt Carpenter,DJ LeMahieu,Nolan Arenado,Francisco Lindor,Charlie Blackmon,Carlos Gonzalez,Eric Young
Jaime Garcia,Aaron Nola,Yan Gomes,Eric Thames,Jason Kipnis,Nolan Arenado,Francisco Lindor,Michael Brantley,Denard Span,Lonnie Chisenhall
Max Scherzer,Aaron Nola,Travis d'Arnaud,Matt Carpenter,Greg Garcia,Jedd Gyorko,Asdrubal Cabrera,Dexter Fowler,Tommy Pham,Carlos Gonzalez
Max Scherzer,Aaron Nola,Travis d'Arnaud,Lucas Duda,Neil Walker,Cory Spangenberg,Asdrubal Cabrera,Michael Brantley,Hunter Renfroe,Curtis Granderson
Max Scherzer,Chris Archer,Martin Maldonado,Matt Carpenter,Jason Kipnis,Yunel Escobar,Andrelton Simmons,Bradley Zimmer,Shane Robinson,Eric Young
Max Scherzer,Aaron Nola,Salvador Perez,Carlos Santana,Jason Kipnis,Maikel Franco,Alcides Escobar,Michael Brantley,Bradley Zimmer,Lonnie Chisenhall
Max Scherzer,Aaron Nola,Austin Hedges,Wil Myers,Jason Kipnis,Cory Spangenberg,Chase d'Arnaud,Michael Conforto,Michael Brantley,Hunter Renfroe
Max Scherzer,Jaime Garcia,Travis d'Arnaud,Matt Carpenter,Wilmer Flores,Yunel Escobar,Asdrubal Cabrera,Michael Conforto,Curtis Granderson,Gregor Blanco
Chris Archer,Ivan Nova,Yasmani Grandal,Carlos Santana,Jason Kipnis,Kyle Seager,Francisco Lindor,Michael Brantley,Lonnie Chisenhall,Curtis Granderson
Chris Archer,Ivan Nova,Travis d'Arnaud,Lucas Duda,Jason Kipnis,Yunel Escobar,Asdrubal Cabrera,Michael Conforto,Michael Brantley,Curtis Granderson
Chris Archer,Aaron Nola,Yasmani Grandal,Jay Bruce,Wilmer Flores,Manny Machado,Asdrubal Cabrera,Michael Conforto,Michael Brantley,Curtis Granderson
Max Scherzer,Aaron Nola,Yan Gomes,Carlos Santana,Jose Ramirez,Kyle Seager,Asdrubal Cabrera,Bradley Zimmer,Lonnie Chisenhall,Eric Young
Max Scherzer,Aaron Nola,Martin Maldonado,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trevor Story,Carlos Gonzalez,Gregor Blanco,Eric Young
Max Scherzer,Jeff Locke,Martin Maldonado,Carlos Santana,Jason Kipnis,Jedd Gyorko,Francisco Lindor,Bradley Zimmer,Lonnie Chisenhall,Eric Young
Chris Archer,Aaron Nola,Tony Wolters,Mark Reynolds,Jason Kipnis,Nolan Arenado,Trevor Story,David Peralta,Carlos Gonzalez,Curtis Granderson
Max Scherzer,Aaron Nola,Chris Herrmann,Matt Carpenter,Daniel Descalso,Jake Lamb,Asdrubal Cabrera,Michael Brantley,David Peralta,Gregor Blanco
Max Scherzer,Aaron Nola,Travis d'Arnaud,Brandon Belt,Neil Walker,Maikel Franco,Asdrubal Cabrera,Michael Conforto,Gregor Blanco,Juan Lagares
Max Scherzer,Aaron Nola,Martin Maldonado,Brandon Belt,Joe Panik,Eduardo Nunez,Asdrubal Cabrera,Denard Span,Hunter Pence,Carlos Gonzalez
