"Joey Votto_CIN","Charlie Blackmon_COL","Paul Goldschmidt_ARI","Cody Bellinger_LAD","Adam Duvall_CIN","Nolan Arenado_COL","Mark Reynolds_COL","Mookie Betts_BOS","Billy Hamilton_CIN","Xander Bogaerts_BOS","Justin Turner_LAD","Chris Taylor_LAD","Corey Seager_LAD","Ian Desmond_COL","Jackie Bradley_BOS","Jake Lamb_ARI","Joc Pederson_LAD","Scooter Gennett_CIN","Dustin Pedroia_BOS","Elvis Andrus_TEX","Logan Forsythe_LAD","Zack Cozart_CIN","Trevor Story_COL","David Dahl_COL","Hanley Ramirez_BOS","Chris Owings_ARI","Carlos Gonzalez_COL","Gerardo Parra_COL","David Peralta_ARI","Yasiel Puig_LAD","DJ LeMahieu_COL","Arismendy Alcantara_CIN","Scott Schebler_CIN","Joey Gallo_TEX","Adrian Gonzalez_LAD","AJ Pollock_ARI","Yasmani Grandal_LAD","Kike Hernandez_LAD","Eugenio Suarez_CIN","Raimel Tapia_COL","Jesse Winker_CIN","Rougned Odor_TEX","Andrew Benintendi_BOS","Daniel Descalso_ARI","Devin Mesoraco_CIN","Stephen Cardullo_COL","Robinson Chirinos_TEX","Carlos Gomez_TEX","Dustin Garneau_COL","Pat Valaika_COL","Mitch Moreland_BOS","Nomar Mazara_TEX","Chase Utley_LAD","Franklin Gutierrez_LAD","Gregor Blanco_ARI","Peter O'Brien_LAD","Austin Barnes_LAD","Yasmany Tomas_ARI","Tom Murphy_COL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Deven Marrero_BOS","Tucker Barnhart_CIN","Phillip Ervin_CIN","Mike Napoli_TEX","Sandy Leon_BOS","Delino DeShields_TEX","Chris Herrmann_ARI","Jordan Patterson_COL","Chris Iannetta_ARI","Trayce Thompson_LAD","Jose Peraza_CIN","Pablo Sandoval_BOS","Andrew Toles_LAD","Willie Calhoun_LAD","Tony Wolters_COL","Chris Young_BOS","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Rob Segedin_LAD","Brandon Drury_ARI","Nick Ahmed_ARI","Ketel Marte_ARI","Alex Verdugo_LAD","Alexi Amarista_COL","Patrick Kivlehan_CIN","Mike Tauchman_COL","Jonathan Lucroy_TEX","Christian Vazquez_BOS","Jurickson Profar_TEX","Andre Ethier_LAD","Rey Fuentes_ARI","Jack Reinheimer_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Cristhian Adames_COL","Jhonny Peralta_BOS","Brock Holt_BOS","Scott Van Slyke_LAD","Socrates Brito_ARI","Ryan Hanigan_COL","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Nick Senzel_CIN","Steve Selsky_BOS","Marco Hernandez_BOS","Ryan Rua_TEX","Tzu-Wei Lin_BOS","Andy Ibanez_TEX","Stuart Turner_CIN","Drew Stubbs_TEX","Josh Rutledge_BOS","Hanser Alberto_TEX","Sam Travis_BOS","Mike Freeman_LAD","Jeff Mathis_ARI","Ronald Guzman_TEX","Brett Eibner_LAD","Drew Robinson_TEX","Ildemaro Vargas_ARI"
55.2197539302802,0,0,0,2.49315895372233,0,0,0,-6.88533674339301,0,0,0,0,0,0,0,0,-11.4864864864865,0,0,0,5.43828320802005,0,0,0,0,0,0,0,0,0,9.21428571428571,2.86625258799172,0,0,0,0,0,-3.07686116700201,0,0,0,0,0,-5.27709359605911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86868686868687,0,0,0,0,0,0,0,0,10.4507672634271,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0
0,71.5527582376897,0,0,0,9.70833333333333,16.5174825174825,0,0,0,0,0,0,8.50724637681159,0,0,0,0,0,0,0,0,1.04104010025063,0,0,0,7.04839685420448,13.5862068965517,0,0,9.6191389599318,0,0,0,0,0,0,0,0,29.8846153846154,0,0,0,0,0,5.4,0,0,4.21428571428571,20.5769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3076109936575,0,0,0,0,0,0,0,0,24.8131868131868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,67.1514035087719,0,0,0,0,0,0,0,0,0,0,0,0,6.19114688128773,0,0,0,0,0,0,0,0,0,-0.768509615384615,0,0,22.5243506493506,0,0,0,0,0,0,31.089247311828,0,0,0,0,0,0,0,3.48039215686275,0,0,0,0,0,0,0,0,0,0,13.1923076923077,0,0,2.48245614035088,0,0,0,0,0,0,0,0,0,18.6523076923077,0,-7.88,0,0,0,0,0,0,0,19.6,0,0,18.8783712321523,15.3460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38502673796791,0,0,0,0
0,0,0,99.4038112522686,0,0,0,0,0,0,13.1033613445378,10.3649398704903,24.3673469387755,0,0,0,-10.1630769230769,0,0,0,1.35897435897436,0,0,0,0,0,0,0,0,39.5937198067633,0,0,0,0,-4.06833333333333,0,-6.97674418604651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63461538461539,-1.02380952380952,0,0,3.20833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.83333333333333,0,0,13.7361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5833333333333,0,0
2.49315895372233,0,0,0,71.4329979879276,0,0,0,12.5974702380952,0,0,0,0,0,0,0,0,8.17741935483871,0,0,0,-20.1764705882353,0,0,0,0,0,0,0,0,0,20.1428571428571,2.078125,0,0,0,0,0,10.7475961538462,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111538461538462,0,0,0,0,0,0,0,0,8.55222734254992,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3611111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.66666666666667,0,0,0,0,0,0,0,0,0,0
0,9.70833333333333,0,0,0,67.954954954955,10.0307553143374,0,0,0,0,0,0,20.7548566142461,0,0,0,0,0,0,0,0,10.3038847117794,0,0,0,1.50453720508167,-1.6633064516129,0,0,10.9507246376812,0,0,0,0,0,0,0,0,4.17619047619048,0,0,0,0,0,14.05,0,0,-2.2,55.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84778012684989,0,0,0,0,0,0,0,0,23.4428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.5174825174825,0,0,0,10.0307553143374,74.1270247229326,0,0,0,0,0,0,3.85191637630662,0,0,0,0,0,0,0,0,0.345911949685535,0,0,0,13.0452488687783,4.01538461538462,0,0,6.55555555555556,0,0,0,0,0,0,0,0,-4.46153846153846,0,0,0,0,0,0.1,0,0,2.06593406593407,13.5054945054945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8192307692308,0,0,0,0,0,0,0,0,17.4181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,111.263783783784,0,10.688832054561,0,0,0,0,10.4203389830508,0,0,0,27.8148496240602,0,0,0,0,0,23.8564971751412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3790865384615,0,0,0,0,0,0,0,-0.442396313364055,0,0,0,0,0,0,0,0,0,0,23.3558467741935,0,0,0,15.6584084084084,0,0,0,0,0,0,10.9387351778656,0,0,0,-16.5459677419355,0,0,0,0,0,0,0,0,0,0,0,-3.17923186344239,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-5.1,0,105.35,0,0,0,-0.152173913043478,0,7.85714285714286,0,0,0,0,0,0
-6.88533674339301,0,0,0,12.5974702380952,0,0,0,50.7203751065644,0,0,0,0,0,0,0,0,2.95161290322581,0,0,0,13.8401206636501,0,0,0,0,0,0,0,0,0,9.65,-2.17162698412698,0,0,0,0,0,22.0360983102919,0,0,0,0,0,-0.852307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23846153846154,0,0,0,0,0,0,0,0,15.6845584346906,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10.688832054561,0,54.4687370600414,0,0,0,0,5.36654135338346,0,0,0,7.16742081447964,0,0,0,0,0,-2.54229323308271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2467213114754,0,0,0,0,0,0,0,7.04208065458796,0,0,0,0,0,0,0,0,0,0,24.735632183908,0,0,0,17.5445378151261,0,0,0,0,0,0,5.9547619047619,0,0,0,13.5689655172414,0,0,0,0,0,0,0,0,0,0,0,1.35882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151515151515152,0,-10,0,0,0,9.22282608695652,0,41.9761904761905,0,0,0,0,0,0
