"Anthony Rizzo_CHC","Andrew McCutchen_PIT","Kris Bryant_CHC","Ian Happ_CHC","Starling Marte_PIT","Manuel Margot_SD","Willson Contreras_CHC","Wil Myers_SD","Aaron Altherr_PHI","Jason Heyward_CHC","Josh Bell_PIT","Tommy Joseph_PHI","Ben Zobrist_CHC","Josh Harrison_PIT","Adam Frazier_PIT","Freddy Galvis_PHI","Maikel Franco_PHI","John Jaso_PIT","Addison Russell_CHC","Daniel Nava_PHI","Cesar Hernandez_PHI","Jon Jay_CHC","Jordy Mercer_PIT","Gregory Polanco_PIT","Javier Baez_CHC","Jose Pirela_SD","Ryan Schimpf_SD","Howie Kendrick_PHI","Hunter Renfroe_SD","David Freese_PIT","Odubel Herrera_PHI","Andrew Knapp_PHI","Franchy Cordero_SD","Kyle Schwarber_CHC","Erick Aybar_SD","Cory Spangenberg_SD","Nick Williams_PHI","Jose Osuna_PIT","Tommy La Stella_CHC","Yangervis Solarte_SD","Cameron Perkins_PHI","Alex Dickerson_SD","Jeimer Candelario_CHC","Mark Zagunis_CHC","Matt Szczur_SD","Rhys Hoskins_PHI","Travis Jankowski_SD","Jose Rondon_SD","Ty Kelly_PHI","Jacob Stallings_PIT","Chase d'Arnaud_SD","Cameron Rupp_PHI","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Almora_CHC","Kevin Newman_PIT","Christian Bethancourt_SD","Luis Urias_SD","Scott Kingery_PHI","Gift Ngoepe_PIT","Andres Blanco_PHI","Francisco Cervelli_PIT","Brock Stassi_PHI","Phil Gosselin_PIT","Chris Bostick_PIT","Jabari Blash_SD","Carlos Asuaje_SD","Victor Caratini_CHC","Jorge Alfaro_PHI","Roman Quinn_PHI","Hector Sanchez_SD","Austin Hedges_SD","Max Moroff_PIT","John Bormann_PIT","Eloy Jimenez_CHC","Allen Cordoba_SD","Luis Torrens_SD","Chris Stewart_PIT"
62.7744360902256,0,13.7469979296066,24.080971659919,0,0,20.3592592592593,0,0,25.7058823529412,0,0,2.6231884057971,0,0,0,0,0,6.37146892655367,0,0,18.2147177419355,0,0,3.89160401002506,0,0,0,0,0,0,0,0,8.51959361393324,0,0,0,0,-9.07142857142857,0,0,0,27.7,10,0,0,0,0,0,0,0,0,0,0,-2.34285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67.5201640464798,0,0,10.8272727272727,0,0,0,0,0,1.86521935775667,0,0,1.94757433489828,2.3159111933395,0,0,3.08275862068966,0,0,0,0,6.51649899396378,1.30128579777908,0,0,0,0,0,11.7711390635919,0,0,0,0,0,0,0,21.5108225108225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03333333333333,0,0,0,0,0,0,0,8.70031712473573,0,0,0,0,0,0,0,0,0,0,12.7619047619048,0,0,0,0,1.86666666666667
13.7469979296066,0,71.5492957746479,22.1907308377897,0,0,10.2824489795918,0,0,18.4460034013605,0,0,16.6171717171717,0,0,0,0,0,20.3317669172932,0,0,8.40752688172043,0,0,7.71407837445573,0,0,0,0,0,0,0,0,4.5534693877551,0,0,0,0,2.08333333333333,0,0,0,4.66666666666667,37.5,0,0,0,0,0,0,0,0,0,0,16.4623655913978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.080971659919,0,22.1907308377897,87.0153846153846,0,0,4.60449735449735,0,0,11.6345029239766,0,0,-2.1,0,0,0,0,0,30.5541310541311,0,0,-1.35661764705882,0,0,8.57931034482759,0,0,0,0,0,0,0,0,26.3982683982684,0,0,0,0,-14.8809523809524,0,0,0,-3.25,27.5,0,0,0,0,0,0,0,0,0,0,4.73099415204678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.8272727272727,0,0,107.672727272727,0,0,0,0,0,23.4166666666667,0,0,22.5833333333333,40.4027777777778,0,0,0,0,0,0,0,0.8,-2.97619047619048,0,0,0,0,0,-21.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25
0,0,0,0,0,42.4583333333333,0,12.4663120567376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5,1.80208333333333,0,2.87943262411348,0,0,0,0,0,2.22978959025471,-8.39855072463768,0,0,0,4.05833333333333,0,0,0,0,-9.35714285714286,0,-5.04545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.19047619047619,-24.8571428571429,0,0,0,-5.83333333333333,-3.86059743954481,0,0,0,20.1060606060606,2.82222222222222,0
20.3592592592593,0,10.2824489795918,4.60449735449735,0,0,59.2827922077922,0,0,22.718253968254,0,0,2.53125,0,0,0,0,0,12.5,0,0,15.2714285714286,0,0,-10.3826638477801,0,0,0,0,0,0,0,0,-7.76651651651652,0,0,0,0,24.1666666666667,0,0,0,-27.5,10,0,0,0,0,0,0,0,0,0,0,-5.70344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12.4663120567376,0,57.4205405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89473684210526,-5.49651567944251,0,5.5862676056338,0,0,0,26.140522875817,0,5.88585858585859,-8.50871080139373,0,0,0,13.2980030721966,0,0,0,0,17.375,0,-8.87179487179487,0,0,0,23.8444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6428571428571,-3.03333333333333,0,0,0,-4.16666666666667,8.51754385964912,0,0,0,6.86021505376344,3.26666666666667,0
0,0,0,0,0,0,0,0,62.072131147541,0,0,33.7733766233766,0,0,0,6.31448087431694,7.11071428571429,0,0,-3.9375,10.4551282051282,0,0,0,0,0,0,0.248538011695906,0,0,9.81236897274633,-3.95652173913043,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2.125,0,0,0.990990990990991,0,0,0,0,0,0,0,0,0.984848484848485,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.7058823529412,0,18.4460034013605,11.6345029239766,0,0,22.718253968254,0,0,38.5725490196078,0,0,14.1013513513514,0,0,0,0,0,3.39756097560976,0,0,5.5,0,0,-1.78125,0,0,0,0,0,0,0,0,6.69802555168409,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03921568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
