"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","ValueWR","TierRank"
"QB","Russell Wilson",6900,"SEA@GB 04:25PM ET",18.257,"SEA","GB",0,18.257,0,0,0,0,0,0
"QB","Marcus Mariota",6800,"OAK@TEN 01:00PM ET",18.463,"TEN","OAK",0,18.463,0,0,0,0,0,0
"QB","Derek Carr",6700,"OAK@TEN 01:00PM ET",19.299,"OAK","TEN",0,19.299,0,0,0,0,0,0
"WR","Doug Baldwin",6700,"SEA@GB 04:25PM ET",17.372,"SEA","GB",0,17.372,0,0,0,0,0,0
"QB","Jameis Winston",6600,"TB@MIA 01:00PM ET",18.069,"TB","MIA",0,18.069,0,0,0,0,0,0
"WR","Golden Tate",6500,"ARI@DET 01:00PM ET",14.035,"DET","ARI",0,14.035,0,0,0,0,0,0
"RB","Jay Ajayi",6500,"TB@MIA 01:00PM ET",14.738,"MIA","TB",0,14.738,0,0,0,0,0,0
"QB","Andrew Luck",6500,"IND@LAR 04:05PM ET",22.713,"IND","LAR",0,22.713,0,0,0,0,0,0
"QB","Kirk Cousins",6400,"PHI@WAS 01:00PM ET",21.018,"WAS","PHI",0,21.018,0,0,0,0,0,0
"RB","Jordan Howard",6300,"ATL@CHI 01:00PM ET",16.807,"CHI","ATL",0,16.807,0,0,0,0,0,0
"QB","Dak Prescott",6300,"NYG@DAL 08:30PM ET",19.427,"DAL","NYG",0,19.427,0,0,0,0,0,0
"QB","Tyrod Taylor",6200,"NYJ@BUF 01:00PM ET",18.795,"BUF","NYJ",0,18.795,0,0,0,0,0,0
"WR","Sammy Watkins",6200,"NYJ@BUF 01:00PM ET",10.75,"BUF","NYJ",0,10.75,0,0,0,0,0,0
"TE","Greg Olsen",6200,"CAR@SF 04:25PM ET",13.331,"CAR","SF",0,13.331,0,0,0,0,0,0
"QB","Matthew Stafford",6100,"ARI@DET 01:00PM ET",18.44,"DET","ARI",0,18.44,0,0,0,0,0,0
"WR","Terrelle Pryor",6100,"PHI@WAS 01:00PM ET",13.903,"WAS","PHI",0,13.903,0,0,0,0,0,0
"RB","Darren McFadden",6100,"NYG@DAL 08:30PM ET",3.35,"DAL","NYG",0,3.35,0,0,0,0,0,0
"WR","Martavis Bryant",6000,"PIT@CLE 01:00PM ET",0,"PIT","CLE",0,0,0,0,0,0,0,0
"QB","Carson Palmer",6000,"ARI@DET 01:00PM ET",18.608,"ARI","DET",0,18.608,0,0,0,0,0,0
"WR","Michael Crabtree",6000,"OAK@TEN 01:00PM ET",14.918,"OAK","TEN",0,14.918,0,0,0,0,0,0
"RB","Todd Gurley",6000,"IND@LAR 04:05PM ET",12.45,"LAR","IND",0,12.45,0,0,0,0,0,0
"WR","Larry Fitzgerald",5900,"ARI@DET 01:00PM ET",15.488,"ARI","DET",0,15.488,0,0,0,0,0,0
"WR","DeAndre Hopkins",5900,"JAX@HOU 01:00PM ET",12.978,"HOU","JAX",0,12.978,0,0,0,0,0,0
"TE","Jordan Reed",5900,"PHI@WAS 01:00PM ET",13.046,"WAS","PHI",0,13.046,0,0,0,0,0,0
"WR","Kelvin Benjamin",5900,"CAR@SF 04:25PM ET",12.569,"CAR","SF",0,12.569,0,0,0,0,0,0
"WR","Alshon Jeffery",5800,"PHI@WAS 01:00PM ET",12.425,"PHI","WAS",0,12.425,0,0,0,0,0,0
"RB","Ty Montgomery",5800,"SEA@GB 04:25PM ET",10.183,"GB","SEA",0,10.183,0,0,0,0,0,0
"QB","Andy Dalton",5700,"BAL@CIN 01:00PM ET",17.728,"CIN","BAL",0,17.728,0,0,0,0,0,0
"RB","Leonard Fournette",5700,"JAX@HOU 01:00PM ET",0,"JAX","HOU",0,0,0,0,0,0,0,0
"WR","Jamison Crowder",5600,"PHI@WAS 01:00PM ET",12.969,"WAS","PHI",0,12.969,0,0,0,0,0,0
"QB","Eli Manning",5600,"NYG@DAL 08:30PM ET",15.955,"NYG","DAL",0,15.955,0,0,0,0,0,0
"RB","Joe Mixon",5500,"BAL@CIN 01:00PM ET",0,"CIN","BAL",0,0,0,0,0,0,0,0
"QB","Joe Flacco",5500,"BAL@CIN 01:00PM ET",17.03,"BAL","CIN",0,17.03,0,0,0,0,0,0
"RB","Derrick Henry",5500,"OAK@TEN 01:00PM ET",6.606,"TEN","OAK",0,6.606,0,0,0,0,0,0
"QB","Derek Anderson",5500,"CAR@SF 04:25PM ET",4.504,"CAR","SF",0,4.504,0,0,0,0,0,0
"RB","Tevin Coleman",5400,"ATL@CHI 01:00PM ET",15.093,"ATL","CHI",0,15.093,0,0,0,0,0,0
"QB","Jay Cutler",5400,"TB@MIA 01:00PM ET",10.752,"MIA","TB",0,10.752,0,0,0,0,0,0
"WR","Jarvis Landry",5400,"TB@MIA 01:00PM ET",15.853,"MIA","TB",0,15.853,0,0,0,0,0,0
"RB","Christian McCaffrey",5400,"CAR@SF 04:25PM ET",0,"CAR","SF",0,0,0,0,0,0,0,0
"RB","Isaiah Crowell",5300,"PIT@CLE 01:00PM ET",13.694,"CLE","PIT",0,13.694,0,0,0,0,0,0
"WR","DeVante Parker",5300,"TB@MIA 01:00PM ET",10.619,"MIA","TB",0,10.619,0,0,0,0,0,0
"RB","Marshawn Lynch",5300,"OAK@TEN 01:00PM ET",0,"OAK","TEN",0,0,0,0,0,0,0,0
"QB","Carson Wentz",5300,"PHI@WAS 01:00PM ET",15.186,"PHI","WAS",0,15.186,0,0,0,0,0,0
"WR","Randall Cobb",5300,"SEA@GB 04:25PM ET",13.519,"GB","SEA",0,13.519,0,0,0,0,0,0
"WR","Pierre Garcon",5300,"CAR@SF 04:25PM ET",12.756,"SF","CAR",0,12.756,0,0,0,0,0,0
"RB","Danny Woodhead",5200,"BAL@CIN 01:00PM ET",13.55,"BAL","CIN",0,13.55,0,0,0,0,0,0
"WR","Allen Robinson",5200,"JAX@HOU 01:00PM ET",12.831,"JAX","HOU",0,12.831,0,0,0,0,0,0
"QB","Colt McCoy",5200,"PHI@WAS 01:00PM ET",0,"WAS","PHI",0,0,0,0,0,0,0,0
"WR","Davante Adams",5200,"SEA@GB 04:25PM ET",16.442,"GB","SEA",0,16.442,0,0,0,0,0,0
"RB","Lamar Miller",5100,"JAX@HOU 01:00PM ET",14.394,"HOU","JAX",0,14.394,0,0,0,0,0,0
"TE","Jimmy Graham",5100,"SEA@GB 04:25PM ET",12.122,"SEA","GB",0,12.122,0,0,0,0,0,0
"QB","Brian Hoyer",5100,"CAR@SF 04:25PM ET",15.433,"SF","CAR",0,15.433,0,0,0,0,0,0
"WR","Brandon Marshall",5100,"NYG@DAL 08:30PM ET",10.787,"NYG","DAL",0,10.787,0,0,0,0,0,0
"WR","Cameron Meredith",5000,"ATL@CHI 01:00PM ET",13.82,"CHI","ATL",0,13.82,0,0,0,0,0,0
"WR","Jeremy Maclin",5000,"BAL@CIN 01:00PM ET",8.792,"BAL","CIN",0,8.792,0,0,0,0,0,0
"QB","Ryan Tannehill",5000,"TB@MIA 01:00PM ET",16.246,"MIA","TB",0,16.246,0,0,0,0,0,0
"WR","Eric Decker",5000,"OAK@TEN 01:00PM ET",14.467,"TEN","OAK",0,14.467,0,0,0,0,0,0
"WR","Donte Moncrief",5000,"IND@LAR 04:05PM ET",11.4,"IND","LAR",0,11.4,0,0,0,0,0,0
"RB","Eddie Lacy",5000,"SEA@GB 04:25PM ET",9.16,"SEA","GB",0,9.16,0,0,0,0,0,0
"RB","Jonathan Stewart",5000,"CAR@SF 04:25PM ET",11.646,"CAR","SF",0,11.646,0,0,0,0,0,0
"RB","Bilal Powell",4900,"NYJ@BUF 01:00PM ET",12.75,"NYJ","BUF",0,12.75,0,0,0,0,0,0
"QB","Mike Glennon",4900,"ATL@CHI 01:00PM ET",4.5,"CHI","ATL",0,4.5,0,0,0,0,0,0
"QB","Matt Moore",4900,"TB@MIA 01:00PM ET",10.071,"MIA","TB",0,10.071,0,0,0,0,0,0
"RB","Jacquizz Rodgers",4900,"TB@MIA 01:00PM ET",9.68,"TB","MIA",0,9.68,0,0,0,0,0,0
"WR","DeSean Jackson",4900,"TB@MIA 01:00PM ET",12.219,"TB","MIA",0,12.219,0,0,0,0,0,0
"RB","Matt Forte",4800,"NYJ@BUF 01:00PM ET",13.614,"NYJ","BUF",0,13.614,0,0,0,0,0,0
"QB","DeShone Kizer",4800,"PIT@CLE 01:00PM ET",0,"CLE","PIT",0,0,0,0,0,0,0,0
"QB","Cody Kessler",4800,"PIT@CLE 01:00PM ET",9.222,"CLE","PIT",0,9.222,0,0,0,0,0,0
"WR","Kenny Britt",4800,"PIT@CLE 01:00PM ET",13.547,"CLE","PIT",0,13.547,0,0,0,0,0,0
"WR","John Brown",4800,"ARI@DET 01:00PM ET",7.113,"ARI","DET",0,7.113,0,0,0,0,0,0
"QB","Tom Savage",4800,"JAX@HOU 01:00PM ET",6.213,"HOU","JAX",0,6.213,0,0,0,0,0,0
"QB","Deshaun Watson",4800,"JAX@HOU 01:00PM ET",0,"HOU","JAX",0,0,0,0,0,0,0,0
"QB","Blake Bortles",4800,"JAX@HOU 01:00PM ET",19.256,"JAX","HOU",0,19.256,0,0,0,0,0,0
"QB","Ryan Fitzpatrick",4800,"TB@MIA 01:00PM ET",11.029,"TB","MIA",0,11.029,0,0,0,0,0,0
"RB","Doug Martin",4800,"TB@MIA 01:00PM ET",10.813,"TB","MIA",0,10.813,0,0,0,0,0,0
"QB","Jared Goff",4800,"IND@LAR 04:05PM ET",7.77,"LAR","IND",0,7.77,0,0,0,0,0,0
"RB","Thomas Rawls",4800,"SEA@GB 04:25PM ET",9.827,"SEA","GB",0,9.827,0,0,0,0,0,0
"QB","Geno Smith",4800,"NYG@DAL 08:30PM ET",4.47,"NYG","DAL",0,4.47,0,0,0,0,0,0
"QB","AJ McCarron",4700,"BAL@CIN 01:00PM ET",0,"CIN","BAL",0,0,0,0,0,0,0,0
"RB","Terrance West",4700,"BAL@CIN 01:00PM ET",10.875,"BAL","CIN",0,10.875,0,0,0,0,0,0
"QB","Landry Jones",4700,"PIT@CLE 01:00PM ET",4.49,"PIT","CLE",0,4.49,0,0,0,0,0,0
"RB","Theo Riddick",4700,"ARI@DET 01:00PM ET",16.18,"DET","ARI",0,16.18,0,0,0,0,0,0
"QB","Brett Hundley",4700,"SEA@GB 04:25PM ET",0.176,"GB","SEA",0,0.176,0,0,0,0,0,0
"QB","Colin Kaepernick",4700,"CAR@SF 04:25PM ET",17.787,"SF","CAR",0,17.787,0,0,0,0,0,0
"WR","Cole Beasley",4700,"NYG@DAL 08:30PM ET",11.618,"DAL","NYG",0,11.618,0,0,0,0,0,0
"QB","Josh McCown",4600,"NYJ@BUF 01:00PM ET",13.62,"NYJ","BUF",0,13.62,0,0,0,0,0,0
"QB","Mitchell Trubisky",4600,"ATL@CHI 01:00PM ET",0,"CHI","ATL",0,0,0,0,0,0,0,0
"TE","Tyler Eifert",4600,"BAL@CIN 01:00PM ET",12.675,"CIN","BAL",0,12.675,0,0,0,0,0,0
"RB","Duke Johnson",4600,"PIT@CLE 01:00PM ET",9.075,"CLE","PIT",0,9.075,0,0,0,0,0,0
"QB","Nick Foles",4600,"PHI@WAS 01:00PM ET",9.333,"PHI","WAS",0,9.333,0,0,0,0,0,0
"RB","Carlos Hyde",4600,"CAR@SF 04:25PM ET",15.469,"SF","CAR",0,15.469,0,0,0,0,0,0
"QB","Matt Schaub",4500,"ATL@CHI 01:00PM ET",0.088,"ATL","CHI",0,0.088,0,0,0,0,0,0
"RB","Giovani Bernard",4500,"BAL@CIN 01:00PM ET",12.63,"CIN","BAL",0,12.63,0,0,0,0,0,0
"QB","Ryan Mallett",4500,"BAL@CIN 01:00PM ET",-0.14,"BAL","CIN",0,-0.14,0,0,0,0,0,0
"WR","Mike Wallace",4500,"BAL@CIN 01:00PM ET",13.05,"BAL","CIN",0,13.05,0,0,0,0,0,0
"QB","Brock Osweiler",4500,"PIT@CLE 01:00PM ET",12.64,"CLE","PIT",0,12.64,0,0,0,0,0,0
"RB","James Conner",4500,"PIT@CLE 01:00PM ET",0,"PIT","CLE",0,0,0,0,0,0,0,0
"QB","Blaine Gabbert",4500,"ARI@DET 01:00PM ET",13.283,"ARI","DET",0,13.283,0,0,0,0,0,0
"QB","Matt Cassel",4500,"OAK@TEN 01:00PM ET",3.532,"TEN","OAK",0,3.532,0,0,0,0,0,0
"QB","Connor Cook",4500,"OAK@TEN 01:00PM ET",3.86,"OAK","TEN",0,3.86,0,0,0,0,0,0
"RB","LeGarrette Blount",4500,"PHI@WAS 01:00PM ET",14.528,"PHI","WAS",0,14.528,0,0,0,0,0,0
"QB","Scott Tolzien",4500,"IND@LAR 04:05PM ET",2.735,"IND","LAR",0,2.735,0,0,0,0,0,0
"QB","Trevone Boykin",4500,"SEA@GB 04:25PM ET",1.483,"SEA","GB",0,1.483,0,0,0,0,0,0
"QB","Christian Hackenberg",4400,"NYJ@BUF 01:00PM ET",0,"NYJ","BUF",0,0,0,0,0,0,0,0
"RB","Jeremy Hill",4400,"BAL@CIN 01:00PM ET",12.153,"CIN","BAL",0,12.153,0,0,0,0,0,0
"WR","Corey Coleman",4400,"PIT@CLE 01:00PM ET",9.63,"CLE","PIT",0,9.63,0,0,0,0,0,0
"WR","Jordan Matthews",4400,"PHI@WAS 01:00PM ET",12.457,"PHI","WAS",0,12.457,0,0,0,0,0,0
"WR","Tyler Lockett",4400,"SEA@GB 04:25PM ET",8.473,"SEA","GB",0,8.473,0,0,0,0,0,0
"QB","Kellen Moore",4400,"NYG@DAL 08:30PM ET",0,"DAL","NYG",0,0,0,0,0,0,0,0
"RB","Alfred Morris",4400,"NYG@DAL 08:30PM ET",2.886,"DAL","NYG",0,2.886,0,0,0,0,0,0
"QB","Mark Sanchez",4300,"ATL@CHI 01:00PM ET",0.507,"CHI","ATL",0,0.507,0,0,0,0,0,0
"RB","Ameer Abdullah",4300,"ARI@DET 01:00PM ET",13.4,"DET","ARI",0,13.4,0,0,0,0,0,0
"QB","Chad Henne",4300,"JAX@HOU 01:00PM ET",-0.2,"JAX","HOU",0,-0.2,0,0,0,0,0,0
"TE","Delanie Walker",4300,"OAK@TEN 01:00PM ET",12.74,"TEN","OAK",0,12.74,0,0,0,0,0,0
"RB","Rob Kelley",4300,"PHI@WAS 01:00PM ET",9.04,"WAS","PHI",0,9.04,0,0,0,0,0,0
"RB","Frank Gore",4300,"IND@LAR 04:05PM ET",13.825,"IND","LAR",0,13.825,0,0,0,0,0,0
"QB","Sean Mannion",4300,"IND@LAR 04:05PM ET",-0.113,"LAR","IND",0,-0.113,0,0,0,0,0,0
"WR","Devin Funchess",4300,"CAR@SF 04:25PM ET",5.74,"CAR","SF",0,5.74,0,0,0,0,0,0
"RB","Paul Perkins",4300,"NYG@DAL 08:30PM ET",5.9,"NYG","DAL",0,5.9,0,0,0,0,0,0
"QB","TJ Yates",4200,"NYJ@BUF 01:00PM ET",0,"BUF","NYJ",0,0,0,0,0,0,0,0
"WR","Mohamed Sanu",4200,"ATL@CHI 01:00PM ET",10.061,"ATL","CHI",0,10.061,0,0,0,0,0,0
"WR","Kevin White",4200,"ATL@CHI 01:00PM ET",9.65,"CHI","ATL",0,9.65,0,0,0,0,0,0
"RB","Alfred Blue",4200,"JAX@HOU 01:00PM ET",3.975,"HOU","JAX",0,3.975,0,0,0,0,0,0
"WR","Rishard Matthews",4200,"OAK@TEN 01:00PM ET",13.844,"TEN","OAK",0,13.844,0,0,0,0,0,0
"RB","Samaje Perine",4200,"PHI@WAS 01:00PM ET",0,"WAS","PHI",0,0,0,0,0,0,0,0
"WR","Marvin Jones",4100,"ARI@DET 01:00PM ET",11.9,"DET","ARI",0,11.9,0,0,0,0,0,0
"QB","Drew Stanton",4100,"ARI@DET 01:00PM ET",2.476,"ARI","DET",0,2.476,0,0,0,0,0,0
"RB","D'Onta Foreman",4100,"JAX@HOU 01:00PM ET",0,"HOU","JAX",0,0,0,0,0,0,0,0
"RB","Kenyan Drake",4100,"TB@MIA 01:00PM ET",2.912,"MIA","TB",0,2.912,0,0,0,0,0,0
"RB","DeAndre Washington",4100,"OAK@TEN 01:00PM ET",5.488,"OAK","TEN",0,5.488,0,0,0,0,0,0
"TE","Martellus Bennett",4100,"SEA@GB 04:25PM ET",10.372,"GB","SEA",0,10.372,0,0,0,0,0,0
"RB","CJ Prosise",4100,"SEA@GB 04:25PM ET",10.167,"SEA","GB",0,10.167,0,0,0,0,0,0
"RB","Tim Hightower",4100,"CAR@SF 04:25PM ET",8.113,"SF","CAR",0,8.113,0,0,0,0,0,0
"WR","Sterling Shepard",4100,"NYG@DAL 08:30PM ET",11.629,"NYG","DAL",0,11.629,0,0,0,0,0,0
"QB","Nathan Peterman",4000,"NYJ@BUF 01:00PM ET",0,"BUF","NYJ",0,0,0,0,0,0,0,0
"QB","Bryce Petty",4000,"NYJ@BUF 01:00PM ET",6.71,"NYJ","BUF",0,6.71,0,0,0,0,0,0
"QB","Matt Simms",4000,"ATL@CHI 01:00PM ET",0,"ATL","CHI",0,0,0,0,0,0,0,0
"QB","Alek Torgersen",4000,"ATL@CHI 01:00PM ET",0,"ATL","CHI",0,0,0,0,0,0,0,0
"WR","Taylor Gabriel",4000,"ATL@CHI 01:00PM ET",10.367,"ATL","CHI",0,10.367,0,0,0,0,0,0
"QB","Connor Shaw",4000,"ATL@CHI 01:00PM ET",0,"CHI","ATL",0,0,0,0,0,0,0,0
"QB","Jeff Driskel",4000,"BAL@CIN 01:00PM ET",0,"CIN","BAL",0,0,0,0,0,0,0,0
"QB","Dustin Vaughan",4000,"BAL@CIN 01:00PM ET",0,"BAL","CIN",0,0,0,0,0,0,0,0
"QB","Josh Woodrum",4000,"BAL@CIN 01:00PM ET",0,"BAL","CIN",0,0,0,0,0,0,0,0
"QB","Robert Griffin III",4000,"PIT@CLE 01:00PM ET",14.088,"CLE","PIT",0,14.088,0,0,0,0,0,0
"QB","Kevin Hogan",4000,"PIT@CLE 01:00PM ET",5.415,"CLE","PIT",0,5.415,0,0,0,0,0,0
"WR","Josh Gordon",4000,"PIT@CLE 01:00PM ET",0,"CLE","PIT",0,0,0,0,0,0,0,0
"QB","Joshua Dobbs",4000,"PIT@CLE 01:00PM ET",0,"PIT","CLE",0,0,0,0,0,0,0,0
"QB","Bart Houston",4000,"PIT@CLE 01:00PM ET",0,"PIT","CLE",0,0,0,0,0,0,0,0
"RB","Fitzgerald Toussaint",4000,"PIT@CLE 01:00PM ET",0.672,"PIT","CLE",0,0.672,0,0,0,0,0,0
"WR","Justin Hunter",4000,"PIT@CLE 01:00PM ET",4.069,"PIT","CLE",0,4.069,0,0,0,0,0,0
"QB","Jake Rudock",4000,"ARI@DET 01:00PM ET",0,"DET","ARI",0,0,0,0,0,0,0,0
"QB","Brad Kaaya",4000,"ARI@DET 01:00PM ET",0,"DET","ARI",0,0,0,0,0,0,0,0
"QB","Trevor Knight",4000,"ARI@DET 01:00PM ET",0,"ARI","DET",0,0,0,0,0,0,0,0
"QB","Brandon Weeden",4000,"JAX@HOU 01:00PM ET",0,"HOU","JAX",0,0,0,0,0,0,0,0
"QB","Brandon Allen",4000,"JAX@HOU 01:00PM ET",0,"JAX","HOU",0,0,0,0,0,0,0,0
"QB","Brandon Doughty",4000,"TB@MIA 01:00PM ET",0,"MIA","TB",0,0,0,0,0,0,0,0
"QB","David Fales",4000,"TB@MIA 01:00PM ET",0.44,"MIA","TB",0,0.44,0,0,0,0,0,0
"QB","Sefo Liufau",4000,"TB@MIA 01:00PM ET",0,"TB","MIA",0,0,0,0,0,0,0,0
"QB","Ryan Griffin",4000,"TB@MIA 01:00PM ET",0,"TB","MIA",0,0,0,0,0,0,0,0
"QB","Alex Tanney",4000,"OAK@TEN 01:00PM ET",0,"TEN","OAK",0,0,0,0,0,0,0,0
"QB","Tyler Ferguson",4000,"OAK@TEN 01:00PM ET",0,"TEN","OAK",0,0,0,0,0,0,0,0
"WR","Corey Davis",4000,"OAK@TEN 01:00PM ET",0,"TEN","OAK",0,0,0,0,0,0,0,0
"QB","EJ Manuel",4000,"OAK@TEN 01:00PM ET",1.206,"OAK","TEN",0,1.206,0,0,0,0,0,0
"QB","Dane Evans",4000,"PHI@WAS 01:00PM ET",0,"PHI","WAS",0,0,0,0,0,0,0,0
"QB","Matt McGloin",4000,"PHI@WAS 01:00PM ET",0.425,"PHI","WAS",0,0.425,0,0,0,0,0,0
"QB","Nate Sudfeld",4000,"PHI@WAS 01:00PM ET",0,"WAS","PHI",0,0,0,0,0,0,0,0
"QB","Phillip Walker",4000,"IND@LAR 04:05PM ET",0,"IND","LAR",0,0,0,0,0,0,0,0
"QB","Stephen Morris",4000,"IND@LAR 04:05PM ET",0,"IND","LAR",0,0,0,0,0,0,0,0
"RB","Robert Turbin",4000,"IND@LAR 04:05PM ET",7.22,"IND","LAR",0,7.22,0,0,0,0,0,0
"QB","Dan Orlovsky",4000,"IND@LAR 04:05PM ET",0,"LAR","IND",0,0,0,0,0,0,0,0
"WR","Robert Woods",4000,"IND@LAR 04:05PM ET",9.377,"LAR","IND",0,9.377,0,0,0,0,0,0
"QB","Joe Callahan",4000,"SEA@GB 04:25PM ET",0,"GB","SEA",0,0,0,0,0,0,0,0
"QB","Taysom Hill",4000,"SEA@GB 04:25PM ET",0,"GB","SEA",0,0,0,0,0,0,0,0
"QB","Austin Davis",4000,"SEA@GB 04:25PM ET",0,"SEA","GB",0,0,0,0,0,0,0,0
"QB","Nick Mullens",4000,"CAR@SF 04:25PM ET",0,"SF","CAR",0,0,0,0,0,0,0,0
"QB","CJ Beathard",4000,"CAR@SF 04:25PM ET",0,"SF","CAR",0,0,0,0,0,0,0,0
"QB","Matt Barkley",4000,"CAR@SF 04:25PM ET",13.834,"SF","CAR",0,13.834,0,0,0,0,0,0
"RB","Joe Williams",4000,"CAR@SF 04:25PM ET",0,"SF","CAR",0,0,0,0,0,0,0,0
"QB","Garrett Gilbert",4000,"CAR@SF 04:25PM ET",0,"CAR","SF",0,0,0,0,0,0,0,0
"QB","Joe Webb",4000,"CAR@SF 04:25PM ET",0.093,"CAR","SF",0,0.093,0,0,0,0,0,0
"QB","Luke McCown",4000,"NYG@DAL 08:30PM ET",0,"DAL","NYG",0,0,0,0,0,0,0,0
"QB","Cooper Rush",4000,"NYG@DAL 08:30PM ET",0,"DAL","NYG",0,0,0,0,0,0,0,0
"QB","Davis Webb",4000,"NYG@DAL 08:30PM ET",0,"NYG","DAL",0,0,0,0,0,0,0,0
"QB","Josh Johnson",4000,"NYG@DAL 08:30PM ET",0,"NYG","DAL",0,0,0,0,0,0,0,0
"RB","Jonathan Williams",3900,"NYJ@BUF 01:00PM ET",1.309,"BUF","NYJ",0,1.309,0,0,0,0,0,0
"RB","Jeremy Langford",3900,"ATL@CHI 01:00PM ET",6.267,"CHI","ATL",0,6.267,0,0,0,0,0,0
"WR","Eli Rogers",3900,"PIT@CLE 01:00PM ET",9.513,"PIT","CLE",0,9.513,0,0,0,0,0,0
"RB","Chris Johnson",3900,"ARI@DET 01:00PM ET",3.875,"ARI","DET",0,3.875,0,0,0,0,0,0
"WR","Braxton Miller",3900,"JAX@HOU 01:00PM ET",3.09,"HOU","JAX",0,3.09,0,0,0,0,0,0
"RB","TJ Yeldon",3900,"JAX@HOU 01:00PM ET",9.247,"JAX","HOU",0,9.247,0,0,0,0,0,0
"RB","Charles Sims",3900,"TB@MIA 01:00PM ET",9.843,"TB","MIA",0,9.843,0,0,0,0,0,0
"RB","Jalen Richard",3900,"OAK@TEN 01:00PM ET",6.976,"OAK","TEN",0,6.976,0,0,0,0,0,0
"RB","Darren Sproles",3900,"PHI@WAS 01:00PM ET",11.033,"PHI","WAS",0,11.033,0,0,0,0,0,0
"RB","Malcolm Brown",3900,"IND@LAR 04:05PM ET",0.656,"LAR","IND",0,0.656,0,0,0,0,0,0
"RB","Jamaal Williams",3900,"SEA@GB 04:25PM ET",0,"GB","SEA",0,0,0,0,0,0,0,0
"RB","Rod Smith",3900,"NYG@DAL 08:30PM ET",0.2,"DAL","NYG",0,0.2,0,0,0,0,0,0
"TE","Jason Witten",3900,"NYG@DAL 08:30PM ET",10.247,"DAL","NYG",0,10.247,0,0,0,0,0,0
"WR","Robby Anderson",3800,"NYJ@BUF 01:00PM ET",7.244,"NYJ","BUF",0,7.244,0,0,0,0,0,0
"WR","Sammie Coates",3800,"PIT@CLE 01:00PM ET",5.076,"PIT","CLE",0,5.076,0,0,0,0,0,0
"RB","Zach Zenner",3800,"ARI@DET 01:00PM ET",7.253,"DET","ARI",0,7.253,0,0,0,0,0,0
"RB","Kerwynn Williams",3800,"ARI@DET 01:00PM ET",2.93,"ARI","DET",0,2.93,0,0,0,0,0,0
"WR","Will Fuller V",3800,"JAX@HOU 01:00PM ET",9.156,"HOU","JAX",0,9.156,0,0,0,0,0,0
"WR","Marqise Lee",3800,"JAX@HOU 01:00PM ET",11.588,"JAX","HOU",0,11.588,0,0,0,0,0,0
"RB","Damien Williams",3800,"TB@MIA 01:00PM ET",6.45,"MIA","TB",0,6.45,0,0,0,0,0,0
