"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Max Scherzer",12700,"SD@WAS 07:05PM ET",25.006,"WAS","SD",31.7,24.7,26.1865,NA,43.9
"SP","Jacob deGrom",12100,"NYM@PIT 07:05PM ET",20.085,"NYM","PIT",23.49,20.4,15.397,NA,36.55
"SP","Chris Archer",11400,"TB@MIN 08:10PM ET",20.89,"TB","MIN",19.75,21,20.491,NA,35.65
"SP","Alex Wood",9600,"CHC@LAD 10:10PM ET",19.528,"LAD","CHC",21.13,19,14.748,NA,28.25
"SP","Jake Arrieta",9200,"CHC@LAD 10:10PM ET",13.236,"CHC","LAD",19.51,15.4,19.1295,NA,19.9
"SP","Carlos Martinez",8900,"STL@COL 08:40PM ET",20.328,"STL","COL",15.82,15.9,14.199,NA,23.7
"SP","Eduardo Rodriguez",8800,"SEA@BOS 07:10PM ET",18.378,"BOS","SEA",21.49,17.2,14.774,NA,20.7
"SP","Masahiro Tanaka",8100,"OAK@NYY 07:05PM ET",10.333,"NYY","OAK",19.23,14,18.739,NA,37.5
"SP","Mike Clevinger",8000,"KC@CLE 07:10PM ET",17.2,"CLE","KC",NA,13.6,15.032,NA,9.85
"SP","Aaron Nola",7700,"CIN@PHI 07:05PM ET",15.488,"PHI","CIN",21.16,17.3,17.134,NA,8.7
"SP","Joe Musgrove",7600,"BAL@HOU 08:10PM ET",9.828,"HOU","BAL",NA,12.3,15.292,NA,29.35
"SP","Dan Straily",7500,"LAA@MIA 07:10PM ET",15.744,"MIA","LAA",17.35,14.7,14.853,NA,17.2
"SP","Ian Kennedy",7200,"KC@CLE 07:10PM ET",12.536,"KC","CLE",13.09,13.3,13.725,NA,8.25
"SP","Jesse Chavez",7100,"LAA@MIA 07:10PM ET",12.136,"LAA","MIA",14.66,16.1,13.449,NA,-3.75
"SP","Jaime Garcia",7000,"ATL@SF 10:15PM ET",12.063,"ATL","SF",13.88,16.6,13.113,NA,26
"SP","Tim Adleman",6900,"CIN@PHI 07:05PM ET",9.6,"CIN","PHI",12.45,10,10.962,NA,NA
"SP","AJ Griffin",6700,"TEX@TOR 07:07PM ET",14.593,"TEX","TOR",13.12,12.8,12.213,NA,-4
"SP","Chad Kuhl",6600,"NYM@PIT 07:05PM ET",6.84,"PIT","NYM",10.71,10.1,12.729,NA,0.95
"SP","Kevin Gausman",6500,"BAL@HOU 08:10PM ET",6.25,"BAL","HOU",10.5,10.8,12.142,NA,10.2
"SP","Matt Cain",6400,"ATL@SF 10:15PM ET",9.872,"SF","ATL",15.24,10.4,12.5,NA,15.55
"SP","Zack Godley",6300,"ARI@MIL 08:10PM ET",17.888,"ARI","MIL",NA,14.5,13.01,NA,21.9
"SP","Hector Santiago",6000,"TB@MIN 08:10PM ET",12.056,"MIN","TB",14.72,10.2,15.514,NA,14.4
"SP","Antonio Senzatela",5900,"STL@COL 08:40PM ET",12.75,"COL","STL",7.79,9.9,9.009,NA,25
"SP","Kendall Graveman",5500,"OAK@NYY 07:05PM ET",12.569,"OAK","NYY",14.14,8.7,10.595,NA,NA
"SP","Luis Perdomo",5200,"SD@WAS 07:05PM ET",10.286,"SD","WAS",12.02,10,10.142,NA,15.3
"SP","Junior Guerra",4800,"ARI@MIL 08:10PM ET",9.55,"MIL","ARI",16.52,13.9,18.185,NA,17.15
"SP","Yovani Gallardo",4700,"SEA@BOS 07:10PM ET",9.111,"SEA","BOS",9.48,9.4,7.952,NA,8.2
"SP","Mike Bolsinger",4500,"TEX@TOR 07:07PM ET",6.217,"TOR","TEX",NA,13.5,NA,NA,4.5
