"Mike Trout_LAA","Aaron Altherr_PHI","Cesar Hernandez_PHI","Cameron Rupp_PHI","Andrelton Simmons_LAA","Luis Valbuena_LAA","Tommy Joseph_PHI","Odubel Herrera_PHI","Buster Posey_SF","Brandon Belt_SF","Marcus Semien_OAK","Freddy Galvis_PHI","Yonder Alonso_OAK","Cameron Maybin_LAA","Chris Carter_OAK","Khris Davis_OAK","Albert Pujols_LAA","Yunel Escobar_LAA","Maikel Franco_PHI","Nick Hundley_SF","Joe Panik_SF","Jefry Marte_LAA","Denard Span_SF","Pablo Sandoval_SF","Matt Joyce_OAK","Rajai Davis_OAK","Hunter Pence_SF","Brandon Crawford_SF","Nick Franklin_LAA","Nick Williams_PHI","CJ Cron_LAA","Jed Lowrie_OAK","Jarrett Parker_SF","Chad Pinder_OAK","Christian Arroyo_SF","Dustin Fowler_OAK","Hyun Soo Kim_PHI","Roman Quinn_PHI","Rhys Hoskins_PHI","Gorkys Hernandez_SF","Ryon Healy_OAK","Ben Revere_LAA","Daniel Nava_PHI","Mac Williamson_SF","Kole Calhoun_LAA","Josh Phegley_OAK","Mark Canha_OAK","Kelby Tomlinson_SF","Andrew Knapp_PHI","Joey Wendle_OAK","Martin Maldonado_LAA","Scott Kingery_PHI","David Fletcher_LAA","Aaron Hill_SF","Brock Stassi_PHI","Nolan Fontana_LAA","Jake Smolinski_OAK","Ryan LaMarre_OAK","Matt Chapman_OAK","Justin Ruggiano_SF","Conor Gillaspie_SF","Bruce Maxwell_OAK","Juan Graterol_LAA","Carlos Perez_LAA","Cameron Perkins_PHI","Michael Morse_SF","Eric Young_LAA","Cliff Pennington_LAA","Tim Federowicz_SF","Chris Marrero_SF","Andres Blanco_PHI","Shane Robinson_LAA","Ty Kelly_PHI","Kaleb Cowart_LAA","Jorge Alfaro_PHI","Carlos Moncrief_SF","Jaff Decker_OAK","Ryan Lavarnway_OAK","Jaycob Brugman_OAK","Renato Nunez_OAK","Austin Slater_SF","Miguel Gomez_SF","Matt Olson_OAK","Ryder Jones_SF","Franklin Barreto_OAK","Orlando Calixte_SF","Jae-gyun Hwang_SF"
44.4733817301875,0,0,0,9.66666666666667,-3.70355731225296,0,0,0,0,0,0,0,12.2674253200569,0,0,12.5657142857143,3.04878048780488,0,0,0,13.5281385281385,0,0,0,0,0,0,-4.66666666666667,0,11,0,0,0,0,0,0,0,0,0,0,17.0978260869565,0,0,0.79788838612368,0,0,0,0,0,-5.81930272108844,0,0,0,0,-19.8333333333333,0,0,0,0,0,0,7.26666666666667,0,0,0,0,6.23076923076923,0,0,0,-3.58333333333333,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,64.9667519181586,9.02657004830918,11.4207317073171,0,0,32.8169642857143,9.92540983606557,0,0,0,13.8548593350384,0,0,0,0,0,0,8.77405753968254,0,0,0,0,0,0,0,0,0,0,17.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-3.9375,0,0,0,0,0,-3.86111111111111,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7967032967033,0,2.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.02657004830918,47.5264586160109,26.625641025641,0,0,11.6971751412429,18.3669398907104,0,0,0,3.06897331524197,0,0,0,0,0,0,1.03225806451613,0,0,0,0,0,0,0,0,0,0,6.77564102564103,0,0,0,0,0,0,0,0,0,0,0,0,8.84848484848485,0,0,0,0,0,-3.63532763532764,0,0,0,0,0,-13.7555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.4207317073171,26.625641025641,52.630677847659,0,0,11.2376632801161,13.713691026827,0,0,0,6.78162124388539,0,0,0,0,0,0,5.05007256894049,0,0,0,0,0,0,0,0,0,0,3.41666666666667,0,0,0,0,0,0,0,0,0,0,0,0,2.83333333333333,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.42857142857143,0,-11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.66666666666667,0,0,0,41.7105751391466,9.91402714932127,0,0,0,0,0,0,0,15.4526854219949,0,0,7.61546499477534,-1.44873547505126,0,0,0,15.1481481481481,0,0,0,0,0,0,1.65,0,18.2949579831933,0,0,0,0,0,0,0,0,0,0,-1.02272727272727,0,0,4.44179523141655,0,0,0,0,0,8.67407407407407,0,0,0,0,-15.1666666666667,0,0,0,0,0,0,1.74583333333333,0,0,0,30.5066666666667,-0.535714285714286,0,0,0,10.15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.70355731225296,0,0,0,9.91402714932127,55.9034690799397,0,0,0,0,0,0,0,9.81507823613087,0,0,-1.21262458471761,-2.51693404634581,0,0,0,-4.4,0,0,0,0,0,0,-5.95,0,3.26785714285714,0,0,0,0,0,0,0,0,0,0,5.66896551724138,0,0,0.972789115646258,0,0,0,0,0,-4.48257839721254,0,0,0,0,-13.4166666666667,0,0,0,0,0,0,-1.73333333333333,0,0,0,6.30769230769231,-2.86315789473684,0,0,0,0,0,-6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32.8169642857143,11.6971751412429,11.2376632801161,0,0,52.6310083594566,-2.44541139240506,0,0,0,5.1021421107628,0,0,0,0,0,0,0.914802065404475,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,5.67391304347826,0,0,0,0,0,-0.334453781512605,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.92540983606557,18.3669398907104,13.713691026827,0,0,-2.44541139240506,47.867722165475,0,0,0,7.15717568947906,0,0,0,0,0,0,1.8046218487395,0,0,0,0,0,0,0,0,0,0,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,7.17666666666667,0,0,0,0,0,1.40301974448316,0,0,0,0,0,6.53636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16666666666667,0,-7.04761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,40.6273723603315,6.50187969924812,0,0,0,0,0,0,0,0,0,20.9558823529412,8.84350547730829,0,8.72595281306715,0,0,0,14.061755952381,5.90724637681159,0,0,0,0,-6.41666666666667,0,8.03418803418803,0,0,0,0,3.50042517006803,0,0,0,2,0,0,0,20.7363636363636,0,0,0,0,0,7.08181818181818,0,0,0,0,0,4.65151515151515,-27.3,0,0,0,0,7.75,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,39.4105263157895,10.5,0,-9.33333333333333,0,-13.3,4.44230769230769
0,0,0,0,0,0,0,0,6.50187969924812,44.5919732441472,0,0,0,0,0,0,0,0,0,13.97,7.78105228105228,0,8.13297150610583,0,0,0,15.250496031746,-1.25578947368421,0,0,0,0,-10.8,0,-2.52279202279202,0,0,0,0,5.56161616161616,0,0,0,5.95833333333333,0,0,0,27.25,0,0,0,0,0,-0.909090909090909,0,0,0,0,0,31.4636363636364,6.41818181818182,0,0,0,0,-2.3,0,0,0,-0.583333333333333,0,0,0,0,0,0,0,0,0,0,3.05263157894737,-21,0,-14.6666666666667,0,-3.8,13.6
