"Paul Goldschmidt_ARI","Joey Votto_CIN","Jake Lamb_ARI","Jean Segura_SEA","Marcell Ozuna_MIA","Robinson Cano_SEA","Nelson Cruz_SEA","Adam Duvall_CIN","Giancarlo Stanton_MIA","Khris Davis_OAK","AJ Pollock_ARI","Scooter Gennett_CIN","Brandon Belt_SF","Justin Bour_MIA","Yonder Alonso_OAK","Buster Posey_SF","Ben Gamel_SEA","Daniel Descalso_ARI","Chris Owings_ARI","Dee Gordon_MIA","Zack Cozart_CIN","Denard Span_SF","Gregor Blanco_ARI","David Peralta_ARI","Billy Hamilton_CIN","Scott Schebler_CIN","Yasmany Tomas_ARI","Christian Yelich_MIA","Jed Lowrie_OAK","Hunter Pence_SF","Matt Joyce_OAK","Jarrod Dyson_SEA","Eduardo Nunez_SF","Joe Panik_SF","Mitch Haniger_SEA","Eugenio Suarez_CIN","Danny Valencia_SEA","Kyle Seager_SEA","Mike Zunino_SEA","Franklin Barreto_OAK","Matt Chapman_OAK","Brandon Drury_ARI","JT Realmuto_MIA","Guillermo Heredia_SEA","Chris Iannetta_ARI","Rajai Davis_OAK","Chris Herrmann_ARI","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Arismendy Alcantara_CIN","Nick Ahmed_ARI","Jose Peraza_CIN","Ketel Marte_ARI","Leonys Martin_SEA","Marcus Semien_OAK","Martin Prado_MIA","Nick Hundley_SF","Gorkys Hernandez_SF","Brandon Crawford_SF","Ryon Healy_OAK","Bruce Maxwell_OAK","Rey Fuentes_ARI","Socrates Brito_ARI","Jesse Winker_CIN","Derek Dietrich_MIA","Jarrett Parker_SF","Christian Arroyo_SF","Adam Rosales_OAK","Phillip Ervin_CIN","Kelby Tomlinson_SF","Mac Williamson_SF","Josh Phegley_OAK","Mark Canha_OAK","Jaycob Brugman_OAK","Taylor Motter_SEA","Renato Nunez_OAK","Devin Mesoraco_CIN","Tyler Moore_MIA","Joey Wendle_OAK","Jack Reinheimer_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Shawn O'Malley_SEA","DJ Peterson_SEA","Tyler Smith_SEA","Aaron Hill_SF","JT Riddle_MIA","Jake Smolinski_OAK","Ryan LaMarre_OAK","Boog Powell_SEA","Tucker Barnhart_CIN","Patrick Kivlehan_CIN","Conor Gillaspie_SF","Jae-gyun Hwang_SF","Carlos Ruiz_SEA","Tuffy Gosewisch_SEA","Matt Olson_OAK","Jeff Mathis_ARI","Justin Ruggiano_SF","Destin Hood_MIA","Ichiro Suzuki_MIA","Michael Morse_SF","Tomas Telis_MIA","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Christian Colon_MIA","Tim Federowicz_SF","Steve Lombardozzi_MIA","Austin Slater_SF","Ryder Jones_SF","Ildemaro Vargas_ARI","Nick Senzel_CIN","Chad Pinder_OAK","Stuart Turner_CIN","Mike Aviles_MIA","Chris Marrero_SF","Orlando Calixte_SF","Jaff Decker_OAK","Ryan Lavarnway_OAK","AJ Ellis_MIA","Miguel Rojas_MIA"
34,0,31,0,0,0,0,0,0,0,35,0,0,0,0,0,0,10,33,0,0,0,2,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,13,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,33,0,0,0,39,0,0,0,0,0,0,0,0,21,0,0,0,33,34,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,63,0,0,0,0,0,54,0,0,0,0,0,0,0,50,0,0,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,62,0,0,0,0,0,0,6,26,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,6,0,0,0,0,11,0,0,5,0,0,0,0,0,0,20,3,0,0,0,0,0,9,5,0,0,0,0
0,0,0,0,63,0,0,0,61,0,0,0,0,64,0,0,0,0,0,58,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12
0,0,0,0,0,0,0,0,0,61,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,54,0,0,0,0,0,0,0,0,7,6,0,0,0,0,36,0,0,0,0,0,0,0,0,7,0,0,0,0,57,13,0,0,0,0,0,0,37,0,0,0,17,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,11,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,70,0,0,0,0,0,43,0,0,0,0,0,0,0,48,0,0,52,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,54,0,0,0,0,0,0,4,26,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,6,0,0,0,0,12,0,0,5,0,0,0,0,0,0,20,3,0,0,0,0,0,6,5,0,0,0,0
0,0,0,41,0,47,49,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,19,0,49,55,35,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,37,30,0,0,0,17,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,15,0,13,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,65,0,0,0,0,0,0,0,33,0,0,0,0,0,0,30,71,0,0,0,25,50,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,23,0,24,3,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71,0,0,0,69,0,0,0,0,58,0,0,0,0,0,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13
0,60,0,0,0,0,0,54,0,0,0,21,0,0,0,0,0,0,0,0,60,0,0,0,55,54,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,43,0,0,0,0,0,55,0,0,0,0,0,0,0,33,0,0,36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,54,0,0,0,0,0,0,6,12,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,6,5,0,0,0,0
29,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,25,0,0,0,30,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,8,0,13,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,60,0,0,0,0,0,0,0,26,0,0,0,0,0,0,30,50,0,0,0,22,62,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,21,0,22,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,0,0,0,0,0,67,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0,0,73,68,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,66,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,74,0,0,0,0,0,68,0,0,0,34,0,0,0,0,0,0,0,0,54,0,0,0,68,74,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
39,0,36,0,0,0,0,0,0,0,26,0,0,0,0,0,0,6,37,0,0,0,6,27,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,12,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,77,0,0,0,74,0,0,0,0,63,0,0,0,0,0,72,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15
0,0,0,0,0,0,0,0,0,70,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,57,0,0,0,0,0,0,0,0,7,7,0,0,0,0,43,0,0,0,0,0,0,0,0,10,0,0,0,0,66,12,0,0,0,0,0,0,44,0,0,0,24,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,48,0,0,0,0,0,33,0,0,0,0,0,0,0,57,0,0,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,41,0,0,0,0,0,0,7,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,3,0,0,0,0,0,8,2,0,0,0,0
0,0,0,0,0,0,0,0,0,59,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,61,0,0,0,0,0,0,0,0,8,7,0,0,0,0,31,0,0,0,0,0,0,0,0,7,0,0,0,0,55,12,0,0,0,0,0,0,35,0,0,0,17,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,10,0,0,0
0,0,0,44,0,59,62,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,33,0,56,63,45,0,0,0,0,38,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,52,0,0,0,0,0,36,0,0,0,0,0,0,0,39,0,0,61,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,44,0,0,0,0,0,0,6,26,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,9,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,58,0,0,0,0,0,48,0,0,0,0,0,0,0,48,0,0,51,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,56,0,0,0,0,0,0,7,25,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,0,0,0,0,10,0,0,7,0,0,0,0,0,0,17,3,0,0,0,0,0,7,5,0,0,0,0
0,0,0,22,0,41,39,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,41,0,35,37,31,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,68,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0,0,67,68,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,45,0,60,62,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,35,0,69,66,46,0,0,0,0,42,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,67,69,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,37,0,66,77,48,0,0,0,0,47,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,0,53,47,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,31,0,46,48,53,0,0,0,0,30,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,9,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,62,0,0,0,0,0,0,0,29,0,0,0,0,0,0,27,56,0,0,0,23,51,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,25,0,20,5,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,65,0,0,0,63,0,0,0,0,54,0,0,0,0,0,59,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,35,0,43,44,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,15,0,42,47,30,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,23,0,0,0,8,21,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,29,0,6,2,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
