"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Jacob deGrom","Jason Hammel","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Trevor Story","Melky Cabrera","Giancarlo Stanton","Michael Brantley"
"2","Jacob deGrom","Jason Hammel","Jonathan Lucroy","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trevor Story","Giancarlo Stanton","Gerardo Parra","Michael Brantley"
"3","Max Scherzer","Jason Hammel","Yan Gomes","Jose Abreu","Jason Kipnis","Nolan Arenado","Francisco Lindor","David Peralta","Michael Brantley","Bradley Zimmer"
"4","Max Scherzer","Jason Hammel","Jonathan Lucroy","Jose Abreu","Jonathan Schoop","Manny Machado","Trevor Story","Mark Trumbo","Seth Smith","Adam Jones"
"5","Max Scherzer","Jason Hammel","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Francisco Lindor","David Peralta","Adam Engel","Billy Hamilton"
"6","Jacob deGrom","Jason Hammel","Jonathan Lucroy","Jose Abreu","Rougned Odor","Adrian Beltre","Trevor Story","Carlos Gomez","Nomar Mazara","Billy Hamilton"
"7","Max Scherzer","Matt Moore","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Ramon Torres","Melky Cabrera","Shin-Soo Choo","Curtis Granderson"
"8","Jacob deGrom","Jason Hammel","Jonathan Lucroy","Edwin Encarnacion","Jose Ramirez","Nolan Arenado","Francisco Lindor","Michael Brantley","Lonnie Chisenhall","Billy Hamilton"
"9","Jacob deGrom","Jason Hammel","Jonathan Lucroy","Paul Goldschmidt","DJ LeMahieu","Jake Lamb","Chris Owings","AJ Pollock","David Peralta","Billy Hamilton"
"10","Jacob deGrom","Jason Hammel","Yan Gomes","Edwin Encarnacion","Jason Kipnis","Todd Frazier","Francisco Lindor","Josh Reddick","Giancarlo Stanton","Michael Brantley"
"11","Max Scherzer","Matt Moore","Tucker Barnhart","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trevor Story","Gerardo Parra","David Peralta","Billy Hamilton"
"12","Jacob deGrom","Jason Hammel","Omar Narvaez","Freddie Freeman","Yolmer Sanchez","Todd Frazier","Tim Anderson","Bryce Harper","Shin-Soo Choo","Adam Engel"
"13","Jacob deGrom","Jason Hammel","Gary Sanchez","Ji-Man Choi","Alen Hanson","Nolan Arenado","Didi Gregorius","Aaron Judge","David Peralta","Clint Frazier"
"14","Max Scherzer","Jason Hammel","Yan Gomes","Jose Abreu","Jose Ramirez","Todd Frazier","Trevor Story","Lonnie Chisenhall","Abraham Almonte","Bradley Zimmer"
"15","Jacob deGrom","Drew Pomeranz","Yan Gomes","Freddie Freeman","Jason Kipnis","Manny Machado","Francisco Lindor","Shin-Soo Choo","Michael Brantley","Bradley Zimmer"
"16","Jacob deGrom","Sean Manaea","Gary Sanchez","Trey Mancini","Jonathan Schoop","Manny Machado","Trevor Story","Mark Trumbo","David Peralta","Adam Jones"
"17","Max Scherzer","Jason Hammel","Martin Maldonado","Mark Reynolds","Alen Hanson","Nolan Arenado","Trevor Story","Raimel Tapia","Gerardo Parra","Seth Smith"
"18","Jacob deGrom","Drew Pomeranz","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Ramon Torres","Adam Engel","Jose Bautista","Jay Bruce"
"19","Jacob deGrom","Jason Hammel","Jonathan Lucroy","Justin Bour","Dee Gordon","Todd Frazier","Trevor Story","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"20","Jacob deGrom","Drew Pomeranz","Omar Narvaez","Freddie Freeman","Jonathan Schoop","Manny Machado","Francisco Lindor","Mark Trumbo","Seth Smith","Adam Jones"
