"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"QB","Paxton Lynch (7941868)","Paxton Lynch",7941868,5000,"NE@Den 04:25PM ET","Den","Paxton","Lynch","NE",0,0,NA,NA,"Lynch, Paxton",NA,NA,NA,NA,NA,5.5,14.1,0,NA,1
"RB","LeGarrette Blount (7941974)","LeGarrette Blount",7941974,5000,"NE@Den 04:25PM ET","NE","LeGarrette","Blount","Den",11.13,11.6,9,0.016597510373444,"Blount, LeGarrette",7,8,0,9,8,8.9,23.2,9.1,14.9,1
"QB","Kellen Clemens (7941869)","Kellen Clemens",7941869,5000,"Oak@SD 04:25PM ET","SD","Kellen","Clemens","Oak",0,0,NA,NA,"Clemens, Kellen",NA,NA,NA,NA,NA,-0.1,-0.1,0,NA,1
"QB","Matt McGloin (7941871)","Matt McGloin",7941871,5000,"Oak@SD 04:25PM ET","Oak","Matt","McGloin","SD",0,0,NA,NA,"McGloin, Matt",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Connor Cook (7941873)","Connor Cook",7941873,5000,"Oak@SD 04:25PM ET","Oak","Connor","Cook","SD",0,0,NA,NA,"Cook, Connor",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Landry Jones (7941876)","Landry Jones",7941876,5000,"Pit@Cin 01:00PM ET","Pit","Landry","Jones","Cin",0,0,NA,NA,"Jones, Landry",NA,NA,NA,NA,NA,-3.5,8.2,0,NA,1
"QB","Zach Mettenberger (7941877)","Zach Mettenberger",7941877,5000,"Pit@Cin 01:00PM ET","Pit","Zach","Mettenberger","Cin",0,0,NA,NA,"Mettenberger, Zach",NA,NA,NA,NA,NA,0,0,0,NA,0
"QB","AJ McCarron (7941878)","AJ McCarron",7941878,5000,"Pit@Cin 01:00PM ET","Cin","AJ","McCarron","Pit",0,0,NA,NA,"McCarron, AJ",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jeff Driskel (7941879)","Jeff Driskel",7941879,5000,"Pit@Cin 01:00PM ET","Cin","Jeff","Driskel","Pit",0,0,NA,NA,"Driskel, Jeff",NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Alfred Morris (7941890)","Alfred Morris",7941890,4900,"TB@Dal 08:30PM ET","Dal","Alfred","Morris","TB",2.82,4.1,9,0.00987654320987654,"Morris, Alfred",2,4,0,12,8,0.1,5.7,0,NA,0
"TE","Zach Ertz (7942178)","Zach Ertz",7942178,4900,"Phi@Bal 01:00PM ET","Phi","Zach","Ertz","Bal",11.67,12.2,2,0.169042769857434,"Ertz, Zach",61,83,3,2,1,4.1,19.3,14,24.2,1
"WR","Mohamed Sanu (7942106)","Mohamed Sanu",7942106,4900,"SF@Atl 04:05PM ET","Atl","Mohamed","Sanu","SF",11.15,12.2,2,0.165562913907285,"Sanu, Mohamed",51,75,3,2,3,2.9,17.2,7.4,NA,1
"WR","Ty Montgomery (7942006)","Ty Montgomery",7942006,4800,"GB@Chi 01:00PM ET","GB","Ty","Montgomery","Chi",9.94,8.4,4,0.0860420650095602,"Montgomery, Ty",37,45,1,4,5,-0.4,16.1,33.3,17.6,1
"WR","Mike Wallace (7942047)","Mike Wallace",7942047,4800,"Phi@Bal 01:00PM ET","Bal","Mike","Wallace","Phi",12.88,11.3,1,0.187272727272727,"Wallace, Mike",63,103,4,2,1,8.3,20.5,8,10.2,1
"RB","Charcandrick West (7941935)","Charcandrick West",7941935,4800,"Ten@KC 01:00PM ET","KC","Charcandrick","West","Ten",5.84,3.9,7,0.0657894736842105,"West, Charcandrick",23,30,0,7,6,1.6,8.4,0.5,6.4,0
"WR","Adam Thielen (7942087)","Adam Thielen",7942087,4800,"Ind@Min 01:00PM ET","Min","Adam","Thielen","Ind",12.49,13.8,3,0.16135881104034,"Thielen, Adam",57,76,3,3,2,5.4,18.5,0,17.1,1
"WR","Jeremy Maclin (7942058)","Jeremy Maclin",7942058,4700,"Ten@KC 01:00PM ET","KC","Jeremy","Maclin","Ten",10.17,13.4,4,0.12719298245614,"Maclin, Jeremy",31,58,2,4,3,3.6,14.6,14.2,2.6,1
"WR","Marvin Jones Jr. (7942074)","Marvin Jones Jr.",7942074,4700,"Det@NYG 01:00PM ET","Det","Marvin","Jones","NYG",9.62,12.5,2,0.198329853862213,"Jones, Marvin",46,95,4,4,3,NA,NA,NA,NA,NA
"RB","Mark Ingram (7941957)","Mark Ingram",7941957,4700,"NO@Ari 04:05PM ET","NO","Mark","Ingram","Ari",11.03,11.4,6,0.0794824399260629,"Ingram, Mark",36,43,4,5,3,3.8,25.2,11.2,3.3,1
"WR","Malcolm Mitchell (7942124)","Malcolm Mitchell",7942124,4700,"NE@Den 04:25PM ET","NE","Malcolm","Mitchell","Den",11.39,10.7,5,0.0912863070539419,"Mitchell, Malcolm",29,44,4,5,2,0.7,16.9,2.4,14.1,0
"WR","Brandon LaFell (7942139)","Brandon LaFell",7942139,4700,"Pit@Cin 01:00PM ET","Cin","Brandon","LaFell","Pit",10.2,7.9,2,0.170526315789474,"LaFell, Brandon",44,81,5,4,1,2.5,17.6,16.1,5.2,1
"WR","Randall Cobb (7942001)","Randall Cobb",7942001,4600,"GB@Chi 01:00PM ET","GB","Randall","Cobb","Chi",11.57,11.6,3,0.168260038240918,"Cobb, Randall",62,88,5,3,3,5.5,19.8,0,6.3,1
"RB","Mike Gillislee (7941912)","Mike Gillislee",7941912,4600,"Cle@Buf 01:00PM ET","Buf","Mike","Gillislee","Cle",6.42,4.1,10,0.0286458333333333,"Gillislee, Mike",9,11,1,7,3,2.1,13.7,9.7,3.4,1
"WR","Rishard Matthews (7942061)","Rishard Matthews",7942061,4600,"Ten@KC 01:00PM ET","Ten","Rishard","Matthews","KC",12.35,12.7,2,0.1875,"Matthews, Rishard",51,78,8,2,1,6,19.2,16.5,3.6,1
"WR","Sterling Shepard (7942077)","Sterling Shepard",7942077,4600,"Det@NYG 01:00PM ET","NYG","Sterling","Shepard","Det",11.34,12.3,2,0.173387096774194,"Shepard, Sterling",54,86,6,2,2,5.1,17.3,15.6,6.9,1
"WR","Tyler Boyd (7942148)","Tyler Boyd",7942148,4600,"Pit@Cin 01:00PM ET","Cin","Tyler","Boyd","Pit",8.75,8,3,0.151578947368421,"Boyd, Tyler",49,72,1,2,4,3.3,13.6,3.3,14.9,0
"RB","Rashad Jennings (7941936)","Rashad Jennings",7941936,4500,"Det@NYG 01:00PM ET","NYG","Rashad","Jennings","Det",11.81,11.1,5,0.0725806451612903,"Jennings, Rashad",30,36,1,4,4,5.5,17,3.8,7.7,1
"WR","Anquan Boldin (7942068)","Anquan Boldin",7942068,4500,"Det@NYG 01:00PM ET","Det","Anquan","Boldin","NYG",9.62,12.1,3,0.173277661795407,"Boldin, Anquan",58,83,8,2,1,6,16.3,4.3,13.9,1
"RB","Alfred Blue (7941902)","Alfred Blue",7941902,4400,"Jax@Hou 01:00PM ET","Hou","Alfred","Blue","Jax",4.88,3.8,10,0.0150862068965517,"Blue, Alfred",4,7,0,10,8,1.1,5.4,1.5,6.5,0
"WR","Allen Robinson (7942032)","Allen Robinson",7942032,4400,"Jax@Hou 01:00PM ET","Jax","Allen","Robinson","Hou",11.72,12.8,1,0.234082397003745,"Robinson, Allen",57,125,6,1,1,3.8,21.1,3.5,2.7,1
"RB","Frank Gore (7941946)","Frank Gore",7941946,4400,"Ind@Min 01:00PM ET","Ind","Frank","Gore","Min",11.79,13,6,0.0870445344129555,"Gore, Frank",33,43,4,3,4,9.2,19.2,18.5,15.4,1
"RB","Kenneth Farrow (7941988)","Kenneth Farrow",7941988,4400,"Oak@SD 04:25PM ET","SD","Kenneth","Farrow","Oak",11.99,15.1,8,0.0196936542669584,"Farrow, Kenneth",7,9,0,8,8,-1.8,7.3,6.3,13.8,0
"RB","Jamaal Charles (7941926)","Jamaal Charles",7941926,4300,"Ten@KC 01:00PM ET","KC","Jamaal","Charles","Ten",0,0,13,0.00657894736842105,"Charles, Jamaal",2,3,0,13,6,-2.7,11.6,0,NA,0
"TE","Kyle Rudolph (7942203)","Kyle Rudolph",7942203,4300,"Ind@Min 01:00PM ET","Min","Kyle","Rudolph","Ind",12.1,11.7,1,0.220806794055202,"Rudolph, Kyle",59,104,7,2,1,6.3,17,17.7,16,1
"RB","Fitzgerald Toussaint (7941993)","Fitzgerald Toussaint",7941993,4300,"Pit@Cin 01:00PM ET","Pit","Fitzgerald","Toussaint","Cin",1.67,0,13,0.00200400801603206,"Toussaint, Fitzgerald",1,1,0,13,12,-0.3,1.9,0,0.6,0
"WR","Cameron Meredith (7942005)","Cameron Meredith",7942005,4200,"GB@Chi 01:00PM ET","Chi","Cameron","Meredith","GB",8.9,8.4,1,0.157446808510638,"Meredith, Cameron",47,74,3,2,2,1.8,21,22.4,19.2,0
"RB","Jacquizz Rodgers (7941891)","Jacquizz Rodgers",7941891,4200,"TB@Dal 08:30PM ET","TB","Jacquizz","Rodgers","Dal",4.28,0,9,0.0293501048218029,"Rodgers, Jacquizz",11,14,0,8,9,0.7,17.4,0,NA,0
"RB","Devontae Booker (7941980)","Devontae Booker",7941980,4200,"NE@Den 04:25PM ET","Den","Devontae","Booker","NE",8.04,8.3,5,0.0649350649350649,"Booker, Devontae",21,30,0,3,8,2.5,13.4,5.3,3.1,0
"RB","T.J. Yeldon (7941908)","T.J. Yeldon",7941908,4100,"Jax@Hou 01:00PM ET","Jax","T.J.","Yeldon","Hou",9.07,10.4,4,0.117977528089888,"Yeldon, T.J.",46,63,1,3,6,4.4,15.1,11.2,16,1
"WR","Will Fuller V (7942033)","Will Fuller V",7942033,4100,"Jax@Hou 01:00PM ET","Hou","Will","Fuller V","Jax",0,0,NA,NA,"Fuller V, Will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Isaiah Crowell (7941913)","Isaiah Crowell",7941913,4100,"Cle@Buf 01:00PM ET","Cle","Isaiah","Crowell","Buf",11.6,12.8,6,0.0920770877944325,"Crowell, Isaiah",34,43,0,4,8,6.6,19.9,2.8,15.8,1
"WR","Corey Coleman (7942043)","Corey Coleman",7942043,4100,"Cle@Buf 01:00PM ET","Cle","Corey","Coleman","Buf",10.84,11,4,0.119914346895075,"Coleman, Corey",23,56,3,6,2,2.2,20,5.4,5.7,0
"RB","Tim Hightower (7941954)","Tim Hightower",7941954,4100,"NO@Ari 04:05PM ET","NO","Tim","Hightower","Ari",7.28,9.1,8,0.0406654343807763,"Hightower, Tim",18,22,1,8,7,-0.1,14.9,19.8,4.9,1
"TE","Antonio Gates (7942225)","Antonio Gates",7942225,4100,"Oak@SD 04:25PM ET","SD","Antonio","Gates","Oak",11.22,11.7,4,0.150984682713348,"Gates, Antonio",39,69,5,5,3,6,15.4,2.1,11.1,1
"RB","Jeremy Langford (7941882)","Jeremy Langford",7941882,4000,"GB@Chi 01:00PM ET","Chi","Jeremy","Langford","GB",3.97,3.7,9,0.0468085106382979,"Langford, Jeremy",15,22,0,8,9,0.7,11.3,3.2,1.5,0
"WR","Marqise Lee (7942030)","Marqise Lee",7942030,4000,"Jax@Hou 01:00PM ET","Jax","Marqise","Lee","Hou",11.09,10.4,2,0.168539325842697,"Lee, Marqise",56,90,2,2,4,5.8,16.8,6,19.3,1
"RB","Darren Sproles (7941917)","Darren Sproles",7941917,4000,"Phi@Bal 01:00PM ET","Phi","Darren","Sproles","Bal",8.29,9.4,4,0.132382892057026,"Sproles, Darren",48,65,2,3,3,4.4,17.8,0,12,1
"RB","Shane Vereen (7941937)","Shane Vereen",7941937,4000,"Det@NYG 01:00PM ET","NYG","Shane","Vereen","Det",0,7.6,10,0.032258064516129,"Vereen, Shane",10,16,0,10,10,3.1,15,4,2,0
"RB","Jerick McKinnon (7941952)","Jerick McKinnon",7941952,4000,"Ind@Min 01:00PM ET","Min","Jerick","McKinnon","Ind",10.84,12.4,5,0.0764331210191083,"McKinnon, Jerick",28,36,1,5,5,1.9,13.5,16.1,12.9,0
"WR","Michael Floyd (7942090)","Michael Floyd",7942090,4000,"NO@Ari 04:05PM ET","Ari","Michael","Floyd","NO",10.01,11,3,0.134301270417423,"Floyd, Michael",35,74,4,3,2,3.9,13.5,0,3.8,0
"TE","Martellus Bennett (7942220)","Martellus Bennett",7942220,4000,"NE@Den 04:25PM ET","NE","Martellus","Bennett","Den",10.55,9.6,3,0.141078838174274,"Bennett, Martellus",49,68,5,3,1,1.7,21.3,5.5,17,1
"RB","Ryan Mathews (7941918)","Ryan Mathews",7941918,3900,"Phi@Bal 01:00PM ET","Phi","Ryan","Mathews","Bal",9.86,6.7,8,0.0244399185336049,"Mathews, Ryan",11,12,1,7,5,1.8,20,25.3,6,1
"RB","Terrance West (7941921)","Terrance West",7941921,3900,"Phi@Bal 01:00PM ET","Bal","Terrance","West","Phi",8.63,6.3,7,0.0636363636363636,"West, Terrance",24,35,1,8,6,3,18.8,16.2,6.6,1
"TE","Delanie Walker (7942184)","Delanie Walker",7942184,3900,"Ten@KC 01:00PM ET","Ten","Delanie","Walker","KC",13.01,11.1,1,0.194711538461538,"Walker, Delanie",53,81,6,1,2,5.2,21.4,11.5,5.8,1
"WR","J.J. Nelson (7942093)","J.J. Nelson",7942093,3900,"NO@Ari 04:05PM ET","Ari","J.J.","Nelson","NO",8.7,9.7,6,0.0834845735027223,"Nelson, J.J.",23,46,4,6,2,-0.3,17,14.8,19.4,0
"RB","DuJuan Harris (7941965)","DuJuan Harris",7941965,3900,"SF@Atl 04:05PM ET","SF","DuJuan","Harris","Atl",0,1.1,10,0.0224438902743142,"Harris, DuJuan",7,9,1,9,6,-3.3,15.3,0,NA,0
"RB","Dion Lewis (7941976)","Dion Lewis",7941976,3900,"NE@Den 04:25PM ET","NE","Dion","Lewis","Den",7.36,11.1,8,0.037344398340249,"Lewis, Dion",12,18,0,8,8,4.2,10,12.4,2.9,0
"RB","Charles Sims (7941893)","Charles Sims",7941893,3800,"TB@Dal 08:30PM ET","TB","Charles","Sims","Dal",9.82,7.3,7,0.0461215932914046,"Sims, Charles",17,22,1,4,4,3.1,19.3,4.9,8,1
"TE","Cameron Brate (7942160)","Cameron Brate",7942160,3800,"TB@Dal 08:30PM ET","TB","Cameron","Brate","Dal",11.5,9.9,2,0.157232704402516,"Brate, Cameron",52,75,8,2,2,4.5,17.7,18.3,8.7,1
"RB","Kenneth Dixon (7941923)","Kenneth Dixon",7941923,3800,"Phi@Bal 01:00PM ET","Bal","Kenneth","Dixon","Phi",12.31,11.3,8,0.0581818181818182,"Dixon, Kenneth",26,32,1,7,6,0.6,15.1,9.6,22.1,1
"RB","Wendell Smallwood (7941925)","Wendell Smallwood",7941925,3800,"Phi@Bal 01:00PM ET","Phi","Wendell","Smallwood","Bal",0,0,8,0.0244399185336049,"Smallwood, Wendell",6,12,0,10,8,-0.5,9.5,0,0.3,0
"RB","Paul Perkins (7941944)","Paul Perkins",7941944,3800,"Det@NYG 01:00PM ET","NYG","Paul","Perkins","Det",6.94,3.1,8,0.0403225806451613,"Perkins, Paul",15,20,0,7,10,2.9,7.5,5.6,5.5,0
"WR","Phillip Dorsett (7942082)","Phillip Dorsett",7942082,3800,"Ind@Min 01:00PM ET","Ind","Phillip","Dorsett","Min",5.71,7,3,0.109311740890688,"Dorsett, Phillip",27,54,1,6,6,2.4,10.1,12,4.9,0
"WR","John Brown (7942091)","John Brown",7942091,3800,"NO@Ari 04:05PM ET","Ari","John","Brown","NO",3.66,7.4,4,0.114337568058076,"Brown, John",32,63,1,4,6,-1.1,15.8,19.1,NA,0
"WR","Chris Hogan (7942123)","Chris Hogan",7942123,3800,"NE@Den 04:25PM ET","NE","Chris","Hogan","Den",8.07,8.2,4,0.105809128630705,"Hogan, Chris",32,51,4,4,2,1.5,19,2.8,27.6,1
"WR","Travis Benjamin (7942129)","Travis Benjamin",7942129,3800,"Oak@SD 04:25PM ET","SD","Travis","Benjamin","Oak",6.12,8.1,3,0.153172866520788,"Benjamin, Travis",42,70,3,3,5,0.4,19.2,13.6,-0.2,0
"WR","Adam Humphries (7942020)","Adam Humphries",7942020,3700,"TB@Dal 08:30PM ET","TB","Adam","Humphries","Dal",8.9,9.7,3,0.146750524109015,"Humphries, Adam",47,70,1,3,4,2.5,14.4,12.9,NA,0
"RB","Chris Ivory (7941898)","Chris Ivory",7941898,3700,"Jax@Hou 01:00PM ET","Jax","Chris","Ivory","Hou",8.06,8.2,7,0.0393258426966292,"Ivory, Chris",16,21,0,7,10,3.2,13.7,4.4,NA,1
"TE","Eric Ebron (7942198)","Eric Ebron",7942198,3700,"Det@NYG 01:00PM ET","Det","Eric","Ebron","NYG",8.97,10.2,5,0.127348643006263,"Ebron, Eric",45,61,2,5,5,5.5,15.9,7.6,7.2,1
"TE","Ladarius Green (7942233)","Ladarius Green",7942233,3700,"Pit@Cin 01:00PM ET","Pit","Ladarius","Green","Cin",11.42,9.2,6,0.0501002004008016,"Green, Ladarius",13,25,1,7,6,-1,19,12.2,4.5,1
"TE","C.J. Fiedorowicz (7942163)","C.J. Fiedorowicz",7942163,3600,"Jax@Hou 01:00PM ET","Hou","C.J.","Fiedorowicz","Jax",9.56,8.3,2,0.161637931034483,"Fiedorowicz, C.J.",49,75,3,2,2,2.8,15.1,0,6.2,1
"RB","Kenjon Barner (7941919)","Kenjon Barner",7941919,3600,"Phi@Bal 01:00PM ET","Phi","Kenjon","Barner","Bal",0,1.8,12,0.0142566191446029,"Barner, Kenjon",4,7,0,11,8,-0.3,6.1,5.1,NA,0
"RB","James White (7941978)","James White",7941978,3600,"NE@Den 04:25PM ET","NE","James","White","Den",8.23,7.3,2,0.161825726141079,"White, James",55,78,4,2,2,3.9,16.8,6.5,11.4,1
"WR","Eli Rogers (7942145)","Eli Rogers",7942145,3600,"Pit@Cin 01:00PM ET","Pit","Eli","Rogers","Cin",7.56,8.4,4,0.0981963927855711,"Rogers, Eli",34,49,2,4,4,2.3,14.8,18.5,5,1
"RB","Christine Michael (7941881)","Christine Michael",7941881,3500,"GB@Chi 01:00PM ET","GB","Christine","Michael","Chi",7.15,4,NA,NA,"Michael, Christine",NA,NA,NA,NA,NA,1.7,19.4,10.5,NA,1
"WR","Robert Woods (7942039)","Robert Woods",7942039,3500,"Cle@Buf 01:00PM ET","Buf","Robert","Woods","Cle",8.91,6.9,2,0.177083333333333,"Woods, Robert",44,68,1,1,3,2.4,18.6,1.5,3.9,1
"WR","Dorial Green-Beckham (7942053)","Dorial Green-Beckham",7942053,3500,"Phi@Bal 01:00PM ET","Phi","Dorial","Green-Beckham","Bal",7.35,8.2,3,0.134419551934827,"Green-Beckham, Dorial",35,66,2,4,3,2.4,12.3,2.1,NA,0
"RB","Dwayne Washington (7941945)","Dwayne Washington",7941945,3500,"Det@NYG 01:00PM ET","Det","Dwayne","Washington","NYG",5.91,5.5,8,0.0187891440501044,"Washington, Dwayne",7,9,0,8,8,2.2,6.5,6,8.4,0
"RB","Andre Ellington (7941958)","Andre Ellington",7941958,3500,"NO@Ari 04:05PM ET","Ari","Andre","Ellington","NO",2.56,3,9,0.029038112522686,"Ellington, Andre",10,16,0,9,9,0.7,3.2,1.9,NA,0
"WR","Torrey Smith (7942102)","Torrey Smith",7942102,3500,"SF@Atl 04:05PM ET","SF","Torrey","Smith","Atl",0,8.4,3,0.129675810473815,"Smith, Torrey",21,52,3,6,2,-0.4,11.1,0,NA,0
"RB","Rex Burkhead (7941992)","Rex Burkhead",7941992,3500,"Pit@Cin 01:00PM ET","Cin","Rex","Burkhead","Pit",7.55,6.2,9,0.0252631578947368,"Burkhead, Rex",9,12,0,10,6,0.4,7.3,7,6.1,0
"WR","Marquess Wilson (7942004)","Marquess Wilson",7942004,3400,"GB@Chi 01:00PM ET","Chi","Marquess","Wilson","GB",7.64,6.7,10,0.0340425531914894,"Wilson, Marquess",9,16,1,11,4,-4.6,27.2,0,NA,0
"WR","Russell Shepard (7942016)","Russell Shepard",7942016,3400,"TB@Dal 08:30PM ET","TB","Russell","Shepard","Dal",5.77,4.4,6,0.0566037735849057,"Shepard, Russell",17,27,2,4,3,-0.4,11,2.9,2.7,0
"TE","Jason Witten (7942155)","Jason Witten",7942155,3400,"TB@Dal 08:30PM ET","Dal","Jason","Witten","TB",9.04,10.4,2,0.202469135802469,"Witten, Jason",57,82,2,2,5,3.9,17.6,14.1,6.6,1
"WR","Allen Hurns (7942026)","Allen Hurns",7942026,3400,"Jax@Hou 01:00PM ET","Jax","Allen","Hurns","Hou",0,8.9,3,0.146067415730337,"Hurns, Allen",35,78,3,4,3,2.9,15.4,0,NA,1
"RB","Matt Asiata (7941948)","Matt Asiata",7941948,3400,"Ind@Min 01:00PM ET","Min","Matt","Asiata","Ind",10.07,9.6,6,0.0658174097664544,"Asiata, Matt",26,31,0,6,6,3.6,13.9,3,12.1,1
"WR","Jeremy Kerley (7942103)","Jeremy Kerley",7942103,3400,"SF@Atl 04:05PM ET","SF","Jeremy","Kerley","Atl",9.89,10.9,1,0.224438902743142,"Kerley, Jeremy",48,90,3,1,2,0.8,17.6,7.8,10,0
"WR","Aldrick Robinson (7942104)","Aldrick Robinson",7942104,3400,"SF@Atl 04:05PM ET","Atl","Aldrick","Robinson","SF",2.83,1.2,8,0.0551876379690949,"Robinson, Aldrick",14,25,2,9,6,-0.6,8.8,18.1,7.2,0
"RB","DeAndre Washington (7941985)","DeAndre Washington",7941985,3400,"Oak@SD 04:25PM ET","Oak","DeAndre","Washington","SD",0,0,9,0.0324427480916031,"Washington, DeAndre",13,17,0,8,11,2.1,7.7,4.4,NA,0
"RB","James Starks (7941880)","James Starks",7941880,3300,"GB@Chi 01:00PM ET","GB","James","Starks","Chi",4.36,5.7,7,0.0478011472275335,"Starks, James",19,25,2,6,4,0,13.1,0,0.3,1
"WR","Joshua Bellamy (7942003)","Joshua Bellamy",7942003,3300,"GB@Chi 01:00PM ET","Chi","Joshua","Bellamy","GB",0,0,NA,NA,"Bellamy, Joshua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR","Paul Turner (7942050)","Paul Turner",7942050,3300,"Phi@Bal 01:00PM ET","Phi","Paul","Turner","Bal",4.56,2,10,0.0203665987780041,"Turner, Paul",7,10,0,9,8,0.2,16.4,0,2.6,0
"TE","Dennis Pitta (7942177)","Dennis Pitta",7942177,3300,"Phi@Bal 01:00PM ET","Bal","Dennis","Pitta","Phi",8.21,8.1,2,0.170909090909091,"Pitta, Dennis",67,94,2,1,4,2.9,17.7,3.6,5.8,1
"WR","Tajae Sharpe (7942065)","Tajae Sharpe",7942065,3300,"Ten@KC 01:00PM ET","Ten","Tajae","Sharpe","KC",9.66,8.7,2,0.1875,"Sharpe, Tajae",37,78,2,4,6,1.5,13.1,3,NA,0
"WR","Victor Cruz (7942069)","Victor Cruz",7942069,3300,"Det@NYG 01:00PM ET","NYG","Victor","Cruz","Det",6.64,7.7,3,0.108870967741935,"Cruz, Victor",28,54,1,5,4,2.9,11.6,3.9,1.4,0
"RB","Robert Turbin (7941949)","Robert Turbin",7941949,3300,"Ind@Min 01:00PM ET","Ind","Robert","Turbin","Min",4.26,5.1,7,0.0546558704453441,"Turbin, Robert",20,27,0,7,7,3.7,7.5,19.4,8.3,0
"WR","Justin Hardy (7942109)","Justin Hardy",7942109,3300,"SF@Atl 04:05PM ET","Atl","Justin","Hardy","SF",5.29,2.8,9,0.0507726269315673,"Hardy, Justin",17,23,3,8,3,1.1,8.6,2.6,8.9,0
"WR","Danny Amendola (7942115)","Danny Amendola",7942115,3300,"NE@Den 04:25PM ET","NE","Danny","Amendola","Den",0,0,7,0.0622406639004149,"Amendola, Danny",23,30,4,7,2,0.2,11.5,0,NA,0
"WR","Terrance Williams (7942014)","Terrance Williams",7942014,3200,"TB@Dal 08:30PM ET","Dal","Terrance","Williams","TB",8.35,7.9,4,0.125925925925926,"Williams, Terrance",34,51,3,4,3,2.7,13.6,6,18.6,0
"RB","Denard Robinson (7941901)","Denard Robinson",7941901,3200,"Jax@Hou 01:00PM ET","Jax","Denard","Robinson","Hou",0,1.1,13,0.00749063670411985,"Robinson, Denard",3,4,0,13,10,0.3,5.6,0,NA,0
"RB","Duke Johnson Jr. (7941915)","Duke Johnson Jr.",7941915,3200,"Cle@Buf 01:00PM ET","Cle","Duke","Johnson","Buf",9.19,9,3,0.145610278372591,"Johnson, Duke",48,68,1,2,4,NA,NA,NA,NA,NA
"WR","Kendall Wright (7942059)","Kendall Wright",7942059,3200,"Ten@KC 01:00PM ET","Ten","Kendall","Wright","KC",6.22,7.3,5,0.0865384615384615,"Wright, Kendall",25,36,3,5,3,-0.3,19.3,3.9,NA,0
"WR","Albert Wilson (7942060)","Albert Wilson",7942060,3200,"Ten@KC 01:00PM ET","KC","Albert","Wilson","Ten",6.07,2.8,5,0.105263157894737,"Wilson, Albert",29,48,2,5,3,0.6,13.1,0,NA,0
"WR","Cordarrelle Patterson (7942084)","Cordarrelle Patterson",7942084,3200,"Ind@Min 01:00PM ET","Min","Cordarrelle","Patterson","Ind",6.26,7.9,4,0.125265392781316,"Patterson, Cordarrelle",45,59,2,4,3,1.9,13.7,9.9,4.8,0
"TE","Coby Fleener (7942210)","Coby Fleener",7942210,3200,"NO@Ari 04:05PM ET","NO","Coby","Fleener","Ari",8.13,8.6,4,0.125693160813309,"Fleener, Coby",43,68,3,4,5,1.5,17.8,3,1.6,1
"WR","Quinton Patton (7942110)","Quinton Patton",7942110,3200,"SF@Atl 04:05PM ET","SF","Quinton","Patton","Atl",8.21,10.6,2,0.154613466334165,"Patton, Quinton",36,62,0,2,8,1.5,11.6,2.3,7.1,0
"RB","Jalen Richard (7941989)","Jalen Richard",7941989,3200,"Oak@SD 04:25PM ET","Oak","Jalen","Richard","SD",4.55,6.6,6,0.0591603053435115,"Richard, Jalen",21,31,1,6,6,1.3,12.4,8.9,2.9,0
"WR","Eddie Royal (7941999)","Eddie Royal",7941999,3100,"GB@Chi 01:00PM ET","Chi","Eddie","Royal","GB",0,3.8,5,0.0957446808510638,"Royal, Eddie",35,45,2,4,3,1.7,18.5,0,NA,0
"WR","Marquise Goodwin (7942037)","Marquise Goodwin",7942037,3100,"Cle@Buf 01:00PM ET","Buf","Marquise","Goodwin","Cle",6.58,5.3,3,0.140625,"Goodwin, Marquise",26,54,3,4,2,0.2,14.6,7.3,NA,0
"WR","Breshad Perriman (7942052)","Breshad Perriman",7942052,3100,"Phi@Bal 01:00PM ET","Bal","Breshad","Perriman","Phi",8.2,6.2,4,0.0963636363636364,"Perriman, Breshad",27,53,4,5,1,3,11.1,0,8.2,0
"WR","Nelson Agholor (7942055)","Nelson Agholor",7942055,3100,"Phi@Bal 01:00PM ET","Phi","Nelson","Agholor","Bal",5.23,4.9,5,0.128309572301426,"Agholor, Nelson",33,63,1,5,5,2.4,9.7,2,4.2,0
"WR","Chris Conley (7942062)","Chris Conley",7942062,3100,"Ten@KC 01:00PM ET","KC","Chris","Conley","Ten",7.54,6.3,3,0.135964912280702,"Conley, Chris",36,62,0,3,6,2.9,9.5,3.1,9,0
"TE","Vance McDonald (7942214)","Vance McDonald",7942214,3100,"SF@Atl 04:05PM ET","SF","Vance","McDonald","Atl",0,0,4,0.109725685785536,"McDonald, Vance",24,44,4,3,1,3.4,14,0,NA,1
"RB","Ka'Deem Carey (7941883)","Ka'Deem Carey",7941883,3000,"GB@Chi 01:00PM ET","Chi","Ka'Deem","Carey","GB",1.88,2.3,NA,NA,"Carey, Ka'Deem",NA,NA,NA,NA,NA,0.1,4.5,0.1,0.2,0
