"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Clayton Kershaw","Chris Archer","Welington Castillo","Buster Posey","Aaron Hill","Yunel Escobar","Andrelton Simmons","Josh Reddick","Kevin Kiermaier","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Brian McCann","Jefry Marte","Aaron Hill","Yunel Escobar","Allen Cordoba","Bryce Harper","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Matt Wieters","Buster Posey","Aaron Hill","Yunel Escobar","Allen Cordoba","Mike Trout","Josh Reddick","Chris Young"
"Clayton Kershaw","Chris Archer","Martin Maldonado","Jefry Marte","Aaron Hill","Yunel Escobar","Andrelton Simmons","Mike Trout","Josh Reddick","Adam Eaton"
"Clayton Kershaw","Chris Archer","Matt Wieters","Hanley Ramirez","Aaron Hill","Yunel Escobar","Brandon Crawford","Josh Reddick","Adam Eaton","Corey Dickerson"
"Clayton Kershaw","Amir Garrett","Evan Gattis","Buster Posey","Aaron Hill","Yunel Escobar","Brandon Crawford","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Trey Mancini","Aaron Hill","Yunel Escobar","Andrelton Simmons","Bryce Harper","Josh Reddick","Chris Young"
"Clayton Kershaw","Chris Archer","Welington Castillo","Trey Mancini","Aaron Hill","Yunel Escobar","Allen Cordoba","Billy Hamilton","Josh Reddick","Adam Eaton"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Trey Mancini","Aaron Hill","Manny Machado","Allen Cordoba","Josh Reddick","Kevin Kiermaier","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Evan Gattis","Brandon Belt","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Josh Reddick","Corey Dickerson","Chris Young"
"Clayton Kershaw","Jhoulys Chacin","Brian McCann","Buster Posey","Aaron Hill","Manny Machado","Allen Cordoba","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Chris Archer","Evan Gattis","Hanley Ramirez","Aaron Hill","Yunel Escobar","Allen Cordoba","Josh Reddick","Kevin Kiermaier","Jay Bruce"
"Clayton Kershaw","Chris Archer","Welington Castillo","Logan Morrison","Aaron Hill","Cody Asche","Allen Cordoba","Mike Trout","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Evan Gattis","Buster Posey","Aaron Hill","Cheslor Cuthbert","Allen Cordoba","Josh Reddick","Adam Eaton","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Tucker Barnhart","Trey Mancini","Aaron Hill","Cheslor Cuthbert","Andrelton Simmons","Mike Trout","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Trevor Bauer","Yasmani Grandal","Hanley Ramirez","Aaron Hill","Yunel Escobar","Allen Cordoba","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Chris Archer","Brian McCann","Trey Mancini","Aaron Hill","Yunel Escobar","Brandon Crawford","Josh Reddick","Lorenzo Cain","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Martin Maldonado","Buster Posey","Aaron Hill","Cody Asche","Brandon Crawford","Bryce Harper","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Trevor Bauer","Matt Wieters","Buster Posey","Aaron Hill","Manny Machado","Andrelton Simmons","Mike Trout","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Buster Posey","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Josh Reddick","Adam Eaton","Kevin Pillar"
"Clayton Kershaw","Chris Archer","Matt Wieters","Justin Smoak","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Bryce Harper","Josh Reddick","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Brian McCann","Buster Posey","Aaron Hill","Manny Machado","Andrelton Simmons","Josh Reddick","Chris Young","Ezequiel Carrera"
"Clayton Kershaw","Chris Archer","Evan Gattis","Jefry Marte","Aaron Hill","Manny Machado","Andrelton Simmons","Josh Reddick","Corey Dickerson","Shane Peterson"
"Clayton Kershaw","Chris Archer","Welington Castillo","Jefry Marte","Aaron Hill","Yunel Escobar","Brandon Crawford","Hunter Pence","Josh Reddick","Chris Young"
"Clayton Kershaw","Chris Archer","Brian McCann","Hanley Ramirez","Aaron Hill","Cody Asche","Andrelton Simmons","Billy Hamilton","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Tucker Barnhart","Buster Posey","Aaron Hill","Yunel Escobar","Nick Ahmed","Bryce Harper","Josh Reddick","Jay Bruce"
"Clayton Kershaw","Jhoulys Chacin","Evan Gattis","Hanley Ramirez","Aaron Hill","Manny Machado","Brandon Crawford","Mike Trout","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Amir Garrett","Brian McCann","Hanley Ramirez","Aaron Hill","Alex Bregman","Asdrubal Cabrera","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Chris Archer","Brian McCann","Brandon Belt","Aaron Hill","Yunel Escobar","Andrelton Simmons","Josh Reddick","Yasiel Puig","Jay Bruce"
"Clayton Kershaw","Trevor Bauer","Brian McCann","Buster Posey","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Bryce Harper","Billy Hamilton","Josh Reddick"
"Clayton Kershaw","Chris Archer","Brian McCann","Lucas Duda","Aaron Hill","Yunel Escobar","Andrelton Simmons","Mike Trout","Corey Dickerson","Chris Young"
"Clayton Kershaw","Chris Archer","Welington Castillo","Jefry Marte","Aaron Hill","Cody Asche","Andrelton Simmons","Bryce Harper","Josh Reddick","Kevin Pillar"
"Clayton Kershaw","Chris Archer","Salvador Perez","Justin Smoak","Aaron Hill","Yunel Escobar","JJ Hardy","Mike Trout","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Amir Garrett","Brian McCann","Brandon Belt","Daniel Murphy","Yunel Escobar","Andrelton Simmons","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Tyler Anderson","Welington Castillo","Victor Martinez","Aaron Hill","Yunel Escobar","Andrelton Simmons","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Chris Archer","Tucker Barnhart","Hanley Ramirez","Aaron Hill","Cody Asche","Allen Cordoba","Bryce Harper","Josh Reddick","Adam Eaton"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Logan Morrison","Aaron Hill","Yunel Escobar","Brandon Crawford","Mike Trout","Josh Reddick","Shane Peterson"
"Clayton Kershaw","Trevor Bauer","Welington Castillo","Brandon Belt","Aaron Hill","Manny Machado","Allen Cordoba","Bryce Harper","Josh Reddick","Corey Dickerson"
"Clayton Kershaw","Chris Archer","Evan Gattis","Justin Smoak","Aaron Hill","Yunel Escobar","Andrelton Simmons","Billy Hamilton","Josh Reddick","Lorenzo Cain"
"Clayton Kershaw","Chris Archer","Martin Maldonado","Hanley Ramirez","Aaron Hill","Cheslor Cuthbert","Andrelton Simmons","Bryce Harper","Josh Reddick","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Jefry Marte","Aaron Hill","Cheslor Cuthbert","Allen Cordoba","Mike Trout","Josh Reddick","Jay Bruce"
"Clayton Kershaw","Chris Archer","Evan Gattis","Trey Mancini","Aaron Hill","Cody Asche","Asdrubal Cabrera","Josh Reddick","Adam Eaton","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Travis d'Arnaud","Trey Mancini","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Mike Trout","Josh Reddick","Ezequiel Carrera"
"Clayton Kershaw","Trevor Bauer","Evan Gattis","Jefry Marte","Aaron Hill","Yunel Escobar","Andrelton Simmons","Bryce Harper","George Springer","Josh Reddick"
"Clayton Kershaw","Chris Archer","Yasmani Grandal","Lucas Duda","Aaron Hill","Yunel Escobar","Allen Cordoba","George Springer","Josh Reddick","Lorenzo Cain"
"Clayton Kershaw","Chris Archer","Matt Wieters","Lucas Duda","Aaron Hill","Cody Asche","Andrelton Simmons","Mike Trout","Josh Reddick","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Welington Castillo","Jefry Marte","Aaron Hill","Yunel Escobar","Allen Cordoba","Mike Trout","Kevin Kiermaier","Kevin Pillar"
"Clayton Kershaw","Trevor Bauer","Evan Gattis","Trey Mancini","Aaron Hill","Andrew Romine","Asdrubal Cabrera","Mike Trout","Bryce Harper","Josh Reddick"
"Clayton Kershaw","Trevor Bauer","Evan Gattis","Jefry Marte","Aaron Hill","Manny Machado","Allen Cordoba","Mike Trout","Josh Reddick","Kevin Kiermaier"
"Clayton Kershaw","Chris Archer","Welington Castillo","Logan Morrison","Aaron Hill","Yunel Escobar","Asdrubal Cabrera","Josh Reddick","Lorenzo Cain","Jay Bruce"
