"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Projection_ceil","Projection_rceil","Name.Clean","FreqInd"
"WR","DeAndre Hopkins (7725714)","DeAndre Hopkins",7725714,7100,"Hou@Jax 01:00PM ET","Hou","DeAndre","Hopkins","Jax",15.05,18,1,0.252525252525253,15.7431084659398,15.6236725373106,20.8,18,"DeAndre Hopkins",1
"RB","Melvin Gordon (7725675)","Melvin Gordon",7725675,7100,"Mia@SD 04:05PM ET","SD","Melvin","Gordon","Mia",20.2,20.7,5,0.115151515151515,19.2181115967921,19.1381801681619,32.6,20.7,"Melvin Gordon",1
"WR","Allen Robinson (7725718)","Allen Robinson",7725718,7000,"Hou@Jax 01:00PM ET","Jax","Allen","Robinson","Hou",15.32,14.7,1,0.248538011695906,14.0230218676377,13.9856154264084,20.5,14.7,"Allen Robinson",1
"RB","Devontae Booker (7725625)","Devontae Booker",7725625,7000,"Den@NO 01:00PM ET","Den","Devontae","Booker","NO",15.46,13.3,5,0.0737179487179487,13.3030874936294,13.3009867468477,13.7,13.7,"Devontae Booker",0
"WR","Brandin Cooks (7725728)","Brandin Cooks",7725728,7000,"Den@NO 01:00PM ET","NO","Brandin","Cooks","Den",16.21,14.4,2,0.182857142857143,14.1998277270158,14.1870589109418,29.2,14.4,"Brandin Cooks",1
"RB","Jay Ajayi (7725674)","Jay Ajayi",7725674,7000,"Mia@SD 04:05PM ET","Mia","Jay","Ajayi","SD",18.28,14.2,5,0.0622406639004149,14.8861763516843,14.9191463741114,30.8,14.2,"Jay Ajayi",1
"WR","Dez Bryant (7725826)","Dez Bryant",7725826,7000,"Dal@Pit 04:25PM ET","Dal","Dez","Bryant","Pit",15.32,15.4,3,0.167315175097276,14.409937224138,14.3562675267827,22.5,15.4,"Dez Bryant",0
"QB","Drew Brees (7725553)","Drew Brees",7725553,6900,"Den@NO 01:00PM ET","NO","Drew","Brees","Den",20.6,17.3,0,0,17.4927979766255,17.4998000268807,34.7,17.3,"Drew Brees",0
"WR","Brandon Marshall (7725733)","Brandon Marshall",7725733,6900,"LA@NYJ 01:00PM ET","NYJ","Brandon","Marshall","LA",14.86,15.8,1,0.277602523659306,14.4539437425927,14.3818491573795,20.6,15.8,"Brandon Marshall",0
"RB","DeMarco Murray (7725668)","DeMarco Murray",7725668,6900,"GB@Ten 01:00PM ET","Ten","DeMarco","Murray","GB",18.3,14.7,4,0.139072847682119,15.1702439404691,15.1919943774056,27.2,14.7,"DeMarco Murray",1
"TE","Rob Gronkowski (7725932)","Rob Gronkowski",7725932,6900,"Sea@NE 08:30PM ET","NE","Rob","Gronkowski","Sea",18.38,14.3,5,0.111111111111111,14.9799473590359,15.012579189299,29,14.3,"Rob Gronkowski",1
"WR","Emmanuel Sanders (7725722)","Emmanuel Sanders",7725722,6800,"Den@NO 01:00PM ET","Den","Emmanuel","Sanders","NO",17.68,16.2,1,0.278846153846154,15.7606644888618,15.7352572843759,23.8,16.2,"Emmanuel Sanders",0
"RB","Devonta Freeman (7725639)","Devonta Freeman",7725639,6800,"Atl@Phi 01:00PM ET","Atl","Devonta","Freeman","Phi",14.93,17.6,3,0.115625,15.4758171145179,15.3632923189357,24.8,17.6,"Devonta Freeman",1
"QB","Cam Newton (7725571)","Cam Newton",7725571,6800,"KC@Car 01:00PM ET","Car","Cam","Newton","KC",20.95,20.4,0,0,19.3410211171781,19.2829481315075,29.7,20.4,"Cam Newton",0
"WR","Kelvin Benjamin (7725762)","Kelvin Benjamin",7725762,6800,"KC@Car 01:00PM ET","Car","Kelvin","Benjamin","KC",14.7,12.7,2,0.215488215488215,12.6788656335293,12.6756178315075,24.2,12.7,"Kelvin Benjamin",1
"QB","Ben Roethlisberger (7725598)","Ben Roethlisberger",7725598,6800,"Dal@Pit 04:25PM ET","Pit","Ben","Roethlisberger","Dal",20.42,18.9,0,0,18.3078806413505,18.2741363004947,32.9,18.9,"Ben Roethlisberger",0
"WR","Demaryius Thomas (7725723)","Demaryius Thomas",7725723,6700,"Den@NO 01:00PM ET","Den","Demaryius","Thomas","NO",18.51,17.4,2,0.275641025641026,16.7434762526009,16.7066657606308,20.3,17.4,"Demaryius Thomas",1
"RB","Spencer Ware (7725647)","Spencer Ware",7725647,6700,"KC@Car 01:00PM ET","KC","Spencer","Ware","Car",14.95,12.8,6,0.0793103448275862,12.8303827183724,12.8297744193963,28.4,12.8,"Spencer Ware",1
"QB","Philip Rivers (7725590)","Philip Rivers",7725590,6700,"Mia@SD 04:05PM ET","SD","Philip","Rivers","Mia",18.76,17.4,0,0,16.8397197150868,16.8078720484661,25.5,17.4,"Philip Rivers",0
"WR","Alshon Jeffery (7725770)","Alshon Jeffery",7725770,6600,"Chi@TB 01:00PM ET","Chi","Alshon","Jeffery","TB",14.94,18.2,1,0.219594594594595,15.8113085871604,15.6850423707699,17,18.2,"Alshon Jeffery",1
"WR","Ty Montgomery (7725796)","Ty Montgomery",7725796,6500,"GB@Ten 01:00PM ET","GB","Ty","Montgomery","Ten",13.54,11.8,4,0.0906344410876133,11.7348333663804,11.7294679554704,17.9,11.8,"Ty Montgomery",0
"QB","Carson Palmer (7725592)","Carson Palmer",7725592,6500,"SF@Ari 04:25PM ET","Ari","Carson","Palmer","SF",20.78,18,0,0,17.9490086261155,17.9433206544964,25.3,18,"Carson Palmer",0
"RB","Lamar Miller (7725609)","Lamar Miller",7725609,6400,"Hou@Jax 01:00PM ET","Hou","Lamar","Miller","Jax",15.94,15.2,5,0.0976430976430976,14.5380737663885,14.5013585205073,24.7,15.2,"Lamar Miller",1
"WR","Randall Cobb (7725793)","Randall Cobb",7725793,6400,"GB@Ten 01:00PM ET","GB","Randall","Cobb","Ten",15.21,14.6,3,0.181268882175227,13.9254011217868,13.8881343597074,23.6,14.6,"Randall Cobb",1
"QB","Jameis Winston (7725578)","Jameis Winston",7725578,6300,"Chi@TB 01:00PM ET","TB","Jameis","Winston","Chi",18.94,18.1,0,0,17.2959303645768,17.2513926760818,26.8,18.1,"Jameis Winston",0
"WR","Davante Adams (7725797)","Davante Adams",7725797,6300,"GB@Ten 01:00PM ET","GB","Davante","Adams","Ten",15.05,9.8,2,0.211480362537764,11.2106714326514,11.2817479329265,27.7,9.8,"Davante Adams",1
"RB","Jacquizz Rodgers (7725653)","Jacquizz Rodgers",7725653,6200,"Chi@TB 01:00PM ET","TB","Jacquizz","Rodgers","Chi",0,0,7,0.0408805031446541,0,0,19.7,0,"Jacquizz Rodgers",0
"WR","Stefon Diggs (7725786)","Stefon Diggs",7725786,6200,"Min@Was 01:00PM ET","Min","Stefon","Diggs","Was",15.48,13.7,1,0.235915492957746,13.5318814600569,13.5208844500884,28.4,13.7,"Stefon Diggs",1
"TE","Jordan Reed (7725896)","Jordan Reed",7725896,6200,"Min@Was 01:00PM ET","Was","Jordan","Reed","Min",15.3,15.2,2,0.178247734138973,14.2916905024248,14.2422704236489,24.6,15.2,"Jordan Reed",1
"QB","Russell Wilson (7725604)","Russell Wilson",7725604,6200,"Sea@NE 08:30PM ET","Sea","Russell","Wilson","NE",18.49,17.7,14,0.003690036900369,16.9015976426736,16.8574201577643,22.5,17.7,"Russell Wilson",0
"WR","Michael Thomas (7725731)","Michael Thomas",7725731,6100,"Den@NO 01:00PM ET","NO","Michael","Thomas","Den",14.22,12,1,0.188571428571429,12.1071628290563,12.1106496584894,23.2,12,"Michael Thomas",1
"RB","Matt Forte (7725626)","Matt Forte",7725626,6100,"LA@NYJ 01:00PM ET","NYJ","Matt","Forte","LA",16.45,13.5,4,0.0977917981072555,13.7947588497877,13.8076642467825,28.7,13.5,"Matt Forte",1
"QB","Dak Prescott (7725602)","Dak Prescott",7725602,6100,"Dal@Pit 04:25PM ET","Dal","Dak","Prescott","Pit",18.99,17.7,0,0,17.0940845676453,17.059832733435,25.5,17.7,"Dak Prescott",0
"RB","Jordan Howard (7725658)","Jordan Howard",7725658,6000,"Chi@TB 01:00PM ET","Chi","Jordan","Howard","TB",14.4,14.5,6,0.0878378378378378,13.5582986809755,13.5072756870675,27.6,14.5,"Jordan Howard",1
"WR","Julian Edelman (7725838)","Julian Edelman",7725838,6000,"Sea@NE 08:30PM ET","NE","Julian","Edelman","Sea",14.28,15.1,1,0.248148148148148,13.8437435531253,13.7763984692273,15.1,15.1,"Julian Edelman",0
"WR","Jordan Matthews (7725750)","Jordan Matthews",7725750,5900,"Atl@Phi 01:00PM ET","Phi","Jordan","Matthews","Atl",14.56,16,1,0.247191011235955,14.448998832324,14.366302212084,21.9,16,"Jordan Matthews",1
"TE","Greg Olsen (7725873)","Greg Olsen",7725873,5900,"KC@Car 01:00PM ET","Car","Greg","Olsen","KC",15.62,12.9,1,0.239057239057239,13.1435888201916,13.1539575708484,26,12.9,"Greg Olsen",1
"RB","Christine Michael (7725704)","Christine Michael",7725704,5900,"Sea@NE 08:30PM ET","Sea","Christine","Michael","NE",8.66,8.7,5,0.0959409594095941,8.14267868558415,8.1124619152673,22.7,8.7,"Christine Michael",0
"RB","Doug Martin (7725652)","Doug Martin",7725652,5800,"Chi@TB 01:00PM ET","TB","Doug","Martin","Chi",8.66,13.6,10,0.0157232704402516,10.8510861810857,10.707026617887,17.1,13.6,"Doug Martin",0
"QB","Colin Kaepernick (7725594)","Colin Kaepernick",7725594,5800,"SF@Ari 04:25PM ET","SF","Colin","Kaepernick","Ari",16.76,15.2,0,0,14.8537523233421,14.8333151446072,26.4,15.2,"Colin Kaepernick",0
"WR","Doug Baldwin (7725839)","Doug Baldwin",7725839,5800,"Sea@NE 08:30PM ET","Sea","Doug","Baldwin","NE",16.39,14,1,0.232472324723247,14.048028530577,14.0481262379694,24,14,"Doug Baldwin",1
"QB","Marcus Mariota (7725587)","Marcus Mariota",7725587,5700,"GB@Ten 01:00PM ET","Ten","Marcus","Mariota","GB",19.12,17.7,0,0,17.1441311681379,17.1124600031094,29,17.7,"Marcus Mariota",0
"WR","Tyrell Williams (7725811)","Tyrell Williams",7725811,5700,"Mia@SD 04:05PM ET","SD","Tyrell","Williams","Mia",14.52,12.1,2,0.175757575757576,12.2779286063965,12.2850475039453,21.7,12.1,"Tyrell Williams",1
"QB","Trevor Siemian (7725556)","Trevor Siemian",7725556,5600,"Den@NO 01:00PM ET","Den","Trevor","Siemian","NO",17.95,17.6,0,0,16.638438141347,16.5858642759866,21.9,17.6,"Trevor Siemian",0
"WR","Jeremy Maclin (7725757)","Jeremy Maclin",7725757,5600,"KC@Car 01:00PM ET","KC","Jeremy","Maclin","Car",0,0,1,0.193103448275862,0,0,15.2,0,"Jeremy Maclin",0
"TE","Travis Kelce (7725875)","Travis Kelce",7725875,5600,"KC@Car 01:00PM ET","KC","Travis","Kelce","Car",13.55,13.4,2,0.182758620689655,12.6230610625946,12.5807210078392,20.3,13.4,"Travis Kelce",1
"QB","Blake Bortles (7725551)","Blake Bortles",7725551,5500,"Hou@Jax 01:00PM ET","Jax","Blake","Bortles","Hou",17.8,14.7,0,0,14.9777570154974,14.9895818017349,27.7,14.7,"Blake Bortles",0
"WR","Will Fuller (7725720)","Will Fuller",7725720,5500,"Hou@Jax 01:00PM ET","Hou","Will","Fuller","Jax",0,0,2,0.171717171717172,0,0,22.9,0,"Will Fuller",1
"RB","Carlos Hyde (7725685)","Carlos Hyde",7725685,5500,"SF@Ari 04:25PM ET","SF","Carlos","Hyde","Ari",11.87,10.4,6,0.056,10.3180963239745,10.3121057519819,26.6,26.6,"Carlos Hyde",1
"QB","Tony Romo (7725597)","Tony Romo",7725597,5500,"Dal@Pit 04:25PM ET","Dal","Tony","Romo","Pit",0,0,0,0,0,0,0,0,"Tony Romo",0
"QB","Brock Osweiler (7725549)","Brock Osweiler",7725549,5400,"Hou@Jax 01:00PM ET","Hou","Brock","Osweiler","Jax",13.33,14.8,0,0,13.3121975286075,13.2329636752926,17,14.8,"Brock Osweiler",0
"RB","Mark Ingram (7725619)","Mark Ingram",7725619,5400,"Den@NO 01:00PM ET","NO","Mark","Ingram","Den",11.07,12.1,6,0.08,10.9497688240917,10.8884007318177,26.3,12.1,"Mark Ingram",1
"QB","Carson Wentz (7725567)","Carson Wentz",7725567,5400,"Atl@Phi 01:00PM ET","Phi","Carson","Wentz","Atl",16.26,17.8,0,0,16.098379579657,16.0076103703266,20.2,17.8,"Carson Wentz",0
"QB","Alex Smith (7725569)","Alex Smith",7725569,5400,"KC@Car 01:00PM ET","KC","Alex","Smith","Car",16.18,17.9,14,0.00344827586206897,16.1228552940187,16.0281746582728,23.9,17.9,"Alex Smith",0
"QB","Kirk Cousins (7725582)","Kirk Cousins",7725582,5400,"Min@Was 01:00PM ET","Was","Kirk","Cousins","Min",16.95,16,0,0,15.3690863336888,15.3338343237898,25.3,16,"Kirk Cousins",0
"WR","Cole Beasley (7725830)","Cole Beasley",7725830,5400,"Dal@Pit 04:25PM ET","Dal","Cole","Beasley","Pit",11.31,10.2,1,0.217898832684825,9.9919637232918,9.97950306712378,19.3,10.2,"Cole Beasley",1
"WR","Willie Snead (7725727)","Willie Snead",7725727,5300,"Den@NO 01:00PM ET","NO","Willie","Snead","Den",13.91,11.9,3,0.145714285714286,11.9325473132166,11.9322035615201,24.8,11.9,"Willie Snead",0
"RB","Todd Gurley (7725632)","Todd Gurley",7725632,5300,"LA@NYJ 01:00PM ET","LA","Todd","Gurley","NYJ",13.46,12.6,5,0.112676056338028,12.1462244372423,12.1206843437908,18.5,18.5,"Todd Gurley",1
"QB","Nick Foles (7725572)","Nick Foles",7725572,5300,"KC@Car 01:00PM ET","KC","Nick","Foles","Car",0,0,0,0,0,0,18,0,"Nick Foles",0
"QB","Jay Cutler (7725574)","Jay Cutler",7725574,5300,"Chi@TB 01:00PM ET","Chi","Jay","Cutler","TB",16.7,18.2,0,0,16.4888625630608,16.3975346371307,15.9,18.2,"Jay Cutler",0
"QB","Ryan Tannehill (7725591)","Ryan Tannehill",7725591,5300,"Mia@SD 04:05PM ET","Mia","Ryan","Tannehill","SD",14.67,16.9,0,0,14.9888085570324,14.8873856792128,22.9,16.9,"Ryan Tannehill",0
"TE","Jimmy Graham (7725930)","Jimmy Graham",7725930,5300,"Sea@NE 08:30PM ET","Sea","Jimmy","Graham","NE",14.74,11.8,2,0.202952029520295,12.1968019863125,12.21525813708,25.3,11.8,"Jimmy Graham",1
"QB","Ryan Fitzpatrick (7725558)","Ryan Fitzpatrick",7725558,5200,"LA@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","LA",0,0,0,0,0,0,18.5,0,"Ryan Fitzpatrick",0
"RB","Charcandrick West (7725650)","Charcandrick West",7725650,5200,"KC@Car 01:00PM ET","KC","Charcandrick","West","Car",5.03,5.9,7,0.0758620689655172,5.19756218428868,5.16033821440127,9.3,5.9,"Charcandrick West",0
"WR","Travis Benjamin (7725804)","Travis Benjamin",7725804,5100,"Mia@SD 04:05PM ET","SD","Travis","Benjamin","Mia",0,0,1,0.184848484848485,0,0,21.8,0,"Travis Benjamin",0
"RB","DeAngelo Williams (7725688)","DeAngelo Williams",7725688,5100,"Dal@Pit 04:25PM ET","Pit","DeAngelo","Williams","Dal",0,0,6,0.0712074303405573,0,0,25.6,0,"DeAngelo Williams",1
"QB","Chad Henne (7725547)","Chad Henne",7725547,5000,"Hou@Jax 01:00PM ET","Jax","Chad","Henne","Hou",0,0,0,0,0,0,0,0,"Chad Henne",0
"QB","Brandon Weeden (7725548)","Brandon Weeden",7725548,5000,"Hou@Jax 01:00PM ET","Hou","Brandon","Weeden","Jax",0,0,0,0,0,0,0,0,"Brandon Weeden",0
"QB","Tom Savage (7725550)","Tom Savage",7725550,5000,"Hou@Jax 01:00PM ET","Hou","Tom","Savage","Jax",0,0,0,0,0,0,0,0,"Tom Savage",0
"QB","Brandon Allen (7725552)","Brandon Allen",7725552,5000,"Hou@Jax 01:00PM ET","Jax","Brandon","Allen","Hou",0,0,0,0,0,0,0,0,"Brandon Allen",0
"QB","Luke McCown (7725554)","Luke McCown",7725554,5000,"Den@NO 01:00PM ET","NO","Luke","McCown","Den",0,0,0,0,0,0,0,0,"Luke McCown",0
"QB","Austin Davis (7725555)","Austin Davis",7725555,5000,"Den@NO 01:00PM ET","Den","Austin","Davis","NO",0,0,0,0,0,0,0,0,"Austin Davis",0
"QB","Paxton Lynch (7725557)","Paxton Lynch",7725557,5000,"Den@NO 01:00PM ET","Den","Paxton","Lynch","NO",0,0,0,0,0,0,14.4,0,"Paxton Lynch",0
"QB","Case Keenum (7725559)","Case Keenum",7725559,5000,"LA@NYJ 01:00PM ET","LA","Case","Keenum","NYJ",15.79,14.6,0,0,14.148685954754,14.1229329474854,23.5,14.6,"Case Keenum",0
"QB","Bryce Petty (7725560)","Bryce Petty",7725560,5000,"LA@NYJ 01:00PM ET","NYJ","Bryce","Petty","LA",14.22,13.5,0,0,12.9362671644139,12.9049041592914,0.8,13.5,"Bryce Petty",0
"QB","Sean Mannion (7725561)","Sean Mannion",7725561,5000,"LA@NYJ 01:00PM ET","LA","Sean","Mannion","NYJ",0,0,0,0,0,0,0,0,"Sean Mannion",0
"QB","Jared Goff (7725562)","Jared Goff",7725562,5000,"LA@NYJ 01:00PM ET","LA","Jared","Goff","NYJ",0,0,0,0,0,0,0,0,"Jared Goff",0
"QB","Christian Hackenberg (7725563)","Christian Hackenberg",7725563,5000,"LA@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","LA",0,0,0,0,0,0,0,0,"Christian Hackenberg",0
"RB","Bilal Powell (7725629)","Bilal Powell",7725629,5000,"LA@NYJ 01:00PM ET","NYJ","Bilal","Powell","LA",8.31,8.7,3,0.126182965299685,8.00793783810395,7.97077311229783,13.5,8.7,"Bilal Powell",0
"QB","Matt Schaub (7725565)","Matt Schaub",7725565,5000,"Atl@Phi 01:00PM ET","Atl","Matt","Schaub","Phi",0,0,0,0,0,0,-0.2,0,"Matt Schaub",0
"QB","Chase Daniel (7725566)","Chase Daniel",7725566,5000,"Atl@Phi 01:00PM ET","Phi","Chase","Daniel","Atl",0,0,0,0,0,0,0,0,"Chase Daniel",0
"QB","Derek Anderson (7725568)","Derek Anderson",7725568,5000,"KC@Car 01:00PM ET","Car","Derek","Anderson","KC",0,0,0,0,0,0,15.2,0,"Derek Anderson",0
"QB","Joe Webb (7725570)","Joe Webb",7725570,5000,"KC@Car 01:00PM ET","Car","Joe","Webb","KC",0,0,10,0.00336700336700337,0,0,1.2,0,"Joe Webb",0
"QB","Tyler Bray (7725573)","Tyler Bray",7725573,5000,"KC@Car 01:00PM ET","KC","Tyler","Bray","Car",0,0,0,0,0,0,0,0,"Tyler Bray",0
"QB","Mike Glennon (7725575)","Mike Glennon",7725575,5000,"Chi@TB 01:00PM ET","TB","Mike","Glennon","Chi",0,0,0,0,0,0,9,0,"Mike Glennon",0
"QB","Ryan Griffin (7725576)","Ryan Griffin",7725576,5000,"Chi@TB 01:00PM ET","TB","Ryan","Griffin","Chi",0,0,3,0.131313131313131,0,0,0,0,"Ryan Griffin",0
"QB","Matt Barkley (7725577)","Matt Barkley",7725577,5000,"Chi@TB 01:00PM ET","Chi","Matt","Barkley","TB",0,0,0,0,0,0,1.1,0,"Matt Barkley",0
"QB","Shaun Hill (7725579)","Shaun Hill",7725579,5000,"Min@Was 01:00PM ET","Min","Shaun","Hill","Was",0,0,0,0,0,0,10.2,0,"Shaun Hill",0
"QB","Colt McCoy (7725580)","Colt McCoy",7725580,5000,"Min@Was 01:00PM ET","Was","Colt","McCoy","Min",0,0,0,0,0,0,0,0,"Colt McCoy",0
"QB","Sam Bradford (7725581)","Sam Bradford",7725581,5000,"Min@Was 01:00PM ET","Min","Sam","Bradford","Was",15.18,14.5,12,0.00352112676056338,13.8585782839313,13.8230393051137,18.4,14.5,"Sam Bradford",0
"QB","Nate Sudfeld (7725583)","Nate Sudfeld",7725583,5000,"Min@Was 01:00PM ET","Was","Nate","Sudfeld","Min",0,0,0,0,0,0,0,0,"Nate Sudfeld",0
"WR","Jamison Crowder (7725783)","Jamison Crowder",7725783,5000,"Min@Was 01:00PM ET","Was","Jamison","Crowder","Min",12.62,13.1,4,0.169184290030211,12.0992145150757,12.0453827169314,22.8,13.1,"Jamison Crowder",1
"QB","Matt Cassel (7725584)","Matt Cassel",7725584,5000,"GB@Ten 01:00PM ET","Ten","Matt","Cassel","GB",0,0,0,0,0,0,0.7,0,"Matt Cassel",0
"QB","Brett Hundley (7725586)","Brett Hundley",7725586,5000,"GB@Ten 01:00PM ET","GB","Brett","Hundley","Ten",0,0,0,0,0,0,0,0,"Brett Hundley",0
"RB","Derrick Henry (7725672)","Derrick Henry",7725672,5000,"GB@Ten 01:00PM ET","Ten","Derrick","Henry","GB",5.64,6.6,7,0.0364238410596026,5.81931158925438,5.77793365709373,12,6.6,"Derrick Henry",0
"QB","Kellen Clemens (7725588)","Kellen Clemens",7725588,5000,"Mia@SD 04:05PM ET","SD","Kellen","Clemens","Mia",0,0,0,0,0,0,-0.1,0,"Kellen Clemens",0
"QB","Matt Moore (7725589)","Matt Moore",7725589,5000,"Mia@SD 04:05PM ET","Mia","Matt","Moore","SD",0,0,0,0,0,0,0,0,"Matt Moore",0
"QB","Drew Stanton (7725593)","Drew Stanton",7725593,5000,"SF@Ari 04:25PM ET","Ari","Drew","Stanton","SF",0,0,0,0,0,0,9.6,0,"Drew Stanton",0
"QB","Christian Ponder (7725595)","Christian Ponder",7725595,5000,"SF@Ari 04:25PM ET","SF","Christian","Ponder","Ari",0,0,0,0,0,0,0,0,"Christian Ponder",0
"QB","Blaine Gabbert (7725596)","Blaine Gabbert",7725596,5000,"SF@Ari 04:25PM ET","SF","Blaine","Gabbert","Ari",0,0,13,0.004,0,0,22.4,0,"Blaine Gabbert",0
"QB","Mark Sanchez (7725599)","Mark Sanchez",7725599,5000,"Dal@Pit 04:25PM ET","Dal","Mark","Sanchez","Pit",0,0,0,0,0,0,0.1,0,"Mark Sanchez",0
"QB","Landry Jones (7725600)","Landry Jones",7725600,5000,"Dal@Pit 04:25PM ET","Pit","Landry","Jones","Dal",0,0,0,0,0,0,10.7,0,"Landry Jones",0
"QB","Zach Mettenberger (7725601)","Zach Mettenberger",7725601,5000,"Dal@Pit 04:25PM ET","Pit","Zach","Mettenberger","Dal",0,0,0,0,0,0,0,0,"Zach Mettenberger",0
"QB","Jimmy Garoppolo (7725605)","Jimmy Garoppolo",7725605,5000,"Sea@NE 08:30PM ET","NE","Jimmy","Garoppolo","Sea",0,0,11,0.0037037037037037,0,0,20.4,0,"Jimmy Garoppolo",0
"QB","Trevone Boykin (7725606)","Trevone Boykin",7725606,5000,"Sea@NE 08:30PM ET","Sea","Trevone","Boykin","NE",0,0,0,0,0,0,5.4,0,"Trevone Boykin",0
"WR","Kenny Britt (7725734)","Kenny Britt",7725734,4900,"LA@NYJ 01:00PM ET","LA","Kenny","Britt","NYJ",13.02,11.1,2,0.204225352112676,11.1477316079096,11.1483067763986,23.5,11.1,"Kenny Britt",1
"RB","Tevin Coleman (7725640)","Tevin Coleman",7725640,4900,"Atl@Phi 01:00PM ET","Atl","Tevin","Coleman","Phi",0,0,5,0.075,0,0,26.7,0,"Tevin Coleman",1
"RB","Jonathan Stewart (7725643)","Jonathan Stewart",7725643,4900,"KC@Car 01:00PM ET","Car","Jonathan","Stewart","KC",12.69,13.2,8,0.0235690235690236,12.181436306929,12.1266707775787,21.5,13.2,"Jonathan Stewart",0
"WR","John Brown (7725818)","John Brown",7725818,4900,"SF@Ari 04:25PM ET","Ari","John","Brown","SF",12.76,9.8,3,0.152694610778443,10.329081316281,10.3546983363549,19.6,9.8,"John Brown",0
"RB","Alfred Morris (7725690)","Alfred Morris",7725690,4900,"Dal@Pit 04:25PM ET","Dal","Alfred","Morris","Pit",4.29,4.1,9,0.0116731517509728,3.9177563329014,3.90766220144633,7,4.1,"Alfred Morris",0
"RB","LeGarrette Blount (7725700)","LeGarrette Blount",7725700,4900,"Sea@NE 08:30PM ET","NE","LeGarrette","Blount","Sea",11.58,5.6,8,0.0222222222222222,7.55332003434644,7.65309205552659,24.4,5.6,"LeGarrette Blount",1
"RB","Alfred Blue (7725611)","Alfred Blue",7725611,4800,"Hou@Jax 01:00PM ET","Hou","Alfred","Blue","Jax",2.52,3.7,11,0.0134680134680135,3.01525812907287,2.97932048335833,4.4,3.7,"Alfred Blue",0
"WR","DeSean Jackson (7725777)","DeSean Jackson",7725777,4800,"Min@Was 01:00PM ET","Was","DeSean","Jackson","Min",0,0,1,0.18429003021148,0,0,16.6,0,"DeSean Jackson",0
