"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Max Scherzer","James Paxton","Salvador Perez","Eric Hosmer","Whit Merrifield","Manny Machado","Alcides Escobar","Mookie Betts","Andrew Benintendi","Lorenzo Cain"
"2","Max Scherzer","Carlos Martinez","Salvador Perez","Eric Hosmer","Starlin Castro","Cheslor Cuthbert","Alcides Escobar","Dexter Fowler","Lorenzo Cain","Seth Smith"
"3","Max Scherzer","Carlos Martinez","Yadier Molina","Eric Hosmer","Rougned Odor","Manny Machado","Alcides Escobar","Stephen Piscotty","Lorenzo Cain","Alex Gordon"
"4","Max Scherzer","James Paxton","Yadier Molina","Matt Carpenter","Daniel Murphy","Jedd Gyorko","Alcides Escobar","Mookie Betts","Dexter Fowler","Lorenzo Cain"
"5","Max Scherzer","Chris Archer","Drew Butera","Alex Avila","Daniel Murphy","Manny Machado","Alcides Escobar","Dexter Fowler","Lorenzo Cain","Alex Gordon"
"6","Max Scherzer","Jaime Garcia","Salvador Perez","Eric Hosmer","Daniel Murphy","Jedd Gyorko","Alcides Escobar","Corey Dickerson","Stephen Piscotty","Lorenzo Cain"
"7","Max Scherzer","Jaime Garcia","Salvador Perez","Eric Hosmer","Rougned Odor","Manny Machado","Trea Turner","Dexter Fowler","Jorge Bonifacio","Lorenzo Cain"
"8","Max Scherzer","Hyun-Jin Ryu","Salvador Perez","Chris Davis","Daniel Murphy","Manny Machado","Trea Turner","Adam Jones","Mark Trumbo","Lorenzo Cain"
"9","Max Scherzer","Carlos Martinez","Drew Butera","Miguel Cabrera","Andrew Romine","Cheslor Cuthbert","Alcides Escobar","Mookie Betts","Lorenzo Cain","Alex Gordon"
"10","Max Scherzer","Chris Archer","Salvador Perez","Eric Hosmer","Josh Rutledge","Paul DeJong","Alcides Escobar","Kevin Kiermaier","Mark Trumbo","Lorenzo Cain"
"11","Max Scherzer","James Paxton","Salvador Perez","Alex Avila","Whit Merrifield","Cheslor Cuthbert","Trea Turner","Kevin Kiermaier","Jorge Bonifacio","Lorenzo Cain"
"12","Max Scherzer","Jaime Garcia","Yasmani Grandal","Eric Hosmer","Starlin Castro","Evan Longoria","Alcides Escobar","Mookie Betts","Lorenzo Cain","Alex Gordon"
"13","Max Scherzer","James Paxton","Yadier Molina","Alex Avila","Starlin Castro","Jedd Gyorko","Trea Turner","Tommy Pham","Stephen Piscotty","Lorenzo Cain"
"14","Max Scherzer","Chris Archer","Austin Romine","Eric Hosmer","Andrew Romine","Jedd Gyorko","Alcides Escobar","Andrew Benintendi","Lorenzo Cain","Alex Gordon"
"15","Max Scherzer","James Paxton","Yadier Molina","Chris Davis","Andrew Romine","Manny Machado","Alcides Escobar","Mookie Betts","Adam Jones","Mark Trumbo"
"16","Max Scherzer","Jacob deGrom","Salvador Perez","Eric Hosmer","Rougned Odor","Kyle Seager","Alcides Escobar","Lorenzo Cain","Eric Young","Kole Calhoun"
"17","Max Scherzer","Jacob deGrom","Drew Butera","Chris Davis","Starlin Castro","Jedd Gyorko","Alcides Escobar","Stephen Piscotty","Lorenzo Cain","Alex Gordon"
"18","Max Scherzer","Jaime Garcia","Yadier Molina","Matt Carpenter","Starlin Castro","Jedd Gyorko","Trea Turner","Andrew Benintendi","Dexter Fowler","Seth Smith"
"19","Max Scherzer","Hyun-Jin Ryu","Salvador Perez","Eric Hosmer","Daniel Murphy","Cheslor Cuthbert","Corey Seager","Mookie Betts","Jorge Bonifacio","Lorenzo Cain"
"20","Max Scherzer","Jaime Garcia","Salvador Perez","Mitch Moreland","Andrew Romine","Paul DeJong","Xander Bogaerts","Mookie Betts","Andrew Benintendi","Lorenzo Cain"
