"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Chris Sale","Joe Biagini","Salvador Perez","Carlos Santana","Whit Merrifield","Mike Moustakas","Francisco Lindor","Mookie Betts","Giancarlo Stanton","Lorenzo Cain"
"Chris Sale","Joe Biagini","Salvador Perez","Eric Hosmer","Jose Ramirez","Mike Moustakas","Trea Turner","Giancarlo Stanton","Michael Conforto","Jorge Soler"
"Chris Sale","Joe Biagini","Yan Gomes","Carlos Santana","Jose Ramirez","Manny Machado","Francisco Lindor","Giancarlo Stanton","Michael Conforto","Randal Grichuk"
"Chris Sale","Joe Biagini","Yadier Molina","Matt Carpenter","Jedd Gyorko","Mike Moustakas","Trea Turner","Mookie Betts","Giancarlo Stanton","Randal Grichuk"
"Chris Sale","Joe Biagini","Salvador Perez","Eric Hosmer","Whit Merrifield","Manny Machado","Trea Turner","Lorenzo Cain","Randal Grichuk","Marcell Ozuna"
"Chris Sale","Michael Wacha","Yan Gomes","Eric Hosmer","Whit Merrifield","Mike Moustakas","Francisco Lindor","Giancarlo Stanton","Jorge Soler","Randal Grichuk"
"Chris Sale","Tyler Glasnow","Salvador Perez","Eric Hosmer","Jedd Gyorko","Mike Moustakas","Aledmys Diaz","Giancarlo Stanton","Lorenzo Cain","Randal Grichuk"
"Chris Sale","Joe Biagini","Yan Gomes","Edwin Encarnacion","Jose Ramirez","Mike Moustakas","Francisco Lindor","Mookie Betts","Jorge Soler","Marcell Ozuna"
"Chris Sale","Joe Biagini","Yan Gomes","Carlos Santana","Dee Gordon","Mike Moustakas","Trea Turner","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"Chris Sale","Joe Biagini","AJ Ellis","Eric Hosmer","Dee Gordon","Manny Machado","Francisco Lindor","Mookie Betts","Giancarlo Stanton","Marcell Ozuna"
"Chris Sale","Tyler Glasnow","Salvador Perez","Eric Hosmer","Whit Merrifield","Mike Moustakas","Francisco Lindor","Michael Conforto","Corey Dickerson","Marcell Ozuna"
"Chris Sale","Jose Quintana","Salvador Perez","John Jaso","Whit Merrifield","Mike Moustakas","Aledmys Diaz","Giancarlo Stanton","Marcell Ozuna","Jorge Bonifacio"
"Chris Sale","Joe Biagini","Yan Gomes","Eric Hosmer","Jonathan Villar","Mike Moustakas","Trea Turner","Mookie Betts","Lorenzo Cain","Jorge Bonifacio"
"Chris Sale","RA Dickey","Yan Gomes","Carlos Santana","Whit Merrifield","Mike Moustakas","Trea Turner","Michael Conforto","Lorenzo Cain","Jorge Soler"
"Chris Sale","Jose Quintana","AJ Ellis","Eric Hosmer","Whit Merrifield","Mike Moustakas","Adeiny Hechavarria","Giancarlo Stanton","Michael Conforto","Lorenzo Cain"
"Chris Sale","Michael Wacha","Salvador Perez","Carlos Santana","Jose Ramirez","Mike Moustakas","Aledmys Diaz","Lorenzo Cain","Jorge Soler","Marcell Ozuna"
"Chris Sale","Joe Biagini","Salvador Perez","Matt Carpenter","Kolten Wong","Manny Machado","Aledmys Diaz","Mookie Betts","Michael Conforto","Randal Grichuk"
"Chris Sale","Jose Quintana","Salvador Perez","Eric Hosmer","Kolten Wong","Mike Moustakas","Jordy Mercer","Jorge Soler","Randal Grichuk","Marcell Ozuna"
"Chris Sale","Michael Wacha","Salvador Perez","Carlos Santana","Whit Merrifield","Mike Moustakas","Trea Turner","Corey Dickerson","Randal Grichuk","Jorge Bonifacio"
"Chris Sale","Joe Biagini","Salvador Perez","Hanley Ramirez","Dustin Pedroia","Mike Moustakas","Xander Bogaerts","Mookie Betts","Michael Conforto","Marcell Ozuna"
"Chris Sale","Joe Biagini","Russell Martin","Eric Hosmer","Jedd Gyorko","Mike Moustakas","Francisco Lindor","Gregory Polanco","Lorenzo Cain","Jorge Soler"
"Chris Sale","RA Dickey","Salvador Perez","Eric Hosmer","Brad Miller","Mike Moustakas","Alcides Escobar","Mookie Betts","Giancarlo Stanton","Marcell Ozuna"
"Chris Sale","Joe Biagini","Salvador Perez","Edwin Encarnacion","Jedd Gyorko","Mike Moustakas","Trea Turner","Jose Bautista","Lorenzo Cain","Alex Gordon"
"Chris Sale","Joe Biagini","Russell Martin","Freddie Freeman","Whit Merrifield","Mike Moustakas","Trea Turner","Mookie Betts","Alex Gordon","Jorge Soler"
"Chris Sale","Joe Biagini","Salvador Perez","Eric Hosmer","Daniel Murphy","Anthony Rendon","Aledmys Diaz","Mookie Betts","Lorenzo Cain","Jorge Soler"
"Chris Sale","Joe Biagini","Russell Martin","Jay Bruce","Neil Walker","Mike Moustakas","Francisco Lindor","Giancarlo Stanton","Michael Conforto","Curtis Granderson"
"Chris Sale","Tanner Roark","Salvador Perez","Kendrys Morales","Whit Merrifield","Mike Moustakas","Aledmys Diaz","Michael Conforto","Jorge Soler","Randal Grichuk"
"Chris Sale","Joe Biagini","Salvador Perez","Carlos Santana","Daniel Murphy","Anthony Rendon","Trea Turner","Giancarlo Stanton","Jayson Werth","Randal Grichuk"
"Chris Sale","Joe Biagini","Salvador Perez","Eric Thames","Jose Ramirez","Manny Machado","Francisco Lindor","Lorenzo Cain","Jorge Soler","Jorge Bonifacio"
"Chris Sale","Jose Quintana","Salvador Perez","Justin Smoak","Whit Merrifield","Mike Moustakas","Francisco Lindor","Jorge Soler","Leury Garcia","Kevin Pillar"
"Chris Sale","Mike Clevinger","Yan Gomes","Carlos Santana","Jose Ramirez","Maikel Franco","Trea Turner","Mookie Betts","Giancarlo Stanton","Brandon Guyer"
"Chris Sale","Michael Wacha","Salvador Perez","Eric Hosmer","Brad Miller","Mike Moustakas","Trea Turner","Lorenzo Cain","Kevin Pillar","Joey Rickard"
"Chris Sale","RA Dickey","Russell Martin","Carlos Santana","Jose Ramirez","Mike Moustakas","Francisco Lindor","Giancarlo Stanton","Marcell Ozuna","Abraham Almonte"
"Chris Sale","Mike Clevinger","Yadier Molina","Carlos Santana","Kolten Wong","Todd Frazier","Aledmys Diaz","Mookie Betts","Giancarlo Stanton","Randal Grichuk"
"Chris Sale","Tyler Glasnow","Salvador Perez","Matt Carpenter","Brad Miller","Mike Moustakas","Francisco Lindor","Giancarlo Stanton","Jorge Soler","Jorge Bonifacio"
