"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Jacob deGrom","Jason Hammel","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Trevor Story","Melky Cabrera","Giancarlo Stanton","Michael Brantley"
"Jacob deGrom","Jason Hammel","Jonathan Lucroy","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trevor Story","Giancarlo Stanton","Gerardo Parra","Michael Brantley"
"Max Scherzer","Jason Hammel","Jonathan Lucroy","Jose Abreu","Jonathan Schoop","Manny Machado","Trevor Story","Mark Trumbo","Seth Smith","Adam Jones"
"Max Scherzer","Matt Moore","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Trevor Story","David Peralta","Adam Engel","Billy Hamilton"
"Max Scherzer","Jason Hammel","Yan Gomes","Jose Abreu","Jason Kipnis","Nolan Arenado","Francisco Lindor","David Peralta","Michael Brantley","Bradley Zimmer"
"Jacob deGrom","Jason Hammel","Jonathan Lucroy","Jose Abreu","Rougned Odor","Adrian Beltre","Trevor Story","Carlos Gomez","Nomar Mazara","Billy Hamilton"
"Max Scherzer","Sean Manaea","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Ramon Torres","Melky Cabrera","Shin-Soo Choo","Adam Jones"
"Jacob deGrom","Jason Hammel","Jonathan Lucroy","Paul Goldschmidt","Alen Hanson","Jake Lamb","Chris Owings","AJ Pollock","David Peralta","Michael Brantley"
"Max Scherzer","Matt Moore","Tucker Barnhart","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trevor Story","Gerardo Parra","David Peralta","Billy Hamilton"
"Max Scherzer","Jason Hammel","Omar Narvaez","Alex Avila","Yolmer Sanchez","Todd Frazier","Tim Anderson","Shin-Soo Choo","Giancarlo Stanton","Adam Engel"
"Jacob deGrom","Jason Hammel","Yan Gomes","Edwin Encarnacion","Jason Kipnis","Todd Frazier","Francisco Lindor","Melky Cabrera","Shin-Soo Choo","Michael Brantley"
"Jacob deGrom","Jason Hammel","Jonathan Lucroy","Edwin Encarnacion","Jose Ramirez","Nolan Arenado","Francisco Lindor","Michael Brantley","Lonnie Chisenhall","Billy Hamilton"
"Jacob deGrom","Drew Pomeranz","Yan Gomes","Freddie Freeman","Jason Kipnis","Manny Machado","Francisco Lindor","Giancarlo Stanton","Michael Brantley","Bradley Zimmer"
"Jacob deGrom","Jordan Montgomery","Omar Narvaez","Jose Abreu","Yolmer Sanchez","Todd Frazier","Francisco Lindor","Shin-Soo Choo","Adam Engel","Seth Smith"
"Max Scherzer","Jason Hammel","Martin Maldonado","Mark Reynolds","Alen Hanson","Nolan Arenado","Trevor Story","Raimel Tapia","Gerardo Parra","Seth Smith"
"Jacob deGrom","Drew Pomeranz","Omar Narvaez","Freddie Freeman","Yolmer Sanchez","Todd Frazier","Tim Anderson","David Peralta","Adam Engel","Adam Jones"
"Jacob deGrom","Jason Hammel","Gary Sanchez","Ji-Man Choi","Alen Hanson","Nolan Arenado","Didi Gregorius","Aaron Judge","David Peralta","Clint Frazier"
"Jacob deGrom","Matt Moore","Gary Sanchez","Trey Mancini","Jonathan Schoop","Manny Machado","Trevor Story","Melky Cabrera","Mark Trumbo","Adam Jones"
"Max Scherzer","Jason Hammel","Yan Gomes","Jose Abreu","Jose Ramirez","Todd Frazier","Trevor Story","Lonnie Chisenhall","Abraham Almonte","Bradley Zimmer"
"Jacob deGrom","Drew Pomeranz","Omar Narvaez","Freddie Freeman","Jonathan Schoop","Manny Machado","Francisco Lindor","Mark Trumbo","Seth Smith","Adam Jones"
