"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16","X2017.04.17","X2017.04.18","X2017.04.19","X2017.04.20","X2017.04.21","X2017.04.22","X2017.04.23"
"1","Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11,6,NA,21,14,11
"2","Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9,0,NA,4,8,8,11,10,0,5,18,11,18
"3","Wil Myers_SD",NA,2,10,8,NA,NA,0,19,34,10,18,NA,3,5,3,6,5,3,17,2,13,3
"4","Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AJ Pollock_ARI",24,NA,10,17,11,0,NA,0,0,5,10,NA,0,NA,4,16,15,13,5,24,10,NA
"6","Jose Bautista_TOR",NA,2,NA,3,6,9,2,9,NA,4,3,7,0,7,2,NA,4,0,NA,23,0,5
"7","Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21,20,NA,NA,5,6,16,9,3,3,11,18,11
"8","Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10,4,NA,0,NA,6,0,23,NA,3,11,32,NA
"9","Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18,0,0,7,5,NA,24,NA,16
"10","Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3,5,2,NA,18,0,NA,17,5,15
"11","David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0,21,10,0,NA,10,26,8
"12","Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2,20,NA,4,0,20,4,2,0,0,3,0,NA
"13","Buster Posey_SF",2,NA,4,10,12,NA,5,21,2,NA,NA,NA,NA,NA,NA,NA,9,3,NA,5,3,3
"14","Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5,5,15,0,2,NA,10,0,NA,5,NA,6
"15","Troy Tulowitzki_TOR",NA,0,NA,0,0,27,5,2,NA,16,2,6,7,3,10,NA,6,5,NA,7,NA,NA
"16","Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0,NA,NA,9,7,4
"17","Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0,5,0,2,7,12,11,9
"18","Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4,0,0,5,NA,NA,NA,4,0,NA,NA,3,23
"19","Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0,5,NA,5,8,NA
"20","Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7,3,NA,4,3,3,16,NA,0
"21","Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA,3,13,12,NA
"22","Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19,7,NA,5,0,0,7,0,NA,0,15,8,10
"23","Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6,3,5,NA,10,NA,5,3,NA,19,14,2
"24","Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA,2,9,0,0,NA,3,0,NA,19,3,0
"25","Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11,0,4,5,16,0,NA,7,2,NA,6,6,5
"26","CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA,2,9,2
"27","Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0,5,NA,0,17,3,0,6,0,0,8,5,16
"29","Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3,NA,5,2,3,NA,6,7,NA,0,NA,16
"30","Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12,3,9,2,7,NA,0,NA,NA,5,0,NA
"31","Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9,33,7,2,3,0,NA,0,7,0
"32","Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0,5,2,10,NA,5,NA,18,2,NA,13,NA,4
"33","Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
"36","Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7,5,0,3,3,NA,17,0,NA,10,19,5
"37","Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA,19,8,NA,4,0,10,13,NA,4,2,NA,NA,NA,NA,NA
"38","Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2,NA,5,NA,2,NA,7,NA,NA,12,0,9
"39","Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA,0,NA,NA,NA,0
"40","Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,16,NA
"41","Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5
"42","Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4,NA,19,0,12,NA,5,3,NA,3,0,0
"43","Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA,4,3,NA,0,NA,3,NA,7,NA,NA,NA,3,NA
"44","Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3,NA,NA,9,NA,0,0,10,3,NA,3,0,NA
"46","Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10,8,NA,7,0,NA
"47","Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0,0,NA,NA,NA,NA,NA,0
"48","Kevin Pillar_TOR",NA,7,NA,3,3,6,3,0,NA,0,3,5,8,3,21,NA,17,19,NA,5,16,16
"49","Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA,8,NA,2,5,8,NA,9,3,NA,2,NA,9,NA,16
"50","Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0
"51","Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
