"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"David Price","Ben Lively","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Bryce Harper","Josh Reddick","Jason Heyward"
"David Price","Ben Lively","Brian McCann","Anthony Rizzo","Jose Altuve","Evan Longoria","Carlos Correa","George Springer","Josh Reddick","Aaron Altherr"
"Jon Lester","David Price","Evan Gattis","Tommy Joseph","Cesar Hernandez","Maikel Franco","Trea Turner","Josh Reddick","Odubel Herrera","Aaron Altherr"
"Jon Lester","David Price","Matt Wieters","Adam Lind","Wilmer Difo","Derek Dietrich","Trea Turner","Bryce Harper","Josh Reddick","Aaron Altherr"
"Jon Lester","David Price","Cameron Rupp","Tommy Joseph","Jose Altuve","Maikel Franco","Carlos Correa","Mookie Betts","Aaron Altherr","Michael Saunders"
"David Price","Ben Lively","Evan Gattis","Joe Mauer","Brian Dozier","Miguel Sano","Trea Turner","Bryce Harper","Max Kepler","Robbie Grossman"
"Jon Lester","David Price","Brian McCann","Eric Hosmer","Whit Merrifield","Mike Moustakas","Trea Turner","Lorenzo Cain","Josh Reddick","Jorge Bonifacio"
"Jon Lester","Gerrit Cole","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Carlos Correa","Jason Heyward","Aaron Altherr","Adam Engel"
"Jon Lester","David Price","Christian Vazquez","Mitch Moreland","Brian Dozier","Evan Longoria","Xander Bogaerts","Andrew Benintendi","Mookie Betts","Josh Reddick"
"Jon Lester","Ben Lively","Willson Contreras","Eric Hosmer","Jose Altuve","Kris Bryant","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"Jon Lester","David Price","Jason Castro","Kennys Vargas","Ehire Adrianza","Kris Bryant","Trea Turner","Max Kepler","Josh Reddick","Byron Buxton"
"David Price","Gerrit Cole","Matt Wieters","Adam Lind","Wilmer Difo","Stephen Drew","Carlos Correa","Bryce Harper","Max Kepler","Mookie Betts"
"Jon Lester","David Price","Derek Norris","Yuli Gurriel","Wilmer Difo","Alex Bregman","Trea Turner","George Springer","Josh Reddick","Norichika Aoki"
"Gerrit Cole","Joe Ross","Brian McCann","Eric Hosmer","Jose Altuve","Maikel Franco","Carlos Correa","George Springer","Mookie Betts","Josh Reddick"
"Jon Lester","David Price","Tyler Flowers","Matt Adams","Brandon Phillips","Kris Bryant","Tim Beckham","Matt Kemp","Josh Reddick","Nick Markakis"
"Lance McCullers","Ben Lively","Matt Wieters","Adam Lind","Wilmer Difo","Kris Bryant","Trea Turner","Bryce Harper","Mookie Betts","Adam Frazier"
"Jon Lester","Tyler Chatwood","Brian McCann","Adam Lind","Jose Altuve","Kyle Seager","Carlos Correa","George Springer","Josh Reddick","Adam Engel"
"David Price","Ben Lively","JT Realmuto","Anthony Rizzo","Dee Gordon","Evan Longoria","Trea Turner","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"Jon Lester","David Price","Derek Norris","Danny Valencia","Robinson Cano","Kyle Seager","Trea Turner","Ben Gamel","Aaron Altherr","Guillermo Heredia"
"David Price","Gerrit Cole","Derek Norris","Mitch Moreland","Jose Altuve","Stephen Drew","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
