"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Bryce Harper",6200,"Was@Col 03:10PM ET",13.65,"Was","Col",12.5,12.9,11.56,9.6,"3","3",22
"SS","Trea Turner",5600,"Was@Col 03:10PM ET",10.2,"Was","Col",11.07,12.4,11.44,10.2,"2","2",19
"3B","Nolan Arenado",5400,"Was@Col 03:10PM ET",10.143,"Col","Was",11.72,9.5,10.42,9.7,"3","3",14
"2B","Daniel Murphy",5300,"Was@Col 03:10PM ET",9.25,"Was","Col",11.24,10.8,9.52,8.6,"5","4",30
"2B","Jose Altuve",5200,"Hou@Cle 06:10PM ET",9.25,"Hou","Cle",NA,NA,NA,NA,"3","x",NA
"OF","Charlie Blackmon",5200,"Was@Col 03:10PM ET",10.905,"Col","Was",8.58,8.5,9.89,8.3,"1","1",17
"SS","Carlos Correa",5000,"Hou@Cle 06:10PM ET",5.647,"Hou","Cle",5.53,7.8,7.24,8.5,"4","3",9
"1B","Ryan Zimmerman",5000,"Was@Col 03:10PM ET",11.2,"Was","Col",NA,NA,NA,NA,"4","x",NA
"OF","Carlos Gonzalez",4900,"Was@Col 03:10PM ET",5.5,"Col","Was",NA,NA,NA,NA,"4","x",NA
"OF","Adam Eaton",4900,"Was@Col 03:10PM ET",9.45,"Was","Col",9.75,10.6,9.83,8.1,"1","1",29
"OF","George Springer",4800,"Hou@Cle 06:10PM ET",8.684,"Hou","Cle",NA,NA,NA,NA,"1","x",NA
"SS","Trevor Story",4800,"Was@Col 03:10PM ET",7,"Col","Was",8.91,8.7,8.65,9.1,"6","5",4
"OF","Michael Brantley",4700,"Hou@Cle 06:10PM ET",10.25,"Cle","Hou",8.6,9.1,9.02,7.7,"3","3",0
"2B","DJ LeMahieu",4700,"Was@Col 03:10PM ET",6.762,"Col","Was",9.69,8.4,8.81,7.6,"2","2",2
"1B","Edwin Encarnacion",4600,"Hou@Cle 06:10PM ET",6.737,"Cle","Hou",7.93,9,8.47,7.7,"4","4",16
"3B","Anthony Rendon",4600,"Was@Col 03:10PM ET",4.947,"Was","Col",NA,NA,NA,NA,"6","x",NA
"3B/SS","Alex Bregman",4500,"Hou@Cle 06:10PM ET",5.7,"Hou","Cle",4.89,6.4,6.38,7.2,"7","7",7
"OF","Carlos Beltran",4500,"Hou@Cle 06:10PM ET",5.579,"Hou","Cle",NA,NA,NA,NA,"5","x",NA
"3B","Josh Donaldson",4500,"Tor@StL 01:45PM ET",8.333,"Tor","StL",NA,0,NA,0,"x","x",NA
"1B","Mark Reynolds",4500,"Was@Col 03:10PM ET",10.238,"Col","Was",9.41,7.9,8.27,5.5,"5","4",0
"OF","Ian Desmond",4500,"Was@Col 03:10PM ET",0,"Col","Was",NA,0,NA,0,"x","x",NA
