"George Springer_HOU","Aaron Judge_NYY","Carlos Correa_HOU","Elvis Andrus_TEX","Jose Altuve_HOU","Travis Shaw_MIL","Gary Sanchez_NYY","Ryan Braun_MIL","Brett Gardner_NYY","Mike Moustakas_KC","Miguel Sano_MIN","Giancarlo Stanton_MIA","Josh Reddick_HOU","Eric Hosmer_KC","Carlos Gomez_TEX","Jose Abreu_CWS","Keon Broxton_MIL","Domingo Santana_MIL","Adrian Beltre_TEX","Jonathan Villar_MIL","Marwin Gonzalez_HOU","Didi Gregorius_NYY","Salvador Perez_KC","Jorge Bonifacio_KC","Lorenzo Cain_KC","Brian Dozier_MIN","Hernan Perez_MIL","Joe Mauer_MIN","Eddie Rosario_MIN","Melky Cabrera_CWS","Todd Frazier_CWS","Eric Sogard_MIL","Justin Bour_MIA","JT Realmuto_MIA","Matt Holliday_NYY","Jacoby Ellsbury_NYY","Starlin Castro_NYY","Evan Gattis_HOU","Whit Merrifield_KC","Shin-Soo Choo_TEX","Robinson Chirinos_TEX","Stephen Vogt_MIL","Eric Thames_MIL","Mike Napoli_TEX","Delino DeShields_TEX","Joey Gallo_TEX","Yoan Moncada_CWS","Dee Gordon_MIA","Marcell Ozuna_MIA","Jesus Aguilar_MIL","Christian Yelich_MIA","Carlos Beltran_HOU","Chase Headley_NYY","Robbie Grossman_MIN","Eduardo Escobar_MIN","Max Kepler_MIN","Nomar Mazara_TEX","Brian McCann_HOU","Aaron Hicks_NYY","Yuli Gurriel_HOU","Daniel Palka_MIN","Tyler Saladino_CWS","Yolmer Sanchez_CWS","Manny Pina_MIL","Alex Bregman_HOU","Alen Hanson_CWS","Mason Williams_NYY","Greg Bird_NYY","Jonathan Lucroy_TEX","Rougned Odor_TEX","Martin Prado_MIA","Tyler Moore_MIA","Lewis Brinson_MIL","Chris Carter_NYY","Ronald Torreyes_NYY","Derek Fisher_HOU","Jorge Polanco_MIN","Avisail Garcia_CWS","Jurickson Profar_TEX","Adam Engel_CWS","Orlando Arcia_MIL","Alex Gordon_KC","Jason Castro_MIN","Billy Burns_KC","Kennys Vargas_MIN","Jorge Soler_KC","Ryan O'Hearn_KC","Charlie Tilson_CWS","Tim Anderson_CWS","Brett Phillips_MIL","Jake Marisnick_HOU","Tyler Austin_NYY","Rob Refsnyder_NYY","Chris Gimenez_MIN","Alcides Escobar_KC","Terrance Gore_KC","Matt Davidson_CWS","Austin Romine_NYY","Clint Frazier_NYY","Dustin Fowler_NYY","Brandon Moss_KC","Paulo Orlando_KC","Cheslor Cuthbert_KC","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Kevan Smith_CWS","Derek Dietrich_MIA","Michael Reed_MIL","Ryan Cordell_MIL","JD Davis_HOU","Drew Butera_KC","Leury Garcia_CWS","Jacob May_CWS","Ryan Rua_TEX","Andy Ibanez_TEX","Destin Hood_MIA","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Jorge Mateo_NYY","Miguel Andujar_NYY","Tyler Wade_NYY","Gleyber Torres_NYY","Ehire Adrianza_MIN","Raul Mondesi_KC","Cody Asche_CWS","Willy Garcia_CWS","Ichiro Suzuki_MIA","Tomas Telis_MIA","JT Riddle_MIA","Geovany Soto_CWS","Hanser Alberto_TEX","Ronald Guzman_TEX","Christian Colon_MIA","Steve Lombardozzi_MIA","Jacob Nottingham_MIL","Norichika Aoki_HOU","Byron Buxton_MIN","Drew Stubbs_TEX","AJ Ellis_MIA","Jett Bandy_MIL","Corey Ray_MIL","Omar Narvaez_CWS","Mike Aviles_MIA","Kyle Higashioka_NYY","Kyle Tucker_HOU","Miguel Rojas_MIA","Ramon Torres_KC","Hunter Dozier_KC","Drew Robinson_TEX","Juan Centeno_HOU","Teoscar Hernandez_HOU","Colin Moran_HOU","Tony Kemp_HOU","Grant Green_CWS","Zack Collins_CWS"
72.6285714285714,0,13.3771121351767,0,-1.3231031543052,0,0,0,0,0,0,0,-4.56207482993197,0,0,0,0,0,0,0,4.88477801268499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1786585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09555137844612,0,0,0,0,0,-0.660365853658537,0,0,0,0,0,0,9.67281105990783,0,0,0,0,0,0,0,0,0,0,25.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99325236167341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102.935837245696,0,0,0,0,30.5365853658537,0,14.694262295082,0,0,0,0,0,0,0,0,0,0,0,0,0.71265306122449,0,0,0,0,0,0,0,0,0,0,0,0,22.4409701928697,-2.10924369747899,29.6690079016681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44745762711864,0,0,0,0,0,6.1256038647343,0,0,0,0,0,0,0,21.6666666666667,0,0,0,0,0,0,7.24390243902439,17.7857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,3.34753787878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0
13.3771121351767,0,59.5331262939959,0,-3.85029398462234,0,0,0,0,0,0,0,19.7942857142857,0,0,0,0,0,0,0,8.25609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43703007518797,0,0,0,0,0,-5.9207729468599,0,0,0,0,0,0,4.23215230037017,0,0,0,0,0,0,0,0,0,0,25.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224696356275304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71.9644576082932,0,0,0,0,0,0,0,0,0,0,5.16790009250694,0,0,0,16.1733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.434375,19.6560846560847,0,0,-3.34059286146401,9.43816425120773,3.67668269230769,0,0,0,0,0,0,0,0,0,0,4.70138888888889,0,0,0,0,0,0,0,0,0,0,0,-0.169811320754717,-5.66604961125509,0,0,0,0,0,0,0,0,8.19230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0,-2.95512820512821,0,0,0,0,0,0,0,0,0.443076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3231031543052,0,-3.85029398462234,0,60.1910403554239,0,0,0,0,0,0,0,-6.41400580551524,0,0,0,0,0,0,0,3.80772946859903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27177700348432,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9853107344633,0,0,0,0,0,-6.00144927536232,0,0,0,0,0,0,4.78741258741259,0,0,0,0,0,0,0,0,0,0,-7.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20670731707317,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,0,0,0,0,0
0,0,0,0,0,73.6177884615385,0,-16.6666666666667,0,0,0,0,0,0,0,0,10.699564586357,0.894412191582003,0,-0.753030303030303,0,0,0,0,0,0,0.132404181184669,0,0,0,0,17.0526315789474,0,0,0,0,0,0,0,0,0,-94.5,12.8925979680697,0,0,0,0,0,0,27.6736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77272727272727,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,-0.549001814882033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5747126436782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30.5365853658537,0,0,0,0,93.4727272727273,0,4.63472706155633,0,0,0,0,0,0,0,0,0,0,0,0,0.791497975708502,0,0,0,0,0,0,0,0,0,0,0,0,31.4932432432432,-11.1286549707602,35.4589743589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40615615615616,0,0,0,0,0,18.179435483871,0,0,0,0,0,0,0,50,0,0,0,0,0,0,11.3990147783251,0.128654970760234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.5,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-16.6666666666667,0,64.5849462365591,0,0,0,0,0,0,0,0,-21.9486166007905,10.4333333333333,0,-15.9060846560847,0,0,0,0,0,0,2.33006535947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8433048433048,0,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8345588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2435897435897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14.694262295082,0,0,0,0,4.63472706155633,0,78.5278846153846,0,0,0,0,0,0,0,0,0,0,0,0,9.51156336725254,0,0,0,0,0,0,0,0,0,0,0,0,15.0196078431373,-10.3896551724138,5.44745762711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.7948986722572,0,0,0,0,0,15.8769230769231,0,0,0,0,0,0,0,-37.5,0,0,0,0,0,0,7.19061166429587,10.4064171122995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13.5169230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,57.7677884615385,0,0,0,7.56033653846154,0,0,0,0,0,0,0,0,5.22901002506266,8.40159574468085,0.21889400921659,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.183908045977,0,0,0,4.6,0,0,0,0,0,0,0,0,-3.54663461538462,0,0,0,0,0,14.1342494714588,7.25,2.30769230769231,0,0,0,0,0,0,0,0,25.6545454545455,0,0,0,0,0,0,0,0,0,0,0,0,-12.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.83333333333333,0,0,0,0,0,0,0,0
