"Elvis Andrus_TEX","Adrian Beltre_TEX","Carlos Gomez_TEX","Jose Abreu_CWS","Miguel Sano_MIN","Eddie Rosario_MIN","Shin-Soo Choo_TEX","Delino DeShields_TEX","Joe Mauer_MIN","Brian Dozier_MIN","Nomar Mazara_TEX","Salvador Perez_KC","Daniel Palka_MIN","Mike Napoli_TEX","Robinson Chirinos_TEX","Melky Cabrera_CWS","Todd Frazier_CWS","Mike Moustakas_KC","Eric Hosmer_KC","Jorge Bonifacio_KC","Joey Gallo_TEX","Yoan Moncada_CWS","Lorenzo Cain_KC","Eduardo Escobar_MIN","Whit Merrifield_KC","Max Kepler_MIN","Tyler Saladino_CWS","Robbie Grossman_MIN","Jorge Polanco_MIN","Jonathan Lucroy_TEX","Alen Hanson_CWS","Jurickson Profar_TEX","Yolmer Sanchez_CWS","Rougned Odor_TEX","Adam Engel_CWS","Alcides Escobar_KC","Jason Castro_MIN","Avisail Garcia_CWS","Chris Gimenez_MIN","Kennys Vargas_MIN","Jorge Soler_KC","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Charlie Tilson_CWS","Tim Anderson_CWS","Alex Gordon_KC","Paulo Orlando_KC","Cheslor Cuthbert_KC","Matt Davidson_CWS","Ryan Rua_TEX","Andy Ibanez_TEX","Billy Burns_KC","Ryan O'Hearn_KC","Brandon Moss_KC","Terrance Gore_KC","Leury Garcia_CWS","Jacob May_CWS","Hanser Alberto_TEX","Ronald Guzman_TEX","Drew Stubbs_TEX","Cody Asche_CWS","Willy Garcia_CWS","Kevan Smith_CWS","Drew Butera_KC","Ehire Adrianza_MIN","Geovany Soto_CWS","Raul Mondesi_KC","Byron Buxton_MIN","Drew Robinson_TEX","Omar Narvaez_CWS","Ramon Torres_KC","Hunter Dozier_KC","Grant Green_CWS","Zack Collins_CWS"
71.4474885844749,0,6.14202898550725,0,0,0,6.434375,7.99545454545455,0,0,3.87403993855607,0,0,-5.24874686716792,0,0,0,0,0,0,3.67668269230769,0,0,0,0,0,0,0,0,-1.94375907111756,0,0,0,-7.86149162861492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.14202898550725,0,88.4745605920444,0,0,0,9.37682926829268,25.9347826086957,0,0,11.6634615384615,0,0,5.33554817275748,0,0,0,0,0,0,-6.95731707317073,0,0,0,0,0,0,0,0,-0.142137096774194,0,0,0,24.4051803885291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58.8855721393035,0,0,0,0,0,0,0,0,0,0,0,21.5363543266769,5.23214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6425171866737,0,0,0,0,0,0,0,5.48308270676692,0,0,0,22.3900709219858,0,0,0,0,0,0,-10.2682926829268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,82.5105868118572,-6.17391304347826,0,0,18.0761054421769,-1.06666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,24.541935483871,0,27.4383503401361,0,13.1085271317829,12.920202020202,0,0,0,0,0,0,0,2.49932523616734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6659125188537,0,0,0,0,0,0
0,0,0,0,-6.17391304347826,72.7140783744557,0,0,6.58350951374207,13.2489795918367,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5183908045977,0,19.1622621564482,0,-5.60756302521008,6.83615221987315,0,0,0,0,0,0,0,26.0315315315315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.711111111111111,0,0,0,0,0,0
6.434375,0,9.37682926829268,0,0,0,59.7788331071913,26.3481781376518,0,0,17.7327694235589,0,0,-12.7534693877551,0,0,0,0,0,0,13.8796610169492,0,0,0,0,0,0,0,0,-4.67622571692877,0,0,0,1.40298507462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.99545454545455,0,25.9347826086957,0,0,0,26.3481781376518,45.0379278445883,0,0,13.6974474474474,0,0,-9.21932773109244,0,0,0,0,0,0,12.5688259109312,0,0,0,0,0,0,0,0,1.27226890756303,0,0,0,5.83348751156337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18.0761054421769,6.58350951374207,0,0,40.4646103896104,7.89658925979681,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.94581280788177,0,12.8333333333333,0,15.504048582996,2.06423034330011,0,0,0,0,0,0,0,7.16260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18617021276596,0,0,0,0,0,0
0,0,0,0,-1.06666666666667,13.2489795918367,0,0,7.89658925979681,44.0687466948704,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99465240641711,0,20.4100145137881,0,-0.621256038647343,7.30064754856614,0,0,0,0,0,0,0,11.9778012684989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24673439767779,0,0,0,0,0,0
