"Paul Goldschmidt_ARI","Mookie Betts_BOS","Aaron Judge_NYY","Jake Lamb_ARI","Jose Bautista_TOR","Xander Bogaerts_BOS","Kendrys Morales_TOR","Josh Donaldson_TOR","Miguel Sano_MIN","Brian Dozier_MIN","Jackie Bradley_BOS","Justin Smoak_TOR","Giancarlo Stanton_MIA","Mike Trout_LAA","Cameron Maybin_LAA","AJ Pollock_ARI","Hanley Ramirez_BOS","Chris Owings_ARI","Brett Gardner_NYY","Gary Sanchez_NYY","Marcell Ozuna_MIA","Devon Travis_TOR","Matt Holliday_NYY","Albert Pujols_LAA","Andrew Benintendi_BOS","Joe Mauer_MIN","Dustin Pedroia_BOS","Mitch Moreland_BOS","Jonathan Schoop_BAL","Aaron Hicks_NYY","Justin Bour_MIA","Adam Jones_BAL","Manny Machado_BAL","Russell Martin_TOR","Andrelton Simmons_LAA","Robbie Grossman_MIN","Yasmany Tomas_ARI","Pablo Sandoval_BOS","Troy Tulowitzki_TOR","Dee Gordon_MIA","David Peralta_ARI","Mark Trumbo_BAL","Didi Gregorius_NYY","Christian Yelich_MIA","Brock Holt_BOS","Chris Davis_BAL","Jacoby Ellsbury_NYY","Starlin Castro_NYY","Max Kepler_MIN","Gregor Blanco_ARI","Chris Young_BOS","Trey Mancini_BAL","Welington Castillo_BAL","Kevin Pillar_TOR","CJ Cron_LAA","Kennys Vargas_MIN","Chris Carter_NYY","Jefry Marte_LAA","Christian Vazquez_BOS","Joey Rickard_BAL","Steve Pearce_TOR","Greg Bird_NYY","Eddie Rosario_MIN","Nick Ahmed_ARI","Chris Herrmann_ARI","JT Realmuto_MIA","Deven Marrero_BOS","Rob Refsnyder_NYY","Jorge Polanco_MIN","Jeremy Hazelbaker_ARI","Rey Fuentes_ARI","Steve Selsky_BOS","Marco Hernandez_BOS","Craig Gentry_BAL","Hyun Soo Kim_BAL","Yunel Escobar_LAA","Martin Prado_MIA","Sandy Leon_BOS","Seth Smith_BAL","Luis Valbuena_LAA","Ben Revere_LAA","Brandon Drury_ARI","Socrates Brito_ARI","Sam Travis_BOS","Josh Rutledge_BOS","JJ Hardy_BAL","Rowdy Tellez_TOR","Dalton Pompey_TOR","Ryan Goins_TOR","Byron Buxton_MIN","Chris Iannetta_ARI","Jason Castro_MIN","Martin Maldonado_LAA","Derek Dietrich_MIA","Chase Headley_NYY","Jarrod Saltalamacchia_TOR","Ezequiel Carrera_TOR","Chris Coghlan_TOR","Eduardo Escobar_MIN","Kole Calhoun_LAA","Daniel Descalso_ARI","JT Riddle_MIA","Luis Sardinas_BAL","Paul Janish_BAL","Ryan Flaherty_BAL","Francisco Pena_BAL","Darrell Ceciliani_TOR","Ronald Torreyes_NYY","Austin Romine_NYY","Danny Espinosa_LAA","Caleb Joseph_BAL","Gleyber Torres_NYY","Anthony Alford_TOR","Kyle Higashioka_NYY","Nolan Fontana_LAA","Tomas Telis_MIA","Destin Hood_MIA","Tyler Moore_MIA","Dwight Smith_TOR","Chris Gimenez_MIN","Eric Young_LAA","Ichiro Suzuki_MIA","Adeiny Hechavarria_MIA","Christian Colon_MIA","Steve Lombardozzi_MIA","Ehire Adrianza_MIN","Juan Graterol_LAA","Carlos Perez_LAA","Luke Maile_TOR","Darwin Barney_TOR","AJ Ellis_MIA","Mike Aviles_MIA","Cliff Pennington_LAA","Mike Ohlman_TOR","Jeff Mathis_ARI","Miguel Rojas_MIA"
0,30,0,0,0,30,0,0,0,0,32,0,0,0,0,0,25,0,0,0,0,0,0,0,28,0,26,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41,0,37,9,0,0,0,41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,16,4,0,0,0,0,0,0,8,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,44,35,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0
31,0,0,29,0,0,0,0,0,0,0,0,0,0,0,32,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
0,36,0,0,0,36,0,0,0,0,25,0,0,0,0,0,37,0,0,0,0,0,0,0,33,0,31,32,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,18,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,0,0,34,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,26,39,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,21,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,15,22,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,16,4,0,0,0,0,0,0,9,0,0,0,0,15
0,0,0,0,39,0,35,11,0,0,0,35,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,2,0,0
0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,0,0,41,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,28,40,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,13,0,0,0
0,41,0,0,0,39,0,0,0,0,28,0,0,0,0,0,33,0,0,0,0,0,0,0,43,0,38,40,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,13,0,0,0,0,0,0,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,38,0,0,0,36,0,0,0,0,26,0,0,0,0,0,31,0,0,0,0,0,0,0,38,0,40,36,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0,0,0,38,0,0,0,0,29,0,0,0,0,0,32,0,0,0,0,0,0,0,40,0,36,42,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,42,47,0,0,0,0,0,0,0,0,47,0,0,0,45,0,0,0,0,0,28,29,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,25,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,15,28,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,39,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,4,0,0,0,0,0,0,8,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,43,43,0,0,0,0,0,0,0,0,43,0,0,0,41,0,0,0,0,0,26,25,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,23,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,43,48,0,0,0,0,0,0,0,0,48,0,0,0,46,0,0,0,0,0,29,29,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,0,31,11,0,0,0,25,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,43,41,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,38,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,13,0,0,0
0,0,0,0,0,0,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
37,0,0,34,0,0,0,0,0,0,0,0,0,0,0,26,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
0,14,0,0,0,12,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,12,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
