"Giancarlo Stanton_MIA","Kris Bryant_CHC","Michael Conforto_NYM","Anthony Rizzo_CHC","AJ Pollock_ARI","Paul Goldschmidt_ARI","Jake Lamb_ARI","JD Martinez_ARI","Aaron Judge_NYY","Joey Votto_CIN","David Peralta_ARI","Willson Contreras_CHC","Justin Bour_MIA","Yoenis Cespedes_NYM","Ian Happ_CHC","Tommy Pham_STL","Steven Souza_TB","Zack Cozart_CIN","Ben Zobrist_CHC","Corey Dickerson_TB","Marcell Ozuna_MIA","Adam Duvall_CIN","Jay Bruce_NYM","Javier Baez_CHC","Gregor Blanco_ARI","Dee Gordon_MIA","Scooter Gennett_CIN","Lucas Duda_NYM","Randal Grichuk_STL","Brett Gardner_NYY","Gary Sanchez_NYY","Logan Morrison_TB","Jason Heyward_CHC","Billy Hamilton_CIN","Christian Yelich_MIA","Wilmer Flores_NYM","Wil Myers_SD","Hunter Renfroe_SD","Cory Spangenberg_SD","Evan Longoria_TB","Eugenio Suarez_CIN","Asdrubal Cabrera_NYM","Addison Russell_CHC","Stephen Piscotty_STL","Aledmys Diaz_STL","Paul DeJong_STL","Mallex Smith_TB","David Wright_NYM","Jose Abreu_CWS","Kyle Schwarber_CHC","Didi Gregorius_NYY","JT Realmuto_MIA","Jose Reyes_NYM","Neil Walker_NYM","Jose Pirela_SD","Ryan Schimpf_SD","Melky Cabrera_CWS","Kevin Kiermaier_TB","Brad Miller_TB","Curtis Granderson_NYM","Travis d'Arnaud_NYM","Yangervis Solarte_SD","Dexter Fowler_STL","Daniel Descalso_ARI","Matt Carpenter_STL","Yasmany Tomas_ARI","Matt Holliday_NYY","Chase Headley_NYY","Starlin Castro_NYY","Martin Prado_MIA","Jedd Gyorko_STL","Brandon Drury_ARI","Todd Frazier_NYY","Clint Frazier_NYY","Yoan Moncada_CWS","Yadier Molina_STL","Kolten Wong_STL","Aaron Hicks_NYY","Mason Williams_NYY","Tyler Moore_MIA","Jon Jay_CHC","Matt Davidson_CWS","Jeimer Candelario_CHC","Albert Almora_CHC","Mark Zagunis_CHC","Chris Iannetta_ARI","Chris Owings_ARI","Greg Bird_NYY","Arismendy Alcantara_CIN","TJ Rivera_NYM","Carlos Asuaje_SD","Avisail Garcia_CWS","Chris Herrmann_ARI","Derek Dietrich_MIA","Scott Schebler_CIN","Matt Szczur_SD","Jabari Blash_SD","Hector Sanchez_SD","Travis Jankowski_SD","Amed Rosario_NYM","Alen Hanson_CWS","Tommy La Stella_CHC","Victor Caratini_CHC","Rey Fuentes_ARI","Trevor Plouffe_TB","Jacoby Ellsbury_NYY","Wilson Ramos_TB","Matt Duffy_TB","Jorge Mateo_NYY","Miguel Andujar_NYY","Jake Bauers_TB","Jesse Winker_CIN","Alex Dickerson_SD","Brandon Nimmo_NYM","Manuel Margot_SD","Adam Engel_CWS","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Magneuris Sierra_STL","Derek Norris_TB","Tyler Austin_NYY","Tyler Wade_NYY","Dustin Fowler_NYY","Destin Hood_MIA","Chase d'Arnaud_SD","Charlie Tilson_CWS","Luke Voit_STL","Jack Reinheimer_ARI","Ketel Marte_ARI","Rickie Weeks_TB","Peter Bourjos_TB","Jesus Sucre_TB","Ronald Torreyes_NYY","Ji-Man Choi_NYY","Garrett Cooper_NYY","Ichiro Suzuki_MIA","AJ Ellis_MIA","Tucker Barnhart_CIN","Tomas Telis_MIA","Juan Lagares_NYM","Christian Bethancourt_SD","Austin Hedges_SD","Gavin Cecchini_NYM","Luis Urias_SD","Tyler Saladino_CWS","Tim Anderson_CWS","Jose Martinez_STL","Greg Garcia_STL","Socrates Brito_ARI","Harrison Bader_STL","Adeiny Hechavarria_TB","Curt Casali_TB","Christian Colon_MIA","Steve Lombardozzi_MIA","Erick Aybar_SD","Matt Reynolds_NYM","Kevin Plawecki_NYM","Yolmer Sanchez_CWS","Ildemaro Vargas_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Tim Beckham_TB","Shane Peterson_TB","Gleyber Torres_NYY","Jose Peraza_CIN","Franchy Cordero_SD","Leury Garcia_CWS","Jacob May_CWS","Jeff Mathis_ARI","Christian Walker_ARI","Colby Rasmus_TB","Daniel Robertson_TB","Mike Aviles_MIA","Devin Mesoraco_CIN","JT Riddle_MIA","Patrick Kivlehan_CIN","Phillip Ervin_CIN","Omar Narvaez_CWS","Cody Asche_CWS","Miguel Rojas_MIA","Geovany Soto_CWS","Willy Garcia_CWS","Kevan Smith_CWS","Eric Fryer_STL","Carson Kelly_STL","Rene Rivera_NYM","Zack Collins_CWS","Austin Romine_NYY","Kyle Higashioka_NYY","Nick Senzel_CIN","Dusty Coleman_SD","Jose Rondon_SD","Grant Green_CWS","Chad Huffman_STL","Alex Mejia_STL","Taylor Featherston_TB","Willy Adames_TB","Stuart Turner_CIN","Allen Cordoba_SD","Luis Torrens_SD"
93.6257836990596,0,0,0,0,0,0,0,0,0,0,0,10.9068857589984,0,0,0,0,0,0,0,13.5474692202462,0,0,0,0,9.19783197831978,0,0,0,0,0,0,0,0,8.28673050615595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339133654202147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55172413793103,0,0,0,0,0,0,0,0,0,29.6373626373626,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15638606676343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4583333333333,-6.43333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.05555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,12.5942684766214,0,0,0,0,-25.6263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79.7655462184874,0,16.2624155157214,0,0,0,0,0,0,0,6.1638418079096,0,0,14.6273532668882,0,0,0,8.65656565656566,0,0,0,0,7.64567332309268,0,0,0,0,0,0,0,0,12.0812390414962,0,0,0,0,0,0,0,0,0,9.86001809136138,0,0,0,0,0,0,2.12945645821157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56606606606607,0,4.66666666666667,14.0352941176471,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08333333333333,-1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,94.6336538461538,0,0,0,0,0,0,0,0,0,0,21.2987012987013,0,0,0,0,0,0,0,0,-13.3098360655738,0,0,0,0,8.33826638477801,0,0,0,0,0,0,0,1.91087344028521,0,0,0,0,0,3.23109756097561,0,0,0,0,0,0,0,0,0,0,-3.46540880503145,3.19047619047619,0,0,0,0,0,-14.4045454545455,-6.93472906403941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8484848484849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.31818181818182,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,0,2.83333333333333,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.03010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.2624155157214,0,61.6684144818976,0,0,0,0,0,0,0,17.8177884615385,0,0,18.4853723404255,0,0,0,3.46883116883117,0,0,0,0,2.21460877431027,0,0,0,0,0,0,0,0,21.6333333333333,0,0,0,0,0,0,0,0,0,5.48074534161491,0,0,0,0,0,0,3.63722897937599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0540540540541,0,27.7,-0.975641025641026,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.07142857142857,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,74.7222222222222,20.6057585825028,6.625,-28.8333333333333,0,0,15.4973262032086,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.39166666666667,0,-9.7037037037037,0,0,0,0,0,10.0031746031746,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-8.1025641025641,0,0,0,0,0,9.52272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.021978021978,0,0,0,0,0,0,0,0,0,0,-75.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2813852813853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20.6057585825028,62.9703774486383,0.166806722689076,92.25,0,0,19.1736770691995,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76411290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98228128460687,0,3.50769230769231,0,0,0,0,0,17.8738738738739,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.30141129032258,5.30869130869131,0,0,0,0,0,21.5564516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,14.5878378378378,0,0,0,0,0,0,0,0,0,0,30.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44573170731707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.625,0.166806722689076,72.1373850868233,3.91666666666667,0,0,22.4973661106234,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1954022988506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.5971659919028,0,6.59084084084084,0,0,0,0,0,12.8467908902692,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60860215053763,-9.83339503887449,0,0,0,0,0,29.2252100840336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,-10.7016806722689,0,0,0,0,0,0,0,0,0,0,46.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-28.8333333333333,92.25,3.91666666666667,230.916666666667,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,93.3040752351097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3275438596491,19.2519480519481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425480769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5114135206321,-1.01963963963964,24.8803272450533,0,0,0,-23.1,-8.1969696969697,0,0,0,-2.30434782608696,21.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266334440753045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-12.0952380952381,0,0,0,0,0,0,0,0,0,0,17.7087486157254,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93243243243243,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,54.6021505376344,0,0,0,0,0,0,0,6.63146997929607,0,0,0,4.90642954856361,0,0,0,0,-8.4645390070922,0,0,0,0,0,0,-4.25950752393981,0,0,0,0,0,0,-3.04450681635926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9722222222222,0,0,0,0,0,2.18725490196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95016835016835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40324074074074,0,0,0,0,0,0,0,0,-0.848739495798319,0,5.16176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0333333333333,0,0
