"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Falcons  (7942620)","Falcons ",7942620,3900,"SF@Atl 04:05PM ET","ATL","Falcons",NA,"SF",8.93,9.6,0
"DST","Texans  (7942606)","Texans ",7942606,3800,"Jax@Hou 01:00PM ET","HOU","Texans",NA,"Jax",9.16,9.5,0
"DST","Bills  (7942608)","Bills ",7942608,3700,"Cle@Buf 01:00PM ET","BUF","Bills",NA,"Cle",11.4,8.1,0
"DST","Broncos  (7942622)","Broncos ",7942622,3600,"NE@Den 04:25PM ET","DEN","Broncos",NA,"NE",7.24,5.5,0
"DST","Vikings  (7942617)","Vikings ",7942617,3500,"Ind@Min 01:00PM ET","MIN","Vikings",NA,"Ind",8.11,10.8,0
"DST","Chiefs  (7942613)","Chiefs ",7942613,3400,"Ten@KC 01:00PM ET","KC","Chiefs",NA,"Ten",7.12,8.5,0
"DST","Packers  (7942603)","Packers ",7942603,3200,"GB@Chi 01:00PM ET","GB","Packers",NA,"Chi",7.1,7.1,0
"DST","Ravens  (7942611)","Ravens ",7942611,3100,"Phi@Bal 01:00PM ET","BAL","Ravens",NA,"Phi",9.16,9.6,0
"DST","Cardinals  (7942619)","Cardinals ",7942619,3000,"NO@Ari 04:05PM ET","ARI","Cardinals",NA,"NO",7.34,9.1,0
"DST","Eagles  (7942610)","Eagles ",7942610,2900,"Phi@Bal 01:00PM ET","PHI","Eagles",NA,"Bal",6.23,9.3,0
"DST","Giants  (7942615)","Giants ",7942615,2900,"Det@NYG 01:00PM ET","NYG","Giants",NA,"Det",8.8,9.2,0
"DST","Patriots  (7942623)","Patriots ",7942623,2800,"NE@Den 04:25PM ET","NE","Patriots",NA,"Den",6.12,9.5,0
"DST","Bengals  (7942626)","Bengals ",7942626,2800,"Pit@Cin 01:00PM ET","CIN","Bengals",NA,"Pit",6.55,6.2,0
"DST","Steelers  (7942627)","Steelers ",7942627,2800,"Pit@Cin 01:00PM ET","PIT","Steelers",NA,"Cin",5.78,7.2,0
"DST","Cowboys  (7942604)","Cowboys ",7942604,2700,"TB@Dal 08:30PM ET","DAL","Cowboys",NA,"TB",7.56,10.4,0
"DST","Titans  (7942612)","Titans ",7942612,2700,"Ten@KC 01:00PM ET","TEN","Titans",NA,"KC",6.78,6.4,0
"DST","Raiders  (7942624)","Raiders ",7942624,2700,"Oak@SD 04:25PM ET","OAK","Raiders",NA,"SD",6.22,9.1,0
"DST","Chargers  (7942625)","Chargers ",7942625,2700,"Oak@SD 04:25PM ET","SD","Chargers",NA,"Oak",7.56,6.1,0
"DST","Jaguars  (7942607)","Jaguars ",7942607,2600,"Jax@Hou 01:00PM ET","JAX","Jaguars",NA,"Hou",6.74,6,0
"DST","Lions  (7942614)","Lions ",7942614,2600,"Det@NYG 01:00PM ET","DET","Lions",NA,"NYG",5.35,5.8,0
"DST","Buccaneers  (7942605)","Buccaneers ",7942605,2500,"TB@Dal 08:30PM ET","TB","Buccaneers",NA,"Dal",5.23,5.7,0
"DST","Colts  (7942616)","Colts ",7942616,2500,"Ind@Min 01:00PM ET","IND","Colts",NA,"Min",5.43,6.4,0
"DST","Bears  (7942602)","Bears ",7942602,2400,"GB@Chi 01:00PM ET","CHI","Bears",NA,"GB",5.26,5.3,0
"DST","Saints  (7942618)","Saints ",7942618,2400,"NO@Ari 04:05PM ET","NO","Saints",NA,"Ari",5.4,8.8,0
"DST","49ers  (7942621)","49ers ",7942621,2300,"SF@Atl 04:05PM ET","SF","49ers",NA,"Atl",4.28,3.6,0
"DST","Browns  (7942609)","Browns ",7942609,2200,"Cle@Buf 01:00PM ET","CLE","Browns",NA,"Buf",4.94,4.6,0
