"Kris Bryant_CHC","Charlie Blackmon_COL","Anthony Rizzo_CHC","Giancarlo Stanton_MIA","Nolan Arenado_COL","Ian Happ_CHC","Justin Bour_MIA","Willson Contreras_CHC","Gerardo Parra_COL","Elvis Andrus_TEX","Tommy Pham_STL","Ben Zobrist_CHC","Javier Baez_CHC","Mark Reynolds_COL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Dee Gordon_MIA","Trevor Story_COL","Randal Grichuk_STL","Carlos Gomez_TEX","Jason Heyward_CHC","Jose Abreu_CWS","Christian Yelich_MIA","Addison Russell_CHC","DJ LeMahieu_COL","Stephen Piscotty_STL","Aledmys Diaz_STL","Delino DeShields_TEX","Melky Cabrera_CWS","Marcell Ozuna_MIA","Rougned Odor_TEX","Kyle Schwarber_CHC","David Dahl_COL","Mike Napoli_TEX","Matt Davidson_CWS","Dexter Fowler_STL","Matt Carpenter_STL","Robinson Chirinos_TEX","Joey Gallo_TEX","Carlos Gonzalez_COL","Paul DeJong_STL","Martin Prado_MIA","JT Realmuto_MIA","Jurickson Profar_TEX","Avisail Garcia_CWS","Yoan Moncada_CWS","Jedd Gyorko_STL","Albert Almora_CHC","Yadier Molina_STL","Ian Desmond_COL","Kolten Wong_STL","Tyler Moore_MIA","Jon Jay_CHC","Jeimer Candelario_CHC","Pat Valaika_COL","Jonathan Lucroy_TEX","Brett Nicholas_TEX","Alen Hanson_CWS","Mark Zagunis_CHC","Ryan Rua_TEX","Nomar Mazara_TEX","Andy Ibanez_TEX","Luke Voit_STL","Magneuris Sierra_STL","Derek Dietrich_MIA","Charlie Tilson_CWS","Jose Martinez_STL","Stephen Cardullo_COL","Raimel Tapia_COL","Destin Hood_MIA","Hanser Alberto_TEX","Ronald Guzman_TEX","Tim Anderson_CWS","Victor Caratini_CHC","Dustin Garneau_COL","Greg Garcia_STL","Harrison Bader_STL","Ichiro Suzuki_MIA","AJ Ellis_MIA","Tomas Telis_MIA","Tyler Saladino_CWS","Yolmer Sanchez_CWS","Tommy La Stella_CHC","Tom Murphy_COL","Drew Stubbs_TEX","Christian Colon_MIA","Steve Lombardozzi_MIA","Leury Garcia_CWS","Jacob May_CWS","Jordan Patterson_COL","Drew Robinson_TEX","Omar Narvaez_CWS","Cody Asche_CWS","Adam Engel_CWS","Mike Aviles_MIA","Pete Kozma_TEX","Jared Hoying_TEX","JT Riddle_MIA","Geovany Soto_CWS","Willy Garcia_CWS","Carson Kelly_STL","Mike Tauchman_COL","Miguel Rojas_MIA","Ryan Hanigan_COL","Eric Fryer_STL","Alexi Amarista_COL","Cristhian Adames_COL","Tony Wolters_COL","Grant Green_CWS","Kevan Smith_CWS","Zack Collins_CWS","Chad Huffman_STL","Alex Mejia_STL"
0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,27,0,0,0,0,0,0,29,36,0,0,0,0,0,0,0,0,37,54,0,0,0,38,0,0,0,0,0,49,0,48,0,23,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,17,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2
54,0,55,0,0,21,0,41,0,0,0,55,37,0,0,0,0,0,0,0,44,0,0,42,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,67,0,0,37,0,53,0,0,0,37,69,0,0,0,0,0,0,0,40,0,0,48,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,28,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79,0,0,78,0,0,0,34,0,0,0,0,82,0,0,0,65,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,47,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,48,0,0,0,0,0
0,0,0,0,0,0,0,0,0,40,0,0,0,0,43,41,0,0,0,29,0,0,0,0,0,0,0,21,0,0,42,0,0,31,0,0,0,19,29,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,81,0,0,0,0,41,85,0,0,0,59,0,0,0,0,0,0,0,46,0,0,84,0,0,66,0,0,0,32,71,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,20,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,81,0,0,69,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,83,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,27,69,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
0,71,0,0,69,0,0,0,35,0,0,0,0,65,0,0,0,73,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,40,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,45,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,56,0,0,0,0,0,0,33,39,0,0,0,0,0,0,0,0,36,48,0,0,0,15,0,0,0,0,0,43,0,49,0,34,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,12,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,63,0,0,0,0,29,59,0,0,0,66,0,0,0,0,0,0,0,32,0,0,65,0,0,60,0,0,0,25,52,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,60,0,0,25,0,44,0,0,0,44,40,0,0,0,0,0,0,0,60,0,0,47,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,80,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,74,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,30,54,0,0,0,0,0,43,8,0,0,41,14,28,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,36,0,0,0
0,0,0,85,0,0,73,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,89,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,29,74,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
66,0,69,0,0,33,0,50,0,0,0,42,48,0,0,0,0,0,0,0,47,0,0,70,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,29,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,0,0,82,0,0,0,41,0,0,0,0,75,0,0,0,67,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,54,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,52,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,33,0,0,0,0,0,0,59,43,0,0,0,0,0,0,0,0,44,53,0,0,0,28,0,0,0,0,0,45,0,47,0,27,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,39,0,0,0,0,0,0,43,64,0,0,0,0,0,0,0,0,51,57,0,0,0,19,0,0,0,0,0,50,0,53,0,35,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,52,0,0,0,0,21,46,0,0,0,32,0,0,0,0,0,0,0,55,0,0,54,0,0,43,0,0,0,23,40,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,81,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,28,53,0,0,0,0,0,40,6,0,0,39,13,28,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,34,0,0,0
0,0,0,85,0,0,73,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,87,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,89,0,0,0,0,42,84,0,0,0,65,0,0,0,0,0,0,0,54,0,0,93,0,0,74,0,0,0,35,78,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,26,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,61,0,0,28,0,43,0,0,0,43,41,0,0,0,0,0,0,0,49,0,0,44,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,72,0,0,0,0,31,66,0,0,0,60,0,0,0,0,0,0,0,43,0,0,74,0,0,75,0,0,0,24,60,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,18,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,60,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,58,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,22,42,0,0,0,0,0,30,4,0,0,28,3,22,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,30,0,0,0
0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,36,0,0,0,0,0,0,44,51,0,0,0,0,0,0,0,0,68,61,0,0,0,27,0,0,0,0,0,55,0,58,0,37,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,16,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,48,0,0,0,0,0,0,53,57,0,0,0,0,0,0,0,0,61,84,0,0,0,38,0,0,0,0,0,68,0,69,0,43,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,23,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,19,32,0,0,0,25,0,0,0,0,0,0,0,23,0,0,35,0,0,24,0,0,0,36,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0,29,71,0,0,0,52,0,0,0,0,0,0,0,40,0,0,78,0,0,60,0,0,0,27,78,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,22,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,0,0,67,0,0,0,32,0,0,0,0,60,0,0,0,54,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,39,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,44,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,15,0,0,0,0,0,0,28,19,0,0,0,0,0,0,0,0,27,38,0,0,0,42,0,0,0,0,0,34,0,36,0,7,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
0,0,0,30,0,0,29,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,29,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0,0,0,73,0,0,63,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,74,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,29,76,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,47,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,17,0,0,0,14,0,0,0,0,0,0,0,5,0,0,17,0,0,13,0,0,0,4,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,71,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,29,46,0,0,0,0,0,41,7,0,0,35,14,21,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,30,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,43,0,0,0,0,0,0,45,50,0,0,0,0,0,0,0,0,55,68,0,0,0,34,0,0,0,0,0,74,0,65,0,36,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,21,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2
35,0,40,0,0,21,0,34,0,0,0,16,34,0,0,0,0,0,0,0,20,0,0,34,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,16,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,49,0,0,0,0,0,0,47,53,0,0,0,0,0,0,0,0,58,69,0,0,0,36,0,0,0,0,0,65,0,77,0,38,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
