"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Max Scherzer","Robbie Ray","Salvador Perez","Albert Pujols","Tyler Saladino","Mike Moustakas","Andrelton Simmons","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Carlos Carrasco","Stephen Vogt","Albert Pujols","Jed Lowrie","Mike Moustakas","Tim Anderson","Mike Trout","Matt Joyce","Jaff Decker"
"Max Scherzer","Robbie Ray","Stephen Vogt","Yonder Alonso","Whit Merrifield","Mike Moustakas","Carlos Correa","Mike Trout","Khris Davis","Jaff Decker"
"Max Scherzer","Robbie Ray","Stephen Vogt","CJ Cron","Cory Spangenberg","Yunel Escobar","Andrelton Simmons","Mike Trout","Josh Reddick","Jaff Decker"
"Max Scherzer","Jeff Samardzija","Salvador Perez","Eric Hosmer","Whit Merrifield","Mike Moustakas","Tim Anderson","Mike Trout","Josh Reddick","Jaff Decker"
"Max Scherzer","Jameson Taillon","Evan Gattis","Conor Gillaspie","Jose Altuve","Mike Moustakas","Carlos Correa","Mike Trout","Josh Reddick","Jaff Decker"
"Max Scherzer","Jameson Taillon","Stephen Vogt","CJ Cron","Whit Merrifield","Mike Moustakas","Andrelton Simmons","Mike Trout","Kole Calhoun","Matt Joyce"
"Max Scherzer","Jameson Taillon","Evan Gattis","CJ Cron","Tyler Saladino","Yunel Escobar","Tim Anderson","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Jameson Taillon","Chris Iannetta","Paul Goldschmidt","Tyler Saladino","Mike Moustakas","Chris Owings","Mike Trout","AJ Pollock","Jaff Decker"
"Max Scherzer","Robbie Ray","Geovany Soto","Freddie Freeman","Tyler Saladino","Mike Moustakas","Tim Anderson","Mike Trout","Josh Reddick","Avisail Garcia"
"Max Scherzer","Chase Anderson","Stephen Vogt","Albert Pujols","Danny Espinosa","Mike Moustakas","Jordy Mercer","Mike Trout","Kole Calhoun","Josh Reddick"
"Max Scherzer","Blake Snell","Evan Gattis","Albert Pujols","Tyler Saladino","Yunel Escobar","Andrelton Simmons","Mike Trout","Josh Reddick","Matt Joyce"
"Max Scherzer","Jameson Taillon","Stephen Vogt","Eric Hosmer","Jed Lowrie","Manny Machado","Andrelton Simmons","Mike Trout","Khris Davis","Jaff Decker"
"Max Scherzer","Blake Snell","Stephen Vogt","Albert Pujols","Whit Merrifield","Yunel Escobar","Chris Owings","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Robbie Ray","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Jordy Mercer","Mike Trout","Lorenzo Cain","Carlos Beltran"
"Max Scherzer","Blake Snell","Evan Gattis","CJ Cron","Danny Espinosa","Mike Moustakas","Andrelton Simmons","Mike Trout","AJ Pollock","Jaff Decker"
"Max Scherzer","Jameson Taillon","Martin Maldonado","Albert Pujols","Cory Spangenberg","Mike Moustakas","Andrelton Simmons","Mike Trout","AJ Pollock","Josh Reddick"
