"Mike Trout_LAA","Josh Donaldson_Tor","Giancarlo Stanton_Mia","Wil Myers_SD","Christian Yelich_Mia","Albert Pujols_LAA","Jose Bautista_Tor","Dee Gordon_Mia","Kole Calhoun_LAA","Cameron Maybin_LAA","CJ Cron_LAA","Troy Tulowitzki_Tor","Luis Valbuena_LAA","Devon Travis_Tor","JT Realmuto_Mia","Ryan Schimpf_SD","Marcell Ozuna_Mia","Kendrys Morales_Tor","Jefry Marte_LAA","Yangervis Solarte_SD","Russell Martin_Tor","Martin Prado_Mia","Manuel Margot_SD","Yunel Escobar_LAA","Ben Revere_LAA","Justin Bour_Mia","Alex Dickerson_SD","Hunter Renfroe_SD","Andrelton Simmons_LAA","Steve Pearce_Tor","Cory Spangenberg_SD","Derek Dietrich_Mia","Danny Espinosa_LAA","Kevin Pillar_Tor","Travis Jankowski_SD","Destin Hood_Mia","Justin Smoak_Tor","Rowdy Tellez_Tor","Dalton Pompey_Tor","Christian Bethancourt_SD","Austin Hedges_SD","Tyler Moore_Mia","Ichiro Suzuki_Mia","Jarrod Saltalamacchia_Tor","Ezequiel Carrera_Tor","Adeiny Hechavarria_Mia","Erick Aybar_SD","AJ Ellis_Mia","Luis Sardinas_SD","Allen Cordoba_SD","Martin Maldonado_LAA","Juan Graterol_LAA","JT Riddle_Mia","Jabari Blash_SD","Carlos Perez_LAA","Darwin Barney_Tor","Hector Sanchez_SD","Miguel Rojas_Mia","Ryan Goins_Tor","Cliff Pennington_LAA","Ty Kelly_Tor","Chris Coghlan_Tor","Luis Torrens_SD"
8,0,0,0,0,7,0,0,7,5,8,0,0,0,0,0,0,0,2,0,0,0,0,8,3,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,14,0,0,0,0,14,0,10,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,10,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,10,0,11,0,0,10,0,0,0,0,0,0,11,0,11,0,0,0,0,3,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,13,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,14,0,0,13,0,0,0,0,0,0,11,0,14,0,0,0,0,3,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0
0,7,0,0,0,0,14,0,0,0,0,14,0,10,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,10,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0
7,0,0,0,0,6,0,0,6,6,2,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,14,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,12,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,12,0,0,0,0,12,0,9,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,2,0
0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,11,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,13,0,0,13,11,8,0,0,0,0,0,0,0,7,0,0,0,0,14,4,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0
4,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,13,0,0,12,0,0,0,0,0,0,10,0,13,0,0,0,0,3,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,14,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,12,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,12,0,0,12,11,7,0,0,0,0,0,0,0,7,0,0,0,0,13,3,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,9,0,0,0,0,9,0,7,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,10,0,0,9,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0
14,0,0,0,0,13,0,0,13,11,8,0,0,0,0,0,0,0,7,0,0,0,0,14,4,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0
0,7,0,0,0,0,14,0,0,0,0,14,0,10,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,10,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,10,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,10,0,0,0,0,10,0,7,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,10,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,12,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,7,0,0,0,0,7,0,4,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,4,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0
0,0,5,0,5,0,0,4,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,11,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,11,0,0,11,10,7,0,0,0,0,0,0,0,6,0,0,0,0,12,3,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,3,0,0,0,0,6,0,0,0,0,6,0,5,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,8,0,0,7,0,0,0,0,0,0,6,0,8,0,0,0,0,2,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
