Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
David Johnson,38,,RB,9800,ARI,@MIA,22.8,ARI by 1.5,-1%,22%,-4%,0.0,0.0,0.0,0.0,0.0,17.7,19.0,20.9,3.5,4.4,11.3,8.0,5.7,1.1,7.3,41,36.5,28.2,28.2,19.7,36.8,24.5,2.5,0.0,0.0
Le'Veon Bell,34,,RB,9000,PIT,@BUF,23.3,PIT by 1,-5%,9%,-4%,0.3,0.1,0.0,0.0,0.0,26.7,20.0,20.2,1.9,4.5,7.0,8.6,6.2,0.8,6.5,43,30.2,25.8,25.8,18.5,33.0,27.7,3.1,0.0,0.0
Mike Evans,34,,WR,8900,TB,NO,26.5,TB by 2,12%,-8%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.3,11.4,1.3,7.8,18,20.6,21.5,21.5,11.0,32.0,21.8,2.4,0.0,0.0
Antonio Brown,16,,WR,8700,PIT,@BUF,23.3,PIT by 1,-5%,9%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,7.7,10.6,10.4,0.8,8.3,17,21.7,22.7,22.7,13.1,32.3,22.9,2.6,0.0,0.0
Julio Jones,7,Q,WR,8500,ATL,@LA,25.0,ATL by 5.5,-6%,7%,12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,9.4,7.7,0.5,11.1,13,18.4,20.7,20.7,6.6,34.7,17.3,2.0,0.0,0.0
Ezekiel Elliott,22,,RB,8400,DAL,@NYG,25.3,DAL by 4,8%,-14%,-6%,0.0,0.0,0.0,0.0,0.0,21.7,21.9,21.7,2.7,4.9,4.0,2.8,3.0,0.3,9.5,39,21.1,23.4,23.4,14.7,32.1,19.1,2.3,0.0,0.0
LeSean McCoy,19,,RB,8200,BUF,PIT,22.3,PIT by 1,5%,-14%,16%,0.0,0.0,0.0,0.0,0.0,13.7,15.8,15.6,2.5,5.5,4.0,3.7,4.0,0.4,5.8,34,24.7,21.0,21.0,10.5,31.6,15.7,1.9,0.0,0.0
Odell Beckham Jr.,33,,WR,8000,NYG,DAL,21.3,DAL by 4,10%,-23%,9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,10.4,10.3,1.3,8.1,18,20.1,19.4,19.4,8.9,29.9,21.3,2.7,0.0,0.0
A.J. Green,,O,WR,7700,CIN,@CLE,23.0,CIN by 4.5,3%,32%,4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,9.6,0,14.6,19.8,19.8,6.5,33.2,0.0,0.0,0.0,0.0
T.Y. Hilton,24,,WR,7500,IND,HOU,27.0,IND by 6.5,-15%,1%,-12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.0,9.5,8.9,0.9,9.5,15,18.6,18.3,18.3,7.2,29.4,19.1,2.5,0.0,0.0
Amari Cooper,2,,WR,7500,OAK,@KC,21.3,KC by 3.5,6%,14%,20%,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.0,0.0,5.3,8.7,8.9,0.9,9.4,14,11.9,17.2,17.2,6.9,27.5,18.3,2.4,0.0,0.0
Drew Brees,13,,QB,7400,NO,@TB,24.5,TB by 2,2%,8%,8%,41.3,41.7,36.6,6.5,7.8,1.0,1.3,1.5,0.6,1.2,0.0,0.0,0.0,0.0,0.0,60,22.3,25.0,25.0,16.1,34.0,20.6,2.8,0.0,0.0
Melvin Gordon,21,,RB,7400,SD,@CAR,23.8,CAR by 1,13%,-13%,-5%,0.0,0.0,0.0,0.0,0.0,19.3,20.9,20.8,4.2,4.0,6.0,4.7,4.3,0.7,7.5,41,18.3,21.8,21.8,13.0,30.6,19.0,2.6,0.0,0.0
Cam Newton,6,,QB,7200,CAR,SD,24.8,CAR by 1,9%,-17%,5%,31.3,33.7,33.1,3.2,7.0,3.7,6.2,6.6,1.2,4.2,0.0,0.0,0.0,0.0,0.0,66,15.8,19.9,19.9,12.1,27.7,21.2,2.9,0.0,0.0
Larry Fitzgerald,10,,WR,7100,ARI,@MIA,22.8,ARI by 1.5,-1%,22%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,7.3,10.2,9.1,1.3,7.3,14,13.1,17.6,17.6,10.8,24.3,17.9,2.5,0.0,0.0
Tom Brady,4,,QB,7100,NE,BAL,25.5,NE by 6.5,-8%,-31%,-10%,45.3,37.8,37.3,4.9,8.2,3.3,3.1,2.3,1.3,2.4,0.0,0.0,0.0,0.0,0.0,65,20.8,24.0,24.0,16.1,31.8,19.4,2.7,0.0,0.0
DeMarco Murray,12,,RB,7000,TEN,DEN,22.8,TEN by 1.5,-20%,15%,5%,0.3,0.1,0.0,0.1,10.0,18.3,19.1,20.3,2.9,4.6,3.7,4.5,3.5,1.1,5.7,40,20.4,22.1,22.1,16.4,27.7,20.6,2.9,0.0,0.0
Brandon Marshall,5,,WR,7000,NYJ,@SF,19.8,SF by 3,-2%,59%,9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,9.1,8.2,1.5,6.5,13,10.8,12.4,12.4,5.2,19.6,15.6,2.2,0.0,0.0
Ben Roethlisberger,6,,QB,7000,PIT,@BUF,23.3,PIT by 1,-5%,9%,-4%,30.7,37.2,33.9,4.1,7.4,0.0,0.7,2.1,0.2,2.8,0.0,0.0,0.0,0.0,0.0,58,16.0,21.6,21.6,12.0,31.2,18.9,2.7,0.0,0.0
Andrew Luck,24,,QB,6900,IND,HOU,27.0,IND by 6.5,-15%,1%,-15%,30.7,36.6,36.4,5.1,7.7,6.0,4.9,3.9,0.5,5.0,0.0,0.0,0.0,0.0,0.0,68,21.4,22.9,22.9,15.2,30.7,20.1,2.9,0.0,0.0
Dez Bryant,10,,WR,6900,DAL,@NYG,25.3,DAL by 4,8%,-14%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.9,8.1,1.1,8.9,13,18.9,16.2,16.2,6.8,25.5,16.6,2.4,0.0,0.0
Julian Edelman,6,,WR,6800,NE,BAL,25.5,NE by 6.5,-8%,-31%,2%,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.2,0.1,4.6,13.3,9.3,8.3,0.9,6.4,14,20.1,13.5,13.5,7.8,19.2,16.0,2.4,0.0,0.0
Matt Forte,24,,RB,6800,NYJ,@SF,19.8,SF by 3,-2%,59%,44%,0.0,0.0,0.0,0.0,0.0,14.0,17.6,19.0,2.6,3.7,3.7,3.5,2.7,0.3,6.1,35,10.6,15.5,15.5,5.1,25.9,18.6,2.7,0.0,0.0
Jordy Nelson,9,,WR,6800,GB,SEA,21.0,SEA by 3,-5%,-7%,-7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.8,8.5,2.0,7.4,15,19.2,18.7,18.7,9.5,27.8,16.5,2.4,0.0,0.0
Matthew Stafford,9,,QB,6800,DET,CHI,24.5,DET by 7.5,-9%,0%,-7%,38.3,36.1,35.7,4.8,7.4,3.0,2.5,2.3,0.3,5.9,0.0,0.0,0.0,0.0,0.0,66,18.1,19.6,19.6,12.4,26.8,18.8,2.8,0.0,0.0
Doug Baldwin,19,,WR,6800,SEA,@GB,24.0,SEA by 3,5%,-12%,4%,0.3,0.1,0.0,0.1,15.0,0.0,0.1,0.0,0.0,-4.0,6.7,7.1,6.3,0.8,9.8,12,15.3,16.0,16.0,6.8,25.1,14.5,2.1,0.0,0.0
Michael Thomas,6,Q,WR,6700,NO,@TB,24.5,TB by 2,2%,8%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,7.4,7.7,0.9,9.3,12,18.3,16.5,16.5,8.0,25.0,14.6,2.2,0.0,0.0
Jameis Winston,30,,QB,6700,TB,NO,26.5,TB by 2,12%,-8%,9%,32.3,36.4,35.0,4.8,7.3,4.7,3.3,4.1,0.3,2.9,0.0,0.0,0.0,0.0,0.0,63,18.2,19.6,19.6,13.8,25.4,19.3,2.9,0.0,0.0
