Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Julio Jones,37,,WR,9600,ATL,GB,27.0,ATL by 3,0%,-33%,-10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.3,8.5,0.4,12.8,15,21.4,22.7,22.7,6.1,39.3,22.1,2.3,0.0,0.0
A.J. Green,6,,WR,8800,CIN,WAS,26.0,CIN by 3,0%,12%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,10.0,9.7,1.1,11.1,17,19.2,22.1,22.1,8.2,36.0,21.2,2.4,0.0,0.0
Mike Evans,48,,WR,8100,TB,OAK,24.5,TB by 1,19%,20%,24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.2,10.9,1.5,7.5,18,20.5,22.3,22.3,14.6,29.9,23.1,2.9,0.0,0.0
T.Y. Hilton,29,,WR,7900,IND,KC,23.8,KC by 3,2%,7%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.7,10.9,10.1,1.1,9.1,18,24.4,21.0,21.0,8.9,33.1,21.6,2.7,0.0,0.0
Brandon Marshall,34,,WR,7800,NYJ,@CLE,24.0,NYJ by 2.5,14%,30%,14%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,7.7,1.6,6.9,13,15.1,13.6,13.6,4.9,22.3,17.0,2.2,0.0,0.0
David Johnson,27,,RB,7700,ARI,@CAR,21.5,CAR by 2.5,14%,-17%,-23%,0.0,0.0,0.0,0.0,0.0,27.3,20.9,18.5,4.1,4.7,8.3,6.6,4.7,0.7,7.0,37,34.1,26.3,26.3,17.7,35.0,19.4,2.5,0.0,0.0
Tom Brady,12,,QB,7600,NE,@BUF,26.8,NE by 5.5,-2%,16%,-20%,33.7,33.7,36.1,4.0,9.9,3.0,3.0,2.6,0.3,3.2,0.0,0.0,0.0,0.0,0.0,61,27.0,27.0,27.0,19.3,34.8,20.5,2.7,0.0,0.0
Amari Cooper,18,,WR,7600,OAK,@TB,23.5,TB by 1,-4%,5%,-17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,10.0,9.3,8.5,0.9,9.4,15,21.2,17.2,17.2,7.6,26.8,17.8,2.3,0.0,0.0
Larry Fitzgerald,21,,WR,7500,ARI,@CAR,21.5,CAR by 2.5,14%,-17%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,10.3,10.1,8.4,1.3,6.8,13,17.7,17.9,17.9,10.9,25.0,18.4,2.5,0.0,0.0
Allen Robinson,1,,WR,7500,JAX,@TEN,20.3,TEN by 3,3%,-19%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.2,8.7,1.5,5.4,16,9.1,12.3,12.3,4.6,19.9,16.4,2.2,0.0,0.0
Aaron Rodgers,26,,QB,7500,GB,@ATL,24.0,ATL by 3,18%,-14%,30%,47.7,39.5,39.7,6.3,6.3,3.3,3.7,3.1,0.8,4.4,0.0,0.0,0.0,0.0,0.0,71,20.0,21.6,21.6,16.4,26.8,20.4,2.7,0.0,0.0
DeAndre Hopkins,27,,WR,7400,HOU,DET,24.3,HOU by 2,9%,4%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.9,8.9,0.6,5.7,15,13.8,13.7,13.7,5.5,21.9,16.6,2.2,0.0,0.0
DeMarco Murray,6,Q,RB,7400,TEN,JAX,23.3,TEN by 3,-12%,2%,-18%,0.0,0.0,0.0,0.0,0.0,24.3,19.9,17.9,2.9,4.6,4.3,4.9,3.6,1.0,5.6,36,19.6,22.8,22.8,17.5,28.1,18.7,2.5,0.0,0.0
Cam Newton,3,,QB,7400,CAR,ARI,24.0,CAR by 2.5,-19%,-10%,-18%,35.7,36.0,31.4,3.4,7.2,4.7,6.2,6.9,0.8,4.8,0.0,0.0,0.0,0.0,0.0,64,20.9,23.9,23.9,15.2,32.6,18.8,2.5,0.0,0.0
Christine Michael,33,,RB,7300,SEA,@NO,25.0,SEA by 1,14%,9%,23%,0.0,0.0,0.0,0.0,0.0,17.3,16.2,17.4,2.7,4.2,4.0,3.8,2.5,0.3,3.9,32,17.3,16.6,16.6,8.3,24.9,14.7,2.0,0.0,0.0
Brandin Cooks,8,,WR,7300,NO,SEA,24.0,SEA by 1,-5%,-22%,-19%,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.2,6.3,8.0,8.3,7.5,0.8,9.7,13,19.5,18.8,18.8,5.1,32.4,15.5,2.1,0.0,0.0
Kelvin Benjamin,1,,WR,7200,CAR,ARI,24.0,CAR by 2.5,-19%,-10%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.7,7.6,1.2,7.6,13,13.8,15.9,15.9,5.0,26.8,13.3,1.8,0.0,0.0
Jordy Nelson,8,,WR,7200,GB,@ATL,24.0,ATL by 3,18%,-14%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.5,9.0,2.0,6.3,15,8.8,15.2,15.2,5.6,24.8,17.5,2.4,0.0,0.0
Ezekiel Elliott,27,,RB,7200,DAL,PHI,24.5,DAL by 5,-14%,-4%,-13%,0.0,0.0,0.0,0.0,0.0,22.0,22.8,17.6,2.7,5.1,3.0,2.5,2.3,0.3,6.5,34,27.7,22.0,22.0,14.0,30.0,15.8,2.2,0.0,0.0
Russell Wilson,16,,QB,7200,SEA,@NO,25.0,SEA by 1,14%,9%,9%,35.3,34.5,33.1,3.0,7.5,4.0,3.7,4.2,0.0,1.5,0.3,0.2,0.0,0.0,-1.0,60,16.0,14.6,14.6,8.4,20.8,21.0,2.9,0.0,0.0
LeSean McCoy,,D,RB,7100,BUF,NE,21.3,NE by 5.5,3%,-14%,-8%,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,2.4,5.3,1.7,3.4,0.0,0.1,4.0,0,19.7,20.2,20.2,8.6,31.8,0.0,0.0,0.0,0.0
Dez Bryant,2,Q,WR,7100,DAL,PHI,24.5,DAL by 5,-14%,-4%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,7.9,1.0,6.5,14,11.7,11.7,11.7,2.4,20.9,14.6,2.1,0.0,0.0
Rob Gronkowski,23,,TE,7000,NE,@BUF,26.8,NE by 5.5,-2%,16%,-46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,4.6,7.4,0.6,16.3,12,23.5,14.5,14.5,1.1,27.9,15.3,2.2,0.0,0.0
Matt Ryan,24,,QB,7000,ATL,GB,27.0,ATL by 3,0%,-33%,-15%,34.7,34.9,32.3,6.1,9.6,2.3,2.7,2.1,0.4,3.2,0.0,0.0,0.0,0.0,0.0,61,18.8,25.0,25.0,15.9,34.1,22.5,3.2,0.0,0.0
Doug Baldwin,21,,WR,6900,SEA,@NO,25.0,SEA by 1,14%,9%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-4.0,6.0,7.5,7.2,0.8,9.6,12,9.8,15.3,15.3,4.3,26.3,16.7,2.4,0.0,0.0
Drew Brees,7,,QB,6900,NO,SEA,24.0,SEA by 1,-5%,-22%,-29%,44.3,45.5,37.9,6.2,7.7,1.3,1.3,0.8,0.2,1.3,0.0,0.0,0.0,0.0,0.0,63,26.4,26.5,26.5,16.5,36.5,19.5,2.8,0.0,0.0
Spencer Ware,41,,RB,6800,KC,@IND,26.8,KC by 3,12%,10%,36%,0.0,0.0,0.0,0.0,0.0,18.0,15.8,15.0,2.0,5.2,3.0,3.5,4.0,0.3,13.6,33,19.3,19.0,19.0,7.8,30.1,18.3,2.7,0.0,0.0
Andrew Luck,12,,QB,6800,IND,KC,23.8,KC by 3,2%,7%,-11%,36.7,39.4,35.5,5.7,7.5,5.7,3.9,3.2,0.4,5.5,0.0,0.0,0.0,0.0,0.0,68,26.8,24.0,24.0,15.2,32.8,19.5,2.9,0.0,0.0
