"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"C","Gary Sanchez",5100,"NYY@Bal 01:35PM ET",6,"NYY","Bal",NA,0,NA,0,"x","x",NA
"1B","Anthony Rizzo",5100,"ChC@Mil 02:10PM ET",4.75,"ChC","Mil",10.57,11.1,9.21,8.8,"3","3",NA
"3B/SS","Manny Machado",5000,"NYY@Bal 01:35PM ET",8.667,"Bal","NYY",9.42,9,8.88,9.2,"3","3",NA
"3B/OF","Kris Bryant",5000,"ChC@Mil 02:10PM ET",4,"ChC","Mil",9.25,8.6,9.14,9.1,"2","2",NA
"OF","Mookie Betts",4900,"Bos@Det 01:10PM ET",5,"Bos","Det",9.46,9.2,8.99,10,"3","3",NA
"OF","Bryce Harper",4900,"Was@Phi 01:35PM ET",14.25,"Was","Phi",9.72,10.6,9.5,9.9,"3","3",NA
"2B","Jose Altuve",4800,"KC@Hou 02:10PM ET",1.8,"Hou","KC",9.8,9.6,10.16,9.2,"3","3",NA
"C/OF","Kyle Schwarber",4700,"ChC@Mil 02:10PM ET",8.5,"ChC","Mil",8.63,11.7,9.16,9.1,"1","1",NA
"SS","Carlos Correa",4700,"KC@Hou 02:10PM ET",6.2,"Hou","KC",8.14,9.8,9.09,9,"4","4",NA
"OF","Ryan Braun",4600,"ChC@Mil 02:10PM ET",7.4,"Mil","ChC",6.98,6.6,7.95,7.2,"x","3",NA
"OF/SS","Trea Turner",4600,"Was@Phi 01:35PM ET",4.5,"Was","Phi",NA,0,1.97,0,"x","x",NA
"1B","Miguel Cabrera",4500,"Bos@Det 01:10PM ET",2,"Det","Bos",8.22,8.3,8.58,8.3,"3","3",NA
"1B/OF","Chris Davis",4500,"NYY@Bal 01:35PM ET",7.333,"Bal","NYY",6.28,6.8,8.23,8.3,"5","5",NA
"2B/3B","Daniel Murphy",4500,"Was@Phi 01:35PM ET",12.25,"Was","Phi",9.97,8.7,8.6,8.9,"4","4",NA
"1B","Chris Carter",4400,"NYY@Bal 01:35PM ET",1,"NYY","Bal",NA,8.7,8.27,8.4,"x","4",NA
"1B/OF","Mark Trumbo",4400,"NYY@Bal 01:35PM ET",7,"Bal","NYY",9.21,8.7,8.59,8.3,"4","4",NA
"1B","Joey Votto",4400,"Cin@StL 02:15PM ET",6,"Cin","StL",7.29,9,8.23,7.9,"3","3",NA
"3B","Josh Donaldson",4400,"Tor@TB 01:10PM ET",10.25,"Tor","TB",8.1,8.5,9.1,8.5,"2","2",NA
"2B/OF","Ben Zobrist",4400,"ChC@Mil 02:10PM ET",6.25,"ChC","Mil",7.87,8.4,7.81,7.1,"4","4",NA
"OF","George Springer",4400,"KC@Hou 02:10PM ET",12.8,"Hou","KC",8.49,9.8,9.5,8.9,"1","1",NA
"1B/OF","Matt Holliday",4300,"NYY@Bal 01:35PM ET",9.25,"NYY","Bal",6.93,9.3,8.11,8.8,"4","3",NA
"1B","Freddie Freeman",4300,"Atl@Pit 01:35PM ET",5.25,"Atl","Pit",7.79,9.2,8.39,8,"3","3",NA
"OF","Starling Marte",4300,"Atl@Pit 01:35PM ET",6.333,"Pit","Atl",8,7.6,9.53,8.7,"1","2",NA
"1B/3B","Todd Frazier",4200,"Min@CWS 02:10PM ET",1.333,"CWS","Min",7.7,7.3,8.57,8.3,"5","4",NA
"2B","Brian Dozier",4200,"Min@CWS 02:10PM ET",9.5,"Min","CWS",7.84,8.9,9.04,8.8,"1","1",NA
"OF","Adam Jones",4200,"NYY@Bal 01:35PM ET",11.333,"Bal","NYY",8.12,8.6,8.14,8.3,"2","2",NA
"OF","Brett Gardner",4200,"NYY@Bal 01:35PM ET",11,"NYY","Bal",5.71,7.5,7.59,8,"1","1",NA
"OF","Dexter Fowler",4200,"Cin@StL 02:15PM ET",3.75,"StL","Cin",8.56,7.5,8.42,8.6,"1","1",NA
"3B/SS","Jonathan Villar",4200,"ChC@Mil 02:10PM ET",6.4,"Mil","ChC",6.3,7.8,8.37,7.7,"1","1",NA
"OF","Jacoby Ellsbury",4100,"NYY@Bal 01:35PM ET",8.75,"NYY","Bal",6.22,0,1.63,2.3,"x","x",NA
"OF","Aaron Judge",4100,"NYY@Bal 01:35PM ET",3.5,"NYY","Bal",5.36,7.9,6.87,7.1,"7","7",NA
"1B/3B","Matt Carpenter",4100,"Cin@StL 02:15PM ET",3.5,"StL","Cin",9.19,8,8.58,9.2,"3","3",NA
"OF","Andrew McCutchen",4100,"Atl@Pit 01:35PM ET",4.333,"Pit","Atl",6.96,6.9,8.37,7.6,"3","3",NA
"OF","Jose Bautista",4100,"Tor@TB 01:10PM ET",5,"Tor","TB",7.31,8.3,8.55,8,"3","3",NA
"1B/OF","Hanley Ramirez",4000,"Bos@Det 01:10PM ET",4,"Bos","Det",7.69,0,1.68,0,"x","x",NA
"OF","JD Martinez",4000,"Bos@Det 01:10PM ET",0,"Det","Bos",NA,0,NA,0,"x","x",NA
"1B","Jose Abreu",4000,"Min@CWS 02:10PM ET",7.667,"CWS","Min",7.41,7.7,8.65,7.8,"4","3",NA
"OF","Gregory Polanco",4000,"Atl@Pit 01:35PM ET",1,"Pit","Atl",7.62,8.5,8.36,7.8,"4","4",NA
"2B/3B","Javier Baez",4000,"ChC@Mil 02:10PM ET",1.25,"ChC","Mil",6.21,0,1.68,2.4,"x","x",NA
"OF","Adam Eaton",4000,"Was@Phi 01:35PM ET",14.25,"Was","Phi",7.56,8.4,8.16,8.3,"1","1",NA
"2B","Ian Kinsler",3900,"Bos@Det 01:10PM ET",11.333,"Det","Bos",7.5,7.5,7.98,7.7,"1","1",NA
"3B/SS","Xander Bogaerts",3900,"Bos@Det 01:10PM ET",8,"Bos","Det",NA,0,1.53,3,"x","x",NA
"2B/SS","Starlin Castro",3900,"NYY@Bal 01:35PM ET",4.25,"NYY","Bal",6.51,7.3,6.74,7.1,"5","5",NA
"SS","Didi Gregorius",3900,"NYY@Bal 01:35PM ET",0,"NYY","Bal",NA,0,NA,0,"x","x",NA
"OF","Craig Gentry",3900,"NYY@Bal 01:35PM ET",0,"Bal","NYY",NA,7.4,8.07,7.6,"x","1",NA
"SS","Aledmys Diaz",3900,"Cin@StL 02:15PM ET",7.5,"StL","Cin",8.29,8.7,8.32,9.6,"2","2",NA
"OF","Stephen Piscotty",3900,"Cin@StL 02:15PM ET",3.75,"StL","Cin",7.65,0,1.87,0,"x","x",NA
"3B","Evan Longoria",3900,"Tor@TB 01:10PM ET",11.4,"TB","Tor",7.24,7,7.96,7.6,"3","3",NA
"C/OF","Willson Contreras",3900,"ChC@Mil 02:10PM ET",10.333,"ChC","Mil",6.68,0,1.75,2.4,"x","x",NA
"2B/SS","Addison Russell",3900,"ChC@Mil 02:10PM ET",4.25,"ChC","Mil",6.85,6.7,7.16,7.4,"5","5",NA
"3B","Alex Bregman",3900,"KC@Hou 02:10PM ET",4.8,"Hou","KC",6.41,9.4,8.88,8.4,"2","2",NA
"3B","Maikel Franco",3900,"Was@Phi 01:35PM ET",2.5,"Phi","Was",6.86,7.5,6.78,6.5,"4","4",NA
"3B/OF","Cody Asche",3800,"Min@CWS 02:10PM ET",2,"CWS","Min",5.02,6.5,7,6.1,"6","5",NA
"OF","Melky Cabrera",3800,"Min@CWS 02:10PM ET",9.667,"CWS","Min",6.97,7.6,8.12,7.8,"3","1",NA
"1B","Greg Bird",3800,"NYY@Bal 01:35PM ET",2.25,"NYY","Bal",NA,0,1.92,0,"x","x",NA
"2B/SS","Pete Kozma",3800,"NYY@Bal 01:35PM ET",0,"NYY","Bal",NA,0,1.39,2.3,"x","x",NA
"OF","Matt Kemp",3800,"Atl@Pit 01:35PM ET",15,"Atl","Pit",7.21,0,1.59,0,"x","x",NA
