"George Springer_HOU","Carlos Correa_HOU","Jose Altuve_HOU","Marcell Ozuna_MIA","Marwin Gonzalez_HOU","Eduardo Nunez_SF","Miguel Sano_MIN","Justin Bour_MIA","Starling Marte_PIT","Carlos Beltran_HOU","Mike Trout_LAA","Mike Moustakas_KC","Andrew McCutchen_PIT","Giancarlo Stanton_MIA","Josh Harrison_PIT","Kole Calhoun_LAA","Buster Posey_SF","JT Realmuto_MIA","Dee Gordon_MIA","Whit Merrifield_KC","Hunter Renfroe_SD","Christian Yelich_MIA","Josh Reddick_HOU","Evan Gattis_HOU","Yuli Gurriel_HOU","Lorenzo Cain_KC","Max Kepler_MIN","David Freese_PIT","Josh Bell_PIT","Adam Frazier_PIT","Brian McCann_HOU","Jorge Bonifacio_KC","Cameron Maybin_LAA","Andrelton Simmons_LAA","Brandon Belt_SF","CJ Cron_LAA","Salvador Perez_KC","Eric Hosmer_KC","Jorge Soler_KC","Joe Mauer_MIN","Martin Prado_MIA","Albert Pujols_LAA","Wil Myers_SD","Denard Span_SF","Robbie Grossman_MIN","Brian Dozier_MIN","Jordy Mercer_PIT","Derek Dietrich_MIA","Gregory Polanco_PIT","Jefry Marte_LAA","Cheslor Cuthbert_KC","Manuel Margot_SD","Hunter Pence_SF","Brandon Crawford_SF","Alen Hanson_PIT","Yunel Escobar_LAA","Danny Espinosa_LAA","Derek Fisher_HOU","Paulo Orlando_KC","Yangervis Solarte_SD","Billy Burns_KC","Alex Dickerson_SD","Austin Hedges_SD","Joe Panik_SF","John Jaso_PIT","Ryan Schimpf_SD","Jose Osuna_PIT","JT Riddle_MIA","Brandon Moss_KC","Nick Hundley_SF","Jason Castro_MIN","Kennys Vargas_MIN","Jarrett Parker_SF","Christian Arroyo_SF","Francisco Cervelli_PIT","Jake Marisnick_HOU","Travis Jankowski_SD","Jorge Polanco_MIN","Eddie Rosario_MIN","Destin Hood_MIA","Danny Ortiz_PIT","Tyler Moore_MIA","Kevin Newman_PIT","Alex Bregman_HOU","Matt Szczur_SD","Ryan O'Hearn_KC","Mac Williamson_SF","Ichiro Suzuki_MIA","Tomas Telis_MIA","Luis Valbuena_LAA","Norichika Aoki_HOU","Alex Gordon_KC","Chase d'Arnaud_SD","Terrance Gore_KC","Kelby Tomlinson_SF","Christian Colon_MIA","Steve Lombardozzi_MIA","Elias Diaz_PIT","Adeiny Hechavarria_MIA","Ben Revere_LAA","Christian Bethancourt_SD","AJ Ellis_MIA","Phil Gosselin_PIT","Chris Bostick_PIT","Austin Meadows_PIT","JD Davis_HOU","Cory Spangenberg_SD","Allen Cordoba_SD","Aaron Hill_SF","Gorkys Hernandez_SF","Eduardo Escobar_MIN","Byron Buxton_MIN","Mike Aviles_MIA","Eric Young_LAA","Martin Maldonado_LAA","Nolan Fontana_LAA","Erick Aybar_SD","Franchy Cordero_SD","Raul Mondesi_KC","Conor Gillaspie_SF","Gift Ngoepe_PIT","Brian Anderson_MIA","Shane Robinson_LAA","Juan Graterol_LAA","Kyle Tucker_HOU","Jabari Blash_SD","Jose Pirela_SD","Luis Urias_SD","Justin Ruggiano_SF","Miguel Rojas_MIA","Jacob Stallings_PIT","Max Moroff_PIT","Carlos Perez_LAA","Colin Moran_HOU","Hector Sanchez_SD","Ramon Torres_KC","Michael Morse_SF","Chris Gimenez_MIN","Daniel Palka_MIN","Austin Slater_SF","Nick Gordon_MIN","Chris Stewart_PIT","John Bormann_PIT","Juan Centeno_HOU","Teoscar Hernandez_HOU","Tony Kemp_HOU","Alcides Escobar_KC","Drew Butera_KC","Jose Rondon_SD","Hunter Dozier_KC","Tim Federowicz_SF","Ehire Adrianza_MIN","Orlando Calixte_SF","Cliff Pennington_LAA","David Fletcher_LAA","Carlos Asuaje_SD","Luis Torrens_SD","Chris Marrero_SF"
0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,43,0,19,0,0,0,0,0,37,0,0,0,0,0,0,0,22,0,0,0,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,37,0,0,0,0,0,47,0,0,0,0,0,33,0,0,0,0,44,49,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,54,0,50,0,0,0,0,0,0,0,0,0,0,0,0,35,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,39,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,21,0,17,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,44,0,0,0,0,0,54,0,0,0,45,50,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,50,0,52,0,0,0,0,0,0,0,0,0,0,0,0,34,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,36,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,55,0,20,0,0,0,0,0,47,0,0,0,0,0,0,0,24,0,0,0,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,28,35,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,9,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
0,0,0,46,0,0,0,39,0,0,0,0,0,45,0,0,0,46,42,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,42,0,0,0,0,0,50,0,0,0,42,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,42,0,0,0,0,0,40,0,0,0,0,0,34,0,0,0,0,37,42,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,54,0,0,45,0,0,41,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,42,8,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,0,56,0,0,0,46,0,0,0,0,0,54,0,0,0,46,52,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,42,45,0,26,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,42,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,32,0,22,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,32,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,40,0,0,0,0,0,54,0,0,0,0,0,34,0,0,0,0,50,54,14,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,0,0,0,0,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,35,0,34,0,0,0,0,0,0,0,0,0,0,0,0,37,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,47,0,45,0,0,0,0,0,0,0,0,0,0,0,0,33,50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,35,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19,0,15,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,29,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,33,33,0,22,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,31,12,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,36,0,0,0,0,33,36,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0
