Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,13158,Shaun Draughn,RB,SF,NE,11,9,15,0,33,33,33,13.30,114.4
2,18690,Jalen Richard,RB,OAK,HOU,11,12,23,25,25,50,50,14.20,93.3
3,14789,Jamize Olawale,FB,OAK,HOU,11,16,30,13,19,31,31,17.70,91.9
4,18451,Rob Kelley,RB,WAS,GB,11,41,60,59,5,59,63,34.70,77.3
5,17965,CJ Prosise,RB,SEA,PHI,11,19,28,21,16,32,37,16.10,74.2
6,18376,Alan Cross,FB,TB,KC,11,10,13,0,10,10,10,7.30,63
7,13181,Mario Addison,DE,CAR,NO,11,28,37,0,0,0,0,0,58.9
8,16867,Jeremy Langford,RB,CHI,NYG,11,18,28,33,17,50,50,12.80,54.4
9,16567,Brandon Coleman,WR,NO,CAR,11,13,17,0,15,8,15,7.90,53.1
10,11932,LeSean McCoy,RB,BUF,CIN,11,20,31,25,15,35,40,12.50,52.5
11,16056,James White,RB,NE,SF,11,24,32,0,25,25,25,18.30,51.2
12,16142,Terrance West,RB,BAL,DAL,11,23,42,35,9,39,44,12.30,49.1
13,14533,Robert Turbin,RB,IND,TEN,11,14,23,14,0,14,14,6.40,45.7
14,2593,Aaron Rodgers,QB,GB,WAS,11,66,94,5,0,67,67,32.34,44.5
15,16847,David Johnson,RB,ARI,MIN,11,63,85,35,18,46,52,38,44.4
16,15669,Nathan Stupar,OLB,NO,CAR,11,17,27,0,0,0,0,0,44.1
17,18086,Antwione Williams,OLB,DET,JAX,11,16,24,0,0,0,0,0,43.8
18,16307,Charcandrick West,RB,KC,TB,11,10,19,0,30,30,30,7.20,42
19,12415,Zach Miller,TE,CHI,NYG,11,29,45,0,10,10,10,15.10,41.7
20,13255,Matt Asiata,RB,MIN,ARI,11,21,36,24,5,29,29,9.70,41.4
21,14871,Robert Woods,WR,BUF,CIN,11,10,15,0,30,30,30,7.10,41
22,16311,Derek Carr,QB,OAK,HOU,11,53,100,4,0,62,62,22.60,40.8
23,14252,Kirk Cousins,QB,WAS,GB,11,68,100,6,0,50,50,30.40,40.3
24,8649,Rashad Jennings,RB,NYG,CHI,11,47,70,45,13,55,57,23.90,40.2
25,6078,Brent Grimes,CB,TB,KC,11,5,9,0,0,0,0,0,40
26,12506,James Starks,RB,GB,WAS,11,33,47,27,18,42,46,18.10,39.7
27,16866,Jamison Crowder,WR,WAS,GB,11,41,60,0,7,7,7,22.20,39.5
28,15228,Alex Okafor,OLB,ARI,MIN,11,14,24,0,0,0,0,0,39.3
29,14967,Le'Veon Bell,RB,PIT,CLE,11,69,100,41,13,52,54,37.10,37.8
30,18033,Miles Killebrew,SS,DET,JAX,11,12,18,0,0,0,0,0,37.5
31,4314,Tom Brady,QB,NE,SF,11,76,100,5,0,58,58,28.40,37.4
32,6739,Alex Smith,QB,KC,TB,11,53,100,4,0,62,62,20.44,36.7
33,12296,LeGarrette Blount,RB,NE,SF,11,34,45,56,0,56,56,15.40,36.5
34,14536,Russell Wilson,QB,SEA,PHI,11,67,100,12,2,60,60,25.28,36.2
35,18055,Dak Prescott,QB,DAL,BAL,11,71,100,3,0,54,54,28.64,36.1
36,4358,Steve Smith,WR,BAL,DAL,11,45,82,0,20,18,20,23.90,35.3
37,16037,Dominique Easley,DT,LA,MIA,11,32,53,0,0,0,0,0,34.4
38,18017,Javon Hargrave,NT,PIT,CLE,11,41,62,0,0,0,0,0,34.1
39,12109,Ted Ginn,WR,CAR,NO,11,35,57,3,11,11,14,14.90,34
40,6767,Pierre Garcon,WR,WAS,GB,11,52,77,0,14,12,14,26.60,33.8
41,8534,Jared Cook,TE,GB,WAS,11,43,61,0,26,14,26,24.50,33.7
42,16159,Stephon Tuitt,DE,PIT,CLE,11,51,77,0,0,0,0,0,33.3
43,18138,Aaron Wallace,OLB,TEN,IND,11,6,10,0,0,0,0,0,33.3
