P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale,Trevor Cahill,Evan Gattis,Justin Smoak,Jose Altuve,Marwin Gonzalez,Carlos Correa,Mookie Betts,George Springer,Andrew Benintendi
Chris Sale,Trevor Cahill,Sandy Leon,Kendrys Morales,Dustin Pedroia,Chase Headley,Xander Bogaerts,Mookie Betts,George Springer,Andrew Benintendi
Chris Sale,Trevor Cahill,Sandy Leon,Mitch Moreland,Jose Altuve,Chris Coghlan,Trea Turner,Mookie Betts,Jackie Bradley,Andrew Benintendi
Chris Sale,Trevor Cahill,Evan Gattis,Kendrys Morales,Jose Altuve,Alex Bregman,Trea Turner,George Springer,Carlos Beltran,Michael Conforto
Chris Sale,James Paxton,Russell Martin,Kendrys Morales,Ryan Goins,Chris Coghlan,Trea Turner,Jose Bautista,Andrew Benintendi,Michael Conforto
Chris Sale,Trevor Cahill,Evan Gattis,Hanley Ramirez,Marco Hernandez,Alex Bregman,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Michael Conforto
Chris Sale,James Paxton,Travis d'Arnaud,Jay Bruce,TJ Rivera,Chase Headley,Asdrubal Cabrera,Mookie Betts,Andrew Benintendi,Michael Conforto
Chris Sale,Tyler Chatwood,Sandy Leon,Hanley Ramirez,Dustin Pedroia,Chris Coghlan,Asdrubal Cabrera,Mookie Betts,Andrew Benintendi,Michael Conforto
Chris Sale,Trevor Cahill,Geovany Soto,Hanley Ramirez,Dustin Pedroia,Joey Gallo,Aledmys Diaz,Mookie Betts,Jackie Bradley,Andrew Benintendi
Chris Sale,James Paxton,Russell Martin,Justin Smoak,Ryan Goins,Chris Coghlan,Aledmys Diaz,Mookie Betts,George Springer,Kevin Pillar
Chris Sale,Tyler Chatwood,Salvador Perez,Mitch Moreland,Marco Hernandez,Chris Coghlan,Xander Bogaerts,Mookie Betts,George Springer,Andrew Benintendi
James Paxton,Tyler Chatwood,Sandy Leon,Hanley Ramirez,Jose Altuve,Joey Gallo,Xander Bogaerts,Mookie Betts,George Springer,Andrew Benintendi
Chris Sale,Tyler Chatwood,Evan Gattis,Yuli Gurriel,Jose Altuve,Chris Coghlan,Aledmys Diaz,George Springer,Andrew Benintendi,Carlos Beltran
Chris Sale,James Paxton,Austin Romine,Chris Carter,Jose Altuve,Chase Headley,Didi Gregorius,Andrew Benintendi,Michael Conforto,Aaron Hicks
Chris Sale,Tyler Chatwood,Russell Martin,Kendrys Morales,Jose Altuve,Chris Coghlan,Didi Gregorius,Mookie Betts,Jose Bautista,Kevin Pillar
James Paxton,Tyler Chatwood,Evan Gattis,Kendrys Morales,Jose Altuve,Alex Bregman,Carlos Correa,Mookie Betts,George Springer,Lorenzo Cain
Chris Sale,Trevor Cahill,Jonathan Lucroy,Kendrys Morales,Rougned Odor,Joey Gallo,Trea Turner,Mookie Betts,Shin-Soo Choo,Delino DeShields
Chris Sale,James Paxton,Evan Gattis,Justin Smoak,Devon Travis,Chris Coghlan,Didi Gregorius,Jose Bautista,Andrew Benintendi,Kevin Pillar
