QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Blake Bortles (7988786),Todd Gurley (7988944),Jordan Howard (7988911),Antonio Brown (7989126),DeAndre Hopkins (7989116),Allen Robinson (7989028),Greg Olsen (7989208),Spencer Ware (7988967),Patriots  (7989682)
Matt Ryan (7988807),DeMarco Murray (7988878),Spencer Ware (7988967),Julio Jones (7989069),DeAndre Hopkins (7989116),Jeremy Kerley (7989103),Greg Olsen (7989208),Frank Gore (7988920),Patriots  (7989682)
Drew Brees (7988774),DeMarco Murray (7988878),Todd Gurley (7988944),Michael Thomas (7989003),Pierre Garcon (7989057),Anquan Boldin (7989147),Greg Olsen (7989208),Spencer Ware (7988967),Patriots  (7989682)
Blake Bortles (7988786),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Marqise Lee (7989026),Jeremy Kerley (7989103),Greg Olsen (7989208),Mark Ingram (7988862),Patriots  (7989682)
Matthew Stafford (7988847),Le'Veon Bell (7988957),Todd Gurley (7988944),DeAndre Hopkins (7989116),Steve Smith Sr. (7989122),Anquan Boldin (7989147),Greg Olsen (7989208),Frank Gore (7988920),Patriots  (7989682)
Blake Bortles (7988786),Le'Veon Bell (7988957),DeMarco Murray (7988878),Michael Thomas (7989003),Steve Smith Sr. (7989122),Allen Robinson (7989028),Greg Olsen (7989208),Dion Lewis (7988873),Patriots  (7989682)
Blake Bortles (7988786),DeMarco Murray (7988878),Frank Gore (7988920),Antonio Brown (7989126),Jordy Nelson (7989030),Pierre Garcon (7989057),Greg Olsen (7989208),Marqise Lee (7989026),Patriots  (7989682)
Drew Brees (7988774),Todd Gurley (7988944),Frank Gore (7988920),Antonio Brown (7989126),Michael Thomas (7989003),DeAndre Hopkins (7989116),Cameron Brate (7989171),Mark Ingram (7988862),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Spencer Ware (7988967),Julio Jones (7989069),Michael Thomas (7989003),Allen Robinson (7989028),Delanie Walker (7989179),Mark Ingram (7988862),Patriots  (7989682)
Matt Ryan (7988807),Dion Lewis (7988873),Isaiah Crowell (7988899),Antonio Brown (7989126),Julio Jones (7989069),Pierre Garcon (7989057),Greg Olsen (7989208),Allen Robinson (7989028),Patriots  (7989682)
Matthew Stafford (7988847),Spencer Ware (7988967),Mark Ingram (7988862),Antonio Brown (7989126),Julio Jones (7989069),Sammy Watkins (7988990),Greg Olsen (7989208),Anquan Boldin (7989147),Patriots  (7989682)
Colin Kaepernick (7988821),DeMarco Murray (7988878),Jordan Howard (7988911),Antonio Brown (7989126),Michael Thomas (7989003),Jeremy Kerley (7989103),Greg Olsen (7989208),Mark Ingram (7988862),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Jordan Howard (7988911),Julio Jones (7989069),DeAndre Hopkins (7989116),Pierre Garcon (7989057),Cameron Brate (7989171),Marqise Lee (7989026),Patriots  (7989682)
Blake Bortles (7988786),DeMarco Murray (7988878),Jordan Howard (7988911),Julio Jones (7989069),Michael Thomas (7989003),Marqise Lee (7989026),Greg Olsen (7989208),Spencer Ware (7988967),Cowboys  (7989706)
Blake Bortles (7988786),Le'Veon Bell (7988957),Spencer Ware (7988967),Julio Jones (7989069),Pierre Garcon (7989057),Allen Robinson (7989028),Cameron Brate (7989171),Frank Gore (7988920),Patriots  (7989682)
Matthew Stafford (7988847),DeMarco Murray (7988878),Todd Gurley (7988944),Antonio Brown (7989126),Steve Smith Sr. (7989122),Marvin Jones Jr. (7989154),Cameron Brate (7989171),Spencer Ware (7988967),Patriots  (7989682)
Drew Brees (7988774),Jordan Howard (7988911),Spencer Ware (7988967),Julio Jones (7989069),Michael Thomas (7989003),Steve Smith Sr. (7989122),Jason Witten (7989258),Frank Gore (7988920),Patriots  (7989682)
Matthew Stafford (7988847),DeMarco Murray (7988878),Todd Gurley (7988944),Julio Jones (7989069),Allen Robinson (7989028),Anquan Boldin (7989147),Eric Ebron (7989263),Jordan Howard (7988911),Patriots  (7989682)
Tyrod Taylor (7988771),DeMarco Murray (7988878),Todd Gurley (7988944),Julio Jones (7989069),Steve Smith Sr. (7989122),Sammy Watkins (7988990),Greg Olsen (7989208),Isaiah Crowell (7988899),Patriots  (7989682)
Blake Bortles (7988786),DeMarco Murray (7988878),Lamar Miller (7988948),Antonio Brown (7989126),Julio Jones (7989069),Allen Robinson (7989028),Jason Witten (7989258),Mark Ingram (7988862),Patriots  (7989682)
Jameis Winston (7988778),Todd Gurley (7988944),Frank Gore (7988920),Mike Evans (7988999),Michael Thomas (7989003),Allen Robinson (7989028),Greg Olsen (7989208),Marqise Lee (7989026),Patriots  (7989682)
Jameis Winston (7988778),Le'Veon Bell (7988957),Jordan Howard (7988911),Steve Smith Sr. (7989122),Pierre Garcon (7989057),Adam Humphries (7989000),Greg Olsen (7989208),Spencer Ware (7988967),Patriots  (7989682)
Drew Brees (7988774),Le'Veon Bell (7988957),Spencer Ware (7988967),Michael Thomas (7989003),DeAndre Hopkins (7989116),Marqise Lee (7989026),Greg Olsen (7989208),Frank Gore (7988920),Saints  (7989680)
Blake Bortles (7988786),DeMarco Murray (7988878),Todd Gurley (7988944),Julio Jones (7989069),Demaryius Thomas (7989137),Allen Robinson (7989028),Greg Olsen (7989208),Frank Gore (7988920),Saints  (7989680)
