"JD Martinez_DET","Miguel Cabrera_DET","Corey Dickerson_TB","Brian Dozier_MIN","Jose Abreu_CWS","Logan Morrison_TB","Miguel Sano_MIN","Max Kepler_MIN","Ian Kinsler_DET","Avisail Garcia_CWS","Steven Souza_TB","Justin Upton_DET","Brad Miller_TB","Victor Martinez_DET","Evan Longoria_TB","Robbie Grossman_MIN","Melky Cabrera_CWS","Todd Frazier_CWS","Tim Anderson_CWS","Joe Mauer_MIN","Wilson Ramos_TB","Leury Garcia_CWS","Matt Davidson_CWS","Colby Rasmus_TB","Kennys Vargas_MIN","Kevin Kiermaier_TB","Alex Avila_DET","Nicholas Castellanos_DET","Yoan Moncada_CWS","Matt Duffy_TB","Jorge Polanco_MIN","Byron Buxton_MIN","Tyler Collins_DET","Jake Bauers_TB","Andrew Romine_DET","Jose Iglesias_DET","James McCann_DET","Tyler Saladino_CWS","Rickie Weeks_TB","Eduardo Escobar_MIN","Mallex Smith_TB","Yolmer Sanchez_CWS","JaCoby Jones_DET","Charlie Tilson_CWS","Peter Bourjos_TB","Jesus Sucre_TB","Tim Beckham_TB","Jason Castro_MIN","Eddie Rosario_MIN","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Derek Norris_TB","Curt Casali_TB","Chris Gimenez_MIN","Daniel Robertson_TB","Jim Adduci_DET","Jacob May_CWS","Cody Asche_CWS","Willy Garcia_CWS","Michael Martinez_TB","Geovany Soto_CWS","Omar Narvaez_CWS","Shane Peterson_TB","Ehire Adrianza_MIN","Kevan Smith_CWS","Zack Collins_CWS"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49.0769230769231,0,0,0,0,0,0,9.52813852813853,0,0,10.8260869565217,0,5.76811594202899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.76470588235294,0,-10.0514705882353,20.306324110672,7.36601307189542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,67.6980255516841,0,0,1.55396825396825,0,0,0,0,3.70840336134454,0,-6.84259259259259,0,13.0108974358974,0,0,0,0,0,0,0,0,0,0,1.28717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49249249249249,0,0,0,0,0,12.9689655172414,0,0,10.3333333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37.273185483871,0,0,1.32560483870968,21.0669515669516,0,0,0,0,0,0,0,-7.31620553359684,0,0,0,1.64957264957265,0,0,0,0,0,0,0,0,0,0,-0.520689655172414,16.3862433862434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4565217391304,-7.5628078817734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63.9409672830725,0,0,0,0,4.59047619047619,0,0,0,0,0,0,23.0828877005348,8.22758620689655,-0.138709677419355,0,0,-12.3860215053763,11.9822134387352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.55396825396825,0,0,53.5883940620783,0,0,0,0,-1.36491935483871,0,22.1908831908832,0,6.77311522048364,0,0,0,0,0,0,0,0,0,0,6.35277382645804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.11586452762923,0,0,0,0,0,2.23029556650246,0,0,-2.03921568627451,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.32560483870968,0,0,89.6221033868093,35.6944444444444,0,0,0,0,0,0,0,16.3833333333333,0,0,0,24.8902116402116,0,0,0,0,0,0,0,0,0,0,9.38709677419355,17.0448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70652173913043,-4.17471264367816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21.0669515669516,0,0,35.6944444444444,58.7068965517241,0,0,0,0,0,0,0,21.2631578947368,0,0,0,12.2250712250712,0,0,0,0,0,0,0,0,0,0,5.73504273504274,19.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78260869565217,3.04166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.52813852813853,0,0,0,0,0,0,41.8011363636364,0,0,10.7126436781609,0,16.7709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0849802371542,0,25.4338235294118,-2.22833333333333,26.7642857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.59047619047619,0,0,0,0,105.163663663664,0,0,0,0,0,0,13.4375,38.5184729064039,27.5402298850575,0,0,7.76206896551724,23.655333849128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7572463768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
