P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale,Matt Moore,Evan Gattis,Yuli Gurriel,Jose Altuve,Marwin Gonzalez,Allen Cordoba,George Springer,Chris Young,Kevin Kiermaier
Chris Sale,Charlie Morton,Evan Gattis,Wil Myers,Yangervis Solarte,Ryan Schimpf,Erick Aybar,Mookie Betts,George Springer,Manuel Margot
Chris Sale,Robert Gsellman,Sandy Leon,Hanley Ramirez,Cliff Pennington,Mike Moustakas,Xander Bogaerts,Mookie Betts,Chris Young,Kevin Kiermaier
Chris Sale,Charlie Morton,Evan Gattis,Yuli Gurriel,Yangervis Solarte,Marwin Gonzalez,Xander Bogaerts,George Springer,Colby Rasmus,Jake Marisnick
Chris Sale,Tyler Chatwood,Sandy Leon,Hanley Ramirez,Dustin Pedroia,Marwin Gonzalez,Allen Cordoba,Mookie Betts,Chris Young,Manuel Margot
Chris Sale,Matt Moore,Evan Gattis,Alex Avila,Ian Kinsler,Mike Moustakas,Jose Iglesias,Mookie Betts,Justin Upton,Tyler Collins
Chris Sale,Matt Moore,Evan Gattis,Yuli Gurriel,Adam Frazier,Alex Bregman,Xander Bogaerts,George Springer,Carlos Beltran,Manuel Margot
Chris Sale,Tyler Chatwood,Evan Gattis,Yuli Gurriel,Jose Altuve,Alex Bregman,Erick Aybar,Mike Trout,George Springer,Tyler Collins
Chris Sale,Matt Moore,Gary Sanchez,Wil Myers,Yangervis Solarte,Ryan Schimpf,Allen Cordoba,Mike Trout,Chris Young,Manuel Margot
Chris Sale,Tyler Chatwood,Evan Gattis,Alex Avila,Jose Altuve,Marwin Gonzalez,Tim Beckham,George Springer,Carlos Beltran,Manuel Margot
Chris Sale,Robert Gsellman,Evan Gattis,Yuli Gurriel,Jose Altuve,Mike Moustakas,Tim Beckham,Mookie Betts,George Springer,Jake Marisnick
Chris Sale,Rich Hill,Evan Gattis,Yuli Gurriel,Yangervis Solarte,Alex Bregman,Allen Cordoba,Mookie Betts,George Springer,Norichika Aoki
Chris Sale,Matt Moore,Evan Gattis,Hanley Ramirez,Yangervis Solarte,Marwin Gonzalez,Freddy Galvis,George Springer,Carlos Beltran,Norichika Aoki
Chris Sale,Matt Moore,Evan Gattis,Danny Valencia,Robinson Cano,Kyle Seager,Jean Segura,George Springer,Chris Young,Guillermo Heredia
Chris Sale,Robert Gsellman,Evan Gattis,Yuli Gurriel,Cliff Pennington,Marwin Gonzalez,Trea Turner,Mike Trout,George Springer,Carlos Beltran
Chris Sale,Matt Moore,Evan Gattis,Logan Morrison,Yangervis Solarte,Evan Longoria,Tim Beckham,Mookie Betts,Colby Rasmus,Kevin Kiermaier
Chris Sale,Charlie Morton,Evan Gattis,Luis Valbuena,Jose Altuve,Alex Bregman,Allen Cordoba,George Springer,Jake Marisnick,Manuel Margot
Chris Sale,Rich Hill,Yasmani Grandal,Wil Myers,Yangervis Solarte,Mike Moustakas,Allen Cordoba,Mookie Betts,Hunter Renfroe,Manuel Margot
Chris Sale,Matt Moore,Sandy Leon,Hanley Ramirez,Dustin Pedroia,Kyle Seager,Xander Bogaerts,Chris Young,Odubel Herrera,Guillermo Heredia
Chris Sale,Matt Moore,Evan Gattis,Luis Valbuena,Cliff Pennington,Mike Moustakas,Andrelton Simmons,Mike Trout,Chris Young,Ben Revere
Chris Sale,Charlie Morton,Evan Gattis,Yuli Gurriel,Jose Altuve,Mike Moustakas,Erick Aybar,Chris Young,Carlos Beltran,Norichika Aoki
Chris Sale,Robert Gsellman,Evan Gattis,Alex Avila,Jose Altuve,Marwin Gonzalez,Xander Bogaerts,Chris Young,Norichika Aoki,Jake Marisnick
Chris Sale,Tyler Chatwood,Salvador Perez,Eric Hosmer,Yangervis Solarte,Mike Moustakas,Alcides Escobar,Mookie Betts,George Springer,Lorenzo Cain
Chris Sale,Robert Gsellman,Evan Gattis,Hanley Ramirez,Jose Altuve,Alex Bregman,Alcides Escobar,George Springer,Carlos Beltran,Kevin Kiermaier
Chris Sale,Charlie Morton,Derek Norris,Hanley Ramirez,Yangervis Solarte,Mike Moustakas,Tim Beckham,Corey Dickerson,Colby Rasmus,Kevin Kiermaier
Chris Sale,Rich Hill,Evan Gattis,Alex Avila,Andrew Romine,Kyle Seager,Xander Bogaerts,Justin Upton,Mikie Mahtook,Tyler Collins
Chris Sale,Charlie Morton,Evan Gattis,Logan Morrison,Daniel Robertson,Kyle Seager,Xander Bogaerts,Colby Rasmus,Steven Souza,Kevin Kiermaier
Chris Sale,Matt Moore,Evan Gattis,Albert Pujols,Jose Altuve,Kyle Seager,Erick Aybar,George Springer,Carlos Beltran,Jake Marisnick
Chris Sale,Tyler Chatwood,Evan Gattis,Hanley Ramirez,Daniel Robertson,Evan Longoria,Tim Beckham,Corey Dickerson,George Springer,Kevin Kiermaier
Chris Sale,Matt Moore,Evan Gattis,Eric Hosmer,Dustin Pedroia,Mike Moustakas,Alcides Escobar,Brandon Moss,Chris Young,Lorenzo Cain
