"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Jesse Chavez","Amir Garrett","Yasmani Grandal","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Adam Eaton","David Peralta","Jabari Blash"
"2","Jesse Chavez","Amir Garrett","Yasmani Grandal","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trea Turner","Carlos Gonzalez","Gerardo Parra","Jason Heyward"
"3","Chris Archer","Amir Garrett","Yasmani Grandal","Adrian Gonzalez","Chase Utley","Justin Turner","Trea Turner","Carlos Gonzalez","Jayson Werth","Yasiel Puig"
"4","Jesse Chavez","Amir Garrett","Jose Lobaton","Ryan Zimmerman","Daniel Murphy","Nolan Arenado","Jorge Polanco","Jayson Werth","Michael Taylor","Andrew Toles"
"5","Chris Archer","Jesse Chavez","Yasmani Grandal","Adrian Gonzalez","DJ LeMahieu","Justin Turner","Corey Seager","Charlie Blackmon","Jayson Werth","Andrew Toles"
"6","Amir Garrett","Tyler Anderson","Buster Posey","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Corey Seager","Charlie Blackmon","Carlos Gonzalez","David Peralta"
"7","Chris Archer","Jason Vargas","Yasmani Grandal","Adrian Gonzalez","Brian Dozier","Justin Turner","Corey Seager","Kyle Schwarber","David Peralta","Yasiel Puig"
"8","Amir Garrett","Jhoulys Chacin","Yasmani Grandal","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Corey Seager","Jayson Werth","Michael Taylor","Kyle Schwarber"
"9","Chris Archer","Tyler Anderson","Chris Gimenez","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Jorge Polanco","Carlos Gonzalez","Gerardo Parra","Andrew Toles"
"10","Chris Archer","Amir Garrett","Geovany Soto","Ryan Zimmerman","DJ LeMahieu","Jake Lamb","Chris Owings","AJ Pollock","Yasmany Tomas","David Peralta"
"11","Chris Archer","Jhoulys Chacin","Jose Lobaton","Ryan Zimmerman","Daniel Murphy","Justin Turner","Jordy Mercer","Jayson Werth","Michael Taylor","Jason Heyward"
"12","Chris Archer","Amir Garrett","Austin Hedges","Ryan Zimmerman","Yangervis Solarte","Ryan Schimpf","Trea Turner","Jayson Werth","Hunter Renfroe","Jabari Blash"
"13","Chris Archer","Amir Garrett","Miguel Montero","Anthony Rizzo","Ben Zobrist","Nolan Arenado","Addison Russell","David Peralta","Yasiel Puig","Jason Heyward"
"14","Chris Archer","Amir Garrett","Salvador Perez","Eric Hosmer","DJ LeMahieu","Mike Moustakas","Trea Turner","Kyle Schwarber","Lorenzo Cain","Alex Gordon"
"15","Jesse Chavez","Jhoulys Chacin","Buster Posey","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Jorge Polanco","Adam Eaton","Jayson Werth","Yasiel Puig"
"16","Jason Vargas","Jhoulys Chacin","Chris Gimenez","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Adam Eaton","Jason Heyward","Andrew Toles"
"17","Chris Archer","Amir Garrett","Chris Gimenez","Kennys Vargas","DJ LeMahieu","Miguel Sano","Jorge Polanco","Jayson Werth","Robbie Grossman","Andrew Toles"
"18","Jesse Chavez","Jhoulys Chacin","Salvador Perez","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Jorge Polanco","Charlie Blackmon","Carlos Gonzalez","Kyle Schwarber"
"19","Jason Vargas","Jesse Chavez","Stuart Turner","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Jordy Mercer","Jayson Werth","Michael Taylor","David Peralta"
"20","Jesse Chavez","Amir Garrett","Tony Wolters","Mark Reynolds","Tyler Saladino","Anthony Rendon","Trevor Story","Carlos Gonzalez","Jayson Werth","Gerardo Parra"
"21","Chris Archer","Amir Garrett","Yasmani Grandal","Joe Mauer","Brian Dozier","Miguel Sano","Jorge Polanco","Robbie Grossman","David Peralta","Yasiel Puig"
"22","Chris Archer","Jesse Chavez","Austin Hedges","Wil Myers","Yangervis Solarte","Nolan Arenado","Trea Turner","Manuel Margot","Hunter Renfroe","Andrew Toles"
"23","Chris Archer","Jesse Chavez","Manny Pina","Eric Thames","Jonathan Villar","Mike Moustakas","Trea Turner","Ryan Braun","Domingo Santana","Andrew Toles"
"24","Jesse Chavez","Tyler Anderson","Salvador Perez","Mark Reynolds","Brian Dozier","Nolan Arenado","Trevor Story","Carlos Gonzalez","Gerardo Parra","David Peralta"
"25","Ubaldo Jimenez","Amir Garrett","Geovany Soto","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Jordy Mercer","Adam Eaton","Jayson Werth","AJ Pollock"
"26","Chris Archer","Amir Garrett","Francisco Cervelli","Ryan Zimmerman","Josh Harrison","David Freese","Trea Turner","Andrew McCutchen","Gregory Polanco","Yasiel Puig"
"27","Chris Archer","Jesse Chavez","Yasmani Grandal","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kyle Schwarber","David Peralta","Andrew Toles"
"28","Chris Archer","Tyler Anderson","Tony Wolters","Mark Reynolds","Josh Harrison","Justin Turner","Trevor Story","Carlos Gonzalez","Kyle Schwarber","Gerardo Parra"
"29","Chris Archer","Matt Garza","Geovany Soto","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Erick Aybar","Jayson Werth","Michael Taylor","Andrew Toles"
"30","Chris Archer","Amir Garrett","Martin Maldonado","Ryan Zimmerman","Danny Espinosa","Yunel Escobar","Trea Turner","Mike Trout","Jayson Werth","Kole Calhoun"
"31","Jesse Chavez","Amir Garrett","Yasmani Grandal","Mike Napoli","Rougned Odor","Nolan Arenado","Trea Turner","Shin-Soo Choo","Carlos Gomez","Nomar Mazara"
"32","Chad Kuhl","Matt Garza","Francisco Cervelli","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trea Turner","Charlie Blackmon","Carlos Gonzalez","Andrew Toles"
"33","Chris Archer","Amir Garrett","Stuart Turner","Mark Reynolds","Ryan Goins","Nolan Arenado","Trevor Story","Carlos Gonzalez","Gerardo Parra","Yasiel Puig"
"34","Chris Archer","Jesse Chavez","Yasmani Grandal","Mark Reynolds","Brandon Drury","Jake Lamb","Chris Owings","Jayson Werth","Yasmany Tomas","David Peralta"
"35","Jason Vargas","Jhoulys Chacin","Jose Lobaton","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Corey Seager","Carlos Gonzalez","Gerardo Parra","Yasiel Puig"
"36","Jesse Chavez","Amir Garrett","Derek Norris","Ryan Zimmerman","Brad Miller","Evan Longoria","Trea Turner","Kyle Schwarber","Kevin Kiermaier","Corey Dickerson"
"37","Chris Archer","Amir Garrett","Chris Gimenez","Kennys Vargas","Brian Dozier","Justin Turner","Trea Turner","Eddie Rosario","Byron Buxton","Yasiel Puig"
"38","Jesse Chavez","Amir Garrett","Yasmani Grandal","Joey Votto","Jose Peraza","Eugenio Suarez","Trea Turner","Jayson Werth","Adam Duvall","Billy Hamilton"
"39","Zack Greinke","Jesse Chavez","Yasmani Grandal","Adrian Gonzalez","Daniel Murphy","Justin Turner","Corey Seager","Carlos Gonzalez","AJ Pollock","Yasiel Puig"
"40","Jesse Chavez","Amir Garrett","Jose Lobaton","Joe Mauer","Brian Dozier","Miguel Sano","Trea Turner","Kyle Schwarber","Robbie Grossman","Byron Buxton"
"41","Jesse Chavez","Amir Garrett","Jonathan Lucroy","Ryan Zimmerman","DJ LeMahieu","Joey Gallo","Trea Turner","Shin-Soo Choo","Carlos Gomez","Jurickson Profar"
"42","Matt Garza","Phil Hughes","Tony Wolters","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Adam Eaton","Kyle Schwarber","AJ Pollock"
"43","Jason Vargas","Matt Garza","Jose Lobaton","Ryan Zimmerman","Daniel Murphy","Jake Lamb","Corey Seager","Jayson Werth","Michael Taylor","Yasiel Puig"
"44","Chris Archer","Phil Hughes","Geovany Soto","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Jordy Mercer","Charlie Blackmon","Carlos Gonzalez","Jabari Blash"
"45","Francisco Liriano","Amir Garrett","Yasmani Grandal","Adrian Gonzalez","DJ LeMahieu","Justin Turner","Corey Seager","Adam Eaton","Billy Hamilton","Yasiel Puig"
"46","Chris Archer","Amir Garrett","Jonathan Lucroy","Ryan Zimmerman","Rougned Odor","Joey Gallo","Elvis Andrus","David Peralta","Jurickson Profar","Yasiel Puig"
"47","Chris Archer","Jesse Chavez","Chris Gimenez","Kennys Vargas","Josh Harrison","Nolan Arenado","Jorge Polanco","Robbie Grossman","Eddie Rosario","David Peralta"
"48","Chad Kuhl","Ubaldo Jimenez","Manny Pina","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Adam Eaton","Yasiel Puig","Ezequiel Carrera"
"49","Chris Archer","Amir Garrett","Geovany Soto","Ryan Zimmerman","Tyler Saladino","Nolan Arenado","Tim Anderson","Jayson Werth","Melky Cabrera","Leury Garcia"
"50","Chad Kuhl","Matt Garza","Austin Hedges","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Corey Seager","Adam Eaton","Jayson Werth","David Peralta"
