"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Bills ",3900,"NYJ@BUF 01:00PM ET",6.5,"BUF","NYJ",0,6.5,0
"DST","Texans ",3800,"JAX@HOU 01:00PM ET",6.222,"HOU","JAX",0,6.222,0
"DST","Jaguars ",3700,"JAX@HOU 01:00PM ET",4.5,"JAX","HOU",0,4.5,0
"DST","Steelers ",3600,"PIT@CLE 01:00PM ET",6.579,"PIT","CLE",0,6.579,0
"DST","Panthers ",3500,"CAR@SF 04:25PM ET",8,"CAR","SF",0,8,0
"DST","Buccaneers ",3400,"TB@MIA 01:00PM ET",8.313,"TB","MIA",0,8.313,0
"DST","Falcons ",3300,"ATL@CHI 01:00PM ET",7.167,"ATL","CHI",0,7.167,0
"DST","Rams ",3200,"IND@LAR 04:05PM ET",5.813,"LAR","IND",0,5.813,0
"DST","Bengals ",3100,"BAL@CIN 01:00PM ET",6.125,"CIN","BAL",0,6.125,0
"DST","Redskins ",3000,"PHI@WAS 01:00PM ET",5.938,"WAS","PHI",0,5.938,0
"DST","Seahawks ",2900,"SEA@GB 04:25PM ET",7.278,"SEA","GB",0,7.278,0
"DST","Cowboys ",2900,"NYG@DAL 08:30PM ET",5.588,"DAL","NYG",0,5.588,0
"DST","Ravens ",2800,"BAL@CIN 01:00PM ET",7.875,"BAL","CIN",0,7.875,0
"DST","Cardinals ",2800,"ARI@DET 01:00PM ET",9.188,"ARI","DET",0,9.188,0
"DST","Dolphins ",2800,"TB@MIA 01:00PM ET",7.294,"MIA","TB",0,7.294,0
"DST","Eagles ",2700,"PHI@WAS 01:00PM ET",8.938,"PHI","WAS",0,8.938,0
"DST","Colts ",2700,"IND@LAR 04:05PM ET",5.563,"IND","LAR",0,5.563,0
"DST","Lions ",2600,"ARI@DET 01:00PM ET",5.235,"DET","ARI",0,5.235,0
"DST","Titans ",2600,"OAK@TEN 01:00PM ET",5.938,"TEN","OAK",0,5.938,0
"DST","Giants ",2600,"NYG@DAL 08:30PM ET",8.471,"NYG","DAL",0,8.471,0
"DST","Raiders ",2500,"OAK@TEN 01:00PM ET",5.647,"OAK","TEN",0,5.647,0
"DST","Packers ",2500,"SEA@GB 04:25PM ET",5.737,"GB","SEA",0,5.737,0
"DST","Jets ",2400,"NYJ@BUF 01:00PM ET",3.75,"NYJ","BUF",0,3.75,0
"DST","Bears ",2200,"ATL@CHI 01:00PM ET",5.313,"CHI","ATL",0,5.313,0
"DST","49ers ",2100,"CAR@SF 04:25PM ET",4.063,"SF","CAR",0,4.063,0
"DST","Browns ",2000,"PIT@CLE 01:00PM ET",3.125,"CLE","PIT",0,3.125,0
